orf	hap alpha | transport to/from ER (Kar2) | standard [standard] | Copic A~Miller EA, 2009
YAL007C	3.0704971173143587
YAL009W	1.5244517423827768
YAL011W	2.617486024448093
YAL051W	1.77
YAR002C-A	5.920943659916074
YBL038W	2.210631271665754
YBL051C	2.9351553822295204
YBL082C	3.791287401933954
YBL083C	3.2066314176245214
YBR041W	2.4437609286626527
YBR050C	1.6682
YBR076W	1.5699
YBR103W	1.5587374566684913
YBR106W	3.6697508483853314
YBR168W	1.5583269476372925
YBR276C	3.7329
YCR020C-A	1.76
YCR092C	1.6985999999999999
YDL005C	1.7201859003414228
YDL096C	1.93
YDL100C	4.625182557927385
YDL117W	1.8388
YDL224C	1.5913185458857873
YDR107C	1.5625
YDR108W	2.449
YDR202C	1.7761
YDR203W	1.73
YDR227W	2.2956000000000003
YDR245W	2.4402
YDR300C	2.7622860791826307
YDR310C	3.4426488870644043
YDR334W	2.2984891351943073
YDR372C	2.5012999999999996
YDR414C	8.96267318007663
YDR469W	2.189525925925926
YDR482C	3.102565891260719
YDR485C	2.633301715015508
YDR517W	2.220880012771392
YEL053C	1.7711000000000001
YER005W	1.8224
YER083C	4.050476975004561
YER140W	2.962523207443897
YFL025C	8.784216064586754
YFR013W	2.3346
YGL020C	4.953476081007116
YGL024W	1.776776135741653
YGL049C	1.6545999999999998
YGL084C	6.676465973362525
YGL200C	8.95332710271848
YGL226C-A	1.901
YGL228W	3.837351715015508
YHR004C	2.0915
YHR178W	1.8139
YHR181W	3.7
YIL039W	5.564431308155445
YIL119C	1.8174
YIR033W	3.0383944535668674
YJL004C	1.85
YJL062W	2.2287137110016424
YJL077C	4.733521255245393
YJL121C	1.9709
YJL123C	2.1880040138660823
YJL175W	1.595081189563948
YJL183W	3.7230999999999996
YJL186W	1.7341
YJR033C	1.5979
YJR073C	1.9213428206531655
YJR075W	2.9978981937602627
YJR117W	2.9636000000000005
YJR118C	2.4967341725962413
YKL073W	6.824581545338442
YKL121W	1.7643
YKR029C	1.5112999999999999
YLL009C	1.7548
YLL024C	1.622924712643678
YLR065C	3.4206
YLR085C	3.183739007480387
YLR087C	3.691401295384054
YLR110C	3.1885
YLR111W	2.7028674511950372
YLR242C	5.56927864258347
YLR268W	3.5401
YLR418C	1.82
YML012C-A	3.041554324028462
YML012W	8.409054552089035
YML013W	3.0774
YML041C	3.147489655172414
YML102W	1.4986735997080824
YML115C	2.4581061850027366
YMR036C	2.1306860062032476
YMR214W	4.271604077723043
YMR274C	2.3075
YNL004W	1.5238
YNL080C	3.65134554960629
YNL087W	2.7946
YNL107W	2.976260289915024
YNL128W	1.5725
YNL197C	1.5648056923918992
YNL219C	1.9546871008939974
YNR030W	1.953776683087028
YNR031C	1.5453968253968253
YOL012C	3.181601076445904
YOL111C	3.282276792556103
YOR085W	2.586293103448276
YOR154W	4.9563
YOR164C	4.1235
YOR216C	1.8173
YOR355W	2.1485471173143584
YPL226W	1.8595000000000002
YPL227C	1.8378435726460507
YPL244C	1.811
YPL245W	1.5182
YPR130C	1.7402
