orf	hom | protein aggregates (Ire1) | 1,4-dithiothreitol [2 mM] | Cohen N~Schuldiner M, 2017
YAL002W	0.05926713661832268
YAL004W	0.05926713661832268
YAL005C	0.05926713661832268
YAL007C	0.05926713661832268
YAL008W	0.05926713661832268
YAL009W	0.05926713661832268
YAL010C	0.05926713661832268
YAL011W	0.05926713661832268
YAL012W	-5.80817938859565
YAL013W	0.05926713661832268
YAL014C	0.05926713661832268
YAL015C	0.05926713661832268
YAL016C-B	0.05926713661832268
YAL016W	0.05926713661832268
YAL017W	0.05926713661832268
YAL018C	0.05926713661832268
YAL019W	0.05926713661832268
YAL020C	0.05926713661832268
YAL021C	0.05926713661832268
YAL022C	0.05926713661832268
YAL023C	0.05926713661832268
YAL024C	0.05926713661832268
YAL026C	0.05926713661832268
YAL027W	0.05926713661832268
YAL028W	0.05926713661832268
YAL029C	0.05926713661832268
YAL030W	0.05926713661832268
YAL031C	0.05926713661832268
YAL034C	0.05926713661832268
YAL035W	0.05926713661832268
YAL036C	0.05926713661832268
YAL037C-A	0.05926713661832268
YAL037W	0.05926713661832268
YAL039C	-5.80817938859565
YAL040C	0.05926713661832268
YAL042C-A	0.05926713661832268
YAL042W	0.05926713661832268
YAL044C	0.05926713661832268
YAL044W-A	0.05926713661832268
YAL045C	0.05926713661832268
YAL046C	0.05926713661832268
YAL047C	0.05926713661832268
YAL048C	0.05926713661832268
YAL049C	0.05926713661832268
YAL051W	0.05926713661832268
YAL053W	0.05926713661832268
YAL054C	0.05926713661832268
YAL055W	0.05926713661832268
YAL056C-A	0.05926713661832268
YAL056W	0.05926713661832268
YAL058W	0.05926713661832268
YAL059W	0.05926713661832268
YAL060W	0.05926713661832268
YAL061W	0.05926713661832268
YAL062W	0.05926713661832268
YAL064C-A	0.05926713661832268
YAL065C	0.05926713661832268
YAL066W	0.05926713661832268
YAL067C	0.05926713661832268
YAL067W-A	0.05926713661832268
YAL068C	0.05926713661832268
YAR002C-A	0.05926713661832268
YAR002W	0.05926713661832268
YAR014C	0.05926713661832268
YAR015W	0.05926713661832268
YAR018C	0.05926713661832268
YAR020C	0.05926713661832268
YAR023C	0.05926713661832268
YAR027W	0.05926713661832268
YAR028W	0.05926713661832268
YAR029W	0.05926713661832268
YAR030C	0.05926713661832268
YAR031W	0.05926713661832268
YAR035C-A	0.05926713661832268
YAR035W	0.05926713661832268
YAR042W	0.05926713661832268
YAR047C	0.05926713661832268
YAR050W	0.05926713661832268
YBL001C	0.05926713661832268
YBL002W	0.05926713661832268
YBL003C	0.05926713661832268
YBL005W	0.05926713661832268
YBL006C	0.05926713661832268
YBL007C	0.05926713661832268
YBL008W	0.05926713661832268
YBL008W-A	0.05926713661832268
YBL009W	0.05926713661832268
YBL010C	0.05926713661832268
YBL011W	0.05926713661832268
YBL012C	0.05926713661832268
YBL013W	0.05926713661832268
YBL015W	0.05926713661832268
YBL016W	0.05926713661832268
YBL017C	0.05926713661832268
YBL019W	0.05926713661832268
YBL021C	0.05926713661832268
YBL022C	0.05926713661832268
YBL024W	0.05926713661832268
YBL025W	0.05926713661832268
YBL027W	0.05926713661832268
YBL028C	0.05926713661832268
YBL029C-A	0.05926713661832268
YBL029W	0.05926713661832268
YBL031W	0.05926713661832268
YBL032W	0.05926713661832268
YBL033C	0.05926713661832268
YBL036C	0.05926713661832268
YBL037W	0.05926713661832268
YBL038W	0.05926713661832268
YBL039C	0.05926713661832268
YBL039W-B	5.926713661832294
YBL042C	0.05926713661832268
YBL043W	0.05926713661832268
YBL044W	0.05926713661832268
YBL045C	0.05926713661832268
YBL046W	0.05926713661832268
YBL047C	0.05926713661832268
YBL048W	0.05926713661832268
YBL049W	0.05926713661832268
YBL051C	0.05926713661832268
YBL052C	0.05926713661832268
YBL053W	0.05926713661832268
YBL054W	0.05926713661832268
YBL055C	0.05926713661832268
YBL056W	0.05926713661832268
YBL057C	0.05926713661832268
YBL058W	0.05926713661832268
YBL059W	0.05926713661832268
YBL060W	0.05926713661832268
YBL061C	0.05926713661832268
YBL062W	0.05926713661832268
YBL063W	0.05926713661832268
YBL064C	0.05926713661832268
YBL065W	0.05926713661832268
YBL066C	0.05926713661832268
YBL067C	0.05926713661832268
YBL068W	0.05926713661832268
YBL069W	0.05926713661832268
YBL070C	0.05926713661832268
YBL071C	0.05926713661832268
YBL071C-B	0.05926713661832268
YBL071W-A	-5.80817938859565
YBL072C	0.05926713661832268
YBL075C	0.05926713661832268
YBL078C	0.05926713661832268
YBL079W	0.05926713661832268
YBL080C	0.05926713661832268
YBL081W	0.05926713661832268
YBL082C	0.05926713661832268
YBL083C	0.05926713661832268
YBL085W	0.05926713661832268
YBL086C	0.05926713661832268
YBL087C	0.05926713661832268
YBL088C	0.05926713661832268
YBL089W	0.05926713661832268
YBL090W	0.05926713661832268
YBL091C	0.05926713661832268
YBL091C-A	0.05926713661832268
YBL093C	0.05926713661832268
YBL094C	0.05926713661832268
YBL095W	0.05926713661832268
YBL096C	0.05926713661832268
YBL098W	0.05926713661832268
YBL099W	0.05926713661832268
YBL100C	0.05926713661832268
YBL100W-C	0.05926713661832268
YBL101C	0.05926713661832268
YBL102W	0.05926713661832268
YBL103C	0.05926713661832268
YBL104C	0.05926713661832268
YBL106C	0.05926713661832268
YBL107C	0.05926713661832268
YBR001C	0.05926713661832268
YBR003W	0.05926713661832268
YBR005W	0.05926713661832268
YBR006W	0.05926713661832268
YBR007C	0.05926713661832268
YBR008C	0.05926713661832268
YBR009C	0.05926713661832268
