orf	hap a | growth (spot assay) | farnesol [5-500 uM] | Fairn GD~McMaster CR, 2007
YAL044C	-9.74144924194205
YBL042C	-9.74144924194205
YBL044W	-9.74144924194205
YBL045C	-9.74144924194205
YBL090W	-9.74144924194205
YBL094C	-9.74144924194205
YBL100C	-9.74144924194205
YBR021W	-9.74144924194205
YBR078W	-9.74144924194205
YDR200C	-9.74144924194205
YDR300C	-9.74144924194205
YEL046C	-9.74144924194205
YER153C	-9.74144924194205
YFL036W	-9.74144924194205
YFR001W	-9.74144924194205
YFR031C-A	-9.74144924194205
YGL025C	-9.74144924194205
YGL173C	-9.74144924194205
YGR101W	-9.74144924194205
YGR123C	-9.74144924194205
YHR018C	-9.74144924194205
YIL047C	-9.74144924194205
YIL128W	-9.74144924194205
YIL133C	-9.74144924194205
YIR003W	-9.74144924194205
YJL028W	-9.74144924194205
YJL095W	-9.74144924194205
YJL129C	-9.74144924194205
YJL209W	-9.74144924194205
YJR152W	-9.74144924194205
YKL119C	-9.74144924194205
YLL027W	-9.74144924194205
YLR382C	-9.74144924194205
YLR417W	-9.74144924194205
YML008C	-9.74144924194205
YNL080C	-9.74144924194205
YNL133C	-9.74144924194205
YNL284C	-9.74144924194205
YNL298W	-9.74144924194205
YOL072W	-9.74144924194205
YOL148C	-9.74144924194205
YOR271C	-9.74144924194205
YPL029W	-9.74144924194205
YPL104W	-9.74144924194205
YPL118W	-9.74144924194205
YPL132W	-9.74144924194205
YPL173W	-9.74144924194205
YPR067W	-9.74144924194205
