orf	hap a | growth (relative abundance in pooled culture) | MMS + time [10 generations] (methyl methanesulfonate [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | BCNU + time [10 generation] (carmustine [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | DMSO + time [10 generations] (dimethyl sulfoxide [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | ENU + time [10 generations] (N-ethyl-N-nitrosourea [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | MC + time [10 generations] (methyl carbamate [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | Menadione + time [10 generations (menadione [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | HQ + time [10 generation] (hydroquinone [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | MNU + time [10 generations] (N-methyl-N-nitrosourea [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | MMS + time [20 generations] (methyl methanesulfonate [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | BCNU + time [20 generation] (carmustine [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | DMSO + time [20 generations] (dimethyl sulfoxide [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | ENU + time [20 generations] (N-ethyl-N-nitrosourea [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | MC + time [20 generations] (methyl carbamate [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | Menadione + time [20 generations] (menadione [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | HQ + time [20 generation] (hydroquinone [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | MNU + time [20 generations] (N-methyl-N-nitrosourea [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013
YAL004W	-0.0538989510561398	-0.163377616360192	0.0	0.0	-0.0244267964294957	0.0	-0.848196339175673	-0.431290881054441	-0.0347441593925772	-0.455707153046784	0.0	-0.0116389030054993	0.0	-0.206490978902961	-0.508631084229676	-0.283234045661223
YAL005C	-0.0914594082443303	-0.401777294876499	0.0	0.0	-1.31819188449178e-05	-0.0379950155539643	-0.239527976706646	-0.206127198310595	0.0	-0.303429620667183	0.0	0.0	0.0	-0.0635007688643214	-0.128404557996211	-0.112966518440741
YAL008W	-0.0882997715960876	-0.227518349713399	0.0	0.0	-0.0116789662116714	-0.124013739547622	0.0	0.0	-0.0407631616525981	-0.974316982032187	-0.151552064042567	0.0	-0.547147444328524	-0.136169803187983	-0.0982796391846659	0.0
YAL011W	-0.21416096911523	-0.418466966236045	-2.27194056523576	0.0	-1.58855948585251	-1.11119536049089	-0.584643188469074	-0.0558663532589145	-0.869160589320186	-0.717547720652202	-1.59875054134083	0.0	-3.0711413710083	-0.834280374586337	-0.452792057977925	0.0
YAL012W	0.0	-1.26725302304694	0.0	-0.471826200519805	0.0	0.0	0.0	-0.0882023046490721	-0.201033264450896	-0.187598739111044	0.0	-0.232470322051075	0.0	0.0	-0.163551968252909	-0.121885575544535
YAL015C	0.0	-0.0367214005345144	-0.0263961658554508	0.0	0.0	0.0	0.0	0.0	0.0	-0.013279749480227	0.0	-0.0557382490903424	0.0	0.0	0.0	0.0
YAL017W	0.0	-0.0116942248740868	-0.0123526736277224	-0.0480694242927404	0.0	0.0	0.0	0.0	0.0	0.0	-0.0114355627759446	-0.0535125960208571	0.0	0.0	0.0	-0.095267143501788
YAL018C	0.0	-0.0314723627446201	-0.15131274911959	-0.0993155591054178	0.0	-0.0759302898816516	0.0	0.0	-0.0550406124881846	-0.0728711046068051	-0.192463542225262	0.0	0.0	0.0	0.0	-0.058725430939166
YAL019W	-0.782649142977666	0.0	0.0	0.0	0.0	-0.0735632499308663	0.0	-0.133089873210943	-1.02577076310316	-0.0228676014589073	0.0	-0.0294727021279302	0.0	-0.0167534384384709	0.0	-0.13124702087297
YAL020C	0.0	0.0	0.0	0.0	-0.0130323428672767	-0.47646932307639	0.0	0.0	0.0	0.0	0.0	-0.00902200956947663	0.0	-0.14199713699132	0.0	0.0
YAL022C	-0.170040127933685	-0.00570344200194217	-0.111319081540037	0.0	-0.079009180974654	-0.12319591424968	0.0	0.0	0.0	-0.430161995906832	0.0	0.0	0.0	0.0	0.0	0.0
YAL023C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.566033759510602	0.0	0.0	0.0
YAL024C	-1.59542626442482	-3.73913069128394	-3.58467833299399	-2.20825690356658	-1.84877413241055	0.0	-4.43761680738527	-1.07177995275504	-1.33461555293776	-2.43273348900139	-3.56903651794315	-1.62952175207245	-2.07902912255462	-0.00950267089997325	-3.23552946403031	-1.11716023965346
YAL027W	-0.402383752108639	0.0	-0.147655439119451	-0.102991249511296	-0.110591177056842	-0.00869580713584384	0.0	-0.0815362472975307	-0.253335019846587	-0.0199485435643094	-0.339102265194316	-0.275250143485546	-0.046355893211854	-0.0371921700529514	0.0	-0.10838126950885
