ORF	hap a | growth (relative abundance in pooled culture) | MMS + time [10 generations] (methyl methanesulfonate [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | BCNU + time [10 generation] (carmustine [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | DMSO + time [10 generations] (dimethyl sulfoxide [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | ENU + time [10 generations] (N-ethyl-N-nitrosourea [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | MC + time [10 generations] (methyl carbamate [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | Menadione + time [10 generations (menadione [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | HQ + time [10 generation] (hydroquinone [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | MNU + time [10 generations] (N-methyl-N-nitrosourea [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | MMS + time [20 generations] (methyl methanesulfonate [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | BCNU + time [20 generation] (carmustine [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | DMSO + time [20 generations] (dimethyl sulfoxide [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | ENU + time [20 generations] (N-ethyl-N-nitrosourea [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | MC + time [20 generations] (methyl carbamate [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | Menadione + time [20 generations] (menadione [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | HQ + time [20 generation] (hydroquinone [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | MNU + time [20 generations] (N-methyl-N-nitrosourea [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013
YAL004W	-0.054	-0.163	0.000	0.000	-0.024	0.000	-0.848	-0.431	-0.035	-0.456	0.000	-0.012	0.000	-0.206	-0.509	-0.283
YAL005C	-0.091	-0.402	0.000	0.000	-0.000	-0.038	-0.240	-0.206	0.000	-0.303	0.000	0.000	0.000	-0.064	-0.128	-0.113
YAL008W	-0.088	-0.228	0.000	0.000	-0.012	-0.124	0.000	0.000	-0.041	-0.974	-0.152	0.000	-0.547	-0.136	-0.098	0.000
YAL011W	-0.214	-0.418	-2.272	0.000	-1.589	-1.111	-0.585	-0.056	-0.869	-0.718	-1.599	0.000	-3.071	-0.834	-0.453	0.000
YAL012W	0.000	-1.267	0.000	-0.472	0.000	0.000	0.000	-0.088	-0.201	-0.188	0.000	-0.232	0.000	0.000	-0.164	-0.122
YAL015C	0.000	-0.037	-0.026	0.000	0.000	0.000	0.000	0.000	0.000	-0.013	0.000	-0.056	0.000	0.000	0.000	0.000
YAL017W	0.000	-0.012	-0.012	-0.048	0.000	0.000	0.000	0.000	0.000	0.000	-0.011	-0.054	0.000	0.000	0.000	-0.095
YAL018C	0.000	-0.031	-0.151	-0.099	0.000	-0.076	0.000	0.000	-0.055	-0.073	-0.192	0.000	0.000	0.000	0.000	-0.059
YAL019W	-0.783	0.000	0.000	0.000	0.000	-0.074	0.000	-0.133	-1.026	-0.023	0.000	-0.029	0.000	-0.017	0.000	-0.131
YAL020C	0.000	0.000	0.000	0.000	-0.013	-0.476	0.000	0.000	0.000	0.000	0.000	-0.009	0.000	-0.142	0.000	0.000
YAL022C	-0.170	-0.006	-0.111	0.000	-0.079	-0.123	0.000	0.000	0.000	-0.430	0.000	0.000	0.000	0.000	0.000	0.000
YAL023C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.566	0.000	0.000	0.000
YAL024C	-1.595	-3.739	-3.585	-2.208	-1.849	0.000	-4.438	-1.072	-1.335	-2.433	-3.569	-1.630	-2.079	-0.010	-3.236	-1.117
YAL027W	-0.402	0.000	-0.148	-0.103	-0.111	-0.009	0.000	-0.082	-0.253	-0.020	-0.339	-0.275	-0.046	-0.037	0.000	-0.108
YAL028W	-0.082	-0.104	-0.295	0.000	-0.016	0.000	0.000	-0.158	-0.035	0.000	-0.038	-0.200	-0.018	-0.001	0.000	-0.021
YAL030W	-0.162	0.000	-0.119	0.000	-0.016	-0.047	0.000	0.000	-0.005	-0.112	-0.069	-0.119	0.000	-0.064	0.000	-0.096
YAL031C	-0.212	0.000	-0.194	0.000	-0.014	-0.150	0.000	0.000	-0.148	-0.082	0.000	0.000	0.000	-0.295	0.000	-0.028
