orf	hap a | growth (relative abundance in pooled culture) | MMS + time [10 generations] (methyl methanesulfonate [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | BCNU + time [10 generation] (carmustine [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | DMSO + time [10 generations] (dimethyl sulfoxide [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | ENU + time [10 generations] (N-ethyl-N-nitrosourea [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | MC + time [10 generations] (methyl carbamate [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | Menadione + time [10 generations (menadione [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | HQ + time [10 generation] (hydroquinone [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | MNU + time [10 generations] (N-methyl-N-nitrosourea [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | MMS + time [20 generations] (methyl methanesulfonate [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | BCNU + time [20 generation] (carmustine [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | DMSO + time [20 generations] (dimethyl sulfoxide [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | ENU + time [20 generations] (N-ethyl-N-nitrosourea [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | MC + time [20 generations] (methyl carbamate [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | Menadione + time [20 generations] (menadione [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | HQ + time [20 generation] (hydroquinone [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | MNU + time [20 generations] (N-methyl-N-nitrosourea [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013
YAL004W	-0.08560358451331683	-0.2716271170223975	0.09540878064289031	0.0	0.06943471915260306	0.09810983599789895	-0.6601407748981571	-1.1464249961090656	0.04923837757596188	-0.7854529855143998	0.09635800614560633	-0.03013170314375048	0.0	-0.18230317787043124	-0.3906727299633672	-0.8301668477786107
YAL005C	-0.145257987952803	-0.6679838445663123	0.09540878064289031	0.0	0.11307688187208213	0.05197973728177766	-0.13653776159296357	-0.5479118221638626	0.09880393063965036	-0.5229887217110968	0.09635800614560633	0.0	0.0	0.025104274452362123	-0.04346340783691363	-0.3311080004507863
YAL008W	-0.14023977855263312	-0.3782657305153473	0.09540878064289031	0.0	0.09222294170129072	-0.05245638865233069	0.0695146277011787	0.0	0.040651749459891716	-1.6793244899888493	-0.10605584729078096	0.0	-0.6350621823210171	-0.08030223741831356	-0.01595440486627754	0.0
YAL011W	-0.34013549911229785	-0.6957316316649454	-3.3187529201313177	0.0	-2.726633569583392	-1.2510026969220265	-0.433420885406488	-0.1484997402701734	-1.1411289404955252	-1.2367591679594812	-2.03894288731774	0.0	-3.564607239795188	-1.0929123665608282	-0.33968251987695347	0.0
YAL012W	0.0	-2.10689990989506	0.09540878064289031	-1.2115342214599027	0.11310044607831361	0.09810983599789895	0.0695146277011787	-0.23445273527904537	-0.1879874354751447	-0.3233435962730635	0.09635800614560633	-0.6018373664996932	0.0	0.11721220748587853	-0.07555877112105054	-0.3572500043321643
YAL015C	0.0	-0.06105198730666039	0.05574190735845995	0.0	0.11310044607831361	0.09810983599789895	0.0695146277011787	0.0	0.09880393063965036	-0.022888863618642306	0.09635800614560633	-0.14429954219474728	0.0	0.11721220748587853	0.07379106144342404	0.0
YAL017W	0.0	-0.01944249560696721	0.07684578394867134	-0.12343051842473175	0.11310044607831361	0.09810983599789895	0.0695146277011787	0.0	0.09880393063965036	0.0	0.08108459933115006	-0.13853759731394355	0.0	0.11721220748587853	0.07379106144342404	-0.2792306413345125
YAL018C	0.0	-0.0523250819093675	-0.1319766539885619	-0.255018052085869	0.11310044607831361	0.005922170939321698	0.0695146277011787	0.0	0.020283729068048425	-0.1256000181003767	-0.16069746501505064	0.0	0.0	0.11721220748587853	0.07379106144342404	-0.17212586775503752
YAL019W	-1.2430218166097633	0.0	0.09540878064289031	0.0	0.11310044607831361	0.008796015968800464	0.0695146277011787	-0.35376949543886094	-1.364546919651235	-0.039414404003459254	0.09635800614560633	-0.07630123826475506	0.0	0.09291132714427311	0.07379106144342404	-0.3846886603765519
YAL020C	0.0	0.0	0.09540878064289031	0.0	0.08980362422583443	-0.4803759624221538	0.0695146277011787	0.0	0.09880393063965036	0.0	0.09635800614560633	-0.023356884577446807	0.0	-0.08875479132153545	0.07379106144342404	0.0
