orf	hap a | growth (colony size) | lithium hexafluorophosphate [3 mM] | YPD | Jin X~Liu B, 2021
YAL002W	-6.0061122821803
YAL004W	-1.5193443477600606
YAL005C	-0.8447687336116454
YAL007C	0.35259882258925046
YAL008W	0.14259037491947008
YAL010C	-0.21218150047705522
YAL011W	-0.09892599416084287
YAL013W	-0.6900571870868547
YAL014C	-0.14793461954385717
YAL015C	0.8594205404843336
YAL017W	-1.1575189566940178
YAL018C	0.351234699275806
YAL019W	0.11803615527747105
YAL020C	-0.40009780472910195
YAL022C	-0.1426112114913913
YAL023C	-1.5235032603010494
YAL024C	1.0743864119029725
YAL026C	-0.24202585687119224
YAL027W	0.42872355773951304
YAL028W	-0.019740299380412378
YAL029C	-0.8473306237368947
YAL030W	0.4305867505578761
YAL031C	-1.43553394223405
YAL034C	-0.16207492218321978
YAL036C	0.11866830998370137
YAL037W	-0.05667144274439467
YAL040C	0.1459175049522613
YAL042C-A	0.07594796036266242
YAL042W	-0.882332031681858
YAL045C	0.020883958319968112
YAL046C	-0.4014619280425464
YAL048C	-4.372358350878511
YAL049C	-0.07217586869720165
YAL051W	-0.19504678080818053
YAL053W	-0.2971564015145423
YAL054C	0.2542155875196147
YAL055W	-0.7204006129859104
YAL056C-A	0.29397479141146954
YAL056W	-0.10288527889986437
YAL058W	0.4182763694365486
YAL059W	0.015360922465534749
YAL060W	0.12622089515813742
YAL061W	0.26719139464750047
YAL062W	-2.621289814620505
YAL064C-A	-0.27233601146992
YAL065C	-0.8077377763466794
YAL066W	-0.20379713279442135
YAL067C	-0.2553676483026849
YAL068C	0.47733292751859235
YAR002C-A	-0.14420823390713106
YAR002W	-0.9989146680308615
YAR003W	0.5596128532295187
YAR014C	-0.8319592829853992
YAR015W	0.2637644507137255
YAR018C	-0.9235884440884689
YAR020C	-0.646505054957618
YAR023C	-0.8031796082017555
YAR027W	0.40673122822276325
YAR028W	0.028636171296371603
YAR029W	0.13127813280798006
YAR030C	0.029434682504241506
YAR031W	0.11730418667025701
YAR035W	0.23328793961335814
YAR042W	-0.46246485719377295
YAR047C	1.1933645818755858
YAR050W	-1.584822266805391
YBL001C	-0.9863713878072388
YBL003C	-0.3063725517053739
YBL005W	-0.9489079036380099
YBL007C	-2.3074749099276395
YBL008W	0.4000769681571808
YBL009W	0.5094064610346996
YBL010C	0.7603053368074836
YBL011W	0.41218772147654076
YBL013W	-3.6168669343326143
YBL015W	-0.6624420078146878
YBL017C	0.4640576786877555
YBL019W	0.04174506362556893
YBL021C	-2.9353043471153377
YBL024W	-5.276106681685585
YBL027W	1.3638467247558068
YBL028C	-0.07992808167360513
YBL029W	0.40500112060571175
YBL031W	0.5500639900354081
YBL032W	-0.8198818009663672
YBL036C	0.5186226112255311
YBL037W	-0.2656484801040097
YBL039C	-0.19930550725015325
YBL042C	-0.058168651259150723
YBL043W	-4.240271288576701
YBL046W	0.42912281334344793
YBL047C	-0.15482177871173497
YBL048W	0.06280579673313723
YBL049W	-0.4875347819908546
YBL051C	0.2699529125747171
YBL052C	0.45174729756642806
YBL053W	0.3262146814292162
YBL054W	-0.2635523881833513
YBL055C	-0.16962750735765575
YBL056W	-0.16234109258584306
YBL057C	0.18028675819099435
YBL059W	-0.054043010018489615
YBL060W	0.17646055865328455
YBL061C	-0.5311867280210751
YBL062W	0.27963486097013945
YBL063W	0.18477838373526245
YBL064C	-0.45981978881770397
YBL065W	0.12046496020140861
YBL066C	0.07225484602626421
YBL067C	0.40250577308111846
YBL068W	0.4787968647330204
YBL069W	0.8749915090377961
YBL070C	-0.2190353883446051
YBL071C	0.18597615054706731
YBL072C	0.5060127884012524
YBL075C	0.008107778994049927
YBL078C	-0.6430448397235152
YBL079W	-0.13003465996744054
YBL081W	-1.0617308830499594
YBL082C	0.5732873576642905
YBL083C	0.27351294170980367
YBL085W	-0.02303415811287567
YBL086C	0.967652080451031
YBL087C	-0.1487331307517271
YBL088C	-0.4310068427337322
YBL089W	0.499059086632719
YBL091C	-0.3530189147651066
YBL091C-A	-0.10218658159297822
YBL094C	1.148747768135856
YBL095W	-1.0599009615319241
YBL096C	-0.16167566657928478
YBL098W	-0.125709390924812
YBL100C	0.4012747349689856
YBL101C	-0.7547033236239877
YBL102W	0.4102579860575218
YBL103C	0.026257273322925895
YBL104C	0.9606983786824975
YBL106C	0.010969110822250357
YBL107C	-1.5817945784755516
YBR001C	-0.19381574269604773
YBR005W	0.18732363821034775
YBR006W	-0.16686598943043912
YBR007C	-0.7883406082555067
YBR008C	-0.3846599213769508
YBR009C	0.298699316058033
YBR010W	-0.22049932555903318
YBR012C	-0.4397904660203009
YBR013C	0.09554475625580253
YBR014C	0.22896267057072953
