orf	hom | growth (relative abundance in pooled culture) | copper(II) sulfate [500 mM], YPD [standard] | Schlecht U~St Onge RP, 2014	hom | growth (relative abundance in pooled culture) | copper(II) sulfate [500 mM], YPE [2%] | Schlecht U~St Onge RP, 2014	hom | growth (relative abundance in pooled culture) | copper(II) sulfate [500 mM], YPG [2%] | Schlecht U~St Onge RP, 2014	hom | growth (relative abundance in pooled culture) | copper(II) sulfate [500 mM], YPL [2%] | Schlecht U~St Onge RP, 2014
YAL002W	-0.209411403207188	-0.184951564210865	-0.319781956158971	-0.267635931262264
YAL004W	-0.197993878875678	0.220628427174301	-0.0494254242630205	0.0206323444725882
YAL005C	0.0193262718303604	0.0912806802030222	0.0860328599759779	-0.00170828012364233
YAL007C	0.121334723239217	0.151072695608116	0.120506201516099	0.117534022430849
YAL008W	0.122859941785864	-0.177720785646082	0.195369148799749	-0.0806362995836132
YAL009W	-0.372298067743028	1.37926601410353	1.21692745037295	0.883416849197516
YAL010C	0.0421290833080601	-0.0681894538412697	-0.0342212832511697	-0.0455642338624704
YAL011W	0.365496223153729	-0.480052355291919	-0.198617169586772	-0.0198786822806039
YAL012W	-0.305535496101808	-1.06669905589687	-0.0902596567256815	-0.727531549555367
YAL013W	0.330603805613443	0.286378485978146	0.664987552498815	0.101122029381273
YAL014C	0.00504541955717919	0.106084381815363	0.141793717325795	0.0188615816075099
YAL015C	0.00138236653175738	-0.00232454640096691	0.0124113802999695	0.0916955482365687
YAL016C-B	0.138667655587833	0.120332088234903	-0.252057595107827	-0.36270418508569
YAL016W	0.186717337047734	0.100006371319429	0.14183189724811	-0.142171455793013
YAL017W	0.00927875145946722	0.119938984366556	0.0653386987342657	-0.103465849386048
YAL018C	-0.0607647653745342	0.0159414481326987	0.483967546055231	0.17700345132295
YAL019W	-0.134423135550987	0.301176724360294	0.501572488421827	0.638933212091347
YAL020C	0.271338231592637	-0.220258710514585	0.338792941906107	0.440033919056782
YAL021C	-0.7312193815821779	-0.7966415095020905	-0.288390847027179	-0.4364396485859475
YAL022C	-0.0218505377305451	0.225571632362891	0.024203196836007	0.108011344104789
YAL023C	0.0648090187478578	0.182004545159478	0.684519718045911	0.648347429309306
YAL024C	0.253758957043164	1.31414999210864	0.175484019754657	0.291564065307474
YAL026C	0.575401014931442	0.668979841103731	0.463893320547319	1.15960150078411
YAL027W	-0.09970950423555	0.00160179861461884	0.362919130102476	0.100979890260859
YAL028W	-0.0484288380165747	0.271203750030713	0.059806816360183	0.020230989241103
YAL029C	0.253372206522069	0.294519997404141	0.459796084578839	-0.244982408205521
YAL030W	0.031046424993141	0.188566069221693	0.259365589542016	-0.196531089852384
YAL031C	0.00171631280643147	0.26461848855401	0.0412650242761377	-0.128861361311618
YAL034C	0.235247287795811	-0.269468327395156	0.0804223807620801	-0.267655188018235
YAL035W	0.0453477119814991	0.361815199482959	-0.347108901647872	0.492103764258911
YAL036C	-0.0715998382124194	-0.0169701044399311	0.0602562769403026	0.103379546701376
YAL037C-A	-0.0582943624561043	-0.160316339050343	0.0443532715751296	-0.120592361373493
YAL037W	0.123722923726229	0.161534270730861	0.118603802580751	-0.193502500301276
