ORF	hom | transport to vacuoles (CPY) | standard [standard] | Bonangelino CJ~Bonifacino JS, 2002
YKR001C	-3.000
YDR495C	-3.000
YPR173C	-3.000
YOR069W	-3.000
YOR036W	-3.000
YAL002W	-3.000
YML097C	-3.000
YBL017C	-3.000
YLL040C	-3.000
YPL045W	-3.000
YOR132W	-3.000
YLR148W	-3.000
YDR323C	-3.000
YMR077C	-2.000
YOR089C	-3.000
YPL002C	-2.000
YCL008C	-2.000
YKL041W	-2.000
YJR102C	-2.000
YJL053W	-3.000
YNR006W	-3.000
YPL065W	-2.000
YHR012W	-3.000
YPL120W	-3.000
YLR025W	-2.000
YLR396C	-3.000
YLR240W	-3.000
YJL154C	-3.000
YLR417W	-2.000
YLR119W	-3.000
YLR360W	-3.000
YDL077C	-3.000
YDR080W	-3.000
YDR456W	-3.000
YGL095C	-3.000
YDR484W	-3.000
YJL029C	-3.000
YDR027C	-3.000
YJR044C	-3.000
YDR486C	-1.000
YBR131W	-2.000
YKL002W	-2.000
YHL031C	-3.000
YPR079W	-2.000
YMR004W	-2.000
YDL006W	-2.000
YDR137W	-1.000
YLR039C	-2.000
YJL004C	-2.000
YOL018C	-3.000
YGL212W	-3.000
YLR262C	-2.000
YML001W	-2.000
YDL185W	-2.000
YBR127C	-2.000
YOR332W	-3.000
YLR447C	-2.000
YEL051W	-2.000
YHR039C-B	-2.000
YPL234C	-2.000
YKL119C	-2.000
YPR036W	-2.000
YGR105W	-2.000
YHR060W	-2.000
YOR270C	-2.000
YLR342W	-2.000
YPR159W	-1.500
YBR015C	-2.000
YPL050C	-2.000
YJL183W	-2.000
YGL038C	-2.000
YOR085W	-2.000
YDL095W	-2.000
YML115C	-2.000
YPL195W	-2.000
YGR261C	-2.000
YBR288C	-2.000
YDL192W	-2.000
YBR164C	-3.000
YPL051W	-2.000
YGL124C	-2.000
YNL297C	-2.000
YEL036C	-2.000
YBR231C	-2.000
YNL059C	-3.000
YLR085C	-2.000
YGR036C	-3.000
YMR032W	-2.000
YOL076W	-2.000
YDR126W	-2.000
YDR159W	-2.000
YNL079C	-1.500
YBR191W	-2.000
YHR010W	-2.000
YDL191W	-2.000
YDL081C	-2.000
YPL090C	-2.000
YOL086C	-3.000
YGL105W	-2.000
YLR399C	-2.000
YPL084W	-2.000
YAR014C	-2.000
YGR262C	-2.000
YGL019W	-2.000
YNL041C	-3.000
YGL223C	-3.000
YNL051W	-3.000
YGL005C	-2.000
YDL160C	-2.000
YML071C	-2.000
YDR108W	-2.000
YGL084C	-2.000
YOR070C	-2.000
YEL044W	-2.000
YKR019C	-3.000
YNL296W	-2.000
YPR051W	-2.000
YEL053C	-2.000
YMR091C	-2.000
YKL055C	-2.000
YCR044C	-2.000
YMR123W	-2.000
YGL167C	-3.000
YGL246C	-2.000
YDR525W-A	-2.000
YLR357W	-2.000
YDL194W	-2.000
YEL031W	-2.000
YDL048C	-2.000
YOL072W	-2.000
YMR060C	-2.000
YNL107W	-2.000
YDR136C	-3.000
YGR141W	-2.000
YLR261C	-2.000
YDR200C	-2.000
YLR322W	-2.000
YPR139C	-2.000
YKR020W	-3.000
YOL129W	-2.000
YPR087W	-2.000
YJR126C	-2.000
YML041C	-2.000
YDR485C	-2.000
YGL104C	-2.000
YDR372C	-2.000
YNL246W	-2.000
YLR423C	-1.000
YCL038C	-1.000
YCR032W	-1.000
YOR357C	-1.000
YLR309C	-1.000
YJL036W	-1.000
YDR320C	-1.000
YLR386W	-1.000
YOR106W	-1.000
YDR359C	-1.000
YLR373C	-1.000
YKL054C	-1.000
YJR033C	-1.000
YDR202C	-1.000
YEL027W	-1.000
YKL080W	-1.000
YGR020C	-1.000
YPL227C	-1.000
YCL007C	-1.000
YJR075W	-1.000
YNL322C	-1.000
YGR166W	-1.000
YAL023C	-1.000
YBL082C	-1.000
YGR229C	-1.000
YJL139C	-1.000
YER083C	-1.000
YIL044C	-1.000
YDL226C	-1.000
YER122C	-1.000
YNL271C	-1.000
YKL212W	-1.000
YDR389W	-1.000
YOR198C	-1.000
YNR051C	-1.000
YGL012W	-1.000
YBR059C	-1.000
YDR264C	-1.000
YFL025C	-1.000
YAL058W	-1.000
YDR414C	-1.000
YML067C	-1.000
YKL073W	-1.000
YOR216C	-1.000
YLR208W	-1.000
YLR268W	-1.000
YBR171W	-1.000
YBR283C	-1.000
