orf	hom | transport to vacuoles (CPY) | standard [standard] | Bonangelino CJ~Bonifacino JS, 2002
YAL002W	-6.3450883917614975
YAL004W	-2.115029463920499
YAL009W	-2.115029463920499
YAL011W	-2.115029463920499
YAL014C	-2.115029463920499
YAL023C	-2.115029463920499
YAL056C-A	-2.115029463920499
YAL058W	-2.115029463920499
YAR014C	-4.230058927840998
YBL017C	-6.3450883917614975
YBL058W	-2.115029463920499
YBL082C	-2.115029463920499
YBR015C	-4.230058927840998
YBR034C	-2.115029463920499
YBR059C	-2.115029463920499
YBR127C	-4.230058927840998
YBR131W	-4.230058927840998
YBR164C	-6.3450883917614975
YBR171W	-2.115029463920499
YBR189W	-2.115029463920499
YBR191W	-4.230058927840998
YBR231C	-4.230058927840998
YBR245C	-2.115029463920499
YBR246W	-2.115029463920499
YBR266C	-2.115029463920499
YBR267W	-2.115029463920499
YBR283C	-2.115029463920499
YBR288C	-4.230058927840998
YBR289W	-2.115029463920499
YBR290W	-2.115029463920499
YBR291C	-2.115029463920499
YCL007C	-2.115029463920499
YCL008C	-4.230058927840998
YCL038C	-2.115029463920499
YCR002C	-2.115029463920499
YCR020W-B	-2.115029463920499
YCR032W	-2.115029463920499
YCR033W	-2.115029463920499
YCR044C	-4.230058927840998
YCR050C	-2.115029463920499
YCR063W	-2.115029463920499
YCR065W	-2.115029463920499
YDL006W	-4.230058927840998
YDL033C	-2.115029463920499
YDL048C	-4.230058927840998
YDL077C	-6.3450883917614975
YDL081C	-4.230058927840998
YDL090C	-2.115029463920499
YDL095W	-4.230058927840998
YDL096C	-2.115029463920499
YDL116W	-2.115029463920499
YDL117W	-2.115029463920499
YDL119C	-2.115029463920499
YDL130W	-2.115029463920499
YDL160C	-4.230058927840998
YDL185W	-4.230058927840998
YDL191W	-4.230058927840998
YDL192W	-4.230058927840998
YDL194W	-4.230058927840998
YDL226C	-2.115029463920499
YDR014W	-2.115029463920499
YDR027C	-6.3450883917614975
YDR080W	-6.3450883917614975
YDR105C	-2.115029463920499
YDR108W	-4.230058927840998
YDR126W	-4.230058927840998
YDR136C	-6.3450883917614975
YDR137W	-2.115029463920499
YDR138W	-2.115029463920499
YDR159W	-4.230058927840998
YDR161W	-2.115029463920499
YDR186C	-2.115029463920499
YDR195W	-2.115029463920499
YDR200C	-4.230058927840998
YDR202C	-2.115029463920499
YDR203W	-2.115029463920499
YDR207C	-2.115029463920499
YDR225W	-2.115029463920499
YDR264C	-2.115029463920499
YDR284C	-2.115029463920499
YDR300C	-2.115029463920499
YDR310C	-2.115029463920499
YDR320C	-2.115029463920499
YDR323C	-6.3450883917614975
YDR334W	-2.115029463920499
YDR359C	-2.115029463920499
YDR363W	-2.115029463920499
YDR372C	-4.230058927840998
YDR378C	-2.115029463920499
YDR389W	-2.115029463920499
YDR395W	-2.115029463920499
YDR414C	-2.115029463920499
YDR425W	-2.115029463920499
YDR426C	-2.115029463920499
YDR456W	-6.3450883917614975
YDR477W	-2.115029463920499
YDR484W	-6.3450883917614975
YDR485C	-4.230058927840998
YDR486C	-2.115029463920499
YDR495C	-6.3450883917614975
YDR503C	-2.115029463920499
YDR525W-A	-4.230058927840998
YDR532C	-2.115029463920499
YEL027W	-2.115029463920499
YEL031W	-4.230058927840998
YEL036C	-4.230058927840998
YEL042W	-2.115029463920499
YEL043W	-2.115029463920499
YEL044W	-4.230058927840998
YEL051W	-4.230058927840998
YEL053C	-4.230058927840998
YEL054C	-2.115029463920499
YER016W	-2.115029463920499
YER019W	-2.115029463920499
YER031C	-2.115029463920499
YER044C	-2.115029463920499
YER083C	-2.115029463920499
YER122C	-2.115029463920499
YFL025C	-2.115029463920499
YFR001W	-2.115029463920499
YFR031C-A	-2.115029463920499
YGL005C	-4.230058927840998
YGL006W	-2.115029463920499
YGL012W	-2.115029463920499
YGL019W	-4.230058927840998
YGL020C	-2.115029463920499
YGL038C	-4.230058927840998
YGL072C	-2.115029463920499
YGL076C	-2.115029463920499
YGL084C	-4.230058927840998
YGL095C	-6.3450883917614975
YGL104C	-4.230058927840998
YGL105W	-4.230058927840998
YGL124C	-4.230058927840998
YGL148W	-2.115029463920499
YGL167C	-6.3450883917614975
YGL198W	-2.115029463920499
YGL212W	-6.3450883917614975
YGL223C	-6.3450883917614975
YGL246C	-4.230058927840998
YGR020C	-2.115029463920499
YGR036C	-6.3450883917614975
YGR056W	-2.115029463920499
YGR064W	-2.115029463920499
YGR072W	-2.115029463920499
YGR085C	-2.115029463920499
YGR105W	-4.230058927840998
YGR141W	-4.230058927840998
