orf	hom | glutathione excretion | standard | SD + Ade + His + Ile + Leu + Ura + Val | Perrone GG~Dawes IW, 2005
YAL002W	2.807354922057604
YAL024C	1.0
YAL047C	2.321928094887362
YBL007C	3.169925001442312
YBL009W	2.584962500721156
YBL027W	2.0
YBL072C	1.584962500721156
YBL100C	3.0
YBR003W	3.584962500721156
YBR036C	1.0
YBR037C	3.321928094887362
YBR041W	1.0
YBR056W	1.584962500721156
YBR059C	1.584962500721156
YBR105C	1.0
YBR127C	2.584962500721156
YBR131W	3.4594316186372973
YBR162C	1.0
YBR163W	3.321928094887362
YBR173C	3.321928094887362
YBR191W	2.0
YBR220C	2.807354922057604
YBR279W	3.321928094887362
YBR289W	3.4594316186372973
YCL007C	2.807354922057604
YCL008C	4.754887502163468
YCR046C	3.0
YDL023C	2.321928094887362
YDL039C	2.584962500721156
YDL048C	1.0
YDL069C	3.321928094887362
YDL072C	1.0
YDL074C	2.321928094887362
YDL077C	2.321928094887362
YDL107W	3.0
YDL149W	1.0
YDL160C	1.584962500721156
YDL179W	1.0
YDL191W	1.0
YDL194W	1.0
YDR017C	2.807354922057604
YDR027C	3.9068905956085187
YDR079W	3.4594316186372973
YDR175C	3.169925001442312
YDR197W	3.321928094887362
YDR200C	1.584962500721156
YDR204W	3.169925001442312
YDR230W	1.584962500721156
YDR264C	2.321928094887362
YDR276C	2.584962500721156
YDR298C	3.321928094887362
YDR300C	4.169925001442312
YDR322W	3.321928094887362
YDR323C	4.807354922057604
YDR332W	3.169925001442312
YDR337W	1.0
YDR448W	1.0
YDR456W	2.584962500721156
YDR462W	3.4594316186372973
YDR475C	1.584962500721156
YDR484W	3.321928094887362
YDR486C	4.247927513443585
YDR495C	4.0
YDR497C	1.0
YDR518W	3.584962500721156
YDR529C	3.321928094887362
YDR533C	3.169925001442312
YEL007W	1.0
YEL009C	1.0
YEL012W	1.0
YEL031W	1.584962500721156
YEL036C	2.321928094887362
YEL062W	2.584962500721156
YER056C	2.807354922057604
YER116C	2.321928094887362
YER122C	2.584962500721156
YER141W	3.4594316186372973
YER151C	1.584962500721156
YER153C	3.169925001442312
YER154W	3.4594316186372973
YFL005W	1.0
YFR010W	4.169925001442312
YFR019W	3.4594316186372973
YGL005C	1.0
YGL025C	1.584962500721156
YGL107C	3.169925001442312
YGL115W	1.0
YGL124C	2.321928094887362
YGL127C	1.584962500721156
YGL167C	3.0
