orf	gene	5-fluorouracil_19.2_1	5-fluorouracil_19.2_2	5-fluorouracil_19.2_3	5-fluorouracil_19.2_4	5-fluorouracil_19.2_5	5-fluorouracil_38.5_1	5-fluorouracil_38.5_2	5-fluorouracil_4.8_1	5-fluorouracil_76.9_1	5-fluorouracil_76.9_2	5-fluorouracil_9.6_1	alverine-citrate_500_1	alverine-citrate_500_2	alverine-citrate_500_3	alverine-citrate_500_4	atorvastatin_125_1	atorvastatin_125_2	atorvastatin_62.5_1	atorvastatin_62.5_2	atorvastatin_62.5_3	cisplatin_125_1	cisplatin_125_2	cisplatin_125_3	cisplatin_31.25_1	cisplatin_31.25_2	cisplatin_62.5_1	cisplatin_62.5_2	dyclonine_250_1	dyclonine_500_1	dyclonine_500_2	dyclonine_500_3	dyclonine_500_4	fenpropimorph_1.17_1	fenpropimorph_2.34_1	fenpropimorph_2.34_2	fenpropimorph_4.69_1	fenpropimorph_4.69_2	fluconazole_130.6_1	fluconazole_130.6_2	fluconazole_16.3_1	fluconazole_32.6_1	fluconazole_32.6_2	fluconazole_65.3_1	fluconazole_65.3_2	lovastatin_154.5_1	lovastatin_154.5_2	lovastatin_154.5_3	lovastatin_77.2_1	methotrexate_125_1	methotrexate_125_2	methotrexate_125_3	methotrexate_250_1	methotrexate_250_2	methotrexate_250_3	methotrexate_250_4	methotrexate_250_5	methotrexate_250_6	methotrexate_250_7	methotrexate_250_8	methotrexate_250_9	methotrexate_500_1	miconazole_0.025_1	miconazole_0.025_2	miconazole_0.05_1	miconazole_0.05_2	miconazole_0.05_3	miconazole_0.05_4	miconazole_0.1_1	miconazole_0.1_2	miconazole_0.2_1	miconazole_0.2_2
YMR056C	AAC1	9.526545	7.951773	8.721741	8.346657	4.263601	8.825512	2.69264	7.968219	9.359383	8.982348	9.552117	7.930488	5.738841	8.091604	9.315439	9.33535	8.671209	7.980798	6.502864	6.710934	9.545901	7.991552	9.412871	9.036567	9.531897	9.539923	9.081802	4.539678	7.6212	4.7849	8.900548	9.010326	9.497156	9.266405	8.570538	7.028389	2.027671	8.139901	2.41681	8.349375	9.458116	9.2196	5.202049	3.052346	5.69257	3.659159	7.744732	8.141515	8.730089	8.400295	8.455572	9.313397	5.437939	6.072347	6.439829	6.82724	5.53728	7.714588	9.426646	8.31329	8.388606	9.312516	9.294373	7.704134	8.931694	9.090973	7.850144	8.901877	7.779176	9.336565	8.923584
YBR085W	AAC3	6.453701	10.765296	6.320682	10.383714	11.965008	11.04534	11.969012	11.90997	11.184714	11.947487	11.140432	9.544717	11.729498	11.894147	11.767476	7.315069	11.892746	11.600166	11.540077	11.582077	10.841746	11.789084	10.711111	11.515685	11.869545	11.245727	11.187913	11.162107	11.569299	11.759704	9.235749	11.735311	11.766645	11.426011	9.759369	9.469277	11.617241	11.487917	10.712024	10.897468	11.971403	10.396815	0	8.844283	11.371928	8.467288	4.967562	11.887051	8.850864	11.886375	11.82856	9.985983	11.231387	10.386865	8.077172	10.693086	11.178667	10.102391	11.963827	11.319687	11.195573	11.644741	11.920223	9.542753	11.970307	11.867074	11.882815	11.451223	11.232877	11.883097	11.97071
YNL331C	AAD14	6.524357	6.718113	7.730328	7.950801	6.449246	8.021753	3.075224	5.572534	6.573133	8.363237	6.813979	8.690867	8.79245	5.671201	8.665687	1.095662	8.361289	7.94779	1.974031	7.979486	8.770248	6.791659	7.779373	8.455497	8.475876	3.671939	3.454718	8.728286	8.791031	6.061239	8.344916	6.911765	8.531746	4.081629	6.308316	0	0	3.941934	6.020888	7.566824	7.816206	16.022052	0.536461	5.531892	8.567998	8.700388	8.206298	7.46543	3.264734	7.551927	7.260225	6.07536	6.68003	0	3.780423	7.307487	6.952956	3.683393	6.822255	5.192387	2.749625	8.802488	8.655241	8.794877	2.469489	8.71733	8.556588	8.616406	8.332019	5.491288	6.489976
YCR107W	AAD3	7.457117	8.633749	6.251683	11.965718	11.913022	11.289882	11.435796	11.533248	11.920154	11.977596	12.064996	10.573222	11.74887	12.08371	10.884695	9.198787	11.393943	11.545602	12.049954	11.183017	7.707271	12.063372	11.877921	10.485915	11.817358	11.734275	11.433331	11.691461	12.096306	12.090697	10.096544	9.988557	3.263765	11.435502	10.135273	11.976028	11.732241	2.618594	3.853867	11.798768	12.096421	11.488274	7.36021	5.766691	10.495775	10.918214	11.742801	12.093221	11.882593	11.074248	12.038416	12.092302	12.066962	11.590397	9.863509	6.627397	11.541576	10.779518	10.720281	12.051685	0	12.027601	8.473162	11.823576	11.998384	12.089701	12.018176	11.883272	12.089652	12.094551	12.062554
YDL243C	AAD4	2.168064	6.792825	6.338006	3.879814	9.186689	0.965466	8.789847	7.873645	3.939165	5.601341	9.031166	8.695478	7.619316	6.387274	8.995232	8.375432	8.776687	8.853089	9.146085	9.108494	9.191063	9.211775	8.845115	8.87504	9.19873	8.191577	8.709741	6.442012	9.150529	8.855882	8.881947	9.033634	8.672575	8.006237	8.713444	8.107653	9.157251	3.952178	8.491591	8.474148	6.499082	9.11025	1.327708	8.991389	6.020309	8.336415	0.173928	7.715919	8.212218	7.138602	7.644202	6.625681	9.207222	7.96465	9.178938	8.81127	8.910315	9.186736	3.112855	8.945088	9.201433	9.092628	8.845137	3.284954	8.0061	8.802386	8.060388	8.540803	9.041727	5.25111	6.069802
YFL056C	AAD6	8.569245	7.712814	8.997903	8.1971	9.343836	5.406501	7.655673	9.436136	7.459059	7.838313	8.931635	9.446958	9.2672	8.269347	8.487455	8.937382	8.819048	9.234172	9.446573	8.879053	9.252306	9.443536	8.994444	8.788899	7.97114	9.425687	8.338746	5.6007	8.646518	9.446714	9.126405	8.822259	7.100829	9.388939	8.968066	9.177328	9.13174	4.368644	7.274532	7.264543	8.836078	9.443955	0.920998	9.202441	6.868188	7.362457	7.940896	6.619666	9.441999	9.329313	9.41655	8.901201	9.35144	7.930209	9.124805	8.85514	9.400489	8.891141	9.369602	9.217359	9.332614	9.309951	9.400203	6.154572	7.732637	9.288101	4.163058	9.326862	1.388013	5.470333	4.825806
YNL141W	AAH1	8.071116	12.737177	7.48858	4.406918	12.828026	7.609962	12.813862	12.864647	9.819651	8.093888	12.474044	12.925185	12.847315	12.644439	12.784317	12.912381	8.928068	12.389688	12.799815	12.925657	9.256744	12.803374	12.667934	11.544626	10.130403	8.309662	10.405386	12.705126	12.923993	12.763483	12.221425	12.065121	8.95924	0	9.943366	9.959267	5.088973	9.672437	12.098789	8.323624	12.925542	5.462162	28.895112	45.493067	12.55124	11.174148	9.591076	5.303077	12.357663	12.723288	12.105029	12.866676	12.107734	12.532724	12.708151	9.359636	10.674998	12.925445	5.724994	12.366269	11.155752	12.016239	12.254533	11.210417	11.017752	12.918411	11.95893	11.172918	12.28311	12.297267	9.687925
YHR047C	AAP1'	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL074C	AAR2	9.504851	9.379741	7.904189	9.386291	8.585539	5.672493	9.410087	8.862281	7.686001	6.050293	9.263976	5.742692	9.408118	9.20122	7.732064	9.301366	9.342193	7.493006	9.347678	9.383586	9.304473	9.27521	9.505691	8.91769	9.292921	8.813455	9.504285	2.632119	9.432755	9.211911	7.582365	9.534362	9.534493	9.446265	9.459036	7.443574	9.536376	7.981927	9.534235	9.173293	9.469823	9.535049	4.148309	0.979258	9.19485	1.44692	9.190938	9.340271	2.722134	9.276623	8.960686	7.611049	4.295748	9.500643	9.389902	9.443371	5.7126	9.057019	9.512567	7.485336	9.503056	9.531119	9.197356	9.528636	9.202243	9.487839	8.689872	9.512127	9.420487	2.133577	3.376892
YKL106W	AAT1	8.553882	7.465553	9.09452	5.31876	9.02744	2.083783	8.381277	9.023621	0.723788	2.525795	8.498646	7.710633	9.129351	9.140925	5.309608	8.37964	8.260011	7.316237	8.757406	8.110181	8.168011	9.12882	8.00231	9.140777	8.497068	5.959138	9.131633	8.990148	9.11591	8.904293	6.642346	5.63584	8.149188	8.086138	7.617952	3.010453	0	4.946137	7.41662	9.081864	8.979273	8.995859	2.048957	8.614793	8.96319	9.107313	5.364876	5.888236	9.130438	5.367494	7.909241	7.886041	8.737393	9.097313	9.018358	9.09315	8.155497	9.123772	4.56374	6.127094	3.660392	8.459984	9.127945	9.064591	8.906675	8.688851	8.77917	8.99421	9.053115	3.648031	6.461353
