orf	gene	5-fluorouracil_19.2_1	5-fluorouracil_19.2_2	5-fluorouracil_19.2_3	5-fluorouracil_19.2_4	5-fluorouracil_19.2_5	5-fluorouracil_38.5_1	5-fluorouracil_38.5_2	5-fluorouracil_4.8_1	5-fluorouracil_76.9_1	5-fluorouracil_76.9_2	5-fluorouracil_9.6_1	alverine-citrate_500_1	alverine-citrate_500_2	alverine-citrate_500_3	alverine-citrate_500_4	atorvastatin_125_1	atorvastatin_125_2	atorvastatin_62.5_1	atorvastatin_62.5_2	atorvastatin_62.5_3	cisplatin_125_1	cisplatin_125_2	cisplatin_125_3	cisplatin_31.25_1	cisplatin_31.25_2	cisplatin_62.5_1	cisplatin_62.5_2	dyclonine_250_1	dyclonine_500_1	dyclonine_500_2	dyclonine_500_3	dyclonine_500_4	fenpropimorph_1.17_1	fenpropimorph_2.34_1	fenpropimorph_2.34_2	fenpropimorph_4.69_1	fenpropimorph_4.69_2	fluconazole_130.6_1	fluconazole_130.6_2	fluconazole_16.3_1	fluconazole_32.6_1	fluconazole_32.6_2	fluconazole_65.3_1	fluconazole_65.3_2	lovastatin_154.5_1	lovastatin_154.5_2	lovastatin_154.5_3	lovastatin_77.2_1	methotrexate_125_1	methotrexate_125_2	methotrexate_125_3	methotrexate_250_1	methotrexate_250_2	methotrexate_250_3	methotrexate_250_4	methotrexate_250_5	methotrexate_250_6	methotrexate_250_7	methotrexate_250_8	methotrexate_250_9	methotrexate_500_1	miconazole_0.025_1	miconazole_0.025_2	miconazole_0.05_1	miconazole_0.05_2	miconazole_0.05_3	miconazole_0.05_4	miconazole_0.1_1	miconazole_0.1_2	miconazole_0.2_1	miconazole_0.2_2
YLR027C	AAT2	10.518551	8.745411	10.138462	2.874676	10.569879	2.774992	10.353512	10.174622	7.395989	8.432949	10.524828	9.943866	10.531415	10.416784	7.600405	10.550098	9.028743	9.640217	10.579044	10.58189	10.245585	10.58858	10.574352	10.514924	10.133076	10.245273	9.892331	10.57129	10.515465	10.586578	10.037548	10.571101	0.808438	10.44071	10.527716	4.645876	4.245302	57.23318	28.73946	10.565897	10.08113	10.548252	30.912789	155.253923	8.749397	4.814225	8.274507	3.44161	8.394524	0	9.874694	9.072199	10.329816	10.290694	9.649311	10.047386	10.530311	9.174637	7.331417	9.108834	4.830192	9.482425	10.206794	8.746293	8.274916	10.138675	9.610481	8.235811	8.455747	9.352677	9.593281
YBR236C	ABD1	7.019393	5.873847	4.90962	9.70303	9.400278	9.699129	9.675331	6.043368	9.462036	9.773005	9.793802	9.78992	7.982224	3.465874	9.45819	8.774382	9.646674	4.07348	9.646174	6.115672	6.287193	8.146923	9.600577	8.491565	0	8.170972	9.764269	5.692316	9.790054	9.797872	9.65693	6.340505	8.353057	9.720063	12.618	6.500247	0.75122	16.109553	4.132484	9.668769	8.188926	6.686449	13.461586	90.722072	5.233805	5.083202	9.718632	9.113697	9.792409	9.417114	9.664782	8.712293	8.675385	8.492349	6.955757	9.431682	9.067173	6.200594	5.991155	8.024755	6.811723	9.799726	9.696881	4.576019	7.666346	9.66661	9.14597	9.24318	8.766834	8.342769	9.274809
YKL112W	ABF1	7.627312	7.958768	7.778354	5.887402	8.097006	7.307668	8.134586	7.602923	5.838722	5.448893	7.383267	7.79164	6.455992	7.279007	8.120128	3.226487	2.653637	4.994398	8.091194	8.030101	7.488307	8.033639	7.782526	8.114564	7.997289	7.669668	8.053952	8.12953	6.400734	7.634991	8.064843	7.724258	7.56935	7.637852	7.73592	2.691689	0.115313	1.444652	4.444451	8.002193	8.119538	7.984989	4.194579	5.558279	8.131451	5.708256	2.12776	6.67059	7.409835	6.819288	8.13189	2.117453	4.534322	8.06979	8.031815	8.134762	4.520608	8.130458	7.378384	8.126425	3.385175	7.966596	8.110441	7.937269	7.66595	7.605873	8.129333	6.851506	7.000356	5.269872	4.828323
YMR072W	ABF2	10.456004	10.521457	10.787963	10.158962	10.619552	10.151743	9.539014	11.137909	9.761257	10.635881	10.716424	10.037849	10.101819	9.896123	8.651683	10.802913	11.004496	10.915368	9.743305	10.830901	9.297036	9.894622	11.180098	10.47977	9.645354	10.805423	10.098476	4.288333	10.60769	11.173076	11.181426	11.213776	9.493547	10.419946	11.223128	0	0	10.986109	11.157239	10.910901	10.833114	9.184868	10.961347	8.262377	9.900641	10.504363	10.83806	5.876955	10.270267	5.06678	10.220151	10.695925	10.674777	10.368114	11.061207	11.146537	11.203436	11.224609	9.122844	10.693107	11.222599	11.087199	5.996824	10.612135	8.448286	10.537363	7.461895	10.520968	6.016739	5.830586	0.445699
YJR108W	ABM1	7.999547	12.74549	9.079322	12.25167	10.172608	10.564767	12.100004	12.67047	12.285191	12.199882	12.749466	11.692642	12.74887	11.317592	12.295819	12.658949	8.690604	12.314109	11.581549	9.482169	12.563494	12.671335	12.72511	12.641697	10.543425	12.697389	11.389562	12.311283	12.460825	12.728154	12.644649	8.993409	12.024568	10.461464	12.604413	12.631239	9.086289	19.209015	3.524438	10.925707	9.664615	12.738965	76.217622	34.372473	10.62581	10.022378	7.831081	9.657372	9.631008	9.961953	12.741669	8.41704	10.144079	12.538479	8.092676	11.296864	9.001027	8.904284	11.850612	12.134239	12.710668	12.748985	12.004887	9.622921	10.797429	12.749229	12.749653	12.737378	10.436998	7.120319	11.314213
YCR088W	ABP1	4.440564	8.607969	5.396638	8.215702	9.819259	5.605855	9.808292	9.596482	8.88581	8.431344	9.677378	8.415386	9.390243	9.711502	6.873948	7.739436	9.392103	9.69052	9.777806	9.790676	9.515354	5.839499	9.397819	6.155702	9.43904	9.819834	9.160492	8.527664	9.740596	9.732662	7.64477	9.616461	9.251728	9.280185	7.785625	9.748601	8.444811	8.568858	9.782197	9.800266	9.799253	9.193923	55.283079	4.088185	4.602829	7.613242	8.853901	2.481175	8.827726	8.168603	7.994511	8.793585	9.144117	8.82583	9.711156	9.131844	5.571061	8.624707	2.784034	9.455675	7.270086	9.351858	8.85321	5.579213	4.426827	9.380631	7.699248	9.813949	8.683647	0	6.460792
YOR239W	ABP140	5.152693	8.865226	7.117852	9.846507	9.472532	6.543392	9.337768	10.02671	2.161787	0	10.082031	9.136036	8.320963	6.398101	9.37479	5.92888	9.793002	10.101281	8.323114	8.971997	9.778758	7.330169	9.881188	9.961065	9.785505	10.067103	9.76483	9.504351	10.044193	9.007206	4.93194	9.806057	8.725628	9.280572	8.830528	5.181948	7.13939	1.513681	7.979663	9.919216	9.877979	9.828326	4.01334	9.332688	10.101061	9.360946	8.819008	10.095756	2.995192	10.077364	10.074357	7.930346	9.980818	3.072096	5.362848	10.068129	10.100286	5.540511	9.603213	10.084144	10.058175	10.096493	9.997432	7.414666	8.767798	10.061899	9.974561	9.85249	9.404378	6.377182	8.328625
YNR033W	ABZ1	8.82818	10.06461	9.577388	6.138826	8.539784	7.30792	10.106578	10.103438	9.730319	7.999456	10.111565	8.416939	6.434761	9.51311	9.919457	9.78846	9.106762	9.82498	4.045147	10.111939	9.989542	9.48545	9.889766	10.072897	10.071014	10.018882	9.41894	9.477735	4.614086	10.109849	8.131488	9.550442	9.672027	9.632133	9.356324	4.647282	10.020883	3.510097	0	9.783304	10.047232	9.845789	0	41.690403	7.615329	10.076633	9.903329	8.765199	10.094078	6.424258	9.501581	7.694103	7.423997	6.778488	8.848873	4.815002	7.266797	8.414183	3.772969	10.112798	3.689109	8.29006	9.895525	10.112121	10.109255	9.804166	9.002857	9.141281	9.928406	7.900747	9.397496
YER045C	ACA1	10.077708	8.984533	0	8.502771	10.485622	7.541202	9.008406	10.265892	10.208154	10.372652	6.924981	9.423411	10.460405	10.386856	3.109	5.211841	2.96613	7.392639	10.380501	10.470258	9.587536	8.567945	10.349094	8.483076	9.750401	5.746369	7.272746	10.498529	10.382892	10.496462	9.652887	10.312135	9.540195	8.469688	10.455862	5.381905	9.637359	102.383167	69.188193	9.938818	10.226786	9.322095	59.793856	0.26793	5.480791	5.006903	3.672347	8.975247	6.139376	10.219148	10.417371	10.493895	10.276155	10.355477	10.349711	6.977551	10.470078	9.517057	10.045192	9.906271	0	10.12215	9.297936	10.447718	7.83397	10.428533	9.998849	10.396085	10.4639	9.150936	10.156525
YGR037C	ACB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YNR016C	ACC1	7.790451	8.397874	6.770315	9.056193	7.23025	8.333966	9.048869	7.844733	5.187653	8.672609	9.081345	6.786001	7.088625	4.538864	9.110487	0	8.501451	1.716782	8.729827	7.52444	8.845234	8.927979	8.440401	7.015003	8.177199	8.918119	9.110254	7.089418	9.07125	3.642983	5.954233	8.777857	8.98676	9.089655	8.935979	3.645398	0	0	0	6.952786	7.358369	9.0995	3.15175	37.031418	9.095082	2.842018	7.065306	7.363255	2.326199	9.094603	7.640146	0	5.270431	8.546511	4.35217	8.548547	4.500769	5.605682	8.893249	8.144143	8.775087	9.031947	8.830388	7.112582	7.274209	8.390124	6.802662	7.843965	8.616532	10.569353	11.412573
YLR131C	ACE2	4.049384	10.689755	4.668309	11.676057	11.680727	10.857899	12.01453	11.291716	10.252171	11.995673	10.206782	10.55697	10.002148	10.763149	12.018132	12.040081	11.011143	8.919505	11.982213	11.998178	11.779941	12.042268	10.795944	11.505781	12.015971	11.670832	10.913784	11.773786	11.946604	11.288161	12.036468	12.033986	10.206563	10.386307	12.006546	8.724227	10.104629	11.272569	10.426394	12.040044	12.0406	12.004616	11.707615	0	10.008742	9.255763	11.903327	11.671701	11.97368	12.038902	11.657444	11.398195	11.500896	10.031502	11.548757	11.770163	11.296527	11.961423	10.381991	11.513307	11.997066	12.032567	11.642541	11.92839	11.680622	12.026008	11.532674	11.993069	10.882786	11.492271	11.859857
YLR144C	ACF2	9.269155	9.273756	9.225871	9.316703	8.289759	9.400447	1.901593	9.361304	9.38607	9.378816	9.036795	5.077029	5.759376	8.707855	9.334209	9.339915	9.38032	8.944513	6.515267	8.75359	9.136316	9.278341	7.292299	6.312264	8.041306	9.376416	9.162192	8.427192	9.286421	4.903323	8.119797	9.263179	6.820162	1.690897	7.638991	9.367889	6.463268	7.302632	8.390977	7.142618	9.380953	8.916283	6.319936	8.82076	3.304652	6.783169	7.750653	4.457273	8.397548	8.944558	8.411721	5.320722	0	9.264532	9.363401	7.85168	0	9.352268	8.65997	9.099369	9.398133	9.39237	9.398558	8.966943	9.361755	9.400821	9.371256	9.387684	9.394588	4.062875	2.637074
YJR083C	ACF4	10.058451	9.885654	8.809806	0	7.47199	0.530487	5.231374	8.45871	5.560728	5.918195	10.040362	9.477484	9.058113	10.015156	5.78682	9.986883	8.112309	8.975579	9.620534	7.990603	10.110868	10.07271	9.981418	9.902387	7.835592	10.112105	6.711867	9.377356	9.987593	9.989397	10.088116	6.144658	9.682822	8.187489	9.324191	10.055515	3.058934	19.698445	14.913658	9.855705	9.421834	9.671706	10.825449	38.620025	9.67171	8.864834	3.279997	0	3.921983	7.361484	9.299312	6.487771	9.87904	10.047702	9.880501	9.381989	10.055256	10.106382	6.521598	8.977646	3.830415	9.146262	8.012549	9.645628	2.954098	8.256637	8.541225	6.219066	8.343389	27.469271	30.180772
YBL015W	ACH1	1.556744	9.163987	6.516525	9.414252	9.165622	7.81974	9.411457	9.303607	8.332479	8.761236	9.096651	8.915423	5.892929	7.668913	9.424983	9.323336	8.575951	9.300656	9.374516	8.420497	8.32355	7.130552	8.835796	8.47529	9.33891	8.775371	8.265574	9.007894	8.962336	9.131383	9.418602	8.893185	9.062412	9.155757	8.76464	7.342827	7.416273	8.381798	9.239077	9.057052	9.138838	9.347202	9.007028	15.217367	8.736849	9.07257	8.837488	9.063877	9.356379	9.425769	9.424235	6.091913	9.126884	6.473373	6.724236	8.087821	9.425589	8.496437	8.483559	9.238824	7.923964	9.366417	9.241712	6.06715	8.277097	9.417603	8.549781	9.313024	6.954827	8.898986	9.338165
YDR511W	ACN9	8.835871	9.19873	9.331516	7.683973	10.327654	1.884627	8.803596	10.269383	2.116	3.414464	10.14107	10.387162	10.181126	9.773574	7.372596	8.257762	6.119005	10.385431	10.16248	10.067684	10.16816	10.183572	8.486917	9.297566	6.541214	9.821234	10.355714	8.052836	10.320853	10.345062	10.317678	10.16374	6.412675	6.65762	9.708578	1.191949	9.656874	12.310709	4.57595	10.001312	7.688143	10.046149	12.27286	0	7.666136	9.231391	5.864169	7.00962	9.16911	1.409655	10.27449	9.9224	8.684902	10.385224	9.463486	9.974255	8.879756	9.951938	9.450733	9.665213	8.438106	10.385931	0.929705	2.112102	7.793111	10.385721	7.408438	10.384038	10.244965	7.000189	4.647492
YLR304C	ACO1	8.296681	9.389899	9.505532	9.302042	9.404914	8.691662	9.461428	7.813644	8.887152	9.522439	9.424732	9.121752	9.52653	7.62375	9.263484	9.525587	9.41662	9.127724	8.807682	9.323566	9.217138	6.419541	4.733084	4.794631	8.185479	7.761936	7.391638	9.45588	8.90241	6.188814	8.252352	2.416506	1.914981	3.740928	8.542414	4.709066	0.395306	7.416204	5.408468	9.477686	9.090553	9.522678	0	0	9.517797	8.306301	9.329527	8.927838	8.599976	9.086589	8.51391	9.486521	9.305889	0	8.987583	9.279236	9.365898	8.331781	8.986594	4.986023	9.012978	8.952877	9.521399	9.526558	9.245306	9.524492	9.184835	9.271689	9.518891	8.116707	5.854721
YKL192C	ACP1	5.840271	6.896667	7.772806	8.242865	8.188999	8.261528	7.808937	7.50529	7.997843	8.269221	8.257758	6.87991	7.906452	8.198709	8.174841	7.413564	5.58513	7.545322	7.913635	8.16785	8.194442	8.249778	5.660244	8.040142	8.269678	8.269652	8.036756	6.517012	7.610298	8.240548	6.289339	8.257104	8.010812	8.18499	8.168424	7.976195	8.244157	8.067487	8.013075	8.251795	8.242308	6.769543	6.667274	7.166011	8.024385	8.200767	8.246731	8.179815	6.912049	8.222668	7.81654	7.32683	4.689626	8.245365	7.07447	7.764632	5.051581	6.899319	6.796171	7.647326	8.116954	6.515028	8.243535	8.047197	8.183319	6.743968	8.23656	8.08431	8.263048	7.82193	7.002247
YAL054C	ACS1	3.723553	5.450193	0	0.675475	9.282731	1.195179	8.342445	7.514304	2.754822	2.482473	9.254287	6.970845	9.070482	9.568003	6.861498	6.175651	9.2881	6.516077	9.575734	9.506709	8.515262	8.833561	8.440205	8.426315	7.741129	9.531658	9.541448	6.057671	9.570088	9.281453	8.993539	9.558422	9.523473	8.700911	4.568448	5.428677	9.518759	16.475383	16.915137	9.490241	7.893867	7.704602	34.495004	22.394905	5.871204	6.490123	4.446922	1.332667	7.964127	4.224187	9.588418	9.571537	8.872289	8.171007	6.007566	9.238785	9.318729	7.433549	0	8.243718	8.952134	8.286157	9.158961	6.180087	9.094664	8.784874	3.727181	8.758777	9.569153	3.531573	3.097968
YLR153C	ACS2	8.87384	9.025645	8.719565	7.684761	8.893195	5.753074	9.099055	9.107446	7.506755	8.721531	9.067311	5.532741	1.684672	1.445376	0.540523	6.865808	3.282255	0.664943	4.489079	7.511104	9.109665	8.943461	6.93346	8.901861	7.998978	8.299201	4.506534	8.875048	8.64291	9.077047	8.529383	9.04736	8.44485	6.04218	6.357514	14.291468	1.41244	3.127831	5.595765	8.881079	2.044548	0.808807	25.802139	27.555068	8.920921	9.049589	2.730144	5.323013	7.826678	7.982768	8.896695	3.831541	7.497215	7.324643	9.047114	9.004769	7.297219	8.84656	8.064682	5.224708	8.807291	8.811987	4.850436	8.523111	4.703458	8.908248	5.237477	6.963783	5.498736	2.237483	6.012028
YFL039C	ACT1	8.946292	8.125821	8.222059	10.463675	8.576494	7.436814	10.02802	6.125607	7.487337	9.273988	10.011314	9.446531	6.219126	6.266847	0	0	4.949915	9.602624	8.090107	7.252209	10.028336	10.525635	7.745452	10.445926	10.504241	9.926348	8.873426	9.395178	10.346648	8.428032	7.026611	9.853709	8.918209	9.268652	8.404542	0	0	10.168849	10.232129	8.782838	9.852112	8.227744	9.74828	10.550365	10.20924	10.197641	2.649658	6.377635	7.671279	10.48007	10.383867	7.821008	6.577452	10.493807	9.667139	6.489242	7.006732	9.94479	10.416417	10.232244	9.791421	10.476345	8.653235	10.343332	9.71405	10.148645	9.295318	9.566292	8.472355	9.92518	9.883214
YDR448W	ADA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR015W	ADE1	4.097007	12.725362	6.516386	12.134977	11.088988	12.725534	9.221905	12.493312	12.469889	11.729284	5.117819	12.746231	12.046226	12.485856	12.723515	11.451779	12.428821	12.69022	12.668816	12.43252	12.762552	12.679114	12.600214	11.429825	12.736754	10.387074	12.002527	10.219004	12.741456	12.399715	12.560003	12.488187	8.247198	9.162454	8.996536	6.294361	5.927525	12.017477	12.721384	12.576181	10.254779	12.7339	6.8442	12.740774	11.895151	11.595883	12.342211	11.574782	12.509727	12.168455	12.763519	11.477293	12.528977	11.855649	12.747639	12.650754	12.760953	12.714663	12.668308	12.56995	12.744511	11.308542	11.497791	12.693118	11.984261	11.751677	11.243823	12.551694	10.26681	12.315876	11.837725
YNL220W	ADE12	7.146511	9.025034	9.074953	4.133244	7.746452	3.659865	2.667359	8.913329	6.243042	8.169714	9.325406	8.686533	8.065327	9.205881	8.597931	8.398724	8.566164	9.199921	8.030195	5.83855	9.064722	9.320562	9.293303	7.90867	8.713373	7.737593	7.617179	9.306188	9.325374	8.357148	8.939881	8.16214	9.252415	8.885105	9.049251	2.590786	8.634655	2.457148	4.317435	8.961468	9.046709	8.87327	12.496754	8.855507	9.316419	9.261323	6.756873	7.033465	8.531252	8.749925	7.58137	6.342328	9.091742	9.115931	5.493008	8.82614	9.149853	8.05595	9.137034	8.685044	9.279375	9.218846	8.186321	8.937948	9.278294	9.317627	8.003012	7.139274	9.287097	2.82549	3.007711
YLR359W	ADE13	2.42054	9.540796	1.846603	8.158418	9.399217	2.272172	10.191804	9.675805	3.669205	2.898952	9.532563	10.227577	10.176325	9.951273	6.566783	9.566628	9.70872	10.23468	9.895743	9.132878	10.239087	9.85543	10.068911	9.919428	9.715901	10.23736	10.237234	8.760673	10.207458	10.235271	10.088143	8.172997	2.530883	4.67855	3.717125	6.975485	7.476045	3.138384	2.657002	8.895949	10.237569	10.149907	0	8.183699	9.079528	10.179216	9.523705	8.528726	10.055271	3.543919	9.123609	10.227774	9.04787	10.239907	10.219997	9.103395	9.242363	10.148573	5.709984	10.215671	6.340467	10.059858	9.566949	8.408526	10.028666	9.987102	10.18028	9.813866	10.124288	3.319195	3.580671
