orf	gene	cisplatin_125_1	cisplatin_125_2	cisplatin_125_3	cisplatin_250_1	cisplatin_250_2	cisplatin_500_1	cisplatin_500_2	cisplatin_66_1	cisplatin_66_2
YAR002W	NUP60	8.206406	8.651259	7.426831	8.611908	8.537204	8.551849	8.56721	8.265635	8.243789
YAR003W	YAR003W	8.362961	7.11589	8.796186	8.880062	0.600792	7.893593	1.448341	7.497297	5.93762
YAR007C	RFA1	0	0	0	0	0	0	0	0	0
YAR008W	SEN34	0	0	0	0	0	0	0	0	0
YAR014C	BUD14	7.526351	4.243391	9.503119	6.686841	8.437769	8.376704	8.664378	7.469933	7.079633
YAR015W	ADE1	7.575852	4.435966	7.597745	7.683291	6.421545	7.630396	7.168285	5.929665	5.141131
YAR018C	KIN3	7.586547	5.915287	8.456401	8.577887	8.340971	8.471332	8.60158	8.288998	8.624816
YAR019C	CDC15	0	0	0	0	0	0	0	0	0
YAR020C	PAU7	7.382117	9.461587	9.893207	6.795466	5.94099	7.6317	8.708457	7.885922	9.388488
YAR023C	YAR023C	8.231731	8.623074	9.737839	7.585659	7.901755	8.745126	9.433506	7.913793	9.537847
YAR027W	YAR027W	8.209019	10.019474	9.832327	8.582774	9.166239	8.842416	10.057063	10.051298	8.555263
YAR028W	YAR028W	9.6439	9.996028	10.044961	9.644971	9.263205	9.888795	9.540806	9.674766	9.795346
YAR029W	YAR029W	7.634433	8.176119	9.879198	7.600392	7.320206	8.206899	8.059886	8.271111	8.210612
YAR030C	YAR030C	7.423976	7.953265	10.571375	5.915822	5.677125	6.455709	7.820703	9.758639	9.323049
YAR031W	PRM9	8.131752	8.374112	8.46207	8.149805	7.966173	6.905562	6.452441	8.975227	8.345615
YAR035W	YAT1	7.620624	7.622166	10.254838	6.867498	6.824787	8.130602	7.742957	9.594885	8.822711
YAR037W		7.647699	8.893995	10.054253	9.129681	9.258515	8.307153	9.654082	8.470232	9.083288
YAR040C		7.52495	8.130783	10.683675	6.651816	6.342305	7.532662	10.905879	8.82027	9.787856
YAR042W	SWH1	8.953536	8.522594	10.424742	7.345972	7.844892	8.120588	5.004144	8.63222	10.139322
YAR043C		8.727404	9.856167	9.89516	9.387165	8.640938	10.378547	10.173628	3.780956	6.342431
YAR044W	OSH1	8.547659	6.845335	9.482038	9.0403	8.170143	6.88335	5.840687	8.888835	8.854231
YAR047C	YAR047C	7.097249	7.71699	10.716511	7.93178	7.54417	9.963262	8.866113	7.429948	8.222091
YAR050W	FLO1	8.01753	8.125808	9.465894	7.365777	7.604004	7.595726	9.0835	9.269727	7.082435
YBL001C	ECM15	7.873686	5.668384	9.962021	2.647621	0.349061	0.059721	3.905656	2.533548	6.350166
YBL002W	HTB2	9.179147	9.393108	9.411812	7.534176	8.18005	9.231138	8.380703	8.487113	9.395339
YBL003C	HTA2	4.367217	10.063621	8.63675	7.557333	9.166734	5.176793	7.05632	7.170351	9.825935
YBL004W	YBL004W	0	0	0	0	0	0	0	0	0
YBL005W	PDR3	8.169037	7.801884	10.05507	2.503221	4.864213	4.876495	7.222544	4.067912	6.914915
YBL006C	YBL006C	2.685132	6.384819	6.902428	6.622369	6.085482	5.23764	4.510385	6.587504	2.953264
YBL007C	SLA1	5.578144	7.172539	7.111891	5.215558	5.614355	7.002276	6.189388	7.417835	5.251832
YBL008W	HIR1	4.224793	7.733496	9.876877	7.887142	7.666691	4.571229	2.462914	9.47381	10.131475
YBL009W	YBL009W	5.114559	5.251953	10.331841	1.014055	3.157363	5.227053	6.438713	8.459532	8.71374
YBL010C	YBL010C	9.368873	7.645552	10.051926	3.604881	4.117867	6.73023	5.865371	7.252411	8.366286
YBL011W	SCT1	9.484036	9.417912	9.483406	8.980124	9.563966	9.384779	9.228494	8.283922	6.812098
YBL012C	YBL012C	8.475956	8.516831	8.350477	8.51038	8.51326	8.477735	8.447254	8.319755	8.349025
YBL013W	FMT1	4.284065	7.72088	8.921405	6.887223	8.36547	8.124068	7.040207	8.399355	7.52706
YBL014C	RRN6	0	0	0	0	0	0	0	0	0
YBL015W	ACH1	8.355715	7.588297	10.095202	2.937556	4.283758	4.037626	9.640034	7.432823	6.014067
YBL016W	FUS3	0	0	0	0	0	0	0	0	0
YBL017C	PEP1	9.324354	9.511712	10.000749	4.513459	8.333717	8.461085	9.900444	7.381436	9.233247
YBL018C	POP8	0	0	0	0	0	0	0	0	0
YBL019W	APN2	7.601137	8.48725	7.905947	8.102865	8.180813	8.038419	5.577736	7.895153	7.439585
YBL020W	RFT1	0	0	0	0	0	0	0	0	0
YBL021C	HAP3	7.627836	9.240734	9.199183	9.339519	9.129213	6.853355	4.741509	7.003462	7.274241
YBL022C	PIM1	8.834099	8.879515	6.157543	2.430554	8.281356	9.787847	38.216841	11.82067	8.614265
YBL023C	MCM2	0	0	0	0	0	0	0	0	0
YBL024W	NCL1	8.263648	6.466442	9.270811	9.308099	9.392705	8.738622	6.616139	9.187254	9.031728
YBL025W	RRN10	0	0	0	0	0	0	0	0	0
YBL026W	LSM2	0	0	0	0	0	0	0	0	0
YBL027W	RPL19B	8.693241	8.437743	8.123677	8.107375	7.145164	7.531541	8.691285	5.777916	8.724347
YBL028C	YBL028C	7.819534	8.047044	9.544933	6.956675	7.539756	6.54213	8.982238	8.099986	6.710738
YBL029W	YBL029W	7.17293	8.659772	10.027516	2.900836	4.969401	4.849781	8.888693	8.667658	7.672523
YBL030C	PET9	0	0	0	0	0	0	0	0	0
YBL031W	SHE1	7.268057	10.125611	10.276188	3.024414	8.461692	54.314736	105.706392	13.56796	144.404959
YBL032W	YBL032W	8.452162	8.590252	8.035384	8.334329	8.802981	6.431845	8.819432	8.914815	8.597805
YBL033C	RIB1	8.179008	8.188229	9.097264	8.244559	8.56811	8.499214	8.568795	8.99167	8.013081
YBL034C	STU1	0	0	0	0	0	0	0	0	0
YBL035C	POL12	0	0	0	0	0	0	0	0	0
YBL036C	YBL036C	6.303664	6.932399	10.686475	0.692928	0.692135	2.090926	1.35211	8.26665	7.349794
YBL037W	APL3	6.708577	8.702752	9.854814	9.343409	7.726339	9.717776	9.603814	9.430258	7.865651
YBL038W	MRPL16	6.879527	7.423304	7.133415	5.389891	6.535358	3.866015	7.077587	7.267065	3.994644
YBL039C	URA7	7.226707	1.918018	7.156901	3.407436	6.062758	4.936109	2.595925	6.610226	5.668021
YBL040C	ERD2	0	0	0	0	0	0	0	0	0
YBL041W	PRE7	0	0	0	0	0	0	0	0	0
YBL042C	FUI1	7.606612	6.919642	7.699033	6.577862	19.410695	5.117515	6.379823	5.312206	5.709728
YBL043W	ECM13	5.467883	6.901584	9.939077	4.628865	6.370761	5.24587	7.30435	8.079055	8.089842
YBL044W	YBL044W	6.799855	5.955118	9.96434	5.672737	5.012036	4.231678	8.224624	8.402253	6.94697
YBL045C	COR1	6.815266	6.201369	6.996949	6.255645	6.295921	6.039205	6.633583	5.150902	5.917832
YBL046W	YBL046W	9.558943	6.501457	8.045279	10.171014	7.63508	408.635606	393.635696	44.863199	69.102812
YBL047C	EDE1	8.896382	8.111397	6.123784	8.867131	7.520444	8.111319	11.393946	8.756423	6.56133
YBL048W	YBL048W	6.993482	9.042937	9.184631	6.534452	7.84533	5.341099	8.237367	7.744143	6.400768
YBL049W	YBL049W	3.782658	6.626952	10.660539	-2.275401	-3.863175	0.869235	3.47418	7.058334	6.326101
YBL050W	SEC17	0	0	0	0	0	0	0	0	0
YBL051C	PIN4	8.077459	7.771236	7.739094	7.593809	8.020929	-0.704796	4.474919	8.053115	6.485171
YBL052C	SAS3	9.607594	9.353945	9.568527	9.069065	9.539078	8.898654	9.558308	8.949371	9.467763
YBL053W	YBL053W	9.407492	9.459307	9.476903	7.978529	9.188513	9.558724	8.838982	9.086019	8.505145
YBL054W	YBL054W	7.964311	10.495119	10.615523	7.367255	10.074761	9.035662	10.449837	9.301821	9.562926
YBL055C	YBL055C	6.277163	8.091149	9.390248	0.345368	6.484273	5.124351	9.391446	8.16846	8.778374
