orf	hap alpha | growth (culture turbidity) | methulmercuric chloride [60 nM] | SD | Hwang G~Naganuma A, 2014
YBR026C	-8.054589565659995
YBR068C	-6.274669103605667
YCR093W	-7.037492158771809
YDL173W	-2.7148281794970073
YDL185W	-5.5118460484395255
YDR083W	4.40485366872031
YDR120C	4.150579316998263
YDR202C	7.964694592828973
YGL095C	20.169863475487237
YGR089W	5.930499779052594
YGR170W	-5.5118460484395255
YGR240C	-6.528943455327715
YHR029C	-16.954191875931645
YIL015W	7.456145889384878
YIL017C	5.930499779052594
YIL053W	8.727517647995116
YJL120W	-12.122979193212752
YJL121C	-8.308863917382043
YJL200C	7.456145889384878
YKR019C	6.947597185940784
YKR028W	8.473243296273068
YLL014W	-7.291766510493857
YLL043W	-11.614430489768656
YLR015W	-6.02039475188362
YLR023C	10.253163758327394
YLR048W	4.659128020442357
YLR111W	-5.5118460484395255
YLR131C	11.270261165215583
YLR181C	7.456145889384878
YLR261C	19.407040420321092
YLR303W	16.355748199656524
YLR382C	10.761712461771488
YMR014W	14.575827737602198
YNL064C	-6.528943455327715
YNL230C	6.184774130774642
YNL311C	9.998889406605347
YNL330C	3.642030613554168
YNR051C	4.659128020442357
YOL087C	-11.360156138046609
YOL129W	6.439048482496689
YOR039W	-8.817412620826138
YOR070C	-8.054589565659995
YPL002C	7.964694592828973
YPL038W	4.659128020442357
YPL061W	7.964694592828973
YPL065W	3.642030613554168
YPL072W	7.964694592828973
YPL123C	23.983978751317938
YPR173C	2.6249332066659843
