orf	hap a | growth (pooled culture, barseq) | paraquat [1 mM] | YPD | Helsen J~Jelier R, 2020
YAL002W	-7.619110615
YAL004W	0.190171437
YAL005C	-0.317096874
YAL007C	-0.220036376
YAL008W	0.020799496
YAL011W	-2.327784552
YAL012W	-0.5197808509999997
YAL014C	-0.501146025
YAL015C	0.11527291
YAL017W	0.147091117
YAL018C	-0.319509564
YAL019W	0.04822337
YAL020C	-0.014077669
YAL021C	-5.650388094
YAL022C	-0.435170214
YAL023C	1.191504217
YAL024C	-0.18371052100000002
YAL026C	1.403926572
YAL027W	0.052031436
YAL028W	-0.097134874
YAL029C	-0.084132082
YAL030W	-0.105591796
YAL031C	-0.212814134
YAL034C	-0.27356969
YAL036C	-0.41429687
YAL037W	-0.186005873
YAL039C	1.730683883
YAL040C	-0.602824992
YAL042C-A	-3.093300503
YAL042W	-2.838381905
YAL044C	5.061754036
YAL045C	0.429302072
YAL048C	3.114889928
YAL049C	0.371777573
YAL051W	0.734117924
YAL053W	-0.89659034
YAL054C	0.18656421950000002
YAL055W	-1.160002304
YAL056C-A	0.6321569675
YAL056W	1.841213836
YAL058W	0.220397754
YAL059W	-0.474712414
YAL060W	-0.308340919
YAL061W	0.319745645
YAL062W	0.506457012
YAL064C-A	-0.0513935355
YAL065C	-0.185777497
YAL066W	0.068643245
YAL067C	-0.018430283
YAL068C	2.035626152
YAR002C-A	-0.0006640350000000003
YAR003W	-0.426042852
YAR015W	-0.370967845
YAR020C	0.298649269
YAR023C	-0.070940071
YAR027W	0.12928651
YAR028W	0.272401989
YAR029W	2.374216682
YAR030C	0.164784385
YAR031W	-0.263045268
YAR035W	-0.382839802
YAR042W	-1.838761576
YAR047C	0.616108587
YAR050W	-0.5493613325
YBL001C	-1.565036062
YBL002W	3.2739147905
YBL003C	-0.4180366595
YBL005W	-0.5123949170000001
YBL006C	3.035591149
YBL008W	-4.293755674
YBL009W	-0.514283523
YBL010C	-1.247675172
YBL011W	-0.676214722
YBL013W	0.963378402
YBL015W	-0.0715649975
YBL016W	0.645559159
YBL017C	-1.313822157
YBL019W	-0.5714898735
YBL021C	0.6523068825
YBL022C	1.2056406945
YBL024W	-7.2151153225
YBL027W	0.765436513
YBL028C	-0.46861801449999996
YBL029W	-0.5527250374999999
YBL031W	-0.6842717315
YBL032W	-0.291440723
YBL036C	-0.2910075305
YBL037W	-0.627504866
YBL038W	1.8493378865
YBL042C	0.2513282085
YBL043W	-0.568829129
YBL044W	2.9761596690000003
YBL045C	0.631080385
YBL046W	-0.982539713
YBL048W	-1.085642255
YBL052C	0.3435360925
YBL054W	-0.835607466
YBL055C	-0.16024146
YBL056W	-1.016421791
YBL057C	-2.5724034744999997
YBL059W	-0.589730601
YBL060W	-0.7559804055
YBL061C	0.647569727
YBL062W	0.5387832365
YBL063W	-0.7626028115000001
YBL064C	-0.409698145
YBL065W	-1.889589831
YBL066C	-2.455013063
YBL067C	-0.1453933445
YBL068W	-1.060425302
YBL069W	-0.5740252775
YBL070C	-0.4724008365
YBL071C	-0.5960026005
YBL072C	-1.145783663
YBL075C	-0.482804614
YBL078C	-0.8556325465000001
YBL079W	1.2986793495
YBL080C	2.430316612
YBL081W	-1.762210525
YBL082C	0.39876060049999995
YBL083C	1.0978821245
YBL086C	-0.14470395
YBL087C	-0.421541298
YBL088C	-0.8774835205
YBL089W	1.2163691825
YBL090W	1.887785131
YBL091C	-0.984160936
YBL091C-A	0.61359069
YBL093C	0.0
YBL095W	0.566708989
YBL096C	0.595130927
YBL098W	0.110532513
YBL099W	3.983800457
YBL100C	3.1136572935
YBL102W	-0.9165800024999999
YBL103C	1.898206533
YBL104C	-0.711674375
YBL106C	-0.2304762035
YBL107C	-0.01814563
YBR001C	0.1299649335
YBR003W	0.600224431
YBR005W	-0.255182592
YBR006W	-0.406532758
YBR007C	-0.2913697645
YBR008C	-0.25712566849999996
YBR009C	0.5868491905
YBR010W	-0.279651298
YBR012C	-0.1790982455
YBR013C	-0.44669077150000003
YBR014C	0.44822046299999996
YBR016W	0.459911158
YBR018C	0.42896048600000003
YBR019C	0.290383323
YBR021W	2.5145941460000003
YBR022W	0.065813798
YBR023C	0.8521281305
YBR024W	-0.309804902
