ORF	hap ? | cell size | YPD [standard] | Jorgensen P~Tyers M, 2002	het | cell size | YPD [standard] | Jorgensen P~Tyers M, 2002
YJL136C	1.244	NaN
YJL140W	0.902	NaN
YJL180C	0.854	NaN
YJL187C	0.902	NaN
YJL188C	0.927	NaN
YJL204C	1.341	NaN
YJL209W	0.927	NaN
YJR018W	1.902	NaN
YJR054W	1.537	NaN
YJR055W	0.976	NaN
YJR059W	0.854	NaN
YJR074W	1.561	NaN
YJR075W	1.268	NaN
YJR113C	0.854	NaN
YJR144W	0.854	NaN
YJR145C	1.098	NaN
YKL009W	0.878	NaN
YKL023W	1.171	NaN
YKL053W	1.317	NaN
YKL054C	2.171	NaN
YKL101W	1.268	NaN
YKL109W	0.854	NaN
YKL138C	0.707	NaN
YKL143W	0.878	NaN
YKL165C	NaN	1.271
YKL169C	0.878	NaN
YKL170W	0.659	NaN
YKL180W	NaN	0.929
YKL204W	1.659	NaN
YKR006C	0.829	NaN
YKR020W	0.927	NaN
YKR024C	1.195	NaN
YKR055W	1.390	NaN
YKR057W	0.927	NaN
YLL002W	1.293	NaN
YLL006W	1.073	NaN
YLL044W	0.951	NaN
YLL045C	0.854	NaN
YLR009W	NaN	0.943
YLR029C	NaN	0.957
YLR032W	1.268	NaN
YLR048W	0.976	NaN
YLR068W	0.902	NaN
YLR069C	0.902	NaN
YLR074C	0.585	NaN
YLR114C	0.854	NaN
YLR131C	1.439	NaN
YLR148W	0.951	NaN
YLR181C	1.244	NaN
YLR182W	1.415	NaN
YLR184W	0.829	NaN
YLR185W	0.829	NaN
YLR200W	1.317	NaN
YLR204W	0.829	NaN
YLR212C	NaN	1.157
YLR226W	1.561	NaN
YLR233C	1.122	NaN
YLR240W	1.220	NaN
YLR244C	0.902	NaN
YLR260W	0.902	NaN
YLR264W	0.902	NaN
YLR268W	1.171	NaN
YLR288C	0.854	NaN
YLR293C	NaN	1.300
YLR295C	0.780	NaN
YLR312W-A	0.902	NaN
YLR318W	1.293	NaN
YLR320W	1.415	NaN
YLR322W	1.659	NaN
YLR337C	1.171	NaN
YLR338W	1.171	NaN
YLR357W	1.098	NaN
YLR358C	1.293	NaN
YLR382C	0.902	NaN
YLR386W	1.415	NaN
YLR399C	1.683	NaN
YLR402W	0.854	NaN
YLR403W	0.610	NaN
YLR418C	1.293	NaN
YLR422W	1.220	NaN
YLR423C	1.585	NaN
YLR452C	1.341	NaN
YML014W	1.439	NaN
YML061C	0.805	NaN
YML063W	0.780	NaN
YML088W	0.780	NaN
YML094W	1.098	NaN
YML112W	1.341	NaN
YML122C	0.854	NaN
YMR014W	1.854	NaN
YMR021C	0.854	NaN
YMR024W	0.902	NaN
YMR032W	1.780	NaN
YMR060C	0.829	NaN
YMR091C	1.634	NaN
YMR097C	0.732	NaN
YMR116C	1.293	NaN
YMR121C	1.195	NaN
YMR158W	0.976	NaN
YMR198W	1.463	NaN
YMR216C	0.829	NaN
YMR242C	0.902	NaN
YMR256C	0.927	NaN
YMR257C	0.902	NaN
YMR269W	0.927	NaN
YMR275C	1.220	NaN
YMR282C	0.902	NaN
YMR284W	1.244	NaN
YNL005C	0.707	NaN
YNL055C	0.902	NaN
YNL059C	1.659	NaN
YNL061W	NaN	0.929
YNL064C	1.439	NaN
YNL073W	0.780	NaN
YNL126W	NaN	1.200
YNL138W	1.732	NaN
YNL139C	1.659	NaN
YNL148C	1.439	NaN
YNL171C	1.415	NaN
YNL197C	1.098	NaN
YNL213C	0.878	NaN
YNL226W	0.902	NaN
YNL227C	0.854	NaN
YNL228W	0.878	NaN
YNL229C	1.293	NaN
YNL238W	1.366	NaN
YNL243W	1.805	NaN
YNL248C	0.878	NaN
YNL250W	1.268	NaN
YNL252C	0.854	NaN
YNL255C	1.195	NaN
YNL284C	0.854	NaN
YNL298W	1.220	NaN
YNL302C	0.951	NaN
YNL315C	0.854	NaN
