orf	hap ? | cell size | YPD [standard] | Jorgensen P~Tyers M, 2002	het | cell size | YPD [standard] | Jorgensen P~Tyers M, 2002
YJL187C	-0.8361362963568367	
YJL188C	-0.6099682817685116	
YJL204C	3.2348879662330114	
YJL209W	-0.6099682817685116	
YJR018W	8.436752301764482	
YJR054W	5.04423208293961	
YJR055W	-0.15763225259186253	
YJR059W	-1.288472325533487	
YJR074W	5.270400097527935	
YJR075W	2.556383922468036	
YJR113C	-1.288472325533487	
YJR144W	-1.288472325533487	
YJR145C	0.9732078203497628	
YKL009W	-1.0623043109451618	
YKL023W	1.651711864114736	
YKL053W	3.0087199516446863	
YKL054C	10.924600462236057	
YKL101W	2.556383922468036	
YKL109W	-1.288472325533487	
YKL138C	-2.6454804130634364	
YKL143W	-1.0623043109451618	
YKL169C	-1.0623043109451618	
YKL170W	-3.0978164422400853	
YKL204W	6.175072155881233	
YKR006C	-1.5146403401218118	
YKR020W	-0.6099682817685116	
YKR024C	1.877879878703061	
YKR055W	3.6872239954096595	
YKR057W	-0.6099682817685116	
YLL002W	2.782551937056361	
YLL006W	0.7470398057614378	
YLL044W	-0.3838002671801876	
YLL045C	-1.288472325533487	
YLR032W	2.556383922468036	
YLR048W	-0.15763225259186253	
YLR068W	-0.8361362963568367	
YLR069C	-0.8361362963568367	
YLR074C	-3.7763204860050603	
YLR114C	-1.288472325533487	
YLR131C	4.139560024586309	
YLR148W	-0.3838002671801876	
YLR181C	2.3302159078797113	
YLR182W	3.9133920099979846	
YLR184W	-1.5146403401218118	
YLR185W	-1.5146403401218118	
YLR200W	3.0087199516446863	
YLR204W	-1.5146403401218118	
YLR226W	5.270400097527935	
YLR233C	1.1993758349380879	
YLR240W	2.104047893291386	
YLR244C	-0.8361362963568367	
YLR260W	-0.8361362963568367	
YLR264W	-0.8361362963568367	
YLR268W	1.651711864114736	
YLR288C	-1.288472325533487	
YLR295C	-1.966976369298461	
YLR312W-A	-0.8361362963568367	
YLR318W	2.782551937056361	
YLR320W	3.9133920099979846	
YLR322W	6.175072155881233	
YLR337C	1.651711864114736	
YLR338W	1.651711864114736	
YLR357W	0.9732078203497628	
YLR358C	2.782551937056361	
YLR382C	-0.8361362963568367	
YLR386W	3.9133920099979846	
YLR399C	6.401240170469558	
YLR402W	-1.288472325533487	
YLR403W	-3.5501524714167356	
YLR418C	2.782551937056361	
YLR422W	2.104047893291386	
YLR423C	5.49656811211626	
YLR452C	3.2348879662330114	
YML014W	4.139560024586309	
YML061C	-1.7408083547101358	
YML063W	-1.966976369298461	
YML088W	-1.966976369298461	
YML094W	0.9732078203497628	
YML112W	3.2348879662330114	
YML122C	-1.288472325533487	
YMR014W	7.984416272587834	
YMR021C	-1.288472325533487	
YMR024W	-0.8361362963568367	
YMR032W	7.305912228822859	
YMR060C	-1.5146403401218118	
YMR091C	5.948904141292908	
YMR097C	-2.4193123984751113	
YMR116C	2.782551937056361	
YMR121C	1.877879878703061	
YMR158W	-0.15763225259186253	
YMR198W	4.365728039174635	
YMR216C	-1.5146403401218118	
YMR242C	-0.8361362963568367	
YMR256C	-0.6099682817685116	
YMR257C	-0.8361362963568367	
YMR269W	-0.6099682817685116	
YMR275C	2.104047893291386	
YMR282C	-0.8361362963568367	
YMR284W	2.3302159078797113	
YNL005C	-2.6454804130634364	
YNL055C	-0.8361362963568367	
YNL059C	6.175072155881233	
YNL064C	4.139560024586309	
YNL073W	-1.966976369298461	
YNL138W	6.853576199646208	
YNL139C	6.175072155881233	
YNL148C	4.139560024586309	
YNL171C	3.9133920099979846	
YNL197C	0.9732078203497628	
YNL213C	-1.0623043109451618	
YNL226W	-0.8361362963568367	
YNL227C	-1.288472325533487	
YNL228W	-1.0623043109451618	
YNL229C	2.782551937056361	
YNL238W	3.4610559808213366	
YNL243W	7.532080243411183	
YNL248C	-1.0623043109451618	
YNL250W	2.556383922468036	
YNL252C	-1.288472325533487	
YNL255C	1.9909638859972236	
YNL284C	-1.288472325533487	
YNL298W	2.104047893291386	
YNL302C	-0.3838002671801876	
YNL315C	-0.9492203036509992	
YNL324W	1.877879878703061	
YNL325C	1.877879878703061	
YNR023W	0.5208717911731127	
YNR052C	3.4610559808213366	
YOL004W	2.104047893291386	
YOL009C	-1.0623043109451618	
YOL023W	-1.288472325533487	
YOL033W	-1.7408083547101358	
YOL051W	2.104047893291386	
YOL076W	3.0087199516446863	
YOL081W	2.104047893291386	
YOL086C	3.4610559808213366	
YOL115W	7.984416272587834	
YOR014W	3.2348879662330114	
YOR026W	2.782551937056361	
YOR033C	-0.3838002671801876	
YOR035C	1.1993758349380879	
YOR065W	-2.87164842765176	
YOR073W	2.3302159078797113	
YOR078W	-0.6099682817685116	
YOR080W	7.305912228822859	
YOR083W	-1.966976369298461	
YOR141C	4.139560024586309	
YOR150W	-1.5146403401218118	
YOR187W	-1.288472325533487	
YOR198C	4.818064068351285	
YOR200W	-1.288472325533487	
YOR241W	7.532080243411183	
YOR258W	6.853576199646208	
YOR293W	0.06853576199646255	
YOR295W	-1.966976369298461	
YOR309C	-1.1753883182393243	
YOR330C	-0.3838002671801876	
YOR360C	0.29470377658478764	
YOR369C	5.722736126704585	
YPL005W	-0.8361362963568367	
YPL029W	-1.5146403401218118	
YPL031C	-0.15763225259186253	
YPL040C	-1.7408083547101358	
YPL042C	2.3302159078797113	
YPL050C	1.1993758349380879	
YPL055C	3.2348879662330114	
YPL078C	-1.288472325533487	
YPL079W	-1.0623043109451618	
YPL080C	-0.8361362963568367	
YPL104W	-1.288472325533487	
YPL129W	3.4610559808213366	
YPL148C	-0.8361362963568367	
YPL161C	2.782551937056361	
YPL172C	-1.0623043109451618	
YPL180W	3.0087199516446863	
YPL193W	-1.5146403401218118	
YPL254W	2.782551937056361	
YPL268W	2.104047893291386	
YPR043W	1.877879878703061	
YPR044C	1.425543849526411	
YPR045C	3.2348879662330114	
YPR047W	-0.6099682817685116	
YPR067W	-0.15763225259186253	
YPR087W	6.401240170469558	
YPR099C	-1.0623043109451618	
YPR100W	0.06853576199646255	
YPR119W	4.818064068351285	
YPR135W	6.853576199646208	
YPR139C	5.04423208293961	
YPR141C	3.2348879662330114	
YPR159W	5.722736126704585	
YPR163C	7.758248257999509	
YAL041W		-7.472271507199859
YBL105C		10.979664255477342
YBR091C		-5.794822801501931
YBR154C		-2.4399253901060756
YBR190W		-4.117374095804004
YBR196C		11.818388608326302
YBR202W		10.979664255477342
YCR035C		7.624766844081486
YCR052W		9.30221554977942
YDL007W		27.75415131245662
YDL014W		-4.117374095804004
YDR060W		-4.117374095804004
YDR064W		-4.117374095804004
YDR081C		9.30221554977942
YDR404C		9.30221554977942
YDR526C		13.495837314024236
YDR531W		-4.117374095804004
YER125W		8.463491196930446
YFL039C		9.30221554977942
YFR004W		7.624766844081486
YFR052W		8.463491196930446
YGL030W		-3.2786497429550425
YGL047W		-3.2786497429550425
YGL097W		10.14093990262838
YGR115C		12.657112961175264
YGR265W		10.979664255477342
YHR143W-A		9.30221554977942
YIL004C		10.14093990262838
YJL086C		10.979664255477342
YJL091C		7.624766844081486
YKL165C		16.012010372571115
YKL180W		-4.117374095804004
YLR009W		-3.2786497429550425
YLR029C		-2.4399253901060756
YLR212C		9.30221554977942
YLR293C		17.689459078269053
YNL061W		-4.117374095804004
YNL126W		11.818388608326302
YOL040C		-5.794822801501931
YOL120C		-6.633547154350898
YOL144W		7.624766844081486
YOR117W		10.979664255477342
YOR206W		-2.4399253901060756
YOR259C		7.624766844081486
YOR310C		-3.2786497429550425
YOR341W		-4.956098448652971
YPL093W		-4.117374095804004
YPL131W		-4.117374095804004
YPL142C		-2.4399253901060756
YPL169C		-4.117374095804004
YPL235W		-2.4399253901060756
YPR016C		-3.2786497429550425
YPR108W		7.624766844081486
