orf	hom | growth (culture turbidity) | freeze-thaw | YP4D, YPD | Ando A~Shima J, 2007
YAL002W	-0.20106398998349598
YAL004W	-0.18075923128805726
YAL005C	
YAL007C	-0.21647295763874116
YAL008W	-0.19151554271981233
YAL009W	-0.21623471622247867
YAL010C	
YAL011W	-0.43908882256790305
YAL012W	0.04808396387732851
YAL013W	-0.23498670925867693
YAL014C	-0.1701084372653821
YAL015C	-0.0628753413732314
YAL016W	0.9675889027409547
YAL017W	-0.17910592827733296
YAL018C	-0.030624043284851344
YAL019W	-0.2395413726801312
YAL020C	-0.44577574268464787
YAL021C	0.13079553425813126
YAL022C	-0.30057669372041956
YAL023C	-2.1359331957629992
YAL024C	
YAL026C	-0.19785249697959462
YAL027W	-0.09757273885124326
YAL028W	
YAL029C	
YAL030W	-0.2099440939109269
YAL031C	-0.18657735697015165
YAL034C	-0.17732260595186408
YAL035W	-3.423757944611137
YAL036C	-0.15027761607958431
YAL037W	-0.17512328172566327
YAL039C	-3.7339996793166828
YAL040C	-0.36128164180109806
YAL042C-A	-0.1952603265451494
YAL042W	-0.23458935436278028
YAL044C	-0.4588280870800849
YAL045C	-0.9949024949810936
YAL046C	-0.5456953888948494
YAL047C	0.16871446933499284
YAL048C	
YAL049C	-0.11631580282637174
YAL051W	
YAL053W	-0.23519987048041116
YAL054C	0.053914131374462236
YAL055W	-0.22115957260895816
YAL056C-A	0.0849129774879687
YAL056W	-0.13239551707834651
YAL058W	-0.2933621058812357
YAL059W	
YAL060W	-0.01694626953919073
YAL061W	
YAL062W	
YAL064C-A	0.2240334405116203
YAL065C	-0.19138177809806167
YAL066W	-0.015076297122098124
YAL067C	-0.16068564724834605
YAL068C	-0.03382344770004426
YAR002C-A	-0.014188530885536147
YAR002W	-0.41262523686750247
YAR003W	-1.0321763738295218
YAR014C	-0.35303637425031226
YAR015W	-0.034185435961241954
YAR018C	-0.26852322859055133
YAR020C	-0.14040589278551457
YAR023C	
YAR027W	-0.2536742859632566
YAR028W	-0.4115136912846054
YAR029W	-0.28756102269772454
YAR030C	-0.20815110421086028
YAR031W	-0.18091609866325573
YAR035W	-0.11545210069875375
