orf	hom | growth (culture turbidity) | freeze-thaw | YP4D, YPD | Ando A~Shima J, 2007
YAL002W	-0.028181367363194987
YAL004W	-0.02554393480689332
YAL005C	
YAL007C	-0.03018287418051424
YAL008W	-0.026941097234743472
YAL009W	-0.03015192844621939
YAL010C	
YAL011W	-0.059098969097974186
YAL012W	0.004181042587340311
YAL013W	-0.03258766864244844
YAL014C	-0.02416047828188783
YAL015C	-0.010231720867867944
YAL016W	0.12361768784941307
YAL017W	-0.025329183415294887
YAL018C	-0.006042524392443127
YAL019W	-0.03317928451786578
YAL020C	-0.05996754877832533
YAL021C	0.014924641749352041
YAL022C	-0.041107304998707184
YAL023C	-0.279506050017748
YAL024C	
YAL026C	-0.027764219032113013
YAL027W	-0.01473864690920057
YAL028W	
YAL029C	
YAL030W	-0.029334824813876725
YAL031C	-0.026299664747877927
YAL034C	-0.02509754351106752
YAL035W	-0.4467846161100454
YAL036C	-0.021584606576238397
YAL037W	-0.02481186814781644
YAL039C	-0.48708264002203217
YAL040C	-0.048992412563789944
YAL042C-A	-0.027427515956847004
YAL042W	-0.0325360552864582
YAL044C	-0.06166294829333263
YAL045C	-0.13129490586571546
YAL046C	-0.07294634512265863
YAL047C	0.019850020837677285
YAL048C	
YAL049C	-0.017173227288821313
YAL051W	
YAL053W	-0.03261535665166715
YAL054C	0.004938336667820398
YAL055W	-0.030791629550952493
YAL056C-A	0.008964849229425642
YAL056W	-0.019261858949029764
YAL058W	-0.04017018532480354
YAL059W	
YAL060W	-0.0042658863975952865
YAL061W	
YAL062W	
YAL064C-A	0.027035531276426106
YAL065C	-0.026923722235435266
YAL066W	-0.004022991310477897
YAL067C	-0.022936530066846594
YAL068C	-0.006458102508488439
YAR002C-A	-0.003907677279426647
YAR002W	-0.055661552109689816
YAR003W	-0.13613649709312425
YAR014C	-0.04792141549359352
YAR015W	-0.00650512200965081
YAR018C	-0.036943805508571126
YAR020C	-0.02030234536874964
YAR023C	
YAR027W	-0.03501504165083169
YAR028W	-0.0555171708564024
YAR029W	-0.039416669073785826
YAR030C	-0.02910192919177157
YAR031W	-0.025564310676834734
YAR035W	-0.01706103900111522
YAR042W	
YAR047C	
YAR050W	-0.000737433542545185
YBL001C	-0.002927624521048333
YBL002W	0.011682893202886735
YBL003C	-0.004232084394396596
YBL005W	0.007174026331535632
YBL006C	0.0441996683467909
YBL007C	
YBL008W	0.009386711642511703
YBL009W	-0.00383487116381076
YBL010C	-0.012476452663616522
YBL011W	0.013778549454615874
YBL012C	0.03680954601347386
YBL013W	0.025274613226573983
YBL015W	0.024923482160235322
YBL017C	-0.006523055010652756
YBL019W	-0.011019302758925487
YBL021C	-0.0065296738187383685
YBL022C	-0.031002133638576623
YBL024W	0.03605187164342327
YBL027W	0.48095914289678254
YBL028C	0.01955106381834848
YBL029W	-0.006860771689030654
YBL031W	-0.02984122203852957
YBL032W	-0.021810798657611596
YBL033C	
YBL036C	-0.016452434846580877
YBL037W	0.04158081326222218
YBL038W	-0.24062309688735262
YBL039C	0.10861141107070882
YBL042C	0.14576396668069624
YBL043W	-0.011766029603776262
YBL044W	0.00020883775508240277
YBL045C	
YBL046W	-0.1241567401316166
YBL047C	0.017086301987870645
YBL048W	0.06514923487047519
YBL049W	0.009664029921446993
YBL051C	0.006650717900921865
YBL052C	-0.003593782574781046
YBL053W	-0.012658722605144557
YBL054W	-0.006930642431268064
YBL055C	-0.0031433732778112233
YBL056W	-0.018540916910694705
YBL057C	-0.007659164120143114
