ORF	hom | growth (culture turbidity) | freeze-thaw | YP4D, YPD | Ando A~Shima J, 2007
YBR181C	0.116
YBR182C	0.011
YBR183W	-0.003
YBR184W	0.017
YBR185C	-0.007
YBR186W	0.012
YBR187W	0.004
YBR188C	0.038
YBR189W	-0.096
YBR191W	0.010
YBR194W	-0.676
YBR195C	0.008
YBR197C	-0.021
YBR199W	0.007
YBR200W	-0.176
YBR201W	-0.013
YBR203W	0.002
YBR204C	0.001
YBR205W	0.011
YBR206W	0.001
YBR207W	0.017
YBR208C	0.023
YBR210W	-0.010
YBR212W	0.014
YBR213W	-0.009
YBR214W	-0.027
YBR215W	-0.012
YBR216C	-0.011
YBR217W	0.005
YBR218C	0.008
YBR219C	0.013
YBR220C	0.007
YBR221C	-0.053
YBR222C	-0.011
YBR223C	0.012
YBR224W	0.033
YBR225W	0.031
YBR226C	0.007
YBR227C	-0.005
YBR228W	0.004
YBR229C	0.019
YBR230C	0.004
YBR231C	0.017
YBR232C	NaN
YBR233W	-0.010
YBR235W	-0.007
YBR238C	0.024
YBR239C	-0.009
YBR240C	-0.009
YBR241C	0.004
YBR242W	0.019
YBR244W	-0.004
YBR245C	-0.038
YBR246W	-0.014
YBR248C	0.004
YBR249C	0.042
YBR250W	-0.003
YBR251W	-0.017
YBR255W	0.005
YBR258C	-0.007
YBR259W	-0.001
YBR260C	0.010
YBR261C	0.008
YBR262C	0.003
YBR263W	-0.012
YBR264C	-0.005
YBR266C	0.234
YBR267W	0.156
YBR268W	NaN
YBR269C	0.021
YBR270C	0.017
YBR271W	0.027
YBR272C	0.010
YBR273C	0.040
YBR274W	0.025
YBR275C	0.009
YBR276C	0.012
YBR277C	0.025
YBR278W	0.042
YBR279W	NaN
YBR280C	0.005
YBR281C	0.029
YBR282W	NaN
YBR283C	-0.366
YBR284W	0.041
YBR285W	-0.010
YBR286W	0.031
YBR287W	0.001
YBR288C	0.010
YBR289W	-0.622
YBR290W	0.025
YBR291C	0.021
YBR292C	0.030
YBR293W	0.019
YBR294W	-0.010
YBR295W	0.023
YBR296C	0.019
YBR297W	0.023
YBR298C	0.037
YBR299W	-0.013
YBR300C	0.019
YBR301W	-0.007
YCL001W	-0.004
YCL001W-A	0.015
YCL002C	-0.003
YCL005W	-0.017
YCL006C	NaN
YCL007C	-0.977
YCL008C	0.011
YCL009C	0.012
YCL010C	-0.015
YCL011C	0.016
YCL012W	-0.010
YCL013W	0.015
YCL014W	0.005
YCL016C	0.309
YCL022C	0.002
YCL023C	-0.010
YCL024W	0.008
YCL025C	-0.034
YCL026C	-0.022
YCL026C-A	0.007
YCL027W	-0.005
YCL028W	0.003
YCL029C	0.020
YCL030C	-0.014
YCL032W	-0.010
YCL033C	-0.010
YCL034W	0.006
YCL035C	-0.005
YCL036W	-0.002
YCL037C	0.006
YCL038C	-0.011
YCL039W	0.001
YCL040W	-0.004
YCL042W	-0.011
YCL044C	-0.007
YCL045C	0.003
YCL046W	NaN
YCL047C	0.005
YCL048W	0.002
YCL049C	-0.010
YCL050C	-0.038
YCL051W	-0.008
YCL055W	-0.012
YCL056C	0.013
YCL057W	0.009
YCL058C	-0.037
YCL060C	-0.001
YCL061C	-0.002
YCL062W	0.019
YCL063W	-0.004
YCL064C	0.010
YCL069W	0.013
YCL074W	-0.000
YCL075W	0.009
YCL076W	0.017
YCR001W	-0.011
YCR002C	0.045
YCR003W	-0.934
YCR004C	0.016
YCR005C	0.008
YCR006C	-0.003
YCR007C	-0.001
YCR008W	0.019
YCR009C	0.106
YCR010C	0.002
YCR011C	-0.003
YCR014C	0.002
YCR015C	-0.015
YCR016W	-0.001
YCR017C	0.000
YCR019W	0.008
YCR020C	0.004
YCR020C-A	0.031
YCR020W-B	0.180
YCR021C	0.004
YCR022C	0.011
YCR023C	0.015
YCR024C	NaN
YCR024C-A	0.022
YCR025C	0.011
YCR026C	0.014
YCR027C	0.018
YCR028C	-0.067
YCR028C-A	NaN
YCR030C	0.002
YCR031C	0.038
YCR032W	-0.004
YCR033W	0.020
YCR034W	-0.013
YCR036W	0.008
YCR037C	-0.023
YCR043C	0.023
YCR044C	-0.079
YCR045C	0.046
YCR046C	NaN
YCR047C	NaN
YCR048W	0.000
YCR049C	0.013
YCR050C	0.014
YCR051W	0.022
YCR053W	-0.007
YCR059C	0.023
YCR060W	-0.009
YCR061W	0.032
YCR062W	0.001
YCR063W	0.125
YCR065W	0.002
YCR066W	0.007
YCR067C	0.001
YCR068W	0.004
YCR069W	0.005
YCR071C	NaN
YCR073C	0.019
YCR073W-A	0.010
YCR075C	0.008
YCR076C	0.016
YCR077C	-0.082
YCR079W	-0.001
YCR081W	-0.197
YCR082W	0.011
YCR083W	-0.002
YCR084C	0.001
YCR085W	0.009
YCR086W	0.010
YCR087C-A	0.006
YCR087W	0.008
YCR088W	-0.005
YCR089W	-0.013
YCR090C	-0.005
YCR091W	0.001
YCR092C	-0.004
YCR094W	-0.015
YCR095C	-0.006
YCR098C	-0.005
YCR099C	-0.006
YCR100C	-0.006
YCR101C	-0.006
YCR102C	-0.004
YCR102W-A	0.018
YCR105W	-0.003
YCR106W	-0.006
YCR107W	NaN
YDL001W	0.009
YDL002C	0.037
YDL005C	-0.436
YDL006W	0.050
YDL009C	0.011
YDL010W	0.008
YDL011C	0.001
YDL012C	-0.001
YDL013W	-0.210
YDL018C	0.014
YDL019C	-0.014
YDL020C	0.066
YDL021W	-0.004
YDL022W	0.000
YDL023C	-0.040
YDL024C	0.000
YDL025C	-0.007
YDL026W	0.025
YDL027C	0.006
YDL032W	NaN
YDL033C	0.027
YDL034W	0.015
YDL035C	0.047
YDL036C	-0.004
YDL037C	-0.001
YDL038C	0.001
YDL039C	-0.008
YDL040C	-0.009
YDL041W	0.133
YDL042C	0.003
YDL044C	NaN
YDL045W-A	NaN
YDL046W	-0.017
YDL047W	-0.259
YDL048C	0.008
YDL049C	0.017
YDL050C	0.007
YDL051W	-0.015
YDL052C	0.082
YDL053C	-0.006
YDL054C	0.051
YDL056W	NaN
YDL057W	-0.017
YDL059C	0.009
YDL061C	-0.585
YDL062W	0.018
YDL063C	-0.044
YDL065C	-0.012
YDL066W	-0.018
YDL067C	NaN
YDL068W	NaN
YDL069C	NaN
YDL070W	-0.010
YDL071C	-0.011
YDL072C	-0.004
YDL073W	0.014
YDL074C	-0.627
YDL075W	NaN
YDL076C	-0.010
YDL077C	0.003
YDL078C	-0.011
YDL079C	-0.018
YDL080C	-0.022
YDL081C	0.072
YDL082W	0.077
YDL083C	0.008
YDL085W	-0.001
YDL086W	-0.001
YDL088C	0.003
YDL089W	-0.009
YDL090C	-0.353
YDL091C	-0.015
YDL093W	-0.017
YDL094C	-0.022
YDL095W	-0.013
YDL096C	NaN
YDL099W	-0.002
YDL100C	NaN
YDL101C	NaN
YDL104C	-0.014
YDL106C	-0.623
YDL107W	NaN
YDL109C	-0.003
YDL110C	-0.008
YDL112W	-0.002
YDL113C	NaN
YDL114W	0.007
YDL115C	0.107
YDL116W	NaN
YDL117W	0.186
YDL118W	-0.056
YDL119C	-0.033
YDL121C	-0.008
YDL122W	0.001
YDL123W	-0.008
YDL124W	0.004
YDL125C	NaN
YDL127W	0.025
YDL128W	-0.003
YDL129W	0.026
YDL130W	0.013
YDL130W-A	-0.004
YDL131W	0.002
YDL133C-A	0.018
YDL133W	NaN
YDL134C	NaN
YDL134C-A	0.006
YDL135C	0.002
YDL136W	0.026
YDL137W	0.035
YDL138W	0.016
YDL142C	0.007
YDL144C	-0.007
YDL146W	0.024
YDL149W	0.032
YDL151C	-0.381
YDL154W	0.015
YDL155W	-0.003
YDL156W	-0.022
YDL157C	-0.019
YDL160C	NaN
YDL161W	0.020
YDL162C	0.038
YDL167C	0.018
YDL168W	-0.009
YDL169C	-0.012
YDL170W	-0.002
YDL171C	-0.009
YDL172C	NaN
YDL173W	0.017
YDL174C	0.009
YDL175C	0.021
YDL176W	0.009
YDL177C	0.008
YDL178W	0.015
YDL179W	-0.007
