ORF	hom | growth (pooled culture) | compound 1 [12 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | voriconazole [0.05 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | voriconazole [0.1 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | voriconazole [0.25 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | voriconazole [0.5 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | voriconazole [0.53 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 2 [0.1 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 2 [0.25 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 2 [0.5 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 2 [0.75 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 2 [1 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 2 [2 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 4 [200 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 3 [0.1 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 3 [0.25 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 3 [0.5 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 1 [12 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 1 [22.02 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | voriconazole [0.05 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | voriconazole [0.1 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | voriconazole [0.25 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | voriconazole [0.5 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | voriconazole [0.53 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 2 [0.1 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 2 [0.25 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 2 [0.5 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 2 [0.75 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 2 [1 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 2 [2 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 4 [200 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 3 [0.1 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 3 [0.25 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 3 [0.5 uM] | None | Hoepfner D~Parker CN, 2012
YAL001C	-0.059	0.342	1.878	-3.302	-3.799	-0.031	-0.142	-0.036	-1.214	0.218	-2.707	-1.637	-1.091	-3.054	-3.999	-2.170	0.870	-0.399	1.056	-0.040	-0.128	-0.066	-0.033	0.043	0.830	-0.055	0.060	-0.850	-0.016	-1.517	0.280	-1.839	-0.042
YAL002W	3.087	-0.064	-0.103	-3.039	-4.896	-0.623	-0.097	2.193	1.314	0.049	-0.258	0.890	0.213	-0.081	0.755	-0.005	-1.410	-3.177	-0.079	-0.029	-2.766	-0.090	-1.466	-0.206	0.250	-0.343	-0.387	-3.132	-2.304	-1.496	0.910	-0.783	-2.054
YAL003W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.276	1.014	-0.716	-0.035	-0.101	0.025	-0.084	-0.012	1.826	-0.662	0.045	0.004	0.523	-1.383	0.743	-0.643	0.097
YAL004W	-0.053	0.140	0.546	-0.890	-0.199	-0.026	-0.160	-0.039	-1.011	0.516	-1.150	-1.204	-0.005	-0.617	-0.034	-1.396	-0.445	-1.013	1.015	-0.066	-0.772	-0.001	-1.094	0.021	0.034	-5.277	-0.123	-3.538	-3.982	-0.651	-0.022	-3.413	-4.881
YAL005C	-0.007	0.204	1.499	0.111	0.121	0.035	0.020	0.144	0.132	1.057	0.089	-0.210	-0.125	-0.001	-0.005	0.005	-1.464	5.857	5.835	-0.577	0.571	4.100	0.869	1.963	2.969	3.820	0.989	5.875	6.216	0.462	1.396	4.908	6.444
YAL007C	0.016	0.462	1.332	-0.675	-0.763	-0.143	-0.049	0.058	-0.013	1.088	-0.124	-0.997	-0.615	-0.183	-0.233	-0.349	0.361	-0.001	-3.371	-0.027	-0.596	-0.002	0.039	0.072	-0.176	-2.187	-0.026	-1.848	-1.098	-0.432	0.140	-1.711	-0.072
YAL008W	-2.111	0.110	0.298	-0.343	-1.176	-0.410	-0.001	0.216	-0.910	0.072	-2.275	-1.831	0.281	-1.486	-1.509	-2.132	-0.063	-0.968	1.342	0.019	0.055	0.555	0.105	0.753	0.296	-1.555	0.002	-2.111	-0.126	-3.308	0.284	-1.199	-0.179
YAL009W	0.638	0.011	-0.158	-1.278	-2.807	-3.084	-0.177	-1.302	-0.613	-0.183	-2.301	-4.072	0.017	-0.479	-0.639	-3.865	0.133	-0.033	1.276	-0.005	-1.226	-1.463	-1.264	0.062	0.410	0.045	-0.052	-0.082	-0.445	-0.572	0.620	-1.076	-0.394
YAL010C	0.260	-0.143	0.008	2.965	0.524	0.166	0.437	0.120	0.400	0.998	0.991	1.670	0.002	-0.039	0.681	3.317	0.415	0.256	-1.634	0.064	-0.375	-0.234	0.111	0.118	1.313	-0.020	-0.045	-0.053	0.334	-0.569	0.179	-0.728	-0.269
YAL011W	3.407	1.712	0.040	-2.002	-3.350	-0.146	-0.025	1.983	0.392	0.182	-2.390	-3.184	0.919	0.027	0.034	-3.711	0.224	1.529	1.355	-0.361	1.432	0.101	-3.405	2.783	0.286	-0.820	-0.427	-0.189	-0.598	-2.695	4.134	-0.442	-0.039
