orf	hap a | protein insertion into the MOM (URA3-MIM1-SL17) | standard | None | Papic D~Rapaport D, 2013
YDR511W	-21.663425594822332
YHL041W	-21.853455643899714
YIL030C	-4.1806610797025545
YIR004W	-28.694537410685715
YKR087C	-9.691532502946831
YLR090W	-29.07459750884049
YNL121C	-22.423545791131883
YNL280C	-17.482764515119772
YNR065C	-18.432914760506716
YPL215W	-26.034116723602274
