orf	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008
YBL022C	-1.0180057454958034	0.18970503618804388				
YBL024W	-0.47781416890486544	-0.6644663671260853			-1.407614571926861	0.0
YBL027W	-0.31836336059810244	-0.4386687774206127			0.0	0.0
YBL028C	-0.3030807243463344	-0.5350093133994948			0.0	0.0
YBL029W	0.11695567404451351	0.018277691331324068			0.0	0.0
YBL031W	-0.4238020413206605	-0.9273387561782486			0.0	0.0
YBL032W	-0.1184280307587706	-0.2505478658531188			0.0	0.0
YBL033C					0.0	0.0
YBL036C	0.8455924518798758	-0.05153919371992813			0.0	0.0
YBL037W	0.45615740956278994	0.07125417505367465			0.0	0.0
YBL038W					-5.34436945179515	0.0
YBL039C	0.5018342324247809	0.7685558801302567				
YBL042C					-1.4278076911820878	0.0
YBL043W	0.03748472127427766	-0.151069408540411			0.0	0.0
YBL044W	0.3655932474701329	0.24711066675478277			-4.5622634349532705	0.0
YBL045C					-3.227706662230201	0.0
YBL046W	-0.3276368381461933	-1.088461309312304			0.0	0.0
YBL047C	-0.2957943316827599	-2.7411305160925252			0.0	0.0
YBL048W	0.2826010359502529	-0.3444655929636783				
YBL049W	0.2245189304967597	0.25294788902903365			0.0	0.0
YBL051C	0.22186616595462505	0.8466818416480437			0.0	0.0
YBL052C	-0.2285096715605856	-0.5737573794822608			0.0	0.0
YBL053W	0.17243105261443628	0.0753827215253957				
YBL054W	-0.21537008831498347	0.04319135981186124			0.0	0.0
YBL055C	-0.20330834619725385	-0.6006524489154669				
YBL056W	0.3702474058987702	0.3803308755226592			0.0	0.0
YBL057C	0.18395602051852758	-0.4438204198975523			0.0	0.0
YBL058W					0.0	0.0
YBL059W	-0.37019429857519565	-1.3041100578643905			0.0	0.0
YBL060W	1.1778972484408103	-0.004133987581223008			0.0	0.0
YBL061C	0.012934206649108977	-2.1038200568182566			0.0	0.0
YBL062W	-0.6354085397365511	-1.4241693946770673				
YBL063W	-0.31723792648536275	-0.799264916196563			-1.9538632219948864	0.0
YBL064C	-0.01560789739968454	0.28195695506801527			0.0	0.0
YBL065W	-0.35139849127055833	0.4366862882460442				
YBL066C	-0.22193804465274716	-0.24217249156003068			0.0	0.0
YBL067C	-0.5067351504410323	0.8162903152485498			0.0	0.0
YBL068W	-0.458182218179818	-0.3958652431522128			0.0	0.0
YBL069W	0.20994427877804736	0.4629319403327863			0.0	0.0
YBL070C	0.7530380942500967	0.20655975182040578				
YBL071C	0.16108401403939063	1.068402868404888				
YBL072C	2.0441891139053685	1.9854072834504055			0.0	0.0
YBL075C	0.1723539084298151	-0.6097857279075608			0.0	0.0
