ORF	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008
YDR526C	-3.765	-1.147	NaN	NaN	NaN	NaN
YDR527W	2.259	1.982	NaN	NaN	NaN	NaN
YDR528W	NaN	NaN	0.336	0.835	NaN	NaN
YDR529C	NaN	NaN	3.026	-0.172	1.170	NaN
YDR530C	NaN	NaN	-0.225	-0.342	NaN	0.521
YDR531W	NaN	NaN	NaN	NaN	NaN	NaN
YDR532C	NaN	NaN	NaN	NaN	NaN	NaN
YDR533C	NaN	NaN	NaN	NaN	NaN	NaN
YDR534C	NaN	NaN	-0.262	-0.241	NaN	NaN
YDR535C	NaN	NaN	1.129	1.367	NaN	NaN
YDR536W	NaN	NaN	-0.322	-0.049	NaN	NaN
YDR537C	NaN	NaN	1.653	1.898	NaN	NaN
YDR538W	NaN	NaN	-1.769	-1.733	NaN	NaN
YDR539W	NaN	NaN	-0.321	0.357	NaN	NaN
YDR540C	NaN	NaN	0.262	4.904	NaN	NaN
YDR541C	NaN	NaN	-0.211	-0.645	NaN	NaN
YEL001C	NaN	NaN	-0.037	1.108	NaN	NaN
YEL002C	2.032	1.214	NaN	NaN	NaN	NaN
YEL003W	NaN	NaN	0.441	1.108	NaN	NaN
YEL004W	NaN	NaN	-0.203	0.767	NaN	NaN
YEL005C	NaN	NaN	-1.250	-1.079	NaN	NaN
YEL006W	NaN	NaN	NaN	NaN	NaN	NaN
YEL007W	NaN	NaN	1.140	-0.381	NaN	NaN
YEL008W	NaN	NaN	-0.723	1.246	NaN	NaN
YEL009C	NaN	NaN	0.285	-0.685	NaN	NaN
YEL010W	NaN	NaN	0.922	0.219	NaN	NaN
YEL011W	NaN	NaN	0.102	-0.428	NaN	NaN
YEL012W	NaN	NaN	1.379	-0.231	NaN	NaN
YEL013W	NaN	NaN	-1.995	-1.524	NaN	NaN
YEL014C	NaN	NaN	-0.900	0.305	NaN	NaN
YEL015W	NaN	NaN	1.404	2.100	NaN	NaN
YEL016C	NaN	NaN	1.113	-0.159	NaN	NaN
YEL017C-A	NaN	NaN	-1.041	-1.096	NaN	NaN
YEL017W	NaN	NaN	0.042	0.075	NaN	NaN
YEL018W	NaN	NaN	0.166	-0.099	NaN	NaN
YEL019C	2.251	1.492	NaN	NaN	NaN	NaN
YEL020C	NaN	NaN	-0.618	0.056	NaN	NaN
YEL023C	NaN	NaN	-1.001	-0.996	NaN	NaN
YEL024W	NaN	NaN	NaN	NaN	NaN	NaN
YEL025C	NaN	NaN	-1.438	-1.012	NaN	NaN
YEL026W	3.154	0.244	NaN	NaN	NaN	NaN
YEL027W	NaN	NaN	NaN	NaN	NaN	NaN
YEL028W	NaN	NaN	0.301	0.546	NaN	NaN
YEL029C	NaN	NaN	NaN	NaN	NaN	NaN
YEL030W	NaN	NaN	0.291	0.177	NaN	NaN
YEL031W	NaN	NaN	NaN	NaN	NaN	NaN
YEL032W	0.310	-0.990	NaN	NaN	NaN	NaN
YEL033W	NaN	NaN	NaN	NaN	NaN	NaN
YEL034W	4.173	2.932	NaN	NaN	NaN	NaN
YEL035C	NaN	NaN	NaN	NaN	NaN	NaN
YEL036C	NaN	NaN	NaN	NaN	NaN	NaN
YEL037C	NaN	NaN	NaN	NaN	NaN	NaN
YEL038W	NaN	NaN	NaN	NaN	NaN	NaN
YEL039C	NaN	NaN	NaN	NaN	NaN	NaN
YEL040W	NaN	NaN	NaN	NaN	NaN	NaN
YEL041W	NaN	NaN	NaN	NaN	NaN	NaN
YEL042W	NaN	NaN	NaN	NaN	NaN	NaN
YEL043W	NaN	NaN	NaN	NaN	NaN	NaN
YEL044W	NaN	NaN	NaN	NaN	NaN	NaN
YEL045C	NaN	NaN	NaN	NaN	NaN	NaN
YEL046C	NaN	NaN	0.990	0.482	NaN	NaN
YEL047C	NaN	NaN	-1.865	-0.441	NaN	NaN
YEL048C	NaN	NaN	-0.086	-0.567	NaN	NaN
YEL049W	NaN	NaN	-0.762	-0.518	NaN	NaN
YEL050C	NaN	NaN	9.048	-2.070	0.748	NaN
YEL051W	NaN	NaN	NaN	NaN	NaN	NaN
YEL052W	NaN	NaN	0.479	0.665	NaN	NaN
YEL053C	NaN	NaN	0.174	1.295	NaN	NaN
YEL054C	NaN	NaN	-1.562	-1.375	NaN	NaN
YEL055C	1.365	0.709	NaN	NaN	NaN	NaN
YEL056W	NaN	NaN	-0.182	0.109	NaN	NaN
YEL057C	NaN	NaN	-0.903	-0.760	NaN	NaN
YEL058W	0.493	0.258	NaN	NaN	NaN	NaN
YEL059W	NaN	NaN	-0.018	-0.650	NaN	NaN
YEL060C	NaN	NaN	-0.219	-0.102	NaN	NaN
YEL061C	NaN	NaN	-3.214	0.093	NaN	NaN
YEL062W	NaN	NaN	0.806	0.100	NaN	NaN
YEL063C	NaN	NaN	-1.494	-1.468	NaN	NaN
YEL064C	NaN	NaN	-0.914	-0.753	NaN	NaN
YEL065W	NaN	NaN	-0.938	-0.823	NaN	NaN
YEL066W	NaN	NaN	0.410	0.133	NaN	NaN
YEL067C	NaN	NaN	-0.469	0.207	NaN	NaN
YEL068C	NaN	NaN	0.151	0.032	NaN	NaN
YEL071W	NaN	NaN	-0.052	-0.401	NaN	NaN
YEL072W	NaN	NaN	-0.041	0.279	NaN	NaN
YER001W	NaN	NaN	0.362	-0.529	NaN	NaN
YER002W	NaN	NaN	-0.534	-1.544	NaN	NaN
YER003C	NaN	NaN	NaN	NaN	NaN	NaN
YER004W	NaN	NaN	NaN	NaN	NaN	NaN
YER005W	NaN	NaN	-0.226	0.892	NaN	NaN
YER006W	-0.937	-0.094	NaN	NaN	NaN	NaN
YER007C-A	NaN	NaN	-1.324	-1.439	NaN	NaN
YER007W	NaN	NaN	-0.773	-0.187	NaN	NaN
YER008C	0.382	0.803	NaN	NaN	NaN	NaN
YER009W	1.869	0.286	NaN	NaN	NaN	NaN
YER010C	NaN	NaN	-1.307	2.027	NaN	NaN
YER011W	NaN	NaN	-0.108	-0.827	NaN	NaN
YER012W	-0.123	2.020	NaN	NaN	NaN	NaN
YER013W	1.682	0.687	NaN	NaN	NaN	NaN
YER014C-A	NaN	NaN	NaN	NaN	2.886	NaN
YER014W	NaN	NaN	NaN	NaN	NaN	NaN
YER016W	NaN	NaN	0.964	1.117	NaN	NaN
YER017C	NaN	NaN	NaN	NaN	1.765	NaN
YER018C	-0.912	-0.383	NaN	NaN	NaN	NaN
YER019C-A	NaN	NaN	0.908	0.278	NaN	NaN
YER019W	NaN	NaN	-0.327	-0.782	NaN	NaN
YER020W	NaN	NaN	-1.153	-1.853	NaN	NaN
YER021W	4.253	1.980	NaN	NaN	NaN	NaN
YER022W	3.225	0.500	NaN	NaN	NaN	NaN
YER023W	0.610	0.239	NaN	NaN	NaN	NaN
YER024W	NaN	NaN	-0.001	-0.134	NaN	NaN
YER025W	2.002	-2.530	NaN	NaN	NaN	NaN
YER027C	NaN	NaN	1.974	0.714	NaN	NaN
YER028C	NaN	NaN	NaN	NaN	1.071	NaN
YER030W	NaN	NaN	-0.967	0.230	NaN	NaN
YER031C	NaN	NaN	-0.944	-0.675	NaN	NaN
YER032W	NaN	NaN	0.540	1.376	NaN	NaN
YER033C	NaN	NaN	-1.634	-1.919	NaN	NaN
YER034W	NaN	NaN	-1.727	-0.981	NaN	NaN
YER035W	-1.288	-0.918	NaN	NaN	NaN	NaN
YER036C	2.399	0.363	NaN	NaN	NaN	NaN
YER037W	NaN	NaN	-0.854	-0.698	NaN	NaN
YER038C	2.899	7.908	NaN	NaN	NaN	NaN
YER038W-A	NaN	NaN	0.702	0.911	NaN	NaN
YER039C	NaN	NaN	0.235	0.275	NaN	NaN
YER039C-A	NaN	NaN	-0.356	-0.958	NaN	NaN
YER040W	NaN	NaN	-1.028	-0.551	NaN	NaN
YER041W	NaN	NaN	1.968	3.694	NaN	NaN
YER042W	NaN	NaN	-0.572	-0.630	NaN	NaN
YER043C	0.739	-0.124	NaN	NaN	NaN	NaN
YER044C	NaN	NaN	0.445	0.603	NaN	NaN
YER044C-A	NaN	NaN	0.694	0.826	NaN	NaN
YER045C	NaN	NaN	0.068	0.677	NaN	NaN
YER046W	NaN	NaN	-0.284	1.572	NaN	NaN
YER046W-A	NaN	NaN	-0.623	-0.991	NaN	NaN
YER047C	NaN	NaN	-0.226	-0.356	NaN	NaN
YER048C	NaN	NaN	0.920	0.904	NaN	NaN
YER048W-A	2.816	-1.044	NaN	NaN	NaN	NaN
YER049W	NaN	NaN	-0.064	0.337	NaN	NaN
YER050C	NaN	NaN	NaN	NaN	1.819	NaN
YER051W	NaN	NaN	0.419	0.666	NaN	NaN
YER052C	NaN	NaN	-0.165	-0.381	0.675	NaN
YER053C	NaN	NaN	0.601	0.578	NaN	NaN
YER054C	NaN	NaN	NaN	NaN	NaN	NaN
YER055C	NaN	NaN	-0.222	-0.126	NaN	NaN
YER056C	NaN	NaN	0.354	0.271	NaN	NaN
YER056C-A	NaN	NaN	-0.827	-1.280	NaN	NaN
YER057C	NaN	NaN	-1.698	-0.982	NaN	NaN
YER058W	NaN	NaN	NaN	NaN	1.196	NaN
YER059W	NaN	NaN	-0.087	-0.648	NaN	NaN
YER060W	NaN	NaN	1.285	-1.212	NaN	NaN
YER060W-A	NaN	NaN	0.048	0.377	NaN	NaN
YER061C	NaN	NaN	2.243	0.177	0.905	NaN
YER062C	NaN	NaN	-0.138	0.432	NaN	NaN
YER063W	NaN	NaN	-0.091	0.426	NaN	NaN
YER064C	NaN	NaN	0.444	0.931	NaN	NaN
YER065C	NaN	NaN	0.808	1.774	NaN	NaN
YER066C-A	NaN	NaN	-0.045	-0.800	NaN	NaN
YER066W	NaN	NaN	0.104	1.643	NaN	NaN
YER067C-A	NaN	NaN	-0.210	-0.734	NaN	NaN
YER067W	NaN	NaN	0.124	-0.179	NaN	NaN
YER068C-A	NaN	NaN	0.508	0.328	NaN	NaN
YER068W	NaN	NaN	NaN	NaN	NaN	NaN
YER069W	NaN	NaN	-0.373	-0.015	NaN	NaN
YER070W	NaN	NaN	NaN	NaN	NaN	NaN
YER071C	NaN	NaN	-0.742	-0.239	NaN	NaN
YER072W	NaN	NaN	-0.340	-0.188	NaN	NaN
YER073W	NaN	NaN	0.242	0.853	NaN	NaN
YER074W	NaN	NaN	-1.665	-0.697	NaN	NaN
YER074W-A	-0.126	-0.524	NaN	NaN	NaN	NaN
YER075C	NaN	NaN	-0.263	-1.125	NaN	NaN
YER077C	NaN	NaN	NaN	NaN	NaN	NaN
YER078C	NaN	NaN	-0.392	-0.047	0.809	NaN
YER079W	NaN	NaN	0.139	-0.361	NaN	NaN
YER080W	NaN	NaN	-1.159	-0.359	NaN	NaN
YER081W	NaN	NaN	-1.133	-0.762	NaN	NaN
YER082C	NaN	NaN	NaN	NaN	NaN	NaN
YER083C	NaN	NaN	0.064	0.119	NaN	NaN
YER084W	NaN	NaN	1.308	-0.425	NaN	NaN
YER085C	NaN	NaN	-0.619	0.201	NaN	NaN
YER086W	NaN	NaN	1.260	0.778	NaN	NaN
YER087C-A	NaN	NaN	-0.504	-0.123	NaN	NaN
YER087W	NaN	NaN	3.248	0.275	NaN	NaN
YER088C	NaN	NaN	0.793	-0.322	NaN	NaN
YER089C	NaN	NaN	-0.255	1.401	NaN	NaN
YER090W	NaN	NaN	6.164	0.425	1.194	NaN
YER091C	NaN	NaN	0.274	0.813	NaN	NaN
YER091C-A	NaN	NaN	-0.664	-0.421	NaN	NaN
YER092W	NaN	NaN	1.457	-0.274	NaN	NaN
YER093C	0.834	-0.009	NaN	NaN	NaN	NaN
YER093C-A	NaN	NaN	0.144	-0.199	NaN	NaN
YER094C	0.512	-0.417	NaN	NaN	NaN	NaN
YER095W	NaN	NaN	1.970	4.468	NaN	NaN
YER096W	NaN	NaN	0.853	0.398	NaN	NaN
YER097W	NaN	NaN	-1.233	-0.567	NaN	NaN
YER098W	NaN	NaN	0.597	-0.402	NaN	NaN
YER101C	NaN	NaN	0.292	0.982	NaN	NaN
YER103W	NaN	NaN	-0.423	-0.013	1.287	NaN
YER104W	0.515	0.679	NaN	NaN	NaN	NaN
YER106W	NaN	NaN	-0.930	-1.474	NaN	NaN
YER107C	NaN	NaN	0.429	1.392	NaN	NaN
YER108C	NaN	NaN	0.370	1.270	NaN	NaN
YER109C	NaN	NaN	-0.663	0.092	NaN	NaN
YER110C	NaN	NaN	-1.592	0.100	NaN	NaN
YER111C	NaN	NaN	1.767	2.210	NaN	NaN
YER112W	2.914	-1.706	NaN	NaN	NaN	NaN
YER113C	NaN	NaN	0.542	0.941	NaN	NaN
YER114C	NaN	NaN	-0.332	1.318	NaN	NaN
YER115C	NaN	NaN	-0.064	0.151	NaN	NaN
YER116C	NaN	NaN	-0.113	1.597	NaN	0.701
YER117W	NaN	NaN	-2.883	-3.587	NaN	NaN
YER118C	NaN	NaN	-0.019	0.355	NaN	NaN
YER119C	NaN	NaN	-0.250	0.164	NaN	NaN
YER119C-A	NaN	NaN	1.205	-0.102	0.569	NaN
YER120W	NaN	NaN	0.393	-0.412	NaN	NaN
YER121W	NaN	NaN	-0.656	-0.454	NaN	NaN
YER122C	NaN	NaN	NaN	NaN	NaN	NaN
YER123W	NaN	NaN	0.826	-1.364	NaN	NaN
YER124C	NaN	NaN	0.901	1.215	NaN	NaN
YER125W	-0.014	-0.515	NaN	NaN	NaN	NaN
YER126C	-1.091	-0.800	NaN	NaN	NaN	NaN
YER127W	-1.136	-0.616	NaN	NaN	NaN	NaN
YER128W	NaN	NaN	0.140	0.845	NaN	NaN
YER129W	NaN	NaN	0.554	1.477	NaN	NaN
YER130C	NaN	NaN	0.327	1.634	NaN	NaN
YER131W	NaN	NaN	-2.047	-2.191	NaN	NaN
YER132C	NaN	NaN	-0.208	-0.106	NaN	NaN
YER133W	-2.033	-0.110	NaN	NaN	NaN	NaN
YER134C	NaN	NaN	-0.642	0.713	NaN	NaN
YER135C	NaN	NaN	-0.116	0.737	NaN	NaN
YER136W	3.066	0.045	NaN	NaN	NaN	NaN
YER137C	NaN	NaN	-0.357	-0.301	NaN	NaN
YER139C	NaN	NaN	-0.570	1.280	NaN	NaN
YER140W	NaN	NaN	-1.451	-0.761	NaN	NaN
YER141W	NaN	NaN	11.778	-0.304	0.915	NaN
YER142C	NaN	NaN	-0.004	-0.417	NaN	NaN
YER143W	NaN	NaN	0.643	0.393	NaN	NaN
YER144C	NaN	NaN	0.329	0.717	NaN	NaN
YER145C	NaN	NaN	-0.269	1.687	NaN	NaN
YER146W	-0.319	-0.392	NaN	NaN	NaN	NaN
YER147C	0.419	0.491	NaN	NaN	NaN	NaN
YER148W	-1.857	-1.696	NaN	NaN	NaN	NaN
YER149C	NaN	NaN	0.271	1.058	NaN	NaN
YER150W	NaN	NaN	1.005	1.252	NaN	NaN
YER151C	NaN	NaN	2.571	-2.287	NaN	NaN
YER152C	NaN	NaN	-0.162	-0.183	NaN	NaN
YER153C	NaN	NaN	3.403	0.888	0.731	NaN
YER154W	NaN	NaN	2.453	0.591	1.857	NaN
YER155C	NaN	NaN	NaN	NaN	NaN	NaN
YER156C	NaN	NaN	0.716	0.547	NaN	NaN
YER157W	0.594	0.466	NaN	NaN	NaN	NaN
YER158C	NaN	NaN	0.466	0.483	NaN	NaN
YER159C	1.443	0.522	NaN	NaN	NaN	NaN
YER161C	NaN	NaN	0.336	-0.546	NaN	NaN
YER162C	NaN	NaN	0.214	16.519	NaN	2.766
YER163C	NaN	NaN	-0.198	0.571	NaN	NaN
YER164W	NaN	NaN	-0.190	1.273	NaN	NaN
YER165W	NaN	NaN	NaN	NaN	NaN	NaN
YER166W	NaN	NaN	0.078	-0.747	NaN	NaN
YER167W	NaN	NaN	0.514	2.155	NaN	NaN
YER168C	1.456	0.357	NaN	NaN	NaN	NaN
YER169W	NaN	NaN	-1.110	-0.535	1.280	NaN
YER170W	NaN	NaN	0.185	0.717	NaN	NaN
YER171W	0.253	0.424	NaN	NaN	NaN	NaN
YER172C	1.907	0.523	NaN	NaN	NaN	NaN
YER173W	NaN	NaN	0.742	2.014	NaN	1.115
YER174C	NaN	NaN	1.029	0.537	NaN	NaN
YER175C	NaN	NaN	0.787	0.838	NaN	NaN
YER176W	NaN	NaN	0.633	0.786	NaN	NaN
YER177W	NaN	NaN	0.547	-1.564	NaN	NaN
YER178W	NaN	NaN	2.034	1.904	0.553	NaN
YER179W	NaN	NaN	0.113	0.468	NaN	NaN
YER180C	NaN	NaN	0.719	0.258	NaN	NaN
YER181C	NaN	NaN	1.154	1.169	NaN	NaN
YER182W	NaN	NaN	-0.186	1.339	NaN	NaN
YER183C	NaN	NaN	-0.867	-0.072	NaN	NaN
YER184C	NaN	NaN	0.220	0.671	NaN	NaN
YER185W	NaN	NaN	0.034	0.068	NaN	NaN
YER186C	NaN	NaN	0.394	1.212	NaN	NaN
YER187W	NaN	NaN	0.471	0.339	NaN	NaN
YER188W	NaN	NaN	-0.410	-0.507	NaN	NaN
YFL001W	NaN	NaN	NaN	NaN	NaN	NaN
YFL002C	NaN	NaN	NaN	NaN	NaN	NaN
YFL003C	NaN	NaN	0.184	0.411	NaN	NaN
YFL004W	NaN	NaN	-1.070	1.491	NaN	NaN
YFL005W	-1.384	-0.500	NaN	NaN	NaN	NaN
YFL006W	NaN	NaN	-1.416	-0.757	NaN	NaN
YFL007W	NaN	NaN	-1.474	-1.014	NaN	NaN
YFL008W	NaN	NaN	NaN	NaN	NaN	NaN
YFL009W	0.687	-0.071	NaN	NaN	NaN	NaN
YFL010C	NaN	NaN	-0.667	-0.305	NaN	NaN
YFL010W-A	NaN	NaN	-0.907	-0.846	NaN	NaN
YFL011W	NaN	NaN	-0.842	-0.610	NaN	NaN
YFL012W	NaN	NaN	NaN	NaN	NaN	NaN
YFL013C	NaN	NaN	0.093	-0.541	NaN	NaN
YFL013W-A	NaN	NaN	0.496	0.177	NaN	NaN
YFL014W	NaN	NaN	0.957	1.402	NaN	NaN
YFL015C	NaN	NaN	-0.720	-0.386	NaN	NaN
YFL016C	NaN	NaN	3.275	-1.639	0.893	NaN
YFL017C	1.552	0.983	NaN	NaN	NaN	NaN
YFL018C	NaN	NaN	0.576	0.584	0.844	NaN
YFL018W-A	-0.828	0.538	NaN	NaN	NaN	NaN
YFL019C	NaN	NaN	0.221	-1.202	NaN	NaN
YFL020C	NaN	NaN	-0.487	-0.310	NaN	NaN
YFL021W	NaN	NaN	1.109	0.668	NaN	NaN
YFL022C	0.632	-0.083	NaN	NaN	NaN	NaN
YFL023W	NaN	NaN	0.010	0.172	NaN	NaN
YFL024C	1.235	1.235	NaN	NaN	NaN	NaN
YFL025C	NaN	NaN	-1.691	-1.399	NaN	NaN
YFL026W	-1.145	-1.380	NaN	NaN	NaN	NaN
YFL027C	NaN	NaN	-1.168	0.794	NaN	NaN
YFL028C	NaN	NaN	2.360	1.387	NaN	NaN
YFL029C	-2.179	-0.821	NaN	NaN	NaN	NaN
YFL030W	NaN	NaN	-0.903	-0.963	NaN	NaN
YFL031W	NaN	NaN	-0.672	-1.358	NaN	NaN
YFL032W	NaN	NaN	-1.058	-1.022	NaN	NaN
YFL033C	NaN	NaN	1.473	2.171	NaN	NaN
YFL034C-A	NaN	NaN	0.102	0.082	NaN	NaN
YFL034W	NaN	NaN	-1.532	-1.581	NaN	NaN
YFL035C	NaN	NaN	NaN	NaN	NaN	NaN
YFL035C-A	0.033	-0.939	NaN	NaN	NaN	NaN
YFL035C-B	NaN	NaN	-1.044	-0.787	NaN	NaN
YFL036W	NaN	NaN	3.294	-0.687	1.808	NaN
YFL037W	0.561	0.557	NaN	NaN	NaN	NaN
YFL038C	0.509	0.409	NaN	NaN	NaN	NaN
YFL039C	-1.066	0.066	NaN	NaN	NaN	NaN
YFL040W	NaN	NaN	-0.859	-0.683	NaN	NaN
YFL041W	NaN	NaN	0.960	1.043	NaN	NaN
YFL042C	NaN	NaN	-1.186	-0.835	NaN	NaN
YFL043C	NaN	NaN	-0.517	-1.258	NaN	NaN
YFL044C	NaN	NaN	-0.779	-1.003	NaN	NaN
YFL045C	-0.115	-0.004	NaN	NaN	NaN	NaN
YFL046W	NaN	NaN	-1.137	-1.144	NaN	NaN
YFL047W	NaN	NaN	-1.153	-0.763	NaN	NaN
YFL048C	NaN	NaN	0.786	1.181	NaN	NaN
YFL049W	NaN	NaN	-0.592	0.841	NaN	NaN
YFL050C	NaN	NaN	-0.522	0.134	NaN	NaN
YFL051C	NaN	NaN	0.057	0.053	NaN	NaN
YFL052W	NaN	NaN	0.023	0.162	NaN	NaN
YFL053W	NaN	NaN	-1.263	-0.660	NaN	NaN
YFL054C	NaN	NaN	-0.570	-0.365	NaN	NaN
YFL055W	NaN	NaN	0.663	-0.020	NaN	NaN
YFL056C	NaN	NaN	-0.883	-0.372	NaN	NaN
YFL063W	NaN	NaN	1.410	1.370	NaN	NaN
YFR001W	NaN	NaN	NaN	NaN	NaN	NaN
YFR002W	-0.840	-0.642	NaN	NaN	NaN	NaN
YFR003C	NaN	NaN	NaN	NaN	NaN	NaN
YFR004W	6.086	-0.908	NaN	NaN	NaN	NaN
YFR005C	-2.344	-0.913	NaN	NaN	NaN	NaN
YFR006W	NaN	NaN	-1.300	-0.365	NaN	NaN
YFR007W	NaN	NaN	1.559	1.057	NaN	NaN
YFR008W	NaN	NaN	1.541	2.106	NaN	NaN
YFR009W	NaN	NaN	-0.597	0.218	NaN	NaN
YFR010W	NaN	NaN	-0.529	-0.211	NaN	NaN
YFR011C	NaN	NaN	0.686	-0.011	NaN	NaN
YFR012W	NaN	NaN	-2.449	-2.486	NaN	NaN
YFR013W	NaN	NaN	NaN	NaN	NaN	NaN
YFR014C	NaN	NaN	0.055	-0.213	NaN	NaN
YFR015C	NaN	NaN	-1.609	-0.931	NaN	NaN
YFR016C	NaN	NaN	-0.002	-0.045	NaN	NaN
YFR017C	NaN	NaN	0.675	0.861	NaN	NaN
YFR018C	NaN	NaN	NaN	NaN	NaN	NaN
YFR019W	NaN	NaN	NaN	NaN	NaN	NaN
YFR020W	NaN	NaN	-0.989	-0.585	NaN	NaN
YFR021W	NaN	NaN	-0.863	-0.751	NaN	NaN
YFR022W	NaN	NaN	-1.306	-0.935	NaN	NaN
YFR023W	NaN	NaN	-1.012	-0.648	NaN	NaN
YFR024C	NaN	NaN	0.211	0.990	NaN	NaN
YFR024C-A	NaN	NaN	NaN	NaN	NaN	NaN
YFR025C	NaN	NaN	0.787	1.144	NaN	NaN
YFR026C	NaN	NaN	0.557	0.904	NaN	NaN
YFR027W	1.741	1.061	NaN	NaN	NaN	NaN
YFR028C	-0.722	0.635	NaN	NaN	NaN	NaN
YFR029W	-0.724	0.419	NaN	NaN	NaN	NaN
YFR030W	NaN	NaN	-0.290	-0.134	NaN	NaN
YFR031C	-0.582	0.228	NaN	NaN	NaN	NaN
YFR031C-A	NaN	NaN	-1.089	-1.138	NaN	NaN
YFR032C	NaN	NaN	0.149	0.567	NaN	NaN
YFR032C-A	NaN	NaN	-1.936	-1.051	NaN	NaN
YFR033C	NaN	NaN	1.619	1.344	NaN	NaN
YFR034C	NaN	NaN	-2.309	-1.678	NaN	NaN
YFR035C	NaN	NaN	0.831	-0.393	NaN	NaN
YFR036W	NaN	NaN	-0.334	0.236	0.670	0.789
YFR037C	NaN	NaN	NaN	NaN	NaN	NaN
YFR038W	NaN	NaN	0.576	0.800	NaN	NaN
YFR039C	NaN	NaN	0.496	0.481	NaN	NaN
YFR040W	NaN	NaN	0.445	-0.711	NaN	NaN
YFR041C	NaN	NaN	0.449	1.064	NaN	NaN
YFR042W	1.803	-0.610	NaN	NaN	NaN	NaN
YFR043C	NaN	NaN	0.877	1.737	NaN	NaN
YFR044C	NaN	NaN	0.822	3.430	NaN	NaN
YFR045W	NaN	NaN	1.693	1.011	NaN	NaN
YFR046C	NaN	NaN	-0.065	-0.764	NaN	NaN
YFR047C	NaN	NaN	-0.068	0.163	NaN	NaN
YFR048W	NaN	NaN	-0.419	-0.094	NaN	NaN
YFR049W	NaN	NaN	-0.276	-0.757	NaN	NaN
YFR050C	0.717	1.073	NaN	NaN	NaN	NaN
YFR051C	0.425	-0.248	NaN	NaN	NaN	NaN
YFR052W	2.952	-0.375	NaN	NaN	NaN	NaN
YFR053C	NaN	NaN	-0.483	-0.534	NaN	NaN
YFR054C	NaN	NaN	-0.570	0.035	NaN	NaN
YFR055W	NaN	NaN	0.375	0.515	NaN	NaN
YFR056C	NaN	NaN	-0.160	-0.281	NaN	NaN
YFR057W	NaN	NaN	0.310	0.561	NaN	NaN
YGL001C	-0.021	0.206	NaN	NaN	NaN	NaN
YGL002W	NaN	NaN	-0.304	-0.312	NaN	NaN
YGL003C	NaN	NaN	-0.582	-1.536	NaN	NaN
YGL004C	NaN	NaN	-0.769	-0.914	NaN	NaN
YGL005C	NaN	NaN	-4.223	-1.099	NaN	NaN
YGL006W	NaN	NaN	-1.298	-0.972	NaN	NaN
YGL007W	NaN	NaN	1.040	-0.310	NaN	NaN
YGL008C	4.728	0.631	NaN	NaN	NaN	NaN
YGL009C	NaN	NaN	-0.048	0.058	NaN	NaN
YGL010W	NaN	NaN	-0.919	-1.176	NaN	NaN
YGL011C	-1.094	0.282	NaN	NaN	NaN	NaN
YGL012W	NaN	NaN	-1.680	0.173	NaN	NaN
YGL013C	NaN	NaN	0.569	0.523	NaN	NaN
YGL014W	NaN	NaN	-0.359	-1.074	NaN	NaN
YGL015C	NaN	NaN	-0.627	-0.875	NaN	NaN
YGL016W	NaN	NaN	-0.125	1.332	NaN	NaN
YGL017W	NaN	NaN	-0.059	-0.037	NaN	NaN
YGL018C	0.522	-0.996	NaN	NaN	NaN	NaN
YGL019W	NaN	NaN	-0.732	-0.353	NaN	NaN
YGL020C	NaN	NaN	-0.789	-1.302	NaN	NaN
YGL021W	NaN	NaN	-0.249	-0.666	NaN	NaN
YGL022W	-0.896	-0.907	NaN	NaN	NaN	NaN
YGL023C	NaN	NaN	NaN	NaN	NaN	NaN
YGL024W	0.187	-0.787	NaN	NaN	NaN	NaN
YGL025C	NaN	NaN	5.044	1.391	1.392	NaN
YGL026C	NaN	NaN	7.716	-0.584	0.576	NaN
YGL027C	NaN	NaN	0.644	-0.887	NaN	NaN
YGL028C	NaN	NaN	-3.027	-0.910	NaN	NaN
YGL029W	-3.613	-0.592	NaN	NaN	NaN	NaN
YGL030W	NaN	NaN	NaN	NaN	NaN	NaN
YGL031C	NaN	NaN	-0.832	-0.803	NaN	NaN
YGL032C	NaN	NaN	-1.716	-1.324	NaN	NaN
YGL033W	NaN	NaN	0.010	0.430	NaN	NaN
YGL034C	NaN	NaN	-1.494	-0.644	NaN	NaN
YGL035C	NaN	NaN	0.011	-0.652	NaN	NaN
YGL036W	NaN	NaN	NaN	NaN	NaN	NaN
YGL037C	NaN	NaN	0.586	-0.278	0.542	NaN
YGL038C	NaN	NaN	NaN	NaN	NaN	NaN
YGL039W	NaN	NaN	0.259	0.856	NaN	NaN
