ORF	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008
YBR006W	NaN	NaN	0.233	-0.672	NaN	NaN
YBR007C	NaN	NaN	-0.422	0.274	NaN	NaN
YBR008C	NaN	NaN	-1.026	-0.852	NaN	NaN
YBR009C	NaN	NaN	-0.466	0.478	NaN	NaN
YBR010W	NaN	NaN	-1.015	-1.093	NaN	NaN
YBR011C	0.869	-0.818	NaN	NaN	NaN	NaN
YBR012C	NaN	NaN	-1.002	-1.222	NaN	NaN
YBR013C	NaN	NaN	0.122	0.323	NaN	NaN
YBR014C	NaN	NaN	0.230	-0.152	NaN	NaN
YBR015C	NaN	NaN	-0.379	-1.472	NaN	NaN
YBR016W	NaN	NaN	-0.917	0.383	NaN	NaN
YBR017C	NaN	NaN	NaN	NaN	NaN	NaN
YBR018C	NaN	NaN	0.862	0.771	NaN	NaN
YBR019C	NaN	NaN	0.570	0.164	NaN	NaN
YBR020W	NaN	NaN	-0.009	1.293	NaN	NaN
YBR021W	NaN	NaN	0.584	1.279	NaN	NaN
YBR022W	NaN	NaN	1.087	0.499	NaN	NaN
YBR023C	NaN	NaN	-0.030	1.285	NaN	NaN
YBR024W	NaN	NaN	0.163	0.836	NaN	NaN
YBR025C	NaN	NaN	1.258	0.767	NaN	NaN
YBR026C	NaN	NaN	0.610	-0.228	NaN	NaN
YBR027C	NaN	NaN	-0.017	1.184	NaN	NaN
YBR028C	NaN	NaN	-1.158	-0.589	NaN	NaN
YBR029C	NaN	NaN	NaN	NaN	NaN	NaN
YBR030W	NaN	NaN	0.859	-2.004	NaN	NaN
YBR031W	NaN	NaN	-2.810	-3.838	NaN	NaN
YBR032W	NaN	NaN	-0.073	0.050	NaN	NaN
YBR033W	NaN	NaN	0.141	0.650	NaN	NaN
YBR034C	NaN	NaN	0.001	0.608	NaN	NaN
YBR035C	NaN	NaN	0.738	0.944	NaN	NaN
YBR036C	NaN	NaN	0.043	-1.748	NaN	NaN
YBR037C	NaN	NaN	4.070	-1.693	1.350	NaN
YBR038W	-0.491	-0.674	NaN	NaN	NaN	NaN
YBR039W	NaN	NaN	4.464	-0.179	NaN	NaN
YBR040W	NaN	NaN	1.327	-0.394	NaN	NaN
YBR041W	NaN	NaN	0.781	-0.467	NaN	NaN
YBR042C	NaN	NaN	0.385	-0.367	NaN	NaN
YBR043C	NaN	NaN	-0.957	-0.954	NaN	NaN
YBR044C	NaN	NaN	1.113	1.328	NaN	NaN
YBR045C	NaN	NaN	0.466	0.809	NaN	NaN
YBR046C	NaN	NaN	0.582	0.545	NaN	NaN
YBR047W	NaN	NaN	-0.382	-0.100	NaN	NaN
YBR048W	NaN	NaN	-0.102	-1.113	NaN	NaN
YBR049C	NaN	NaN	NaN	NaN	NaN	NaN
YBR050C	NaN	NaN	-1.064	-0.947	NaN	NaN
YBR051W	NaN	NaN	-1.614	-1.111	NaN	NaN
YBR052C	NaN	NaN	-1.036	-0.999	NaN	NaN
YBR053C	NaN	NaN	-0.710	-0.950	NaN	NaN
YBR054W	NaN	NaN	-0.375	-0.458	NaN	NaN
YBR055C	-0.682	-1.787	NaN	NaN	NaN	NaN
YBR056W	NaN	NaN	-1.233	-0.777	NaN	NaN
YBR057C	NaN	NaN	0.240	-0.221	NaN	NaN
YBR058C	NaN	NaN	0.979	0.491	NaN	NaN
YBR059C	NaN	NaN	0.224	1.326	NaN	NaN
YBR060C	1.114	0.282	NaN	NaN	NaN	NaN
YBR061C	NaN	NaN	-0.286	-0.807	NaN	NaN
YBR062C	NaN	NaN	-1.490	-1.072	NaN	NaN
YBR063C	NaN	NaN	-1.064	-1.439	NaN	NaN
YBR064W	NaN	NaN	-0.888	-0.546	NaN	NaN
YBR065C	NaN	NaN	-0.491	-1.298	NaN	NaN
YBR066C	NaN	NaN	-0.881	0.141	NaN	NaN
YBR067C	NaN	NaN	-0.092	-0.585	NaN	NaN
YBR068C	NaN	NaN	-0.280	-1.042	NaN	NaN
YBR069C	NaN	NaN	8.753	-2.814	1.235	NaN
YBR070C	0.618	-0.079	NaN	NaN	NaN	NaN
YBR071W	NaN	NaN	-0.822	-0.774	NaN	NaN
YBR072W	NaN	NaN	-0.237	-0.715	NaN	NaN
YBR073W	NaN	NaN	0.276	1.169	NaN	NaN
YBR074W	NaN	NaN	1.318	1.122	NaN	NaN
YBR075W	NaN	NaN	0.186	1.194	NaN	NaN
YBR076W	NaN	NaN	-1.181	-1.882	NaN	NaN
YBR077C	NaN	NaN	-1.392	-1.019	NaN	NaN
YBR078W	NaN	NaN	2.014	0.211	NaN	NaN
YBR079C	NaN	NaN	NaN	NaN	NaN	NaN
