orf	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008
YBL052C	-0.07662	-0.491681			-0.0	-0.0
YBL053W	0.567844	0.369951				
YBL054W	-0.0554997	0.327222			-0.0	-0.0
YBL055C	-0.0361119	-0.52738				
YBL056W	0.88581	0.774722			-0.0	-0.0
YBL057C	0.586369	-0.31921			-0.0	-0.0
YBL058W					-0.0	-0.0
YBL059W	-0.304361	-1.46111			-0.0	-0.0
YBL060W	2.18401	0.264405			-0.0	-0.0
YBL061C	0.311472	-2.5226			-0.0	-0.0
YBL062W	-0.730661	-1.62047				
YBL063W	-0.21924	-0.791007			-0.762850295921072	-0.0
YBL064C	0.265594	0.644146			-0.0	-0.0
YBL065W	-0.274149	0.849525				
YBL066C	-0.0660569	-0.0515539			-0.0	-0.0
YBL067C	-0.523834	1.35339			-0.0	-0.0
YBL068W	-0.445791	-0.255557			-0.0	-0.0
YBL069W	0.628142	0.884362			-0.0	-0.0
YBL070C	1.5011	0.544068				
YBL071C	0.549605	1.68803				
YBL072C	3.57647	2.90521			-0.0	-0.0
YBL075C	0.56772	-0.539503			-0.0	-0.0
YBL078C	0.235004	0.11133			-0.0	-0.0
YBL079W	-1.7229	2.06153			-0.0	-0.0
YBL080C	-2.29898	-0.292979			-1.699090271636865	-0.0
YBL081W	-0.38609	-1.07706				
YBL082C	-0.0481686	-0.407724			-0.0	-0.0
YBL083C	-0.446457	-0.974535				
YBL085W	2.50842	1.51166			-0.0	-0.0
YBL086C	0.0646939	1.06917			-0.0	-0.0
YBL087C	1.55649	1.78212			-0.0	-0.0
YBL088C	-0.996312	-0.421247			-0.0	-0.0
YBL089W	0.95776	-1.59255			-0.0	-0.0
YBL090W					-1.972855270620545	-0.0
YBL091C	0.472055	1.62972			-0.0	-0.0
YBL091C-A	0.0693568	-3.02536			-0.0	-0.0
YBL093C					-0.0	-0.0
YBL094C	-0.945823	0.619241				
YBL095W	0.364681	-0.74979			-0.0	-0.0
YBL096C	-1.23252	-0.443528				
YBL098W	-0.75137	-0.44726			-0.0	-0.0
YBL099W	-2.27964	-0.704324			-0.0	-0.0
YBL100C						
YBL101C	0.272041	-0.360205			-0.0	-0.0
YBL102W	-0.59669	-1.49568			-0.0	-0.0
YBL103C	-0.529336	-0.518375			-0.0	-0.0
YBL104C	1.28797	1.21188			-0.0	-0.0
YBL106C	0.73282	0.699211			-0.0	-0.0
YBL107C	1.12828	0.401509			-0.0	-0.0
YBR001C	0.412313	0.449851				
YBR003W	-6.71561	0.302222			-0.0	-0.0
YBR005W	-0.281581	-0.327188			-0.0	-0.0
YBR006W	-0.233104	0.671549			-0.0	-0.0
YBR007C	0.42217	-0.273542				
YBR008C	1.02603	0.851789				
YBR009C	0.466096	-0.478035				
YBR010W	1.01501	1.09285			-0.0	-0.0
YBR012C	1.00238	1.22176				
YBR013C	-0.121863	-0.323138			-0.0	-0.0
YBR014C	-0.230451	0.151517			-0.0	-0.0
YBR015C	0.378842	1.47159				
YBR016W	0.917406	-0.38326				
YBR017C						
YBR018C	-0.862472	-0.770501				
YBR019C	-0.570325	-0.163795				
YBR020W	0.009044999999999997	-1.2932085				
YBR021W	-0.584116	-1.2788			-0.0	-0.0
YBR022W	-1.08729	-0.499063				
YBR023C	0.0295375	-1.28524			-0.0	-0.0
YBR024W	-0.162729	-0.836037			-0.0	-0.0
YBR025C	-1.25771	-0.767006			-0.0	-0.0
YBR026C	-0.609772	0.227963				
YBR027C	0.0165018	-1.184				
YBR028C	1.15788	0.588683			-0.0	-0.0
YBR030W	-0.85858	2.00414				
YBR031W	2.81049	3.83822			-0.0	-0.0
YBR032W	0.0732444	-0.0501428				
YBR033W	-0.1411	-0.649822				
YBR034C	-0.000539011	-0.608139				
YBR035C	-0.738209	-0.944232			-0.0	-0.0
