orf	hap a | growth (general) | overexpression of the [PSI+] prion [GAL for 3 d at 30C] | None | Tyedmers J~Lindquist S, 2008
YAL011W	4.3236691284502555
YAL021C	-4.237195745881251
YAL023C	-4.237195745881251
YAL053W	4.3236691284502555
YAR002W	-4.237195745881251
YBL027W	4.3236691284502555
YBL047C	-4.237195745881251
YBL063W	4.3236691284502555
YBR010W	4.3236691284502555
YBR012C	4.3236691284502555
YBR016W	4.3236691284502555
YBR040W	4.3236691284502555
YBR059C	4.3236691284502555
YBR068C	4.3236691284502555
YBR073W	4.3236691284502555
YBR108W	4.3236691284502555
YBR119W	4.3236691284502555
YBR165W	4.3236691284502555
YBR175W	-4.237195745881251
YBR189W	-4.237195745881251
YBR200W	4.3236691284502555
YBR288C	4.3236691284502555
YCL005W	4.3236691284502555
YCL027W	4.3236691284502555
YCL028W	4.3236691284502555
YCL030C	4.3236691284502555
YCL032W	-4.237195745881251
YCR010C	4.3236691284502555
YCR048W	-4.237195745881251
YCR101C	4.3236691284502555
YDL021W	4.3236691284502555
YDL032W	-4.237195745881251
YDL074C	-4.237195745881251
YDL100C	4.3236691284502555
YDL116W	-4.237195745881251
YDL122W	4.3236691284502555
YDL133C-A	-4.237195745881251
YDL134C	4.3236691284502555
YDL183C	-4.237195745881251
YDL188C	4.3236691284502555
YDL192W	4.3236691284502555
YDR024W	-4.237195745881251
YDR096W	4.3236691284502555
YDR098C	4.3236691284502555
YDR101C	4.3236691284502555
YDR112W	4.3236691284502555
YDR181C	4.3236691284502555
YDR207C	-4.237195745881251
YDR218C	4.3236691284502555
YDR285W	4.3236691284502555
YDR307W	4.3236691284502555
YDR309C	4.3236691284502555
YDR320C	-4.237195745881251
YDR383C	4.3236691284502555
YDR448W	-4.237195745881251
YDR469W	-4.237195745881251
YDR525W-A	4.3236691284502555
YDR537C	-4.237195745881251
YEL013W	-4.237195745881251
YEL066W	4.3236691284502555
YER020W	-4.237195745881251
YER091C	-4.237195745881251
YER114C	4.3236691284502555
YER124C	4.3236691284502555
YER128W	-4.237195745881251
YFL001W	-4.237195745881251
YFL031W	-4.237195745881251
YFL032W	-4.237195745881251
YFL034C-A	4.3236691284502555
YFR008W	4.3236691284502555
YFR030W	4.3236691284502555
YFR031C-A	-4.237195745881251
YFR036W	-4.237195745881251
YGL027C	-4.237195745881251
YGL033W	4.3236691284502555
YGL049C	4.3236691284502555
YGL066W	-4.237195745881251
YGL067W	4.3236691284502555
YGL198W	4.3236691284502555
YGL237C	-4.237195745881251
YGR018C	4.3236691284502555
YGR050C	-4.237195745881251
YGR063C	4.3236691284502555
YGR139W	4.3236691284502555
YGR152C	4.3236691284502555
YGR166W	4.3236691284502555
YGR221C	4.3236691284502555
YGR250C	-4.237195745881251
YGR289C	-4.237195745881251
YHL007C	-4.237195745881251
YHL013C	-4.237195745881251
YHL031C	-4.237195745881251
YHL047C	-4.237195745881251
YHR014W	4.3236691284502555
YHR015W	-4.237195745881251
YHR028C	-4.237195745881251
YHR038W	4.3236691284502555
YHR079C	-4.237195745881251
YHR081W	-4.237195745881251
YHR087W	-4.237195745881251
YHR114W	4.3236691284502555
YHR123W	-4.237195745881251
YHR200W	-4.237195745881251
YIL002C	4.3236691284502555
YIL007C	-4.237195745881251
YIL017C	-4.237195745881251
YIL028W	-4.237195745881251
YIL038C	-4.237195745881251
YIL039W	4.3236691284502555
YIL041W	-4.237195745881251
YIL042C	-4.237195745881251
YIL053W	-4.237195745881251
YIL071C	4.3236691284502555
YIL073C	-4.237195745881251
YIL074C	4.3236691284502555
YIL084C	4.3236691284502555
YIL092W	-4.237195745881251
YIL110W	-4.237195745881251
YIR001C	-4.237195745881251
YIR009W	4.3236691284502555
YJL020C	4.3236691284502555
YJL024C	4.3236691284502555
YJL036W	4.3236691284502555
YJL095W	-4.237195745881251
YJL146W	4.3236691284502555
YJL151C	4.3236691284502555
