ORF	hap a | growth (general) | overexpression of the [PSI+] prion [GAL for 3 d at 30C] | None | Tyedmers J~Lindquist S, 2008
YJR083C	-1.000
YDR448W	-1.000
YNL148C	-1.000
YLR370C	-1.000
YCR048W	-1.000
YHL047C	-1.000
YJL095W	-1.000
YDL074C	-1.000
YKR036C	-1.000
YAL021C	-1.000
YFR036W	-1.000
YLR394W	-1.000
YGL027C	-1.000
YHR028C	-1.000
YFL001W	-1.000
YNL136W	-1.000
YBL047C	-1.000
YHR123W	-1.000
YNL068C	-1.000
YDR024W	-1.000
YOR183W	-1.000
YHL031C	-1.000
YER020W	-1.000
YIL041W	-1.000
YOR070C	-1.000
YFL031W	-1.000
YGL237C	-1.000
YJR140C	-1.000
YLR113W	-1.000
YHR079C	-1.000
YOL101C	-1.000
YNL322C	-1.000
YHR081W	-1.000
YGR289C	-1.000
YOL076W	-1.000
YPR070W	-1.000
YER091C	-1.000
YHR015W	-1.000
YPR188C	-1.000
YIL110W	-1.000
YNR059W	-1.000
YMR224C	-1.000
YMR037C	-1.000
YIL007C	-1.000
YIL038C	-1.000
YNL183C	-1.000
YAR002W	-1.000
YDL116W	-1.000
YHL013C	-1.000
YOR360C	-1.000
YNL329C	-1.000
YIL042C	-1.000
YAL023C	-1.000
YPL179W	-1.000
YPL133C	-1.000
YIL053W	-1.000
YFR031C-A	-1.000
YDL133C-A	-1.000
YHR200W	-1.000
YBR189W	-1.000
YOL117W	-1.000
YLL029W	-1.000
YKL212W	-1.000
YDR469W	-1.000
YGL066W	-1.000
YIR001C	-1.000
YLR079W	-1.000
YNL311C	-1.000
YOR008C	-1.000
YIL073C	-1.000
YKR091W	-1.000
YNR031C	-1.000
YLR452C	-1.000
YHL007C	-1.000
YCL032W	-1.000
YDR320C	-1.000
YBR175W	-1.000
YJL187C	-1.000
YJL164C	-1.000
YKL211C	-1.000
YMR223W	-1.000
YDR207C	-1.000
YML021C	-1.000
YEL013W	-1.000
YIL017C	-1.000
YOR089C	-1.000
YOR043W	-1.000
YOL105C	-1.000
YDL032W	-1.000
YDL183C	-1.000
YDR537C	-1.000
YER128W	-1.000
YFL032W	-1.000
YGR050C	-1.000
YGR250C	-1.000
YHR087W	-1.000
YIL028W	-1.000
YIL092W	-1.000
YIL168W	-1.000
YJR088C	-1.000
YJR129C	-1.000
YLL007C	-1.000
YJR110W	-1.000
YNL095C	-1.000
YML027W	-1.000
YPR096C	-1.000
YPR170C	-1.000
YPR197C	-1.000
YCR010C	1.000
YBR108W	1.000
YPL158C	1.000
YBR059C	1.000
YLR102C	1.000
YPL195W	1.000
YBR288C	1.000
YJR058C	1.000
YJL024C	1.000
YDL192W	1.000
YOR094W	1.000
YML099C	1.000
YLR085C	1.000
YDR101C	1.000
YOR058C	1.000
YKL185W	1.000
YBR068C	1.000
YJL020C	1.000
YBR200W	1.000
YOR198C	1.000
YER114C	1.000
YHR114W	1.000
YOR276W	1.000
YMR048W	1.000
YOR042W	1.000
YPL177C	1.000
YKL046C	1.000
YKL054C	1.000
YMR126C	1.000
YER124C	1.000
YNL327W	1.000
YLR318W	1.000
YLR238W	1.000
YNL127W	1.000
YMR052W	1.000
YFR008W	1.000
YBR040W	1.000
YAL053W	1.000
YCL027W	1.000
YDL100C	1.000
YDR309C	1.000
YDR096W	1.000
YDL021W	1.000
YDR098C	1.000
YBR010W	1.000
YCL030C	1.000
YMR161W	1.000
YGL033W	1.000
YEL066W	1.000
YOR267C	1.000
YLL026W	1.000
YJL146W	1.000
YIL002C	1.000
YOL015W	1.000
YDR112W	1.000
YBL063W	1.000
YGR166W	1.000
YCL005W	1.000
YOR298C-A	1.000
YJR010W	1.000
YFR030W	1.000
YPR167C	1.000
YOR177C	1.000
YNL293W	1.000
YIR009W	1.000
YBR119W	1.000
YMR069W	1.000
YDR383C	1.000
YNL175C	1.000
YGL067W	1.000
YJR062C	1.000
YJR051W	1.000
YIL071C	1.000
YML061C	1.000
YML107C	1.000
YOR161C	1.000
YNR032W	1.000
YDL134C	1.000
YDL188C	1.000
YOL045W	1.000
YJR059W	1.000
YNL016W	1.000
YLL013C	1.000
YOR301W	1.000
YBR073W	1.000
YOR127W	1.000
YCL028W	1.000
YBL027W	1.000
YPL220W	1.000
YFL034C-A	1.000
YPR132W	1.000
YNL096C	1.000
YHR038W	1.000
YGR152C	1.000
YOR014W	1.000
YDR181C	1.000
YMR214W	1.000
YIL084C	1.000
YIL074C	1.000
YNL047C	1.000
YDR525W-A	1.000
YJL151C	1.000
YJL036W	1.000
YJR010C-A	1.000
YNL012W	1.000
YHR014W	1.000
YDR218C	1.000
YGR063C	1.000
YPR151C	1.000
YLR372W	1.000
YAL011W	1.000
YIL039W	1.000
YLR237W	1.000
YOR192C	1.000
YGL049C	1.000
YGR221C	1.000
YOR344C	1.000
YDL122W	1.000
YBR165W	1.000
YPL019C	1.000
YNL107W	1.000
YBR012C	1.000
YBR016W	1.000
YCR101C	1.000
YLL055W	1.000
YDR307W	1.000
YGR018C	1.000
YGR139W	1.000
YGL198W	1.000
YJR115W	1.000
YKL047W	1.000
YKR015C	1.000
YMR106C	1.000
YLL020C	1.000
YLR050C	1.000
YLR437C	1.000
YML034W	1.000
YMR086W	1.000
YNL035C	1.000
YNL198C	1.000
YDR285W	1.000
