orf	hap a | cell size | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | round cell shape | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | pointed cell shape | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | elongated cell shape | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | pseudohyphal-like cell shape | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | budding cell shape | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | polarized bud growth cell shape | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | clumped cell shape | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | slight shmoo | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006
YAL002W	0.125	0.0	0.0	0.0	0.0	0.125	0.0	0.0	-1.0
YAL004W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0
YAL005C	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	-2.5
YAL007C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0
YAL008W	-0.25	0.0	0.0	0.25	0.0	0.0	0.0	0.0	-2.0
YAL009W	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	-2.0
YAL010C	-2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.5
YAL011W	0.0	0.0	0.5	0.375	0.0	0.0	0.0	0.0	-2.5
YAL012W	-1.125	0.0	0.5	0.0	0.0	0.0	0.0	0.0	-2.0
YAL013W	-0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5
YAL014C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0
YAL015C	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	-2.0
YAL016W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0
YAL017W	0.0	0.0	0.0	0.125	0.0	0.125	0.0	0.25	-2.5
YAL018C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.5
YAL019W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25	-2.0
YAL020C	-0.125	0.0	0.5	0.0	0.0	0.0	0.0	0.0	
YAL021C	0.0	0.0	0.0	0.375	0.0	0.0	0.0	0.0	0.0
YAL022C	-1.0	0.0	0.25	0.0	0.0	0.125	0.0	0.0	-2.0
YAL023C	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.125	-1.0
