ORF	hap a | cell size | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | round cell shape | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | pointed cell shape | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | elongated cell shape | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | pseudohyphal-like cell shape | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | budding cell shape | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | polarized bud growth cell shape | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | clumped cell shape | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | slight shmoo | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006
YAL002W	0.125	0.000	0.000	0.000	0.000	0.125	0.000	0.000	-1.000
YAL004W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YAL005C	0.000	0.000	0.000	0.250	0.000	0.000	0.000	0.000	-2.500
YAL007C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YAL008W	-0.250	0.000	0.000	0.250	0.000	0.000	0.000	0.000	-2.000
YAL009W	0.000	0.000	0.125	0.000	0.000	0.000	0.000	0.000	-2.000
YAL010C	-2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YAL011W	0.000	0.000	0.500	0.375	0.000	0.000	0.000	0.000	-2.500
YAL012W	-1.125	0.000	0.500	0.000	0.000	0.000	0.000	0.000	-2.000
YAL013W	-0.125	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.500
YAL014C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3.000
YAL015C	0.000	0.000	0.250	0.000	0.000	0.000	0.000	0.000	-2.000
YAL016W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.250	0.000
YAL017W	0.000	0.000	0.000	0.125	0.000	0.125	0.000	0.250	-2.500
YAL018C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YAL019W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.250	-2.000
YAL020C	-0.125	0.000	0.500	0.000	0.000	0.000	0.000	0.000	NaN
YAL021C	0.000	0.000	0.000	0.375	0.000	0.000	0.000	0.000	0.000
YAL022C	-1.000	0.000	0.250	0.000	0.000	0.125	0.000	0.000	-2.000
YAL023C	0.000	0.125	0.000	0.000	0.000	0.000	0.000	0.125	-1.000
YAL024C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YAL026C	-0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3.500
YAL027W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YAL028W	0.000	0.000	0.125	0.000	0.000	0.000	0.000	0.000	0.000
YAL029C	0.000	1.125	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YAL030W	0.000	0.000	0.750	0.000	0.000	0.000	0.000	0.000	-1.500
YAL031C	0.125	0.000	0.000	0.125	0.000	0.000	0.000	0.000	-2.500
YAL034C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YAL035W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YAL036C	-0.500	0.000	0.125	0.000	0.000	0.000	0.000	0.000	-1.500
YAL037W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YAL039C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YAL040C	-0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.500
YAL042W	-0.375	0.000	0.750	0.000	0.000	0.000	0.000	0.000	-2.000
YAL043C-A	0.000	0.000	0.000	0.125	0.000	0.000	0.000	0.000	-2.000
YAL044C	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	-2.000
YAL045C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.500
YAL046C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3.000
YAL047C	0.750	0.000	0.750	0.750	0.000	0.000	0.000	0.000	0.000
YAL048C	-0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YAL049C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YAL051W	0.000	0.000	0.500	0.250	0.000	0.000	0.000	0.250	-1.500
YAL053W	0.000	0.000	0.250	0.000	0.000	0.000	0.000	0.000	-2.000
YAL054C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.250	-2.000
YAL055W	-0.250	0.000	0.500	0.000	0.000	0.000	0.000	0.250	-2.500
YAL056W	0.000	0.000	0.125	0.125	0.000	0.000	0.000	0.125	-1.500
YAL058C-A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YAL058W	0.000	0.000	0.250	0.125	0.000	0.000	0.000	0.000	-2.000
YAL059W	0.125	0.000	0.125	0.000	0.000	0.000	0.000	0.000	-0.500
YAL060W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3.000
YAL061W	-0.500	0.000	0.125	0.250	0.000	0.000	0.000	0.000	-1.500
YAL062W	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	-3.000
YAL064C-A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YAL065C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.500
YAL066W	0.000	0.000	0.125	0.000	0.000	0.000	0.000	0.625	-1.500
YAL067C	0.000	0.000	0.000	0.250	0.000	0.000	0.000	0.125	-2.000
YAL068C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.125	-2.000
YAR002C-A	0.000	0.500	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YAR002W	0.000	0.000	0.000	0.500	0.000	0.000	0.000	0.125	-2.000
YAR003W	-0.750	0.250	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YAR014C	0.000	0.000	0.000	0.250	0.000	0.000	0.000	0.000	-1.000
YAR015W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.000
YAR018C	0.000	0.000	0.000	1.875	0.000	0.000	0.000	0.000	-1.500
YAR020C	-0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.500
YAR023C	0.125	0.250	0.375	0.250	0.000	0.000	0.000	0.000	-2.000
YAR027W	-0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YAR028W	0.000	0.000	0.750	0.000	0.000	0.000	0.000	0.125	-1.500
YAR029W	-0.500	0.000	0.125	0.000	0.000	0.000	0.250	0.000	-1.500
YAR030C	0.000	0.000	0.000	0.625	0.000	0.000	0.000	0.000	-2.000
YAR031W	0.000	0.000	1.000	0.500	0.000	0.000	0.000	0.875	-1.500
YAR035W	0.000	0.000	0.125	0.000	0.000	0.000	0.000	0.000	-3.000
YAR037W	0.000	0.000	0.375	0.000	0.000	0.000	0.000	0.000	-2.000
YAR040C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.500
YAR042W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.500
YAR043C	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	-2.500
YAR044W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YAR047C	0.000	0.000	0.125	0.000	0.000	0.000	0.000	0.125	-3.000
YAR050W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YBL001C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBL002W	-0.125	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBL003C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YBL005W	0.000	0.000	0.000	0.250	0.000	0.250	0.000	1.000	-1.000
YBL006C	0.000	0.000	0.000	2.125	0.000	0.000	0.000	0.250	-0.500
YBL007C	0.500	0.000	0.000	0.000	0.000	0.500	0.000	0.000	-1.000
YBL008W	-1.000	0.000	0.000	0.250	0.000	0.000	0.000	0.000	-2.000
YBL009W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YBL010C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YBL011W	0.000	0.000	0.125	0.000	0.000	0.000	0.000	0.000	-2.000
YBL012C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBL013W	0.000	0.000	0.000	0.125	0.000	0.000	0.000	0.000	-1.500
YBL015W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.500
YBL016W	0.000	0.000	0.500	0.875	0.000	0.000	0.000	0.000	-1.500
YBL017C	0.500	0.000	1.125	0.500	0.000	0.000	0.000	0.000	-1.500
YBL019W	0.000	0.000	0.000	0.250	0.000	0.000	0.000	0.000	-1.500
YBL021C	0.000	0.000	0.000	0.125	0.000	0.000	0.000	0.000	-2.000
YBL022C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBL024W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBL025W	0.000	0.000	0.250	0.125	0.000	0.000	0.000	0.000	0.000
YBL027W	-0.750	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YBL028C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.750	-1.500
YBL029W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.000
YBL031W	0.000	0.000	0.500	1.250	0.000	0.000	0.000	0.000	-2.000
YBL032W	0.000	0.000	0.000	0.500	0.000	0.000	0.000	0.000	-1.000
YBL033C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBL036C	-0.750	0.000	0.875	0.125	0.000	0.000	0.000	0.000	0.000
YBL037W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBL038W	-0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.000
YBL039C	0.000	0.000	0.125	0.750	0.000	0.000	0.000	0.000	-1.000
YBL042C	0.000	0.000	0.750	0.000	0.000	0.500	0.000	0.000	-2.000
YBL043W	0.000	0.000	0.125	0.000	0.000	0.000	0.000	0.000	-1.500
YBL044W	-0.375	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YBL045C	-0.500	0.000	0.500	0.000	0.000	0.000	0.000	0.000	-1.500
YBL046W	-0.250	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YBL047C	0.375	0.000	0.750	0.000	0.000	0.000	0.000	0.000	-2.000
YBL048W	0.000	0.000	0.500	0.250	0.000	0.125	0.000	0.000	-1.000
YBL049W	0.000	0.000	0.000	1.250	0.000	0.000	0.000	0.000	-1.500
YBL051C	0.000	0.000	1.000	0.250	0.000	0.000	0.000	0.000	-2.000
YBL052C	0.000	0.000	0.000	0.500	0.000	0.000	0.000	0.000	-1.000
YBL053W	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	-1.500
YBL054W	0.000	0.000	0.500	0.000	0.000	0.000	0.125	0.000	0.000
YBL055C	-0.125	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YBL056W	0.375	0.000	0.000	0.875	0.000	0.000	0.000	0.000	-1.000
YBL057C	0.000	0.000	0.125	0.125	0.000	0.000	0.000	0.250	-2.000
YBL058W	0.000	0.000	0.000	0.250	0.000	0.000	0.000	0.000	0.000
