orf	hap a | cell size | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | round cell shape | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | pointed cell shape | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | elongated cell shape | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | pseudohyphal-like cell shape | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | budding cell shape | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | polarized bud growth cell shape | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | clumped cell shape | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | slight shmoo | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006
YAL002W	0.33678608948499045	0.0	0.0	0.0	0.0	2.176337111956494	0.0	0.0	0.8874359048382713
YAL004W	-0.033678608948498646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.018297647522438704
YAL005C	-0.033678608948498646	0.0	0.0	0.837238321488074	0.0	0.0	0.0	0.0	-0.4711644237027937
YAL007C	-0.033678608948498646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.018297647522438704
YAL008W	-0.7746080058154768	0.0	0.0	0.837238321488074	0.0	0.0	0.0	0.0	-0.018297647522438704
YAL009W	-0.033678608948498646	0.0	0.4165237548289528	0.0	0.0	0.0	0.0	0.0	-0.018297647522438704
YAL010C	-5.961113783884324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4345691286579163
YAL011W	-0.033678608948498646	0.0	1.6660950193158113	1.2558574822321111	0.0	0.0	0.0	0.0	-0.4711644237027937
YAL012W	-3.3678608948499007	0.0	1.6660950193158113	0.0	0.0	0.0	0.0	0.0	-0.018297647522438704
YAL013W	-0.4041433073819877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3403026810186263
YAL014C	-0.033678608948498646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.9240311998831487
YAL015C	-0.033678608948498646	0.0	0.8330475096579056	0.0	0.0	0.0	0.0	0.0	-0.018297647522438704
YAL016W	-0.033678608948498646	0.0	0.0	0.0	0.0	0.0	0.0	1.785773025013796	1.7931694571989814
YAL017W	-0.033678608948498646	0.0	0.0	0.418619160744037	0.0	2.176337111956494	0.0	1.785773025013796	-0.4711644237027937
YAL018C	-0.033678608948498646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4345691286579163
YAL019W	-0.033678608948498646	0.0	0.0	0.0	0.0	0.0	0.0	16.071957225124162	-0.018297647522438704
YAL020C	-0.4041433073819877	0.0	1.6660950193158113	0.0	0.0	0.0	0.0	0.0	
YAL021C	-0.033678608948498646	0.0	0.0	1.2558574822321111	0.0	0.0	0.0	0.0	1.7931694571989814
