orf	hap a | growth (spot assay) | disodium selenite [0.05-0.5 mM] | Manikova D~Chovanec M, 2012
YAL012W	16.0
YAL016W	12.0
YBL024W	18.0
YBL025W	18.0
YBL093C	18.0
YBL103C	9.0
YBR081C	12.0
YBR094W	9.0
YBR098W	13.5
YBR101C	18.0
YBR127C	20.0
YBR191W	9.0
YBR231C	9.0
YCL005W-A	16.0
YCL007C	16.0
YCL016C	15.0
YCL035C	15.0
YCL037C	9.0
YCR002C	18.0
YCR009C	18.0
YCR047C	13.5
YCR081W	18.0
YCR086W	9.0
YDL040C	13.5
YDL059C	18.0
YDL077C	9.0
YDL116W	18.0
YDL160C	18.0
YDL185W	30.0
YDL232W	9.0
YDR004W	24.0
YDR028C	9.0
YDR069C	9.0
YDR076W	18.0
YDR129C	18.0
YDR138W	12.0
YDR174W	18.0
YDR176W	18.0
YDR195W	20.0
YDR264C	20.0
YDR323C	18.0
YDR369C	30.0
YDR386W	24.0
YDR388W	18.0
YDR432W	24.0
YDR433W	18.0
YDR448W	21.0
YDR470C	10.0
YDR477W	9.0
YDR495C	20.0
YDR502C	9.0
YDR529C	20.0
YEL027W	12.0
YEL044W	9.0
YEL051W	20.0
YER014W	10.0
YER026C	12.0
YER087W	10.0
YER095W	21.0
YER149C	8.0
YER151C	9.0
YER164W	9.0
YER173W	9.0
YER181C	9.0
YFR010W	18.0
YFR019W	9.0
YFR036W	18.0
YGL019W	9.0
YGL038C	8.0
YGL058W	18.0
YGL070C	12.0
YGL163C	18.0
YGL190C	13.5
YGL223C	10.0
YGR020C	20.0
YGR028W	9.0
YGR078C	13.5
YGR104C	9.0
YGR105W	21.0
YGR223C	18.0
YGR252W	18.0
YHL023C	9.0
YHL025W	18.0
YHR013C	18.0
YHR021C	24.0
YHR060W	24.0
YHR154W	18.0
YHR191C	9.0
YIL128W	12.0
YIL148W	21.0
YIR026C	8.0
YJL101C	24.0
YJL136C	9.0
YJL140W	16.0
YJL175W	18.0
YJL176C	16.0
YJL180C	10.0
YJL184W	10.0
YJL189W	20.0
YJR018W	18.0
YJR060W	12.0
YJR074W	9.0
YJR090C	12.0
YJR139C	18.0
YKL054C	16.0
YKL080W	16.0
YKL118W	24.0
YKL119C	21.0
YKL213C	13.5
YLL002W	11.0
YLL006W-A	9.0
YLR032W	18.0
YLR182W	15.0
YLR240W	20.0
YLR320W	18.0
YLR338W	18.0
YML032C	18.0
YML097C	9.0
YML111W	9.0
YMR001C-A	9.0
YMR031W-A	18.0
YMR060C	12.0
YMR078C	18.0
YMR091C	18.0
YMR198W	18.0
YMR224C	24.0
YNL059C	12.0
YNL107W	21.0
YNL147W	9.0
YNL171C	18.0
YNL250W	21.0
YNR006W	18.0
YOL006C	9.0
YOL011W	9.0
YOL012C	18.0
YOL049W	9.0
YOL067C	12.0
YOL076W	9.0
YOL086C	12.0
YOL143C	10.0
YOL145C	18.0
YOL148C	12.0
YOR039W	18.0
YOR106W	9.0
YOR141C	18.0
YOR270C	9.0
YOR273C	18.0
YOR290C	8.0
YOR295W	21.0
YOR331C	20.0
YOR332W	20.0
YOR368W	9.0
YOR386W	9.0
YPL004C	18.0
YPL017C	18.0
YPL024W	18.0
YPL055C	9.0
YPL075W	10.0
YPL084W	18.0
YPL091W	30.0
YPL120W	18.0
YPL129W	20.0
YPL226W	18.0
YPL234C	30.0
YPL272C	9.0
YPR036W	18.0
YPR099C	10.0
YPR131C	12.0
YPR135W	12.0
YPR141C	18.0
YPR163C	18.0
YPR164W	18.0
