ORF	hom | rDNA copy number | standard | None | Puddu F~Jackson SP, 2019	hom | genome instability (CUP1 copy number) | standard | None | Puddu F~Jackson SP, 2019	hom | mtDNA copy number | standard | None | Puddu F~Jackson SP, 2019	hom | 2micron copy number | standard | None | Puddu F~Jackson SP, 2019	hom | transposable element copy number (Ty1) | standard | None | Puddu F~Jackson SP, 2019	hom | transposable element copy number (Ty2) | standard | None | Puddu F~Jackson SP, 2019	hom | transposable element copy number (Ty3) | standard | None | Puddu F~Jackson SP, 2019	hom | transposable element copy number (Ty4) | standard | None | Puddu F~Jackson SP, 2019	hom | transposable element copy number (Ty5) | standard | None | Puddu F~Jackson SP, 2019	hom | telomere length | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 1) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 2) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 3) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 4) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 5) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 6) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 7) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 8) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 9) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 10) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 11) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 12) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 13) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 14) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 15) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 16) | standard | None | Puddu F~Jackson SP, 2019	hom | genome instability (number of subchromosomal deletions/amplifications) | standard | None | Puddu F~Jackson SP, 2019
YAL064C-A	113.546	14.446	15.609	48.474	37.804	11.392	1.986	3.090	1.205	633.160	2.000	2.000	2.000	2.000	2.000	2.000	2.000	2.000	2.000	2.000	2.000	2.119	2.000	2.000	2.000	2.000	0.000
YBL091C-A	103.929	17.876	13.955	47.041	37.465	11.045	1.896	3.082	1.141	660.551	2.000	2.000	2.000	2.000	2.000	2.000	2.000	2.000	2.000	2.000	2.000	2.119	2.000	2.000	2.000	2.000	0.000
YBR269C	123.201	14.004	16.098	60.978	37.617	10.992	1.909	2.988	1.103	612.956	2.000	2.000	2.000	2.000	2.000	1.779	2.000	2.000	1.876	2.000	3.000	2.137	2.000	2.000	2.000	2.000	0.000
YBR271W	95.449	15.496	14.693	49.448	37.788	11.594	1.994	3.066	1.112	722.076	1.774	2.000	2.000	2.000	2.000	1.866	2.000	2.000	2.000	2.000	2.000	2.164	2.000	2.000	2.000	2.000	0.000
YBR273C	103.908	14.168	15.907	51.361	37.716	10.689	1.956	3.026	1.111	699.986	2.000	2.000	2.000	2.000	2.000	1.790	2.000	2.000	2.000	2.000	2.000	2.344	2.000	2.000	2.000	2.000	0.000
YBR274W	106.916	11.472	14.871	62.968	37.460	10.521	1.947	3.031	1.149	665.977	1.879	2.000	2.000	2.000	2.000	1.883	2.000	2.000	2.000	2.000	2.000	2.272	2.000	2.000	2.000	2.000	0.000
YBR277C	80.954	13.934	23.284	85.362	37.594	11.509	1.906	3.013	1.033	835.905	1.881	2.000	2.000	2.000	2.000	2.000	2.000	2.000	2.000	2.000	3.000	2.322	2.000	2.000	2.000	2.000	0.000
YBR278W	82.238	13.823	22.642	48.516	37.999	11.651	2.017	3.057	1.048	724.820	1.888	2.000	2.000	2.000	2.000	2.000	2.135	2.000	2.000	2.000	3.000	2.306	2.000	2.000	2.000	2.000	0.000
YBR279W	132.848	15.931	1.129	89.153	40.943	10.978	1.941	3.072	1.069	836.953	2.000	2.000	2.000	2.000	2.000	2.000	2.000	2.000	2.000	2.000	3.000	2.000	2.000	2.000	2.000	2.000	0.000
YBR281C	125.568	14.521	17.135	41.463	36.904	11.595	1.928	2.956	0.926	745.593	1.877	2.000	2.000	2.000	2.000	1.837	2.000	2.000	2.000	2.000	3.000	2.258	2.000	2.000	2.000	2.000	0.000
YBR282W	92.841	14.416	0.265	29.664	38.058	12.602	2.487	3.031	1.012	715.596	2.000	2.000	2.000	2.000	2.000	1.883	2.000	2.000	2.000	2.000	4.000	2.000	2.000	2.000	2.000	2.000	2.000
YBR283C	111.421	13.299	16.678	39.087	36.917	11.355	1.953	2.929	1.020	873.260	1.500	2.000	1.899	2.000	2.000	1.825	2.000	2.000	2.000	1.896	2.848	2.164	2.000	2.000	2.000	2.000	0.000
