orf	hom | rDNA copy number | standard | None | Puddu F~Jackson SP, 2019	hom | genome instability (CUP1 copy number) | standard | None | Puddu F~Jackson SP, 2019	hom | mtDNA copy number | standard | None | Puddu F~Jackson SP, 2019	hom | 2micron copy number | standard | None | Puddu F~Jackson SP, 2019	hom | transposable element copy number (Ty1) | standard | None | Puddu F~Jackson SP, 2019	hom | transposable element copy number (Ty2) | standard | None | Puddu F~Jackson SP, 2019	hom | transposable element copy number (Ty3) | standard | None | Puddu F~Jackson SP, 2019	hom | transposable element copy number (Ty4) | standard | None | Puddu F~Jackson SP, 2019	hom | transposable element copy number (Ty5) | standard | None | Puddu F~Jackson SP, 2019	hom | telomere length | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 1) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 2) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 3) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 4) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 5) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 6) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 7) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 8) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 9) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 10) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 11) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 12) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 13) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 14) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 15) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 16) | standard | None | Puddu F~Jackson SP, 2019	hom | genome instability (number of subchromosomal deletions/amplifications) | standard | None | Puddu F~Jackson SP, 2019
YAL002W	123.2135833851375	14.362178068435249	17.8961346903459	52.27531288099685	37.5821476525956	12.2486585129791	1.94747403516358	3.041456582633055	1.030599277660325	654.2691539561094	2.0	2.0	1.88532196831954	2.0	2.0	1.89365699022572	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL004W	118.3052562073405	14.500184823442101	15.0272987089127	44.68049424995977	37.4468512521155	11.531497059451375	1.9995659554584	2.97562926448943	1.0528338736146783	723.292009951903	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL005C	102.91120934922421	14.489284713478352	18.98022960138195	70.004081908044	37.18778340295765	11.94903378489375	1.91665267396616	3.0466899172256348	1.096374465496625	719.1049958183689	2.0	2.0	2.0	2.0	2.0	1.8847075677015899	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL007C	123.82433866597151	9.190081575769224	17.782726606747	43.6814338537462	37.073962243371795	11.129481586667751	1.97163225827822	3.0813168501724197	1.152643009889225	740.1900504148695	2.0	2.0	2.0	2.0	2.0	1.8943067045468749	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL008W	131.514270905925	14.000380640975251	14.49771567801125	33.58050791016145	37.1193372474073	11.20304303656565	1.98627276808446	3.0088373295160853	1.048205770878293	717.387161846711	1.88617116668327	2.0	2.0	2.0	2.0	1.84798744644814	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL009W	132.0653909622365	14.0898198278558	16.39471736119865	89.3900693643061	37.62571287994885	11.9300537981987	1.89648635933489	2.960381665774925	1.0569865293383298	716.6696967358405	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL010C	107.0605523011165	13.79621244680035	0.115543470121587	47.45105358600545	38.5655141036979	11.4991745631954	1.925188877764715	2.833651570787435	1.08880118145743	831.7240714134284	1.880659398474265	3.0	2.0	2.0	2.0	1.85338906263701	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL011W	88.91367837348915	13.6234543816862	20.719565196984753	40.589803029423294	37.6402997314757	11.57412869327875	1.897816541430515	2.96425786688945	1.1405954855573301	751.06524445231	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL012W	121.8814596947285	14.4595468688775	16.98558221404415	31.07037746844135	37.43017542645095	11.5404013837233	1.9236443056473	2.99383138997248	1.07040225920629	614.1780901630666	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL013W	115.21681604673199	14.50452657826655	22.650205404268497	36.5276318158062	37.32391827192525	10.572960621042998	2.035152994413755	3.0662204373047803	1.1533620907874	701.115262316803	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
