orf	hap a | growth (colony size) | TPZ (tirapazamine [200-750 uM]) | Hellauer K~Turcotte B, 2005
YAL002W	0.05538069132738919
YAL004W	0.05538069132738919
YAL005C	0.05538069132738919
YAL007C	0.05538069132738919
YAL008W	0.05538069132738919
YAL009W	0.05538069132738919
YAL010C	0.05538069132738919
YAL011W	0.05538069132738919
YAL012W	0.05538069132738919
YAL013W	0.05538069132738919
YAL014C	0.05538069132738919
YAL015C	0.05538069132738919
YAL016W	0.05538069132738919
YAL017W	0.05538069132738919
YAL018C	0.05538069132738919
YAL019W	0.05538069132738919
YAL020C	0.05538069132738919
YAL021C	0.05538069132738919
YAL022C	0.05538069132738919
YAL023C	0.05538069132738919
YAL024C	0.05538069132738919
YAL026C	0.05538069132738919
YAL027W	0.05538069132738919
YAL028W	0.05538069132738919
YAL029C	0.05538069132738919
YAL030W	0.05538069132738919
YAL031C	0.05538069132738919
YAL034C	0.05538069132738919
YAL035W	0.05538069132738919
YAL036C	0.05538069132738919
YAL037W	0.05538069132738919
YAL039C	0.05538069132738919
YAL040C	0.05538069132738919
YAL042W	0.05538069132738919
YAL042C-A	0.05538069132738919
YAL044C	0.05538069132738919
YAL045C	0.05538069132738919
YAL047C	0.05538069132738919
YAL049C	0.05538069132738919
YAL051W	0.05538069132738919
YAL053W	0.05538069132738919
YAL054C	0.05538069132738919
YAL055W	0.05538069132738919
YAL056W	0.05538069132738919
YAL056C-A	0.05538069132738919
YAL058W	0.05538069132738919
YAL059W	5.538069132738923
YAL060W	5.538069132738923
YAL061W	0.05538069132738919
YAL062W	0.05538069132738919
YAL064C-A	0.05538069132738919
YAL065C	5.538069132738923
YAL066W	0.05538069132738919
YAL067C	0.05538069132738919
YAL068C	0.05538069132738919
YAR002C-A	0.05538069132738919
YAR002W	0.05538069132738919
YAR003W	0.05538069132738919
YAR014C	0.05538069132738919
YAR015W	0.05538069132738919
YAR018C	0.05538069132738919
YAR020C	0.05538069132738919
YAR023C	3.710506318935079
YAR027W	5.538069132738923
