APQ13	YJL075C
AUP1	YCR079W
BET1	YIL004C
CDC23	YHR166C
CFD1	YIL003W
DPS1	YLL018C
FMP12	YHL021C
FMP13	YKR016W
FMP22	YHR198C
FMP24	YMR115W
FMP26	YJR080C
FMP29	YER080W
FMP31	YOR286W
FMP34	YHR199C
FMP35	YIL157C
FMP36	YDR493W
FMP39	YMR157C
FMP42	YMR221C
FMP51	YBR262C
GPI16	YHR188C
IRC1	YDL071C
IRC12	YOR024W
IRR1	YIL026C
LIP1	YMR298W
MDN1	YLR106C
MNI1	YIL110W
MNI2	YPR045C
MSU1	YMR287C
RCS1	YGL071W
SOY1	YBR194W
SPC3	YLR066W
TMA29	YMR226C
WSP1	YOR220W
ZSP1	YBR287W
