orf	hom | HEMF production capacity | standard | HEMF production media | Uehara K~Shimoi H, 2015
YAL035W	1.9
YAR015W	3.7
YDR138W	1.6
YDR392W	1.0
YDR408C	0.8999999999999999
YGL058W	1.0
YGL095C	2.2
YGR061C	3.5
YGR204W	5.3
YMR038C	3.2
YMR300C	0.8999999999999999
YNL297C	1.2000000000000002
YOL086C	9.7
YPR139C	1.0
