ORF	growth [spot assay];lactic acid [5.1% w/v], pH [2.7]	growth [spot assay];lactic acid [3.1% w/v], pH [2.9]	growth [spot assay];HCl [0.28% w/v], pH [2.4]	growth [spot assay];HCl [0.24% w/v], pH [2.6]	growth [spot assay];acetic acid [0.5% w/v], pH [4.2]	growth [spot assay];acetic acid [0.4% w/v], pH [4.3]
YAL014C	1.000	0.000	0.000	0.000	1.000	0.000
YAL016W	0.000	0.000	0.000	-1.000	0.000	-1.000
YAL021C	0.000	0.000	0.000	-1.000	0.000	-1.000
YAL026C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YAL031C	0.000	0.000	0.000	0.000	1.000	0.000
YAL034C	0.000	0.000	0.000	0.000	1.000	0.000
YAL044C	0.000	0.000	0.000	-1.000	0.000	0.000
YAL045C	0.000	0.000	0.000	0.000	1.000	0.000
YAL047C	0.000	-1.000	0.000	0.000	0.000	-1.000
YAL051W	0.000	0.000	0.000	0.000	1.000	0.000
YBL025W	0.000	0.000	0.000	-1.000	0.000	0.000
YBL058W	0.000	0.000	0.000	-1.000	0.000	0.000
YBL079W	0.000	0.000	0.000	-1.000	0.000	0.000
YBL082C	0.000	0.000	0.000	0.000	0.000	-1.000
YBL083C	0.000	0.000	0.000	0.000	0.000	-1.000
YBL093C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YBL103C	0.000	0.000	0.000	0.000	1.000	0.000
YBR021W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YBR026C	0.000	0.000	0.000	-1.000	0.000	0.000
YBR035C	0.000	0.000	0.000	-1.000	0.000	0.000
YBR036C	0.000	-1.000	0.000	0.000	0.000	-1.000
YBR058C-A	0.000	-1.000	0.000	0.000	0.000	0.000
YBR068C	0.000	-1.000	0.000	-1.000	0.000	0.000
YBR097W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YBR111C	0.000	0.000	1.000	0.000	1.000	0.000
YBR126C	0.000	0.000	0.000	-1.000	0.000	0.000
YBR127C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YBR128C	0.000	0.000	0.000	-1.000	0.000	-1.000
YBR131W	0.000	0.000	1.000	0.000	1.000	0.000
YBR164C	0.000	0.000	0.000	-1.000	0.000	0.000
YBR166C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YBR170C	0.000	0.000	1.000	0.000	0.000	0.000
YBR191W	0.000	0.000	0.000	-1.000	0.000	0.000
YBR194W	0.000	0.000	1.000	0.000	1.000	0.000
YBR221C	0.000	0.000	0.000	-1.000	0.000	0.000
YBR229C	0.000	0.000	0.000	0.000	0.000	-1.000
YBR260C	0.000	-1.000	0.000	0.000	0.000	-1.000
YBR279W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YBR289W	0.000	-1.000	0.000	-1.000	0.000	0.000
YBR290W	0.000	0.000	0.000	-1.000	0.000	0.000
YCL002C	0.000	0.000	0.000	-1.000	0.000	0.000
YCL007C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YCL038C	1.000	0.000	0.000	0.000	0.000	0.000
YCL062W	0.000	0.000	0.000	0.000	1.000	0.000
YCL063W	0.000	0.000	0.000	0.000	1.000	0.000
YCR002C	0.000	0.000	0.000	0.000	0.000	-1.000
YCR008W	0.000	0.000	1.000	0.000	0.000	0.000
YCR020W-B	0.000	-1.000	0.000	-1.000	0.000	-1.000
YCR033W	0.000	0.000	0.000	-1.000	0.000	0.000
YCR034W	0.000	0.000	0.000	-1.000	0.000	0.000
YCR044C	0.000	0.000	0.000	0.000	0.000	-1.000
YCR047C	0.000	-1.000	0.000	-1.000	0.000	0.000
YCR053W	0.000	-1.000	0.000	0.000	0.000	-1.000
YCR077C	0.000	0.000	0.000	0.000	0.000	-1.000
YCR079W	0.000	0.000	0.000	-1.000	0.000	0.000
YDL046W	0.000	0.000	1.000	0.000	1.000	0.000
YDL047W	0.000	0.000	0.000	0.000	0.000	-1.000
YDL048C	0.000	0.000	1.000	0.000	1.000	0.000
YDL081C	0.000	0.000	0.000	-1.000	0.000	-1.000
YDL096C	0.000	0.000	0.000	0.000	0.000	-1.000
YDL100C	0.000	0.000	0.000	-1.000	0.000	0.000
YDL118W	0.000	0.000	0.000	-1.000	0.000	0.000
YDL134C	0.000	0.000	1.000	0.000	0.000	0.000
YDL137W	0.000	0.000	1.000	0.000	0.000	0.000
YDL160C	0.000	0.000	0.000	0.000	0.000	-1.000
YDL172C	0.000	0.000	0.000	-1.000	0.000	0.000
YDL173W	0.000	0.000	0.000	-1.000	0.000	0.000
YDL185W	0.000	0.000	0.000	0.000	0.000	-1.000
YDL225W	1.000	0.000	0.000	0.000	0.000	0.000
YDL232W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YDL240W	1.000	0.000	0.000	0.000	0.000	0.000
YDR007W	0.000	0.000	0.000	-1.000	0.000	0.000
YDR008C	0.000	0.000	0.000	-1.000	0.000	0.000
