ORF	growth [spot assay];lactic acid [5.1% w/v], pH [2.7]	growth [spot assay];lactic acid [3.1% w/v], pH [2.9]	growth [spot assay];HCl [0.28% w/v], pH [2.4]	growth [spot assay];HCl [0.24% w/v], pH [2.6]	growth [spot assay];acetic acid [0.5% w/v], pH [4.2]	growth [spot assay];acetic acid [0.4% w/v], pH [4.3]
YDR017C	0.000	0.000	0.000	-1.000	0.000	-1.000
YDR058C	0.000	0.000	1.000	0.000	0.000	0.000
YDR074W	0.000	0.000	0.000	-1.000	0.000	0.000
YDR077W	1.000	0.000	0.000	0.000	0.000	0.000
YDR092W	1.000	0.000	1.000	0.000	1.000	0.000
YDR127W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YDR136C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YDR137W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YDR138W	0.000	0.000	0.000	0.000	0.000	-1.000
YDR140W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YDR158W	0.000	-1.000	0.000	0.000	0.000	-1.000
YDR162C	0.000	0.000	0.000	0.000	0.000	-1.000
YDR173C	0.000	0.000	0.000	0.000	0.000	-1.000
YDR195W	0.000	0.000	0.000	-1.000	0.000	-1.000
YDR227W	0.000	0.000	1.000	0.000	0.000	0.000
YDR293C	0.000	0.000	0.000	0.000	0.000	-1.000
YDR323C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YDR346C	1.000	0.000	0.000	0.000	1.000	0.000
YDR359C	1.000	0.000	0.000	-1.000	0.000	0.000
YDR360W	1.000	0.000	0.000	-1.000	0.000	0.000
YDR364C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YDR378C	0.000	0.000	0.000	-1.000	0.000	0.000
YDR392W	0.000	0.000	0.000	0.000	0.000	-1.000
YDR417C	0.000	0.000	0.000	-1.000	0.000	0.000
YDR432W	0.000	0.000	0.000	-1.000	0.000	0.000
YDR433W	0.000	0.000	0.000	-1.000	0.000	0.000
YDR442W	0.000	0.000	0.000	-1.000	0.000	-1.000
YDR456W	0.000	-1.000	0.000	0.000	0.000	0.000
YDR495C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YDR509W	0.000	0.000	1.000	0.000	0.000	0.000
YEL007W	0.000	0.000	0.000	-1.000	0.000	0.000
YEL017C-A	0.000	0.000	0.000	-1.000	0.000	0.000
YEL018W	1.000	0.000	0.000	-1.000	0.000	0.000
YEL027W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YEL029C	0.000	0.000	0.000	-1.000	0.000	0.000
YEL036C	0.000	0.000	0.000	-1.000	0.000	0.000
YEL043W	0.000	0.000	1.000	0.000	1.000	0.000
YEL044W	0.000	0.000	0.000	0.000	0.000	-1.000
YEL045C	0.000	-1.000	0.000	0.000	0.000	-1.000
YEL046C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YEL051W	0.000	0.000	0.000	0.000	0.000	-1.000
YEL053C	0.000	0.000	0.000	0.000	1.000	0.000
YEL059W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YER005W	0.000	0.000	1.000	0.000	0.000	0.000
YER014C-A	0.000	0.000	0.000	-1.000	0.000	0.000
YER044C	0.000	0.000	0.000	-1.000	0.000	-1.000
YER052C	0.000	-1.000	0.000	0.000	0.000	-1.000
YER057C	0.000	-1.000	0.000	0.000	0.000	0.000
YER068W	0.000	0.000	0.000	0.000	0.000	-1.000
YER070W	0.000	0.000	0.000	-1.000	0.000	-1.000
YER083C	0.000	0.000	0.000	0.000	0.000	-1.000
YER086W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YER113C	1.000	0.000	0.000	0.000	0.000	0.000
YER120W	1.000	0.000	0.000	0.000	0.000	0.000
YER124C	1.000	0.000	0.000	0.000	0.000	0.000
YER155C	0.000	0.000	0.000	-1.000	0.000	-1.000
YFL016C	0.000	0.000	0.000	-1.000	0.000	0.000
YFL018C	0.000	0.000	0.000	-1.000	0.000	0.000
YFL025C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YFR044C	0.000	0.000	1.000	0.000	0.000	0.000
YGL007C-A	0.000	-1.000	0.000	-1.000	0.000	-1.000
YGL007W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YGL012W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YGL024W	0.000	0.000	0.000	-1.000	0.000	0.000
YGL025C	0.000	0.000	0.000	-1.000	0.000	0.000
YGL026C	0.000	0.000	0.000	-1.000	0.000	0.000
YGL027C	0.000	0.000	0.000	0.000	0.000	-1.000
YGL028C	1.000	0.000	1.000	0.000	0.000	0.000
YGL035C	0.000	0.000	0.000	-1.000	0.000	0.000
YGL038C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YGL042C	0.000	0.000	0.000	-1.000	0.000	0.000
YGL054C	0.000	0.000	0.000	-1.000	0.000	0.000
YGL058W	0.000	-1.000	0.000	0.000	0.000	0.000
YGL070C	0.000	-1.000	0.000	-1.000	0.000	0.000
YGL080W	0.000	0.000	1.000	0.000	0.000	0.000
YGL084C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YGL095C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YGL104C	1.000	0.000	0.000	0.000	0.000	0.000
YGL135W	0.000	0.000	0.000	-1.000	0.000	0.000
YGL143C	0.000	-1.000	0.000	-1.000	0.000	0.000
YGL148W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YGL168W	0.000	0.000	0.000	0.000	0.000	-1.000
YGL177W	1.000	0.000	0.000	0.000	0.000	0.000
YGL188C-A	0.000	0.000	0.000	-1.000	0.000	0.000
YGL194C	0.000	0.000	0.000	-1.000	0.000	0.000
YGL200C	1.000	0.000	0.000	0.000	0.000	0.000
YGL203C	0.000	0.000	0.000	0.000	0.000	-1.000
YGL206C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YGL212W	0.000	0.000	1.000	0.000	0.000	0.000
YGR020C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YGR036C	0.000	0.000	0.000	-1.000	0.000	-1.000
YGR063C	0.000	0.000	0.000	-1.000	0.000	-1.000
YGR064W	0.000	0.000	0.000	-1.000	0.000	-1.000
YGR105W	0.000	0.000	0.000	-1.000	0.000	-1.000
YGR163W	0.000	0.000	0.000	-1.000	0.000	0.000
YGR166W	0.000	-1.000	0.000	0.000	0.000	-1.000
YGR167W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YGR196C	0.000	-1.000	0.000	0.000	0.000	-1.000
YGR206W	1.000	0.000	1.000	0.000	0.000	0.000
YGR217W	0.000	-1.000	0.000	0.000	0.000	-1.000
YGR227W	0.000	0.000	0.000	0.000	0.000	-1.000
YGR229C	0.000	0.000	0.000	-1.000	0.000	-1.000
YGR240C	0.000	0.000	0.000	-1.000	0.000	0.000
YGR262C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YGR270W	0.000	0.000	1.000	0.000	0.000	0.000
YGR285C	0.000	0.000	0.000	0.000	1.000	0.000
YHL002W	1.000	0.000	0.000	0.000	0.000	0.000
YHL009C	0.000	0.000	0.000	0.000	1.000	0.000
YHL011C	0.000	-1.000	0.000	-1.000	0.000	0.000
YHL025W	0.000	-1.000	0.000	-1.000	0.000	0.000
YHR012W	0.000	-1.000	0.000	0.000	0.000	-1.000
YHR025W	0.000	-1.000	0.000	0.000	0.000	-1.000
YHR026W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YHR030C	0.000	-1.000	0.000	0.000	0.000	-1.000
YHR039C-B	0.000	0.000	0.000	0.000	0.000	-1.000
YHR064C	0.000	0.000	0.000	-1.000	0.000	0.000
YHR067W	0.000	0.000	0.000	-1.000	0.000	0.000
YHR143W	1.000	0.000	0.000	0.000	0.000	0.000
YHR183W	0.000	0.000	0.000	-1.000	0.000	0.000
YIL018W	0.000	0.000	1.000	0.000	0.000	0.000
YIL052C	0.000	0.000	0.000	-1.000	0.000	0.000
YIL076W	0.000	-1.000	0.000	0.000	0.000	0.000
YIL110W	0.000	0.000	1.000	0.000	0.000	0.000
YIL128W	0.000	-1.000	0.000	0.000	0.000	0.000
YIL146C	0.000	0.000	0.000	0.000	1.000	0.000
YIR023W	0.000	0.000	0.000	-1.000	0.000	0.000
YJL046W	0.000	0.000	0.000	-1.000	0.000	0.000
YJL051W	1.000	0.000	0.000	0.000	1.000	0.000
YJL053W	0.000	-1.000	0.000	0.000	0.000	-1.000
YJL077C	0.000	0.000	0.000	-1.000	0.000	-1.000
YJL080C	0.000	0.000	0.000	0.000	0.000	-1.000
YJL095W	0.000	-1.000	0.000	0.000	0.000	-1.000
YJL120W	0.000	0.000	0.000	-1.000	0.000	0.000
YJL121C	0.000	0.000	0.000	-1.000	0.000	0.000
YJL124C	0.000	0.000	0.000	-1.000	0.000	0.000
YJL127C	0.000	0.000	0.000	-1.000	0.000	0.000
YJL128C	0.000	-1.000	0.000	0.000	0.000	-1.000
YJL129C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YJL140W	0.000	0.000	0.000	-1.000	0.000	-1.000
YJL151C	1.000	0.000	1.000	0.000	0.000	0.000
YJL154C	0.000	-1.000	0.000	0.000	0.000	0.000
YJL159W	0.000	-1.000	0.000	0.000	0.000	0.000
YJL168C	0.000	0.000	1.000	0.000	0.000	0.000
YJL175W	0.000	0.000	0.000	-1.000	0.000	0.000
YJL176C	0.000	-1.000	0.000	-1.000	0.000	0.000
YJL182C	0.000	0.000	1.000	0.000	0.000	0.000
YJL183W	0.000	0.000	0.000	-1.000	0.000	0.000
YJL184W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YJL186W	0.000	0.000	1.000	0.000	1.000	0.000
YJL204C	0.000	-1.000	0.000	0.000	0.000	0.000
YJL206C	0.000	0.000	0.000	0.000	1.000	0.000
YJR075W	1.000	0.000	0.000	-1.000	0.000	0.000
YJR082C	1.000	0.000	0.000	0.000	0.000	0.000
YJR092W	0.000	0.000	0.000	0.000	1.000	0.000
YJR102C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YJR104C	0.000	-1.000	0.000	0.000	0.000	-1.000
YJR121W	0.000	0.000	0.000	-1.000	0.000	0.000
YJR127C	1.000	0.000	0.000	0.000	0.000	0.000
YKL002W	0.000	0.000	0.000	0.000	0.000	-1.000
YKL040C	0.000	0.000	0.000	-1.000	0.000	0.000
YKL041W	0.000	0.000	0.000	0.000	0.000	-1.000
YKL046C	0.000	0.000	0.000	0.000	0.000	-1.000
YKL054C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YKL055C	0.000	0.000	0.000	-1.000	0.000	0.000
YKL073W	0.000	0.000	0.000	-1.000	0.000	0.000
YKL077W	0.000	0.000	0.000	-1.000	0.000	0.000
YKL080W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YKL101W	0.000	0.000	0.000	0.000	0.000	-1.000
YKL119C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YKL126W	1.000	0.000	0.000	0.000	1.000	0.000
YKL139W	0.000	0.000	0.000	-1.000	0.000	-1.000
YKL143W	0.000	-1.000	0.000	0.000	0.000	0.000
YKL176C	0.000	0.000	0.000	-1.000	0.000	0.000
YKL190W	0.000	-1.000	0.000	0.000	0.000	-1.000
YKL204W	0.000	0.000	0.000	0.000	0.000	-1.000
YKL212W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YKR001C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YKR007W	0.000	0.000	0.000	-1.000	0.000	0.000
YKR020W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YKR041W	0.000	-1.000	0.000	0.000	0.000	-1.000
YKR072C	0.000	0.000	0.000	0.000	1.000	0.000
YLL027W	0.000	0.000	0.000	-1.000	0.000	0.000
YLL060C	0.000	0.000	0.000	0.000	1.000	0.000
YLR006C	0.000	0.000	0.000	0.000	0.000	-1.000
YLR020C	0.000	0.000	0.000	-1.000	0.000	0.000
YLR025W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YLR039C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YLR056W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YLR087C	0.000	0.000	0.000	-1.000	0.000	-1.000
YLR111W	1.000	0.000	0.000	0.000	0.000	0.000
YLR113W	0.000	-1.000	0.000	0.000	0.000	-1.000
YLR119W	1.000	0.000	1.000	0.000	0.000	0.000
YLR131C	1.000	0.000	0.000	0.000	1.000	0.000
YLR148W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YLR182W	0.000	0.000	0.000	-1.000	0.000	0.000
YLR226W	0.000	-1.000	0.000	0.000	0.000	0.000
YLR240W	0.000	-1.000	0.000	0.000	0.000	-1.000
YLR261C	0.000	-1.000	0.000	-1.000	0.000	0.000
YLR262C	0.000	-1.000	0.000	-1.000	0.000	0.000
YLR286C	1.000	0.000	0.000	0.000	0.000	0.000
YLR322W	0.000	0.000	0.000	-1.000	0.000	-1.000
YLR325C	1.000	0.000	0.000	0.000	1.000	0.000
YLR337C	0.000	0.000	0.000	-1.000	0.000	0.000
YLR342W	0.000	0.000	0.000	-1.000	0.000	0.000
YLR346C	0.000	0.000	1.000	0.000	1.000	0.000
YLR372W	0.000	0.000	0.000	-1.000	0.000	0.000
YLR399C	0.000	0.000	0.000	0.000	0.000	-1.000
YLR417W	0.000	-1.000	0.000	-1.000	0.000	0.000
YLR418C	0.000	0.000	0.000	-1.000	0.000	0.000
YLR423C	0.000	0.000	0.000	-1.000	0.000	0.000
YLR436C	0.000	0.000	0.000	-1.000	0.000	0.000
YLR443W	0.000	-1.000	0.000	0.000	0.000	-1.000
YLR447C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YLR451W	0.000	0.000	0.000	-1.000	0.000	0.000
YML001W	0.000	0.000	1.000	0.000	0.000	0.000
YML008C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YML012W	1.000	0.000	0.000	0.000	0.000	0.000
YML013W	1.000	0.000	1.000	0.000	0.000	0.000
YML073C	1.000	0.000	0.000	0.000	0.000	0.000
YML082W	0.000	0.000	0.000	0.000	1.000	0.000
YML084W	0.000	0.000	1.000	0.000	0.000	0.000
YML095C-A	0.000	0.000	0.000	0.000	0.000	-1.000
YML097C	0.000	-1.000	0.000	0.000	0.000	-1.000
YML112W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YML115C	0.000	0.000	0.000	-1.000	0.000	0.000
YMR015C	0.000	0.000	0.000	-1.000	0.000	0.000
YMR032W	0.000	0.000	0.000	-1.000	0.000	0.000
YMR038C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YMR039C	0.000	0.000	0.000	-1.000	0.000	0.000
YMR063W	0.000	0.000	0.000	0.000	1.000	0.000
YMR077C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YMR091C	0.000	0.000	0.000	0.000	0.000	-1.000
YMR116C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YMR125W	0.000	0.000	0.000	-1.000	0.000	-1.000
YMR140W	1.000	0.000	1.000	0.000	0.000	0.000
YMR142C	0.000	0.000	0.000	0.000	0.000	-1.000
YMR154C	1.000	0.000	0.000	0.000	0.000	0.000
YMR183C	0.000	0.000	0.000	-1.000	0.000	0.000
YMR202W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YMR205C	0.000	0.000	0.000	-1.000	0.000	0.000
YMR207C	0.000	0.000	0.000	-1.000	0.000	0.000
YMR214W	0.000	0.000	0.000	-1.000	0.000	0.000
YMR216C	0.000	0.000	0.000	-1.000	0.000	0.000
YMR231W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YMR275C	0.000	0.000	1.000	0.000	0.000	0.000
YMR294W-A	1.000	0.000	0.000	0.000	0.000	0.000
YMR302C	0.000	0.000	1.000	0.000	1.000	0.000
YMR304W	0.000	0.000	0.000	-1.000	0.000	0.000
YMR305C	0.000	0.000	1.000	0.000	1.000	0.000
YMR307W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YMR310C	0.000	0.000	1.000	0.000	1.000	0.000
YNL032W	0.000	0.000	0.000	-1.000	0.000	0.000
YNL051W	0.000	-1.000	0.000	0.000	0.000	0.000
YNL064C	0.000	0.000	0.000	-1.000	0.000	0.000
YNL066W	1.000	0.000	0.000	0.000	0.000	0.000
YNL107W	1.000	0.000	0.000	0.000	0.000	0.000
YNL133C	0.000	0.000	0.000	0.000	0.000	-1.000
YNL138W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YNL148C	0.000	0.000	0.000	-1.000	0.000	0.000
YNL197C	0.000	-1.000	0.000	0.000	0.000	0.000
YNL215W	0.000	0.000	1.000	0.000	0.000	0.000
YNL241C	0.000	0.000	0.000	-1.000	0.000	0.000
YNL243W	0.000	-1.000	0.000	0.000	0.000	-1.000
YNL265C	0.000	0.000	1.000	0.000	1.000	0.000
YNL280C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YNL291C	0.000	-1.000	0.000	0.000	0.000	-1.000
YNL296W	0.000	-1.000	0.000	0.000	0.000	0.000
YNL297C	0.000	-1.000	0.000	0.000	0.000	0.000
YNL300W	1.000	0.000	0.000	0.000	1.000	0.000
YNL307C	0.000	0.000	0.000	-1.000	0.000	-1.000
YNL322C	0.000	0.000	0.000	0.000	0.000	-1.000
YNL323W	0.000	-1.000	0.000	-1.000	0.000	0.000
YNL325C	0.000	0.000	1.000	0.000	0.000	0.000
YNL327W	1.000	0.000	1.000	0.000	1.000	0.000
YNR023W	0.000	-1.000	0.000	-1.000	0.000	0.000
YNR031C	0.000	0.000	0.000	0.000	0.000	-1.000
YNR032W	0.000	0.000	1.000	0.000	0.000	0.000
YNR052C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YNR069C	0.000	0.000	1.000	0.000	1.000	0.000
YOL012C	0.000	0.000	0.000	-1.000	0.000	0.000
YOL018C	0.000	-1.000	0.000	0.000	0.000	-1.000
YOL051W	0.000	0.000	0.000	-1.000	0.000	-1.000
YOL070C	0.000	0.000	0.000	0.000	1.000	0.000
YOL072W	0.000	0.000	0.000	-1.000	0.000	-1.000
YOL076W	0.000	0.000	0.000	-1.000	0.000	0.000
YOL081W	0.000	-1.000	0.000	-1.000	0.000	0.000
YOL091W	0.000	0.000	0.000	-1.000	0.000	0.000
YOL111C	0.000	0.000	0.000	0.000	0.000	-1.000
YOL113W	0.000	0.000	0.000	0.000	0.000	-1.000
YOL136C	0.000	0.000	1.000	0.000	0.000	0.000
YOL143C	0.000	0.000	0.000	-1.000	0.000	0.000
YOL148C	0.000	0.000	0.000	0.000	0.000	-1.000
YOR001W	0.000	0.000	0.000	-1.000	0.000	0.000
YOR002W	0.000	0.000	0.000	0.000	0.000	-1.000
YOR035C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YOR067C	0.000	0.000	0.000	0.000	0.000	-1.000
YOR068C	0.000	-1.000	0.000	0.000	0.000	-1.000
YOR069W	0.000	-1.000	0.000	0.000	0.000	-1.000
YOR070C	0.000	0.000	0.000	0.000	0.000	-1.000
YOR083W	0.000	0.000	0.000	0.000	1.000	0.000
YOR089C	0.000	-1.000	0.000	0.000	0.000	0.000
YOR092W	0.000	-1.000	0.000	0.000	0.000	0.000
YOR132W	0.000	0.000	0.000	0.000	0.000	-1.000
YOR196C	0.000	0.000	0.000	-1.000	0.000	0.000
YOR240W	0.000	0.000	0.000	0.000	1.000	0.000
YOR265W	0.000	0.000	0.000	0.000	0.000	-1.000
YOR289W	0.000	0.000	0.000	0.000	1.000	0.000
YOR295W	0.000	0.000	0.000	-1.000	0.000	0.000
YOR299W	0.000	0.000	0.000	-1.000	0.000	0.000
YOR312C	0.000	0.000	0.000	0.000	0.000	-1.000
YOR322C	0.000	0.000	0.000	-1.000	0.000	0.000
YOR323C	0.000	0.000	0.000	-1.000	0.000	0.000
YOR331C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YOR332W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YPL019C	1.000	0.000	0.000	0.000	0.000	0.000
YPL045W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YPL047W	1.000	0.000	1.000	0.000	1.000	0.000
YPL057C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YPL078C	1.000	0.000	1.000	0.000	1.000	0.000
YPL089C	0.000	0.000	0.000	0.000	0.000	-1.000
YPL123C	0.000	-1.000	0.000	-1.000	0.000	-1.000
YPL129W	0.000	0.000	0.000	0.000	0.000	-1.000
YPL135W	0.000	0.000	1.000	0.000	0.000	0.000
YPL144W	0.000	0.000	0.000	-1.000	0.000	0.000
YPL148C	0.000	0.000	0.000	-1.000	0.000	0.000
YPL159C	0.000	0.000	1.000	0.000	0.000	0.000
YPL161C	0.000	0.000	0.000	-1.000	0.000	0.000
YPL176C	0.000	0.000	0.000	0.000	1.000	0.000
YPL188W	0.000	-1.000	0.000	-1.000	0.000	0.000
YPL191C	1.000	0.000	0.000	0.000	1.000	0.000
YPL194W	0.000	0.000	1.000	0.000	1.000	0.000
YPL213W	0.000	0.000	0.000	-1.000	0.000	0.000
YPL221W	0.000	0.000	0.000	0.000	0.000	-1.000
YPL226W	0.000	0.000	1.000	0.000	1.000	0.000
YPL227C	0.000	0.000	0.000	0.000	0.000	-1.000
YPL234C	0.000	0.000	0.000	-1.000	0.000	-1.000
YPL246C	0.000	0.000	0.000	0.000	1.000	0.000
YPL254W	0.000	-1.000	0.000	-1.000	0.000	-1.000
YPL262W	0.000	0.000	0.000	-1.000	0.000	0.000
YPR023C	1.000	0.000	1.000	0.000	0.000	0.000
YPR036W	0.000	-1.000	0.000	0.000	0.000	-1.000
YPR090W	0.000	-1.000	0.000	0.000	0.000	0.000
YPR123C	0.000	0.000	0.000	-1.000	0.000	0.000
YPR138C	0.000	0.000	1.000	0.000	0.000	0.000
YPR139C	0.000	0.000	0.000	-1.000	0.000	0.000
YPR156C	0.000	0.000	0.000	-1.000	0.000	0.000
YPR159W	0.000	0.000	0.000	0.000	0.000	-1.000
YPR163C	0.000	0.000	0.000	-1.000	0.000	-1.000
