orf	hap alpha | growth (spot assay) | (S)-lactic acid [5.1% w/v], pH [2.7] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | acetic acid [0.5% w/v], pH [4.2] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | hydrogen chloride [0.28% w/v], pH [2.4] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | (S)-lactic acid [3.1% w/v], pH [2.9] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | acetic acid [0.4% w/v], pH [4.3] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | hydrogen chloride [0.24% w/v], pH [2.6] | Kawahata M~Iefuji H, 2006
YDR077W	9.98150463520449	0.0	0.0	0.0	0.0	0.0
YDR092W	9.98150463520449	9.38800380190674	9.671122594864464	0.0	0.0	0.0
YDR127W	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YDR136C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YDR137W	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YDR138W	0.0	0.0	0.0	0.0	0.0	-5.1469728462241555
YDR140W	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YDR158W	0.0	0.0	0.0	-5.983701822450714	0.0	-5.1469728462241555
YDR162C	0.0	0.0	0.0	0.0	0.0	-5.1469728462241555
YDR173C	0.0	0.0	0.0	0.0	0.0	-5.1469728462241555
YDR195W	0.0	0.0	0.0	0.0	-4.606255810589833	-5.1469728462241555
YDR227W	0.0	9.38800380190674	0.0	0.0	0.0	0.0
YDR293C	0.0	0.0	0.0	0.0	0.0	-5.1469728462241555
YDR323C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YDR346C	9.98150463520449	0.0	9.671122594864464	0.0	0.0	0.0
YDR359C	9.98150463520449	0.0	0.0	0.0	-4.606255810589833	0.0
YDR360W	9.98150463520449	0.0	0.0	0.0	-4.606255810589833	0.0
YDR364C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YDR378C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YDR392W	0.0	0.0	0.0	0.0	0.0	-5.1469728462241555
YDR417C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YDR432W	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YDR433W	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YDR442W	0.0	0.0	0.0	0.0	-4.606255810589833	-5.1469728462241555
YDR456W	0.0	0.0	0.0	-5.983701822450714	0.0	0.0
YDR495C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YDR509W	0.0	9.38800380190674	0.0	0.0	0.0	0.0
YEL007W	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YEL017C-A	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YEL018W	9.98150463520449	0.0	0.0	0.0	-4.606255810589833	0.0
YEL027W	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YEL029C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YEL036C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YEL043W	0.0	9.38800380190674	9.671122594864464	0.0	0.0	0.0
YEL044W	0.0	0.0	0.0	0.0	0.0	-5.1469728462241555
YEL045C	0.0	0.0	0.0	-5.983701822450714	0.0	-5.1469728462241555
YEL046C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YEL051W	0.0	0.0	0.0	0.0	0.0	-5.1469728462241555
YEL053C	0.0	0.0	9.671122594864464	0.0	0.0	0.0
YEL059W	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YER005W	0.0	9.38800380190674	0.0	0.0	0.0	0.0
YER014C-A	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YER044C	0.0	0.0	0.0	0.0	-4.606255810589833	-5.1469728462241555
YER052C	0.0	0.0	0.0	-5.983701822450714	0.0	-5.1469728462241555
YER057C	0.0	0.0	0.0	-5.983701822450714	0.0	0.0
YER068W	0.0	0.0	0.0	0.0	0.0	-5.1469728462241555
YER070W	0.0	0.0	0.0	0.0	-4.606255810589833	-5.1469728462241555
YER083C	0.0	0.0	0.0	0.0	0.0	-5.1469728462241555
YER086W	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YER113C	9.98150463520449	0.0	0.0	0.0	0.0	0.0
YER120W	9.98150463520449	0.0	0.0	0.0	0.0	0.0
YER124C	9.98150463520449	0.0	0.0	0.0	0.0	0.0
YER155C	0.0	0.0	0.0	0.0	-4.606255810589833	-5.1469728462241555
YFL016C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YFL018C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YFL025C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YFR044C	0.0	9.38800380190674	0.0	0.0	0.0	0.0
YGL007C-A	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YGL007W	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YGL012W	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YGL024W	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YGL025C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YGL026C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YGL027C	0.0	0.0	0.0	0.0	0.0	-5.1469728462241555
YGL028C	9.98150463520449	9.38800380190674	0.0	0.0	0.0	0.0
YGL035C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YGL038C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YGL042C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YGL054C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YGL058W	0.0	0.0	0.0	-5.983701822450714	0.0	0.0
