ORF	hom | growth (relative abundance in pooled culture) | iron sulfate pentahydrate [5 mM], time [15 generations] | Jo WJ~Vulpe CD, 2007	hom | growth (relative abundance in pooled culture) | copper(II) sulfate heptahydrate [10 mM], time [15 generations] | Jo WJ~Vulpe CD, 2007
YPL205C	-1.850	-1.550
YPL213W	-1.300	NaN
YPL214C	-1.260	NaN
YPL226W	-2.470	-3.710
YPL227C	NaN	-2.490
YPL241C	-2.210	NaN
YPL259C	NaN	-1.160
YPL261C	NaN	-1.590
YPL263C	-0.530	NaN
YPR032W	-1.560	-3.440
YPR038W	NaN	-1.230
YPR050C	NaN	-1.180
YPR051W	NaN	-2.950
YPR064W	NaN	-1.490
YPR065W	NaN	-1.860
YPR066W	1.290	1.560
YPR087W	-1.410	-1.310
YPR164W	-1.060	NaN
