orf	hom | growth (relative abundance in pooled culture) | iron sulfate pentahydrate [5 mM], time [15 generations] | Jo WJ~Vulpe CD, 2007	hom | growth (relative abundance in pooled culture) | copper(II) sulfate heptahydrate [10 mM], time [15 generations] | Jo WJ~Vulpe CD, 2007
YBR036C	-13.489097618074322	-5.118380952757767
YCR028C	-6.87140858552198	-0.03410535481634739
YCR031C	-9.383232159921409	-0.03410535481634739
YDL118W	-7.112930083060387	-3.783513228201719
YDR004W	-8.175624672229375	-0.03410535481634739
YDR083W	-6.0985397933990795	-0.03410535481634739
YDR176W	-4.118063513584145	-0.03410535481634739
YDR363W	-4.64941080816864	-0.03410535481634739
YDR528W	2.547929818475877	-0.03410535481634739
YER017C	0.7123664371839867	-0.03410535481634739
YER019W	-9.238319261398365	-5.138011360471827
YER028C	-5.857018295860673	-0.03410535481634739
YER090W	-7.740885976660245	-5.628771553323316
YER114C	-4.262976412107189	-0.03410535481634739
YGL025C	-5.712105397337629	-0.03410535481634739
YGL064C	2.2097997219221077	0.7707413614600936
YGL071W	14.913830492442294	-0.03410535481634739
YGL127C	-6.243452691922124	-0.03410535481634739
YGL136C	5.059753392875306	-0.03410535481634739
YGL212W	-7.692581677152563	-0.03410535481634739
YGR034W	5.5427963879521185	-0.03410535481634739
YHR051W	7.958011363336184	-0.03410535481634739
YHR073W	16.121437980134328	6.9346893836747885
YHR167W	10.663052135766339	5.403517581978145
YHR200W	-6.436669889952849	-0.03410535481634739
YIL069C	-7.499364479121838	-0.03410535481634739
YIR009W	-7.161234382568068	-0.03410535481634739
YJL024C	-6.678191387491255	-0.03410535481634739
YJL056C	9.745270445120394	3.5386288491424884
YKL053C-A	-11.798447135305475	-0.03410535481634739
YLR131C	-9.479840758936772	-3.528317927918945
YLR206W	4.769927595829218	-0.03410535481634739
YLR220W	-10.83236114515185	-0.03410535481634739
YLR233C	4.5284060982908105	-0.03410535481634739
YLR315W	4.1902760017370415	-0.03410535481634739
YLR337C	-3.973150615061101	-0.03410535481634739
YLR374C	-12.233185830874605	-5.098750545043708
YML047C	-9.914579454505903	-4.745403206190637
YMR190C	-3.8282377165380574	-0.03410535481634739
YMR202W	-8.368841870260102	-4.235012605625089
YMR244W	-2.572325929338343	-0.03410535481634739
YMR251W-A	-4.4078893106302335	-1.4671251179426936
YMR262W	-5.905322595368354	-0.03410535481634739
YMR276W	-3.9248463155534203	-0.03410535481634739
YMR284W	-9.238319261398365	-0.03410535481634739
YMR289W	-6.0985397933990795	-0.03410535481634739
YMR310C	-4.069759214076464	-2.8608840656409207
YNL170W	-7.499364479121838	-0.03410535481634739
YNR004W	-7.112930083060387	-0.03410535481634739
YOL001W	-10.639143947121124	-6.453248677313816
YOL006C	-8.755276266321552	-3.862034859057957
YOL012C	-5.470583899799221	-0.03410535481634739
