orf	hom | growth (pooled culture, microarray) | dichlorovinyl cysteine [4.5 uM] | YPD | De La Rosa VY~Vulpe CD, 2017	hom | growth (pooled culture, microarray) | dichlorovinyl cysteine [9 uM] | YPD | De La Rosa VY~Vulpe CD, 2017	hom | growth (pooled culture, microarray) | dichlorovinyl cysteine [18 uM] | YPD | De La Rosa VY~Vulpe CD, 2017
YAL002W	0.0	-1.8	-2.3
YAL024C	0.0	0.0	-1.7
YBL008W	0.0	1.7	0.0
YBL062W	0.0	2.4	0.0
YBL107C	0.0	1.7	1.6
YBR037C	0.0	2.1	0.0
YBR044C	1.9	0.0	0.0
YBR113W	2.6	2.6	2.5
YBR114W	2.7	2.7	2.7
YBR159W	2.4	2.0	2.5
YBR171W	0.0	-2.0	-2.4
YBR175W	0.0	3.9	2.7
YBR187W	4.0	4.0	4.3
YBR213W	3.1	3.1	3.1
YBR272C	1.7	0.0	2.2
YBR298C	2.2	0.0	2.4
YCL046W	1.9	1.9	2.2
YCR001W	0.0	1.6	1.5
YCR006C	2.6	2.8	2.7
YCR011C	0.0	1.8	1.9
YCR060W	1.2	1.4	1.6
YCR066W	0.0	-2.1	-2.4
YCR073W-A	2.5	2.5	2.8
YCR082W	0.0	1.5	1.4
YDL034W	0.0	0.0	1.2
YDL223C	1.5	2.25	2.8
YDR057W	-1.4	0.0	0.0
YDR105C	2.6	2.7	2.6
YDR112W	-2.7	-4.0	-2.95
YDR153C	0.0	3.1	2.5
YDR163W	3.0	2.9	3.2
YDR175C	2.8	2.3	2.8
YDR215C	1.8	2.1	2.2
YDR217C	1.6	0.0	1.6
YDR247W	0.0	0.0	-1.7
YDR251W	1.7	1.7	0.0
YDR255C	2.1	2.2	2.1
YDR283C	0.0	1.6	0.0
YDR285W	0.0	1.9	0.0
YDR291W	0.0	0.0	-1.3
YDR314C	0.0	1.6	0.0
YDR333C	0.0	0.0	1.4
YDR338C	0.0	0.0	-1.8
YDR377W	3.1	2.8	2.8
YDR389W	0.0	0.0	2.4
YDR440W	0.0	0.0	1.5
YDR441C	1.9	1.8	1.8
YDR456W	3.5	2.9	2.8
YDR458C	3.6	3.7	3.8
YDR463W	0.0	0.0	1.3
YDR465C	0.0	1.9	1.9
YEL012W	0.0	3.9	2.8
YEL043W	-3.3	-2.8	0.0
YEL056W	-3.5	-3.1	0.0
YEL068C	0.0	2.0	1.9
YER002W	3.0	3.0	3.0
YER066C-A	2.7	2.9	2.9
YER067W	-1.3	0.0	-1.3
YER095W	0.0	0.0	-1.7
YER162C	0.0	0.0	-1.6
YER169W	2.5	2.9	2.5
YFL003C	-1.9	0.0	0.0
YFL012W-A	0.0	1.9	0.0
YFL019C	0.0	2.7	0.0
YFL021W	0.0	0.0	2.1
YFL025C	0.0	0.0	2.2
YFL032W	0.0	2.5	0.0
YFR018C	0.0	3.1	2.1
YFR036W	-3.2	-3.8	-3.05
YGL071W	-2.5	0.0	0.0
YGL118C	0.0	2.5	0.0
YGL138C	2.8	3.0	2.7
YGL154C	0.0	0.0	-1.8
YGL164C	-1.6	-1.5	-1.7
YGL166W	0.0	0.0	-1.4
YGL198W	1.4	0.0	1.5
YGL214W	0.0	1.8	1.8
YGL226C-A	2.5	2.5	2.7
YGL229C	2.5	2.4	2.7
YGL252C	0.0	0.0	1.9
YGL253W	0.0	0.0	-1.4
YGR041W	0.0	2.0	0.0
YGR183C	1.7	0.0	0.0
YGR192C	1.7	1.9	1.7
YGR261C	0.0	3.7	2.5
YGR263C	0.0	2.2	1.7
YHL011C	3.0	2.6	2.8
YHL039W	0.0	0.0	2.3
YHR034C	0.0	2.0	1.8
YHR037W	0.0	2.4	2.4
YHR046C	0.0	1.9	0.0
YHR110W	0.0	0.0	-1.3
YHR157W	3.2	3.1	3.3
YHR160C	0.0	1.9	0.0
YIL032C	0.0	2.1	2.2
YIL089W	-1.6	0.0	0.0
YIL090W	2.1	2.6	2.3
YIL139C	2.2	0.0	0.0
YIL146C	0.0	0.0	-1.4
YIL162W	-4.2	-4.1	-4.0
YJL108C	1.6	1.7	0.0
YJL131C	0.0	0.0	2.1
YJL208C	1.6	1.6	1.7
YJR010C-A	0.0	2.0	0.0
YJR044C	2.8	2.8	2.9
YJR051W	0.0	1.6	1.5
YJR088C	3.2	3.1	3.0
YJR130C	0.0	2.2	2.1
YJR154W	0.0	0.0	1.3
YKL096W-A	0.0	1.9	0.0
YKL097C	0.0	-1.4	0.0
YKL100C	0.0	0.0	-1.1
YKL167C	0.0	0.0	-1.4
YKL174C	0.0	2.1	0.0
YKL188C	0.0	0.0	-2.0
YKL197C	-1.4	0.0	-1.3
YKL198C	0.0	0.0	-1.8
YKL215C	-1.3	-1.1	-1.3
YKR033C	-1.3	0.0	-1.3
YKR035C	0.0	2.4	1.8
YKR046C	-1.4	0.0	-1.5
YLL009C	2.8	0.0	0.0
YLR018C	1.4	0.0	0.0
YLR023C	0.0	0.0	1.6
YLR032W	0.0	-2.2	-2.7
YLR042C	2.0	1.9	1.9
YLR044C	2.7	2.3	2.5
YLR049C	1.7	0.0	0.0
YLR053C	1.6	0.0	0.0
YLR057W	2.2	1.6	2.0
YLR093C	2.1	1.6	1.6
YLR098C	0.0	1.6	0.0
YLR099C	1.4	0.0	0.0
YLR121C	1.6	1.4	0.0
YLR131C	1.3	0.0	0.0
YLR133W	0.0	2.7	2.3
YLR169W	2.6	2.3	2.6
YLR192C	1.7	1.7	0.0
YLR202C	2.0	1.8	1.8
YLR210W	0.0	0.0	-1.3
YLR218C	0.0	-1.5	-1.6
YLR257W	2.0	0.0	0.0
YLR262C	2.5	2.1	2.5
YLR270W	1.8	0.0	0.0
YLR335W	1.6	2.5	0.0
YLR443W	1.5	0.0	0.0
YLR450W	3.3	2.8	3.0
YLR456W	1.5	0.0	0.0
YML047W-A	1.7	1.8	0.0
YML073C	0.0	1.8	1.8
YML079W	0.0	0.0	4.3
YML095C	0.0	0.0	-1.8
YML097C	0.0	-2.3	-2.2
YML109W	0.0	0.0	-1.2
YML122C	0.0	2.0	2.4
YML124C	0.0	0.0	1.55
YMR008C	0.0	0.0	-1.2
YMR124W	1.4	0.0	1.5
YMR137C	0.0	-1.8	-1.75
YMR141C	0.0	0.0	-2.0
YMR166C	0.0	2.4	2.5
YMR175W	1.8	0.0	0.0
YMR237W	-1.2	0.0	-1.5
YMR238W	0.0	2.1	1.5
YMR244C-A	0.0	2.8	1.8
YMR261C	3.3	2.9	3.5
YMR262W	0.0	2.2	0.0
YMR272C	2.3	1.9	2.1
YMR280C	0.0	2.2	0.0
YMR283C	0.0	0.0	-1.2
YMR286W	1.9	2.0	1.8
YMR289W	2.5	2.4	2.15
YMR294W-A	0.0	2.6	1.9
YMR304W	3.3	2.9	3.4
YMR326C	0.0	1.1	0.0
YNL010W	1.4	1.2	0.0
YNL058C	1.4	0.0	0.0
YNL101W	0.0	2.5	0.0
YOR006C	0.0	0.0	1.4
YOR017W	0.0	0.0	-1.3
YOR021C	2.3	2.4	2.1
YOR041C	1.4	0.0	0.0
YOR054C	-1.8	0.0	0.0
YOR085W	0.0	1.5	1.6
YOR086C	3.0	2.8	0.0
YOR089C	0.0	-1.9	-1.95
YOR133W	0.0	3.1	2.4
YOR137C	1.7	1.8	1.6
YOR161C	0.0	2.0	0.0
YOR183W	0.0	1.7	1.6
YOR199W	2.0	0.0	0.0
YOR201C	2.2	0.0	0.0
YOR253W	0.0	-1.3	0.0
YOR276W	-2.2	0.0	0.0
YOR304C-A	-2.0	-2.5	-2.2
YOR314W	2.5	2.3	2.2
YOR346W	0.0	0.0	-1.3
YOR364W	0.0	2.0	0.0
YPL022W	0.0	0.0	-1.65
YPL035C	0.0	2.5	0.0
YPL123C	0.0	0.0	1.4
YPL138C	-1.9	-2.1	0.0
YPL140C	2.1	1.6	2.0
YPL147W	0.0	0.0	-1.4
YPL157W	0.0	3.8	3.2
YPL167C	0.0	-1.7	0.0
YPL178W	0.0	3.0	1.8
YPL197C	1.6	1.6	1.7
YPR044C	0.0	2.0	0.0
YPR116W	2.8	2.2	2.4
YPR201W	0.0	1.7	1.6
