orf	hap a | growth (MIC) | gliotoxin [0.03-16 ug/ml] | Chamilos G~Kontoyiannis DP, 2008
YER055C	-0.10092548576082351
YDL155W	-0.10092548576082351
YDL167C	-0.10092548576082351
YDL179W	-0.10092548576082351
YDL096C	-0.10092548576082351
YDR125C	-0.10092548576082351
YDR137W	-0.10092548576082351
YOL112W	-0.10092548576082351
YOL113W	-0.10092548576082351
YOL115W	-0.10092548576082351
YOL116W	-0.10092548576082351
YOL118C	-0.10092548576082351
YOL119C	-0.10092548576082351
YOL110W	-0.10092548576082351
YOL121C	-0.10092548576082351
YOL131W	-0.10092548576082351
YOL141W	-0.10092548576082351
YOL151W	-0.10092548576082351
YAL002W	-0.10092548576082351
YAL004W	-0.10092548576082351
YAL005C	-0.10092548576082351
YAL007C	-0.10092548576082351
YAL008W	-0.10092548576082351
YAL009W	-0.10092548576082351
YAL010C	-0.10092548576082351
YAL011W	-0.10092548576082351
YAL012W	-1.1329241148081188
YAL013W	-0.10092548576082351
YAL014C	-0.10092548576082351
YAL015C	-0.10092548576082351
YAL016W	-0.10092548576082351
YAL017W	-0.10092548576082351
YAL018C	-0.10092548576082351
YAL019W	-0.10092548576082351
YAL020C	-0.10092548576082351
YAL021C	-0.10092548576082351
YAL022C	-0.10092548576082351
YAL023C	-0.10092548576082351
YAL024C	-0.10092548576082351
YAL026C	-0.10092548576082351
YAL027W	-0.10092548576082351
YAL028W	-0.10092548576082351
YAL029C	-0.10092548576082351
YAL030W	-0.10092548576082351
YAL031C	-0.10092548576082351
YAL034C	-0.10092548576082351
YAL035W	-0.10092548576082351
YAL036C	-0.10092548576082351
YAL037W	-0.10092548576082351
YAL039C	-0.10092548576082351
YAL040C	-0.10092548576082351
YAL042W	-0.10092548576082351
YAL042C-A	-0.10092548576082351
YAL044C	-0.10092548576082351
YAL045C	-0.10092548576082351
YAL046C	-0.10092548576082351
YAL047C	-0.10092548576082351
YAL048C	-0.10092548576082351
YAL049C	-0.10092548576082351
YAL051W	-0.10092548576082351
YAL053W	-0.10092548576082351
YAL054C	-0.10092548576082351
YAL055W	-0.10092548576082351
YAL056W	-0.10092548576082351
YAL056C-A	-0.10092548576082351
YAL058W	-0.10092548576082351
YAL059W	-0.10092548576082351
YAL060W	-0.10092548576082351
YAL061W	-0.10092548576082351
YAL062W	-0.10092548576082351
YAL064C-A	-0.10092548576082351
YAL065C	-0.10092548576082351
YAL066W	-0.10092548576082351
YAL067C	-0.10092548576082351
YAL068C	-0.10092548576082351
YAR002C-A	-0.10092548576082351
YAR002W	-0.10092548576082351
YAR003W	-0.10092548576082351
YAR029W	-0.10092548576082351
YAR030C	-0.10092548576082351
YAR031W	-0.10092548576082351
YAR035W	-0.10092548576082351
YAR042W	-0.10092548576082351
YAR047C	-0.10092548576082351
YAR050W	-0.10092548576082351
YBL001C	-0.10092548576082351
YBL002W	-0.10092548576082351
YBL003C	-0.10092548576082351
YBL005W	-0.10092548576082351
YBL006C	-0.10092548576082351
YBL007C	-0.10092548576082351
YBL008W	-0.10092548576082351
YBL009W	-0.10092548576082351
YBL010C	-0.10092548576082351
YBL011W	-0.10092548576082351
YBL012C	-0.10092548576082351
YBL013W	-0.10092548576082351
YBL015W	-0.10092548576082351
YBL016W	-0.10092548576082351
YBL017C	-0.10092548576082351
YBL019W	-0.10092548576082351
YBL021C	-0.10092548576082351
YBL022C	-0.10092548576082351
YBL024W	-0.10092548576082351
YBL025W	-0.10092548576082351
YBL027W	-0.10092548576082351
YBL028C	-0.10092548576082351
YBL029W	-0.10092548576082351
YBL031W	-0.10092548576082351
YBL032W	-0.10092548576082351
YBL033C	-0.10092548576082351
YBL036C	-0.10092548576082351
YBL037W	-0.10092548576082351
YBL038W	-0.10092548576082351
YBL039C	-0.10092548576082351
YBL042C	-0.10092548576082351
YBL043W	-0.10092548576082351
YBL044W	-0.10092548576082351
YBL045C	-0.10092548576082351
YBL046W	-0.10092548576082351
YBL047C	-0.10092548576082351
YBL048W	-0.10092548576082351
YBL049W	-0.10092548576082351
YBL051C	-0.10092548576082351
YBL052C	-0.10092548576082351
YBL053W	-0.10092548576082351
YBL054W	-0.10092548576082351
YBL055C	-0.10092548576082351
YBL056W	-0.10092548576082351
YBL057C	-0.10092548576082351
YBL058W	-0.10092548576082351
YBL059W	-0.10092548576082351
YBL060W	-0.10092548576082351
YBL061C	-0.10092548576082351
YBL062W	-0.10092548576082351
YBL063W	-0.10092548576082351
YBL064C	-0.10092548576082351
YBL065W	-0.10092548576082351
YBL066C	-0.10092548576082351
YBL067C	-0.10092548576082351
YBL068W	-0.10092548576082351
YBL069W	-0.10092548576082351
YBL070C	-0.10092548576082351
YBL071C	-0.10092548576082351
YBL072C	-0.10092548576082351
YBL075C	-0.10092548576082351
YBL078C	-0.10092548576082351
YBL079W	-0.10092548576082351
YBL080C	-0.10092548576082351
YBL081W	-0.10092548576082351
YBL082C	-0.10092548576082351
YBL083C	-0.10092548576082351
YBL085W	-0.10092548576082351
YBL086C	-0.10092548576082351
YBL087C	-0.10092548576082351
YBL088C	-0.10092548576082351
YBL089W	-0.10092548576082351
YBL090W	-0.10092548576082351
YBL091C	-0.10092548576082351
YBL091C-A	-0.10092548576082351
YBL093C	-0.10092548576082351
YBL094C	-0.10092548576082351
YBL095W	-0.10092548576082351
YBL096C	-0.10092548576082351
YBL098W	-0.10092548576082351
YBL099W	-0.10092548576082351
YBL100C	-0.10092548576082351
YBL101C	-0.10092548576082351
YBL102W	-0.10092548576082351
YBL103C	-0.10092548576082351
YBL104C	-0.10092548576082351
YBL106C	-0.10092548576082351
YBL107C	-0.10092548576082351
YBR001C	-0.10092548576082351
YBR003W	-0.10092548576082351
YBR005W	-0.10092548576082351
YBR006W	-0.10092548576082351
YBR007C	-0.10092548576082351
YBR008C	-0.10092548576082351
YBR009C	-0.10092548576082351
YBR012C	-0.10092548576082351
YBR013C	-0.10092548576082351
YBR014C	-0.10092548576082351
YBR015C	-0.10092548576082351
YBR016W	-0.10092548576082351
YBR018C	-0.10092548576082351
YBR019C	-0.10092548576082351
YBR010W	-0.10092548576082351
YBR020W	-0.10092548576082351
YBR021W	-0.10092548576082351
YBR022W	-0.10092548576082351
YBR023C	-0.10092548576082351
YBR024W	-0.10092548576082351
YBR025C	-0.10092548576082351
YBR026C	-0.10092548576082351
YBR027C	-0.10092548576082351
YBR028C	-0.10092548576082351
YBR030W	-0.10092548576082351
YBR031W	-0.10092548576082351
YBR032W	-0.10092548576082351
YBR033W	-0.10092548576082351
YBR034C	-0.10092548576082351
YBR035C	-0.10092548576082351
YBR036C	-0.10092548576082351
YBR037C	-0.10092548576082351
YBR040W	-0.10092548576082351
YBR041W	-0.10092548576082351
YBR042C	-0.10092548576082351
YBR043C	-0.10092548576082351
YBR044C	-0.10092548576082351
YBR045C	-0.10092548576082351
YBR046C	-0.10092548576082351
YBR047W	-0.10092548576082351
YBR048W	-0.10092548576082351
YBR050C	-0.10092548576082351
YBR051W	-0.10092548576082351
YBR052C	-0.10092548576082351
YBR053C	-0.10092548576082351
YBR054W	-0.10092548576082351
YBR056W	-0.10092548576082351
YBR057C	-0.10092548576082351
YBR058C	-0.10092548576082351
YBR059C	-0.10092548576082351
YBR061C	-0.10092548576082351
YBR062C	-0.10092548576082351
YBR063C	-0.10092548576082351
YBR064W	-0.10092548576082351
YBR065C	-0.10092548576082351
YBR066C	-0.10092548576082351
YBR067C	-0.10092548576082351
YBR068C	-0.10092548576082351
YBR069C	-0.10092548576082351
YBR071W	-0.10092548576082351
YBR072W	-0.10092548576082351
YBR073W	-0.10092548576082351
YBR074W	-0.10092548576082351
YBR076W	-0.10092548576082351
YBR077C	-0.10092548576082351
YBR078W	-0.10092548576082351
YBR082C	-0.10092548576082351
YBR083W	-0.10092548576082351
YBR084C-A	-0.10092548576082351
YBR084W	-0.10092548576082351
YBR085W	-0.10092548576082351
YBR090C	-0.10092548576082351
YBR089C-A	-0.10092548576082351
YBR092C	-0.10092548576082351
YBR093C	-0.10092548576082351
YBR094W	-0.10092548576082351
YBR095C	-0.10092548576082351
YBR097W	-0.10092548576082351
YBR099C	-0.10092548576082351
YBR098W	-0.10092548576082351
YBR103W	-0.10092548576082351
YBR104W	-0.10092548576082351
YBR105C	-0.10092548576082351
YBR106W	-0.10092548576082351
YBR107C	-0.10092548576082351
YBR108W	-0.10092548576082351
YBR112C	-0.10092548576082351
YBR113W	-0.10092548576082351
YBR114W	-0.10092548576082351
YBR115C	-0.10092548576082351
YBR120C	-0.10092548576082351
YBR121C	-0.10092548576082351
YBR122C	-0.10092548576082351
YBR125C	-0.10092548576082351
YBR126C	-0.10092548576082351
YBR127C	-0.10092548576082351
YBR128C	-0.10092548576082351
YBR129C	-0.10092548576082351
YBR130C	-0.10092548576082351
YBR131W	-0.10092548576082351
YBR132C	-0.10092548576082351
YBR134W	-0.10092548576082351
YBR137W	-0.10092548576082351
YBR138C	-0.10092548576082351
YBR141C	-0.10092548576082351
YBR144C	-0.10092548576082351
YBR146W	-0.10092548576082351
YBR147W	-0.10092548576082351
YBR148W	-0.10092548576082351
YBR149W	-0.10092548576082351
YBR150C	-0.10092548576082351
YBR151W	-0.10092548576082351
YBR157C	-0.10092548576082351
YBR158W	-0.10092548576082351
YBR162W-A	-0.10092548576082351
YBR163W	-0.10092548576082351
YBR164C	-0.10092548576082351
YBR165W	-0.10092548576082351
YBR166C	-0.10092548576082351
YBR168W	-0.10092548576082351
YBR169C	-0.10092548576082351
YBR171W	-0.10092548576082351
YBR172C	-0.10092548576082351
YBR173C	-0.10092548576082351
YBR174C	-0.10092548576082351
YBR175W	-0.10092548576082351
YBR176W	-0.10092548576082351
YBR177C	-0.10092548576082351
YBR178W	-0.10092548576082351
YBR179C	-0.10092548576082351
YBR180W	-0.10092548576082351
YBR181C	-0.10092548576082351
YBR182C	-0.10092548576082351
YBR183W	-0.10092548576082351
YBR184W	-0.10092548576082351
YBR185C	-0.10092548576082351
YBR186W	-0.10092548576082351
YBR187W	-0.10092548576082351
YBR188C	-0.10092548576082351
YBR189W	-0.10092548576082351
YBR191W	-0.10092548576082351
YBR194W	-0.10092548576082351
YBR195C	-0.10092548576082351
YBR197C	-0.10092548576082351
YBR199W	-0.10092548576082351
YBR200W	-0.10092548576082351
YBR201W	-0.10092548576082351
YBR203W	-0.10092548576082351
YBR204C	-0.10092548576082351
YBR205W	-0.10092548576082351
YBR206W	-0.10092548576082351
YBR207W	-0.10092548576082351
YBR208C	-0.10092548576082351
YBR209W	-0.10092548576082351
YBR210W	-0.10092548576082351
YBR212W	-0.10092548576082351
YBR213W	-0.10092548576082351
YBR214W	-0.10092548576082351
YBR215W	-0.10092548576082351
YBR216C	-0.10092548576082351
YBR217W	-0.10092548576082351
YBR218C	-0.10092548576082351
YBR219C	-0.10092548576082351
YBR220C	-0.10092548576082351
YBR221C	-0.10092548576082351
YBR222C	-0.10092548576082351
YBR223C	-0.10092548576082351
YBR224W	-0.10092548576082351
YBR225W	-0.10092548576082351
YBR226C	-0.10092548576082351
YBR227C	-0.10092548576082351
YBR228W	-0.10092548576082351
YBR229C	-0.10092548576082351
YBR230C	-0.10092548576082351
YBR231C	-0.10092548576082351
YBR232C	-0.10092548576082351
YBR233W	-0.10092548576082351
YBR235W	-0.10092548576082351
YBR238C	-0.10092548576082351
YBR239C	-0.10092548576082351
YBR240C	-0.10092548576082351
YBR241C	-0.10092548576082351
YBR242W	-0.10092548576082351
YBR244W	-0.10092548576082351
YBR245C	-0.10092548576082351
YBR246W	-0.10092548576082351
YBR248C	-0.10092548576082351
YBR249C	-0.10092548576082351
YBR250W	-0.10092548576082351
YBR251W	-0.10092548576082351
YBR255W	-0.10092548576082351
YBR258C	-0.10092548576082351
YBR259W	-0.10092548576082351
YBR260C	-0.10092548576082351
YBR261C	-0.10092548576082351
YBR262C	-0.10092548576082351
YBR263W	-0.10092548576082351
YBR264C	-0.10092548576082351
YBR266C	-0.10092548576082351
YBR267W	-0.10092548576082351
YBR268W	-0.10092548576082351
YBR269C	-0.10092548576082351
YBR270C	-0.10092548576082351
YBR271W	-0.10092548576082351
YBR272C	-0.10092548576082351
YBR273C	-0.10092548576082351
YBR274W	-0.10092548576082351
YBR275C	-0.10092548576082351
YBR276C	-0.10092548576082351
YBR277C	-0.10092548576082351
YBR278W	-0.10092548576082351
YBR280C	-0.10092548576082351
YBR281C	-0.10092548576082351
YBR282W	-0.10092548576082351
YBR283C	-0.10092548576082351
YBR284W	-0.10092548576082351
YBR285W	-0.10092548576082351
YBR286W	-0.10092548576082351
YBR287W	-0.10092548576082351
YBR288C	-0.10092548576082351
YBR289W	-0.10092548576082351
YBR290W	-0.10092548576082351
YBR291C	-0.10092548576082351
YBR292C	-0.10092548576082351
YBR293W	-0.10092548576082351
YBR294W	-0.10092548576082351
YBR295W	-0.10092548576082351
YBR296C	-0.10092548576082351
YBR297W	-0.10092548576082351
YBR298C	-0.10092548576082351
YBR299W	-0.10092548576082351
YBR300C	-0.10092548576082351
YBR301W	-0.10092548576082351
YOR200W	-0.10092548576082351
YOR069W	-0.10092548576082351
YCL001W	-0.10092548576082351
YCL001W-A	-0.10092548576082351
YCL002C	-0.10092548576082351
YCL005W	-0.10092548576082351
YCL007C	-0.10092548576082351
YCL008C	-0.10092548576082351
YCL009C	-0.10092548576082351
