ORF	hap alpha | cell death | phosphate starvation [unknown] | Gresham D~Botstein D, 2011	hap alpha | cell death | leucine starvation [unknown] | Gresham D~Botstein D, 2011
YAL002W	0.013	0.024
YAL004W	0.002	0.044
YAL005C	0.003	0.038
YAL007C	0.002	0.024
YAL008W	0.001	0.015
YAL009W	0.007	0.034
YAL011W	0.002	0.024
YAL013W	0.004	0.020
YAL014C	0.004	0.097
YAL015C	0.001	0.033
YAL016W	0.005	0.030
YAL017W	0.002	0.032
YAL018C	0.002	0.033
YAL020C	0.002	0.033
YAL021C	0.007	0.022
YAL022C	0.001	0.019
YAL023C	0.006	0.021
YAL024C	0.002	0.023
YAL026C	0.005	0.070
YAL027W	-0.000	0.031
YAL028W	0.002	0.033
YAL029C	0.002	0.031
YAL030W	0.002	0.024
YAL031C	-0.000	0.016
YAL034C	0.000	0.025
YAL036C	0.001	0.028
YAL037W	0.002	0.031
YAL042C-A	0.003	0.025
YAL042W	0.002	0.027
YAL045C	0.001	0.026
YAL046C	0.002	0.018
YAL047C	0.010	0.013
YAL048C	0.003	0.030
YAL049C	0.002	-0.003
YAL051W	0.002	0.028
YAL053W	0.002	0.029
YAL054C	0.005	0.029
YAL055W	0.004	0.027
YAL056C-A	0.002	0.017
YAL058W	0.000	0.013
YAL059W	0.002	0.031
YAL060W	0.002	0.032
YAL061W	0.001	0.024
YAL062W	0.002	0.029
YAL064C-A	0.001	0.029
YAL065C	0.000	0.026
YAL067C	0.002	0.030
YAL068C	0.002	0.028
YAR002C-A	0.002	0.031
YAR002W	0.002	0.021
YAR003W	0.001	0.024
YAR014C	0.001	0.027
YAR020C	0.002	0.034
YAR023C	-0.001	0.034
YAR028W	0.002	0.031
YAR029W	0.002	0.026
YAR030C	0.002	0.024
YAR031W	0.001	0.029
YAR035W	0.001	0.029
YAR042W	0.002	0.029
YAR047C	0.002	0.031
YAR050W	0.003	0.025
YBL001C	0.003	0.028
YBL002W	0.002	0.023
YBL003C	0.003	0.023
YBL005W	0.002	0.018
YBL006C	0.006	0.043
YBL007C	0.002	0.051
YBL008W	0.002	0.034
YBL009W	0.002	0.028
YBL010C	0.003	0.037
YBL011W	0.003	0.030
YBL012C	0.003	0.030
YBL013W	0.003	0.035
YBL015W	0.001	0.028
YBL016W	0.002	0.043
YBL017C	0.002	0.029
YBL019W	0.005	0.055
YBL021C	0.005	0.067
YBL024W	0.002	0.040
YBL027W	0.006	0.009
YBL028C	0.002	0.022
YBL029W	0.002	0.026
YBL031W	0.006	0.100
YBL032W	0.004	0.120
YBL036C	0.004	0.056
YBL037W	0.001	0.025
YBL038W	0.004	0.130
YBL039C	0.002	0.026
YBL041W	0.017	0.049
YBL042C	0.003	0.027
YBL043W	0.000	0.042
YBL044W	0.002	0.032
YBL045C	0.006	0.065
YBL046W	0.007	0.054
YBL047C	0.003	0.035
YBL048W	0.003	0.029
YBL049W	0.003	0.031
YBL051C	0.005	0.022
YBL053W	0.002	0.082
YBL054W	0.001	0.042
YBL055C	0.002	0.035
YBL056W	0.003	0.034
YBL057C	0.004	0.060
YBL059W	0.002	0.030
YBL060W	0.003	0.012
YBL061C	0.004	0.038
YBL062W	0.004	0.079
YBL063W	0.002	0.028
YBL064C	0.003	0.048
YBL065W	0.004	0.025
YBL066C	0.006	0.021
YBL067C	0.003	0.023
YBL068W	0.002	0.030
YBL069W	0.002	0.031
YBL070C	0.002	0.029
YBL071C	0.003	0.031
YBL072C	0.004	0.032
YBL075C	0.002	0.032
YBL078C	0.011	0.035
YBL079W	0.005	0.076
YBL080C	0.006	0.066
YBL081W	0.002	0.032
YBL082C	0.004	0.061
YBL083C	0.005	0.042
YBL085W	0.002	0.033
YBL086C	0.002	0.024
YBL087C	0.001	0.034
YBL088C	NaN	0.005
YBL089W	0.002	0.032
YBL090W	0.005	0.089
YBL091C	0.002	0.029
YBL091C-A	0.001	0.035
YBL093C	0.009	NaN
YBL094C	0.009	0.030
YBL095W	0.003	0.032
YBL096C	0.003	0.032
YBL098W	0.002	0.028
YBL099W	0.005	0.070
YBL100C	0.006	0.069
YBL102W	0.002	0.035
YBL103C	0.003	0.037
YBL104C	0.002	0.028
YBL106C	0.002	0.032
YBL107C	0.002	0.032
YBR001C	0.001	0.024
YBR003W	0.007	0.053
YBR005W	0.002	0.029
YBR006W	0.003	0.021
YBR007C	0.003	0.030
YBR008C	0.002	0.024
YBR009C	0.002	0.018
YBR010W	0.003	0.024
YBR012C	0.002	0.022
YBR013C	0.002	0.030
YBR014C	0.002	0.029
YBR015C	0.002	0.043
YBR016W	0.003	0.031
YBR019C	0.002	0.029
YBR020W	-0.001	0.027
YBR021W	0.011	0.026
YBR022W	0.004	0.034
YBR023C	0.003	0.040
YBR024W	0.002	0.033
YBR025C	0.002	0.029
YBR026C	0.004	0.050
YBR027C	0.002	0.025
YBR028C	0.001	0.029
YBR030W	0.002	0.034
YBR031W	0.005	0.020
YBR032W	0.002	0.031
YBR033W	0.002	0.031
YBR034C	0.002	0.044
YBR035C	-0.001	0.017
YBR036C	0.003	0.009
YBR037C	0.005	0.057
YBR039W	0.012	0.037
YBR040W	0.002	0.031
YBR041W	0.006	0.049
YBR042C	0.003	0.039
YBR043C	0.002	0.029
YBR044C	0.002	0.012
YBR045C	0.001	0.029
YBR047W	0.002	0.031
YBR048W	0.002	0.027
YBR050C	0.000	0.022
YBR051W	0.002	0.028
YBR052C	0.002	0.029
YBR053C	-0.000	0.016
YBR054W	0.002	0.030
YBR056W	0.002	0.032
YBR058C	0.003	0.070
YBR059C	-0.000	0.039
YBR062C	0.000	0.028
YBR063C	-0.001	0.015
YBR064W	0.003	0.025
YBR065C	0.003	0.033
YBR066C	0.003	0.030
YBR067C	0.002	0.032
YBR068C	0.002	0.042
YBR069C	0.002	0.040
YBR071W	0.002	0.027
YBR072W	0.002	0.030
YBR073W	0.003	0.022
YBR074W	0.003	0.031
YBR076W	0.002	0.022
YBR077C	-0.000	0.037
YBR078W	0.007	0.040
YBR081C	0.003	0.084
YBR084W	0.004	0.030
YBR085W	0.003	0.024
YBR089C-A	0.003	0.033
YBR090C	0.003	0.033
YBR092C	0.002	0.031
YBR093C	0.002	0.026
YBR094W	0.002	0.028
YBR095C	0.001	0.021
YBR096W	0.003	0.032
YBR098W	0.003	0.027
YBR099C	0.003	0.023
YBR101C	0.003	0.035
YBR103W	0.004	0.033
YBR104W	0.002	0.024
YBR105C	0.004	0.042
YBR106W	0.004	0.017
YBR107C	0.004	0.024
YBR108W	0.002	0.033
YBR111C	0.002	0.030
YBR113W	0.002	0.045
YBR114W	0.006	0.044
YBR115C	0.003	0.029
YBR116C	0.002	0.024
YBR119W	0.066	0.044
YBR120C	0.003	0.045
YBR125C	0.003	0.054
YBR126C	0.004	0.016
YBR128C	0.006	0.072
YBR129C	0.001	0.021
YBR130C	0.003	0.017
YBR131W	0.027	0.023
YBR132C	0.003	0.027
YBR134W	0.002	0.021
YBR138C	0.003	0.030
YBR139W	0.002	0.029
YBR144C	-0.002	0.034
YBR145W	0.002	0.031
YBR146W	0.004	0.032
YBR147W	0.002	0.030
YBR148W	0.002	0.027
YBR149W	0.002	0.029
YBR150C	0.003	0.033
YBR151W	0.002	0.029
YBR156C	0.004	0.029
YBR159W	0.001	0.040
YBR161W	0.003	0.031
YBR162C	-0.000	0.031
YBR162W-A	0.002	0.032
YBR163W	0.001	0.034
YBR164C	0.002	0.032
YBR165W	0.002	0.030
YBR168W	0.002	0.022
YBR169C	0.002	0.032
YBR170C	0.001	0.027
YBR171W	0.013	0.040
YBR172C	0.002	0.032
YBR173C	0.002	0.030
YBR174C	0.001	0.024
YBR175W	0.002	0.023
YBR176W	0.001	0.032
YBR177C	0.002	0.031
YBR178W	0.002	0.031
YBR180W	0.002	0.032
YBR181C	0.003	0.029
YBR183W	0.002	0.034
YBR186W	0.002	0.032
YBR187W	0.002	0.022
YBR188C	0.004	0.032
YBR189W	0.007	0.047
YBR191W	NaN	0.058
YBR194W	0.002	0.047
YBR195C	0.002	0.021
YBR197C	0.002	0.033
YBR199W	0.002	0.036
YBR200W	0.005	0.022
YBR201W	0.002	0.026
YBR204C	0.002	0.031
YBR205W	0.003	0.027
YBR206W	0.001	0.028
YBR207W	0.003	0.019
YBR208C	0.003	0.035
YBR209W	0.002	0.027
YBR212W	0.002	0.028
YBR213W	0.003	0.058
YBR214W	0.001	0.028
YBR215W	0.002	0.038
YBR216C	0.001	0.046
YBR217W	0.006	0.039
YBR218C	0.002	0.029
YBR219C	0.002	0.035
YBR220C	0.002	0.027
YBR221C	0.003	0.057
YBR222C	0.002	0.032
YBR223C	0.002	0.027
YBR224W	0.003	0.024
YBR225W	0.004	0.024
YBR226C	0.004	0.026
YBR227C	0.002	0.033
YBR228W	0.003	0.030
YBR229C	0.001	0.014
YBR230C	0.001	0.026
YBR231C	0.007	0.030
YBR232C	0.002	0.030
YBR233W	0.002	0.024
YBR235W	0.002	0.026
YBR238C	0.003	0.029
YBR239C	0.002	0.027
YBR242W	0.002	0.032
YBR244W	0.002	0.031
YBR245C	0.004	0.032
YBR246W	0.001	0.034
YBR248C	0.002	0.032
YBR249C	0.002	0.032
YBR250W	0.000	0.025
YBR255W	0.004	0.036
YBR258C	0.002	0.030
YBR259W	0.002	0.023
YBR260C	0.002	0.031
YBR261C	0.002	0.024
YBR262C	0.002	0.031
YBR264C	0.002	0.033
YBR266C	0.002	0.026
YBR267W	0.004	0.034
YBR268W	0.004	0.029
YBR269C	0.003	0.026
YBR270C	0.003	0.027
YBR271W	0.002	0.031
YBR272C	0.002	0.031
YBR273C	0.001	0.034
YBR275C	0.002	0.030
YBR276C	0.002	0.037
YBR277C	0.002	0.031
YBR278W	0.002	0.031
YBR279W	0.011	NaN
YBR281C	0.002	0.025
YBR282W	0.005	0.087
YBR283C	0.005	0.015
YBR284W	0.003	0.032
YBR285W	0.001	0.035
YBR286W	0.002	0.030
YBR287W	-0.001	0.041
YBR288C	0.004	0.030
YBR289W	0.005	0.061
YBR290W	0.003	0.037
YBR291C	0.007	0.039
YBR292C	0.030	0.054
YBR293W	0.002	0.029
YBR294W	0.002	0.031
YBR296C	0.025	0.052
YBR297W	0.002	0.030
YBR298C	0.018	0.046
YBR299W	0.004	0.044
YBR300C	0.029	0.048
YBR301W	0.002	0.030
YCL001W	0.002	0.052
YCL001W-A	0.012	0.051
YCL002C	0.003	0.023
YCL005W	0.003	0.041
YCL008C	0.005	0.013
YCL009C	0.002	0.032
YCL010C	0.011	0.088
YCL011C	0.000	0.037
YCL014W	0.002	0.026
YCL016C	0.003	0.027
YCL022C	0.002	0.028
YCL023C	0.001	0.029
YCL024W	NaN	0.030
YCL025C	0.002	0.032
YCL026C-A	0.002	0.040
YCL027W	0.001	0.036
YCL028W	0.002	0.029
YCL029C	0.002	0.024
YCL030C	0.002	0.039
