orf	hap alpha | chronological lifespan | phosphate starvation | phosphate limiting | Gresham D~Botstein D, 2011	hap alpha | chronological lifespan | leucine starvation | leucine limiting | Gresham D~Botstein D, 2011
YBR209W	-0.10824962665785681	-0.3563475259320853
YBR212W	-0.09043707548631409	-0.3563475654254881
YBR213W	-0.1219922989742954	-0.3563480092929002
YBR214W	-0.015473852323142719	-0.35634754400978863
YBR215W	-0.11284639486577637	-0.35634778477705875
YBR216C	-0.018744054263715816	-0.3563478945065774
YBR217W	-0.1508912590955271	-0.35634780065051846
YBR218C	-0.10702419139193486	-0.3563475899836355
YBR219C	-0.10704747077512412	-0.35634773220290206
YBR220C	-0.11224111965243158	-0.3563475179885134
YBR221C	-0.11819733191162088	-0.35634798556041763
YBR222C	-0.09706883077106003	-0.3563476588970156
YBR223C	-0.09795295720732387	-0.35634753753071835
YBR224W	-0.12346238528464351	-0.3563474143229179
YBR225W	-0.13550348117099048	-0.3563474033119643
YBR226C	-0.13231645647833087	-0.35634747409910095
YBR227C	-0.07321176188103308	-0.3563476764700006
YBR228W	-0.11734447977204196	-0.3563476080971774
YBR229C	-0.06632627916814243	-0.3563466339391524
YBR230C	-0.03808490457868681	-0.3563474795117287
YBR231C	-0.15535930424249167	-0.3563476249992842
YBR232C	-0.11077401968499696	-0.35634762213723087
YBR233W	-0.11034769674292101	-0.3563474041598188
YBR235W	-0.10325555614978583	-0.3563475045509215
YBR238C	-0.11470855495121518	-0.3563475996587006
YBR239C	-0.10829756268743054	-0.35634752249294993
YBR242W	-0.10203774615298532	-0.3563476616487984
YBR244W	-0.1073624231967166	-0.35634762888556404
YBR245C	-0.13949961745932318	-0.3563476707244335
YBR246W	-0.07078012673359108	-0.3563477144776629
YBR248C	-0.09204986283658975	-0.35634766743898544
YBR249C	-0.11165509274568676	-0.3563476704599952
YBR250W	-0.201517645844612	-0.356347440696231
YBR255W	-0.13573048025864978	-0.35634775353149045
YBR258C	-0.09953649598201988	-0.3563476012791018
YBR259W	-0.10119006735049793	-0.35634736142687906
YBR260C	-0.0890679548355258	-0.3563476388813097
YBR261C	-0.10987101028252048	-0.35634738924517345
YBR262C	-0.10273675924353994	-0.35634764044874956
YBR263W	-0.13495415419778456	-0.35634757771869935
YBR264C	-0.10627915435565713	-0.35634768226974833
YBR266C	-0.10980151516325455	-0.3563474889045207
YBR267W	-0.1378882445980757	-0.35634770520171033
YBR268W	-0.1358486810508138	-0.356347578007671
YBR269C	-0.12587180977823015	-0.35634747671045613
YBR270C	-0.115385786062198	-0.3563475365246698
YBR271W	-0.09637945396994228	-0.3563476482521466
YBR272C	-0.10627144252952159	-0.3563476436385007
YBR273C	-0.0364017485280165	-0.3563477040028218
YBR275C	-0.11082660362293184	-0.356347600171814
YBR276C	-0.10661633676956937	-0.35634776851531097
YBR277C	-0.08733195618423048	-0.3563476441243552
YBR278W	-0.09830532446732079	-0.3563476385520685
YBR279W	-0.16220733983718802	
YBR281C	-0.11340692661651239	-0.3563474340732497
YBR282W	-0.1463284902499655	-0.3563481490074455
YBR283C	-0.14350677937974307	-0.3563468195851187
YBR284W	-0.12194591936265327	-0.3563476649546478
YBR285W	0.025448169958900313	-0.35634773330483904
YBR286W	-0.10387974872928157	-0.356347611761271
YBR288C	-0.1352858351456392	-0.3563476170051047
YBR289W	-0.14574672276279188	-0.35634800408782374
YBR290W	-0.1282361823522102	-0.3563477615769836
YBR291C	-0.15199346919139256	-0.3563478001347312
YBR292C	-0.17122068113219577	-0.3563479752023966
YBR293W	-0.10406157149982175	-0.3563475880980995
YBR294W	-0.1047289962247428	-0.35634765042704825
YBR295W	-0.08778588367570697	-0.35634773925922614
YBR296C	-0.17022667622283166	-0.3563479542032895
YBR297W	-0.1043123786111645	-0.3563476262185001
YBR298C	-0.16192868096799828	-0.35634789255912674
YBR299W	-0.1337310443680929	-0.3563478767402368
YBR300C	-0.17088341798370976	-0.3563479204456699
YBR301W	-0.10131932687925273	-0.3563476163955812
YCL001W	-0.06118273085235887	-0.3563478675792368
YCL001W-A	-0.02380169150792488	-0.3563479500085956
YCL002C	-0.12891977281592876	-0.35634724516801064
YCL005W	-0.1290398071697964	-0.35634783090985667
YCL008C	-0.14247126352909953	-0.35634657049541346
YCL009C	-0.07886701018881505	-0.35634767491389696
YCL010C	-0.161605948799045	-0.35634814966584577
YCL011C	-0.23736584878567235	-0.356347663785915
YCL014W	-0.09669897224376006	-0.35634748435916086
YCL016C	-0.1305049948089002	-0.3563475297209023
YCL022C	-0.09892213160252394	-0.35634754991473055
YCL023C	0.02365800279447549	-0.356347582971495
YCL025C	-0.07902479637670731	-0.3563476685887395
YCL026C-A	-0.1041332526570396	-0.3563478228387513
YCL027W	-0.06073283438098368	-0.35634774960476245
YCL028W	-0.09920599261552411	-0.35634759047422276
YCL029C	-0.10770047949960877	-0.35634741958278804
YCL030C	-0.09823113192640515	-0.35634779642610565
YCL032W	-0.11058569981776589	-0.35634776034082166
YCL033C	-0.09907460849356649	-0.35634736193587513
YCL034W	-0.11594829798175692	-0.3563480795226844
YCL035C	-0.3674352919807846	-0.35634673075944145
YCL036W	-0.08332000205708437	-0.3563475261192959
YCL037C	-0.14693672492516335	-0.3563479138577317
YCL038C	-0.11932681915047862	-0.3563475295055573
YCL039W	-0.12977892507978867	-0.3563475759654696
YCL040W	-0.11053201567288064	-0.3563476192945501
YCL042W	-0.14164900119169452	-0.3563476539170842
YCL044C	-0.0712809029149207	-0.3563475164517768
YCL045C	-0.10047177098071403	-0.356347434198406
YCL046W	-0.10518441665672568	-0.35634749481367106
YCL047C	-0.10550104173899129	-0.35634699464494424
YCL048W	-0.14744866824791739	
YCL049C	-0.17779325185865577	-0.3563474406274419
YCL050C	-0.10091955916944824	-0.35634761510775254
YCL051W	-0.09906004975561387	-0.3563476761242716
YCL055W	-0.0942066621026996	-0.35634743297530425
YCL056C	-0.08083850903605762	-0.3563476625592304
YCL057W	0.35048748940553903	-0.35634730584962526
YCL058C	-0.1554293160646093	-0.3563477678440295
YCL061C	-0.0912790299508395	-0.35634676607207216
YCL063W	-0.0964244991785333	-0.3563471514483273
YCL064C	-0.0947208922133594	-0.35634745151120156
YCL069W	0.0351956721855459	-0.3563473458727923
YCL076W	-0.10387367061684323	-0.35634755462435574
YCR001W	-0.10220072224213551	-0.3563475847660162
YCR002C	-0.13338332525566507	-0.3563480859873709
YCR003W	-0.1266203515256352	-0.35634798433925885
YCR004C	-0.10999374179255152	-0.3563475062492387
YCR005C	-0.09271809936362743	-0.35634703439072707
YCR007C	-0.09304199216980491	-0.3563476269903971
YCR008W	-0.09427261088989114	-0.35634785206511077
YCR009C	-0.13927335180594066	-0.35634781404602306
YCR010C	-0.09320372787402208	-0.356347672080027
YCR011C	-0.11654343254997589	-0.35634770307541186
YCR015C	-0.10085761348267197	-0.3563476457449261
YCR016W	-0.11431414116435441	-0.3563476559792405
YCR017C	-0.11204086026789732	-0.35634716229305147
YCR019W	-0.10306136368045324	-0.3563475681064879
YCR020C	-0.10505727561583753	-0.3563476050145286
YCR020C-A	-0.11973423515854381	-0.3563473270598339
YCR021C	-0.11010554666223925	-0.35634758511155756
YCR022C	-0.12556633899390787	-0.35634720425828154
YCR023C	-0.09548890431590111	-0.3563476204468529
YCR024C	-0.13582751594139442	-0.35634809305135917
YCR024C-A	0.049219486003524424	-0.3563471391091556
YCR025C	-0.17200567090237975	-0.3563479720948979
YCR026C	-0.17144603422780968	-0.35634795274135045
YCR027C	-0.08494060745367824	-0.3563473028191355
YCR028C	-0.10105073242909837	-0.3563477033669217
YCR028C-A	-0.14827686396550271	-0.35634772826075567
YCR031C	-0.1014068506809197	-0.3563477195297063
YCR033W	-0.13233114353096298	-0.35634773781780477
YCR034W	0.0445070890704163	-0.35634765185527206
YCR036W	-0.17103907008399863	-0.356347936083918
YCR037C	-0.07806799137840847	-0.3563476211080165
YCR043C	-0.12124529826208108	-0.3563479397364513
YCR044C	-0.14637349535254854	-0.3563478347133805
YCR045C	-0.17117216945099623	-0.35634796049147516
YCR046C	-0.1443088132407527	-0.35634817335291213
YCR048W	0.03715263866484572	-0.35634786093699594
YCR049C	-0.17170819966571302	-0.3563479293155805
YCR050C	-0.17141503311401282	-0.3563479020484056
YCR051W	-0.14233967217749932	-0.35634804165407
YCR060W	-0.1068823456271074	-0.35634762139627074
YCR061W	-0.10319835336193621	-0.3563478027696407
YCR063W	-0.1559600596652621	-0.3563480362676998
YCR066W	-1.0345215143128261	-0.3563476234155548
YCR067C	-0.11247358891325226	-0.35634772381164964
YCR068W	-0.16967168620121845	-0.3563478856923887
YCR069W	-0.11431377112662602	-0.3563475853468335
YCR071C	-0.12433261690547477	-0.3563479508071071
YCR073C	-0.0762445214159659	-0.35634760118823167
YCR073W-A	-0.10103375307674949	-0.3563476417174849
YCR075C	-0.10431205129324994	-0.3563476879212732
YCR076C	-0.09153794634792482	-0.3563476895435909
YCR077C	-0.168234462604772	-0.35634716961131924
YCR079W	-0.16918613202354127	-0.3563480150750454
YCR082W	-0.6720244799339874	-0.35634762050534785
YCR083W	-0.09979662675690938	-0.3563476875880071
YCR084C	-0.14399894599941	
YCR085W	-0.09686683382024838	-0.35634767448447086
YCR086W	-0.16324250510691937	-0.35634777351496605
YCR087C-A	-0.17255642144042782	-0.3563479618399834
YCR087W	-0.17224079040852244	-0.3563479975651629
YCR088W	-0.0983981144867452	-0.35634760241073843
YCR090C	-0.07342709763276101	-0.35634767328442984
YCR091W	-0.10598697416280725	-0.35634758501040087
YCR092C	-0.08508304611710696	-0.35634766504324056
YCR094W	-0.13096985867660876	-0.35634816897711247
YCR095C	0.05067020075695941	-0.3563469121801751
YCR098C	-0.10080869430820451	-0.35634762942516623
YCR099C	-0.09771015654770727	-0.35634759599963356
YCR100C	-0.09296022337488109	-0.35634761778454827
YCR101C	0.652571729862405	-0.35634768815735457
YCR102C	-0.07347238188739182	-0.35634762609347814
YCR102W-A	-0.057350040870311245	-0.3563475657134927
YCR105W	-0.08313064416350734	-0.3563476842654683
YCR106W	-0.10095770814497282	-0.3563476852117582
YCR107W	-0.08487606241024034	-0.3563475785299475
YDL001W	-0.1472976990547445	-0.356347256025684
YDL002C	-0.15844767931193007	-0.3563475157069981
YDL005C	-0.15993635108263446	-0.3563479634424391
YDL006W	-0.12026920312592324	-0.3563465269083441
YDL009C	-0.10869486013149951	-0.35634761732778175
YDL010W	-0.03707808330315701	-0.35634768764548524
YDL011C	-0.14371742581871455	-0.3563476415904928
YDL012C	-0.1487381578741645	-0.35634817771840066
YDL018C	-0.060601683179328264	-0.3563477100244593
YDL019C	-0.13729726240323098	-0.3563472726479523
YDL020C	-0.13141397386895215	-0.356347959697448
YDL021W	-0.11067499260514288	-0.35634758221842305
YDL022W	0.14646725904843416	-0.35634694752616897
YDL023C	-0.11273996522906453	-0.35634755575793386
YDL024C	-0.10998948223448476	-0.3563476394845166
YDL025C	-0.1086106298103927	-0.35634756964343445
YDL026W	-0.10962820492599515	-0.35634764019756293
YDL027C	-0.1136088566343227	-0.35634761047841806
YDL032W	-0.12285605330205965	-0.356395586038915
YDL034W	-0.3893334613602629	-0.356346666400789
YDL035C	3.26102535624058	-0.35634683543181717
YDL036C	-0.06926019779184601	-0.35634758983956644
YDL037C	-0.10759143464710709	-0.3563475889162343
YDL039C	-0.13755867740336591	-0.35634789973368747
YDL041W	-0.256092902494822	-0.35634650069312884
YDL042C	-0.26047292613314826	-0.35634771908254353
YDL044C	-0.1445067480887865	-0.3563481022043491
YDL045W-A	-0.142120375590633	-0.3563482382581777
YDL047W	-0.13329207406010954	-0.3563593891230318
YDL048C	-0.10639461311242174	-0.35634739134478716
YDL049C	-0.10732946741298716	-0.3563475211270506
YDL050C	-0.1256378355336943	-0.35634762167611067
YDL051W	-0.12362756585962831	-0.3563475386592424
YDL052C	-0.12308181381900636	-0.3563476470693254
YDL053C	-0.07593482011521505	-0.35634749190712156
YDL054C	-0.11907188167077286	-0.3563475707983367
YDL056W	-0.308295382459719	-0.3563469507898426
YDL057W	-0.0863834457430989	-0.3563477685505936
YDL059C	-0.11216900614833385	-0.35634740556704125
YDL061C	-0.12228374393764926	-0.35634772131221165
YDL062W	-0.11890287436186968	-0.3563476378425504
YDL063C	-0.11653694350696328	-0.3563476414154869
YDL065C	-0.1512075807874699	-0.3563466703693473
YDL066W	-0.1400255464368995	-0.35634761284878314
