orf	hap alpha | L-lactate abundance | standard [standard] | Hirasawa T~Shimizu H, 2013
YAL002W	0.9154168560319143
YAL004W	1.064283189415745
YAL005C	1.1479742126613812
YAL007C	0.1462741335487889
YAL008W	1.1087209008736048
YAL009W	1.042434647948964
YAL010C	0.9961453651803598
YAL011W	1.0098469928798666
YAL012W	1.042434647948964
YAL013W	1.2075948088673434
YAL014C	1.110942786446498
YAL015C	1.077984817115252
YAL016W	0.7684020939588277
YAL017W	1.057617532697066
YAL018C	1.0505815617162382
YAL019W	1.1346428992240232
YAL020C	0.906899628002491
YAL021C	0.9617061388005184
YAL022C	0.898382399973068
YAL023C	1.022437677792927
YAL024C	1.0631722466292985
YAL026C	0.9728155666649835
YAL027W	0.9261559696342304
YAL028W	1.1313100708646837
YAL029C	0.9939234796074667
YAL030W	0.991331279772425
YAL031C	1.0379908768031778
YAL034C	1.022437677792927
YAL035W	1.0876129879311216
YAL036C	0.9720749381406857
YAL037W	1.172785268225353
YAL039C	0.6991533269369961
YAL040C	0.9594842532276254
YAL042C-A	1.022437677792927
YAL042W	1.0394721338517732
YAL044C	1.0098469928798666
YAL045C	0.9576326819168813
YAL046C	1.077244188590954
YAL047C	0.5895403053409415
YAL048C	1.1472335841370835
YAL049C	0.9098621420996817
YAL051W	1.0009594505882946
YAL053W	0.8809776296520728
YAL054C	1.0702082176101264
YAL055W	1.2075948088673434
YAL056C-A	0.9739265094514299
YAL056W	1.026511134676564
YAL058W	1.0505815617162384
YAL059W	0.9939234796074667
YAL060W	1.212408894275278
YAL061W	1.128347556767493
YAL062W	1.1838946960898182
YAL064C-A	1.090945816290461
YAL065C	1.078355131377401
YAL066W	1.043915904997559
YAL067C	1.0835395310474845
YAL068C	0.997626622228955
YAR002C-A	0.9417091686444814
YAR002W	0.9487451396253092
YAR003W	0.95800299617903
YAR014C	0.9598545674897742
YAR015W	1.0657644464643403
YAR018C	1.0172532781228434
YAR020C	1.0302142772980523
YAR023C	1.0065141645205269
YAR027W	1.0183642209092898
YAR028W	1.1205709572623677
YAR029W	1.0835395310474845
YAR030C	1.0368799340167314
YAR031W	1.054655018599875
YAR035W	1.0787254456395494
YAR042W	1.0620613038428521
YAR047C	0.9850359373158948
YAR050W	1.042064333686815
YBL001C	0.9924422225588715
YBL002W	1.0002188220639971
YBL003C	0.9550404820818393
YBL005W	0.9605951960140718
YBL006C	0.9176387416048073
YBL007C	0.9872578228887879
YBL008W	1.0035516504233364
YBL009W	0.7447019811813025
YBL010C	0.9968859937046575
YBL011W	0.9913312797724252
YBL012C	1.0098469928798668
YBL013W	0.9413388543823326
YBL015W	0.9802218519079602
YBL016W	1.0168829638606944
YBL017C	0.9739265094514299
YBL019W	0.6732313285865777
YBL021C	0.09146762275076166
YBL022C	1.075762931542359
YBL024W	1.0050329074719317
YBL025W	0.16256796108333754
YBL027W	1.068726960561531
YBL028C	1.0191048494335877
YBL029W	0.995404736656062
YBL031W	1.5079196754700468
YBL032W	0.9217121984884444
YBL036C	1.006514164520527
YBL037W	1.0431752764732616
YBL038W	0.9461529397902674
YBL039C	0.9887390799373832
YBL042C	1.0413237051625175
YBL043W	1.0068844787826758
YBL044W	1.097241158746991
YBL045C	0.9146762275076167
YBL046W	1.0231783063172244
YBL047C	0.9705936810920904
YBL048W	1.0172532781228434
YBL049W	0.9731858809271322
YBL051C	0.8998636570216633
YBL052C	0.913935598983319
YBL053W	0.856166574088101
YBL054W	0.9517076537224999
YBL055C	1.0150313925499503
YBL056W	1.066134760726489
YBL057C	0.986887508626639
YBL058W	1.0946489589119495
YBL059W	1.0939083303876516
YBL060W	1.0009594505882946
YBL061C	1.03095490582235
YBL062W	1.1724149539632043
YBL063W	1.0653941322021914
YBL064C	1.0709488461344239
YBL065W	1.110572472184349
YBL066C	1.0831692167853355
YBL067C	0.98651719436449
YBL068W	1.0013297648504433
YBL069W	0.9531889107710951
YBL070C	0.9713343096163881
YBL071C	0.986887508626639
YBL072C	0.9813327946944065
YBL075C	1.0191048494335877
YBL078C	1.1246444141460048
YBL079W	0.9383763402851418
YBL080C	1.0235486205793733
YBL081W	0.9335622548772071
YBL082C	0.9009745998081099
YBL083C	0.9083808850510865
YBL085W	1.0453971620461544
YBL086C	1.0005891363261459
YBL087C	1.1357538420104698
YBL088C	1.0276220774630105
YBL089W	0.9065293137403424
