orf	hap alpha | L-lactate abundance | standard [standard] | Hirasawa T~Shimizu H, 2013
YAL002W	-0.4410853977321478
YAL004W	0.2898571680133562
YAL005C	0.7007850781090877
YAL007C	-4.217621987417251
YAL008W	0.5080489786836553
YAL009W	0.18257952776712585
YAL010C	-0.044703608347769846
YAL011W	0.022572199942239097
YAL012W	0.18257952776712585
YAL013W	0.9935257574250738
YAL014C	0.5189585692171717
YAL015C	0.3571329763033662
YAL016W	-1.1629366380330557
YAL017W	0.2571283964128116
YAL018C	0.22258135972334725
YAL019W	0.6353275349079974
YAL020C	-0.48290549477728895
YAL021C	-0.21380226161725208
YAL022C	-0.5247255918224291
YAL023C	0.08439321296549097
YAL024C	0.28440237274659913
YAL026C	-0.1592543089496765
YAL027W	-0.3883557101534919
YAL028W	0.6189631491077252
YAL029C	-0.055613198881285075
YAL030W	-0.06834105450371897
YAL031C	0.1607603467000954
YAL034C	0.08439321296549097
YAL035W	0.40440786861526445
YAL036C	-0.16289083912751542
YAL037W	0.8226088390666717
YAL039C	-1.5029522096609393
YAL040C	-0.22471185215076675
YAL042C-A	0.08439321296549097
YAL042W	0.16803340705577222
YAL044C	0.022572199942239097
YAL045C	-0.23380317759536223
YAL046C	0.3534964461255267
YAL047C	-2.0411586759810127
YAL048C	0.6971485479312494
YAL049C	-0.4683593740659353
YAL051W	-0.02106616219182073
YAL053W	-0.61018405100163
YAL054C	0.3189494094360635
YAL055W	0.9935257574250738
YAL056C-A	-0.15379951368291941
YAL056W	0.10439412894360167
YAL058W	0.22258135972334836
YAL059W	-0.055613198881285075
YAL060W	1.0171632035810219
YAL061W	0.6044170283963716
YAL062W	0.8771567917342479
YAL064C-A	0.4207722544155368
YAL065C	0.35895124139228596
YAL066W	0.18985258812280156
YAL067C	0.38440695263715374
YAL068C	-0.03743054799209357
YAR002C-A	-0.31198857641888694
YAR002W	-0.27744153972942315
YAR003W	-0.23198491250644412
YAR014C	-0.2228935870618481
YAR015W	0.297130228369033
YAR018C	0.05893750172062319
YAR020C	0.12257677983279264
YAR023C	0.006207814141965708
YAR027W	0.06439229698738026
YAR028W	0.5662334615290698
YAR029W	0.38440695263715374
YAR030C	0.15530555143333832
YAR031W	0.24258227570145688
YAR035W	0.36076950648120354
YAR042W	0.27894757747984206
YAR047C	-0.0992515610153449
YAR050W	0.1807612626782061
YBL001C	-0.06288625923696135
YBL002W	-0.02470269236965805
YBL003C	-0.2465310332177972
YBL005W	-0.21925705688400968
YBL006C	-0.4301758071986325
YBL007C	-0.08834197048182912
YBL008W	-0.00833830656938684
YBL009W	-1.2793056037238821
YBL010C	-0.04106707816993144
YBL011W	-0.06834105450371787
YBL012C	0.022572199942240186
YBL013W	-0.31380684150780613
YBL015W	-0.12288900717129292
YBL016W	0.05711923663170344
YBL017C	-0.15379951368291941
YBL019W	-1.630230765885281
YBL021C	-4.486725220577288
YBL022C	0.346223385769851
YBL024W	-0.001065246213710021
YBL025W	-4.1376183235048085
YBL027W	0.31167634908038666
YBL028C	0.06802882716521975
YBL029W	-0.0483401385256088
YBL031W	2.468138744538517
YBL032W	-0.4101748912205218
YBL036C	0.006207814141966798
YBL037W	0.18621605794496426
YBL038W	-0.29016939535185704
YBL039C	-0.08106891012615285
YBL042C	0.17712473250036878
YBL043W	0.008026079230885459
YBL044W	0.4516827609271616
YBL045C	-0.4447219279099856
YBL046W	0.08802974314332829
YBL047C	-0.17016389948319172
YBL048W	0.05893750172062319
YBL049W	-0.15743604386075782
YBL051C	-0.5174525314667527
YBL052C	-0.44835845808782404
YBL053W	-0.7320078119592139
YBL054W	-0.2628954190180695
YBL055C	0.04802791118710796
YBL056W	0.29894849345795166
YBL057C	-0.09016023557074887
YBL058W	0.4389549053047288
YBL059W	0.4353183751268893
