ORF	het | genome instability (diploid mating) | standard [standard] | Choy JS~Basrai MA, 2013
YAR047C	0.667
YLR053C	1.167
YML053C	0.167
YMR153W	0.667
YLL001W	0.500
YLR054C	0.583
YML051W	0.167
YMR153C-A	0.667
YLL002W	0.333
YLR055C	0.333
YML050W	0.000
YMR155W	1.000
YLL003W	0.000
YLR056W	0.667
YML049C	0.000
YMR156C	0.333
YLL004W	0.333
YLR057W	0.333
YML048W	1.333
YMR157C	0.500
YLL005C	0.167
YLR058C	0.333
YML047W-A	3.000
YMR158W-B	0.833
YLL006W	0.667
YLR059C	0.167
YML043C	0.333
YMR255W	0.167
YLL008W	0.833
YLR060W	0.333
YML037C	0.667
YMR256C	1.167
YLL009C	0.500
YLR061W	1.000
YML034W	0.222
YMR257C	1.500
YLL010C	0.667
YLR062C	0.833
YML034C-A	0.667
YMR259C	1.167
YLL011W	0.833
YLR063W	0.667
YMR260C	1.000
YLL012W	0.667
YLR064W	0.500
YML032C	0.000
YMR262W	0.833
YLL013C	0.167
YLR065C	0.000
YML030W	0.000
YMR263W	1.000
YLL014W	0.667
YLR066W	1.000
YML029W	0.000
YMR264W	0.833
YMR159C	0.167
YMR265C	0.167
YNL283C	0.167
YOR079C	0.000
YMR160W	0.917
YMR267W	0.667
YNL282W	0.000
YOR080W	0.833
YMR161W	1.167
YMR268C	1.500
YNL281W	0.167
YOR081C	0.333
YMR162C	1.000
YMR269W	0.750
YNL280C	0.333
YOR082C	0.500
YMR270C	0.500
YNL278W	0.500
YOR083W	1.000
YMR163C	0.500
YNL277W	0.667
YOR084W	0.167
YMR164C	1.167
YMR272C	0.333
YOR085W	0.833
YMR165C	0.833
YMR273C	0.333
YNL276C	0.750
YMR166C	1.167
YMR274C	0.833
YNL275W	0.333
YOR086C	0.333
YMR167W	0.667
YMR275C	1.500
YNL273W	0.500
YOR087W	0.500
YMR168C	0.500
YMR276W	0.500
YNL272C	0.167
YMR169C	0.583
YMR277W	1.833
YNL271C	0.333
YOR090C	0.500
YMR170C	0.167
YMR278W	0.500
YNL270C	0.667
YOR091W	1.000
YMR172C-A	0.833
YMR280C	0.167
YNL269W	0.833
YOR092W	0.167
YMR173W	0.500
YMR281W	1.000
YNL268W	0.417
YOR094W	0.833
YMR173W-A	0.333
YMR282C	0.167
YNL266W	0.333
YOR290C	0.667
YMR174C	0.583
YMR283C	0.500
YNL265C	0.333
YOR291W	0.667
YMR175W	0.750
