orf	het | genome instability (diploid mating) | standard [standard] | Choy JS~Basrai MA, 2013
YAL001C	1.3850496693543028
YAL002W	0.21308456451604646
YAL003W	0.21308456451604646
YAL004W	0.9943946344082176
YAL005C	3.338324844084731
YAL007C	0.603739599462132
YAL008W	0.603739599462132
YAL009W	-0.17757047043003898
YAL010C	0.603739599462132
YAL011W	0.9943946344082176
YAL012W	0.21308456451604646
YAL013W	-0.9588805403222102
YAL014C	-0.5682255053761246
YAL015C	-0.9588805403222102
YAL016C-B	0.21308456451604646
YAL016W	-0.17757047043003898
YAL017W	0.9943946344082176
YAL018C	-0.17757047043003898
YAL019W	0.21308456451604646
YAL020C	0.9943946344082176
YAL021C	1.971032221773431
YAL022C	0.603739599462132
YAL023C	-0.17757047043003898
YAL024C	0.21308456451604646
YAL025C	-0.17757047043003898
YAL026C	1.3850496693543028
YAL027W	-0.5682255053761246
YAL028W	-0.9588805403222102
YAL029C	-1.3495355752682956
YAL030W	-0.5682255053761246
YAL031C	-0.17757047043003898
YAL032C	-0.5682255053761246
YAL033W	1.3850496693543028
YAL034C	-0.9588805403222102
YAL034C-B	1.3850496693543033
YAL034W-A	-0.9588805403222102
YAL035W	-0.9588805403222102
YAL036C	-0.5682255053761246
YAL037C-A	3.7289798790308164
YAL037W	-0.17757047043003898
YAL038W	0.21308456451604646
YAL039C	0.21308456451604646
YAL040C	-1.3495355752682956
YAL041W	-1.3495355752682956
YAL042C-A	-0.17757047043003898
YAL042W	-0.5682255053761246
YAL043C	-1.3495355752682956
YAL044C	-0.17757047043003898
YAL044W-A	2.166359739246474
YAL045C	-1.3495355752682956
YAL046C	-0.9588805403222102
YAL047C	1.7757047043003886
YAL048C	-0.5682255053761246
YAL049C	0.40841208198908935
YAL051W	-0.5682255053761246
YAL053W	-1.3495355752682956
YAL054C	0.9943946344082176
YAL055W	-1.3495355752682956
YAL056C-A	0.9943946344082176
YAL056W	-0.9588805403222102
YAL058W	-0.17757047043003898
YAL059W	-1.3495355752682956
YAL060W	-0.17757047043003898
YAL061W	0.603739599462132
YAL062W	-0.17757047043003898
YAL064C-A	0.603739599462132
YAL065C	-0.9588805403222102
YAL066W	-0.17757047043003898
YAL067C	-1.3495355752682956
YAL067W-A	0.21308456451604646
