orf	hap a | growth (colony size) | manganese(II) chloride [12 mM] | Chesi A~Gitler AD, 2012	hap a | growth (colony size) | manganese(II) chloride [25 mM] | Chesi A~Gitler AD, 2012
YAL002W	0.20906634683015454	1.015003814446719
YAL004W	-0.3051086003270886	-0.5532355428234068
YAL005C	-0.06414682638054761	-0.08023052655191552
YAL007C	0.2115266143320819	0.08977447508467822
YAL008W	0.3207889917887214	0.07846743012849369
YAL009W	-0.31407584778099473	0.10596393113741859
YAL010C	1.2335775301711651	1.1053564706459942
YAL011W	-3.3114727866431344	-0.8804018328602586
YAL012W	0.4200980095296708	1.545367701513786
YAL013W	-0.47653710535699023	-0.4933988883013893
YAL014C	0.40367353072636497	0.5379889438042065
YAL015C	-0.0350556133194401	0.8970107811989873
YAL016W	0.7159424868281444	-0.41859510937025823
YAL017W	-0.029606325807260667	0.4530487331490062
YAL018C	-0.16994055556523557	0.2249779431659306
YAL019W	-0.748821550463686	-0.35278049110193826
YAL020C	0.07285328645582179	-0.05281978045302692
YAL021C	-1.9524301838865508	-1.3041842589275696
YAL022C	-0.20887554271446493	-0.21604250503188427
YAL023C	1.1826169575836962	0.725117816360059
YAL024C	0.23239271888064722	-0.8802480508971061
YAL026C	0.655174013458389	0.9292796364445677
YAL027W	-0.27620948501317844	0.5057270332040037
YAL028W	-0.3792567725288488	0.8857650374403914
YAL029C	0.2977861209462484	1.8071708377926916
YAL030W	-0.1355668406514849	1.01203537725219
YAL031C	-0.3162025551105574	0.28764916638168986
YAL034C	-0.12843352307864228	0.229924820233536
YAL035W	-1.4043974155788426	-0.07278206582706803
YAL036C	-0.5886420463735	-0.25465609671081146
YAL037W	-0.038783965303932154	-0.17888933895601383
YAL039C	1.5558610780216595	0.08735152133673185
YAL040C	-0.043497781812552365	0.17709389027225136
YAL042C-A	0.42680367584514917	1.0330712740769363
YAL042W	0.5896076314441012	1.572216859187656
YAL044C	-1.3778210933296333	-0.3976735086170526
YAL045C	-0.060833875548743636	0.8574071111004611
YAL046C	-0.3442767176339499	0.8301310823563592
YAL047C	3.2147959906682755	3.802952138165476
YAL048C	1.0781127530114307	0.7566331865218376
YAL049C	-0.30586620317191154	-0.02647784022733631
YAL051W	-0.4653188879494604	-0.008500060166320319
YAL053W	-0.20854180028080924	0.31956944229704476
YAL054C	0.3576363715031243	-0.020912459542353098
YAL055W	0.0935745385025177	-0.4573757441567206
YAL056C-A	0.2846866808571172	-0.06884945156010154
YAL056W	-1.0911274146075447	-0.9841954403274366
YAL058W	-0.2527114463110338	-0.0727940157231427
YAL059W	-0.11088834438546644	-0.4978037355122247
YAL060W	0.018748172087499397	0.40473544558494284
YAL061W	-0.19991281451369647	0.214781870284879
YAL062W	-0.09039836912262612	0.15316456484925223
YAL064C-A	0.4486869691823691	0.013628551911352123
YAL065C	-0.2620113691052138	0.17352953430365342
YAL066W	-0.4553562284906233	0.06509202198306253
YAL067C	-0.4088994314658404	-0.2012612185036117
YAL068C	-0.41093758375588596	-0.31390022074295965
YAR002C-A	-0.4571592343339821	0.2512776822731093
YAR002W	-0.46739202244760236	0.18289758093339703
YAR003W	0.5101887711976675	0.20570399014726884
YAR014C	0.2025886021328763	0.5588652069031295
YAR015W	1.0275641108397482	1.6009787268435984
YAR018C	0.14545017340850314	0.0943755109521853
YAR020C	0.19373132550822553	0.2833683823679243
YAR023C	0.1774588052894193	0.18089138777923877
YAR027W	0.45604442203416623	0.27258398943098566
YAR028W	0.25855569419401797	0.07552719942901977
YAR029W	0.35974353915175433	0.2079436671277591
YAR030C	1.5677234442910941	2.3483536781379732
YAR031W	0.10255471687522957	0.0301279153495897
YAR035W	-0.31543798875960977	0.5901095180630193
YAR042W	-0.07339820385805385	0.5226105913784674
YAR047C	0.2572956092735594	0.3873492456106445
YAR050W	0.09306581068946584	0.05758994752871517
YBL001C	-1.5539838949533638	-0.35294359030531547
YBL002W	0.6578127625538625	-0.11532617348401261
YBL003C	-1.794926375981861	-0.8105192610918822
YBL005W	-0.41433072252712627	-0.30579177875250324
YBL006C	1.1947735837469047	1.4141661465542659
YBL007C	-0.889017838989575	-0.28476359380561506
YBL008W	0.23481312920743735	0.3955582611298071
YBL009W	0.3773200384212088	0.5217838201398985
YBL010C	-0.28370734897794125	-0.42377045840657296
YBL011W	1.905111518951569	1.1953911936785129
YBL012C	1.1838959630855979	0.16333884761530057
YBL013W	0.4783778264351965	-0.19606875244973931
YBL015W	-0.006198176909764078	-0.38104334180257066
YBL016W	-2.356856360115799	-1.1103198426106895
YBL017C	-1.644697256877046	-0.45689961106608434
YBL019W	-0.7571077303558897	0.13052247887843713
YBL021C	1.630855187398552	1.7102419699099898
