ORF	Growth, colony size;Manganese;12 mM	Growth, colony size;Manganese;25 mM
YAL002W	0.687	0.344
YAL004W	0.621	0.177
YAL005C	0.652	0.227
YAL007C	0.688	0.245
YAL008W	0.702	0.244
YAL009W	0.620	0.247
YAL010C	0.819	0.353
YAL011W	0.236	0.142
YAL012W	0.714	0.400
YAL013W	0.599	0.183
YAL014C	0.712	0.293
YAL015C	0.656	0.331
YAL016W	0.752	0.191
YAL017W	0.657	0.284
YAL018C	0.639	0.260
YAL019W	0.565	0.198
YAL020C	0.670	0.230
YAL021C	0.410	0.097
YAL022C	0.634	0.213
YAL023C	0.812	0.313
YAL024C	0.690	0.142
YAL026C	0.744	0.335
YAL027W	0.625	0.289
YAL028W	0.612	0.330
YAL029C	0.699	0.428
YAL030W	0.643	0.343
YAL031C	0.620	0.266
YAL034C	0.644	0.260
YAL035W	0.481	0.228
YAL036C	0.585	0.209
YAL037W	0.655	0.217
YAL039C	0.860	0.245
YAL040C	0.655	0.255
YAL042W	0.736	0.403
YAL043C-A	0.715	0.346
YAL044C	0.484	0.193
YAL045C	0.653	0.327
YAL046C	0.616	0.324
YAL047C	1.072	0.640
YAL048C	0.799	0.316
YAL049C	0.621	0.233
YAL051W	0.601	0.235
YAL053W	0.634	0.270
YAL054C	0.706	0.234
YAL055W	0.672	0.187
YAL056W	0.521	0.131
YAL058C-A	0.697	0.228
YAL058W	0.628	0.228
YAL059W	0.646	0.183
YAL060W	0.663	0.279
YAL061W	0.635	0.259
YAL062W	0.649	0.252
YAL064C-A	0.718	0.237
YAL065C	0.627	0.254
YAL066W	0.602	0.243
YAL067C	0.608	0.214
YAL068C	0.608	0.202
YAR002C-A	0.602	0.262
YAR002W	0.601	0.255
YAR003W	0.726	0.258
YAR014C	0.686	0.295
YAR015W	0.792	0.406
YAR018C	0.679	0.246
YAR020C	0.685	0.266
YAR023C	0.683	0.255
YAR027W	0.719	0.265
YAR028W	0.694	0.244
YAR029W	0.707	0.258
YAR030C	0.861	0.485
YAR031W	0.674	0.239
YAR035W	0.620	0.298
YAR037W	0.628	0.310
YAR040C	0.649	0.415
YAR042W	0.651	0.311
YAR043C	0.665	0.300
YAR044W	0.652	0.271
YAR047C	0.693	0.277
YAR050W	0.672	0.242
YBL001C	0.461	0.198
YBL002W	0.745	0.223
YBL003C	0.430	0.150
YBL005W	0.607	0.203
YBL006C	0.814	0.386
YBL007C	0.547	0.205
YBL008W	0.691	0.278
YBL009W	0.709	0.291
YBL010C	0.624	0.191
YBL011W	0.905	0.363
YBL012C	0.812	0.253
YBL013W	0.722	0.215
YBL015W	0.660	0.195
YBL016W	0.358	0.118
YBL017C	0.450	0.187
YBL019W	0.563	0.250
YBL021C	0.869	0.418
YBL022C	0.567	0.229
YBL024W	0.462	0.216
YBL025W	NaN	NaN
YBL027W	0.630	0.413
YBL028C	0.485	0.259
YBL029W	0.900	0.547
YBL031W	0.556	0.205
YBL032W	0.899	0.452
YBL033C	0.930	0.332
YBL036C	0.694	0.206
YBL037W	0.616	0.190
YBL038W	0.729	0.232
YBL039C	0.563	0.216
YBL042C	0.744	0.322
YBL043W	0.712	0.313
YBL044W	1.137	0.490
YBL045C	0.761	0.344
YBL046W	0.666	0.246
YBL047C	0.299	0.149
YBL048W	0.831	0.391
YBL049W	0.717	0.219
YBL051C	0.630	0.169
YBL052C	0.624	0.203
YBL053W	0.623	0.205
YBL054W	0.620	0.211
YBL055C	0.621	0.333
