orf	hap a | growth (colony size) | manganese(II) chloride [12 mM] | Chesi A~Gitler AD, 2012	hap a | growth (colony size) | manganese(II) chloride [25 mM] | Chesi A~Gitler AD, 2012
YAL002W	0.687246963562753	0.3436234817813765
YAL004W	0.6213675213675214	0.17692307692307693
YAL005C	0.652241112828439	0.22720247295208656
YAL007C	0.6875621890547264	0.24527363184079604
YAL008W	0.7015615962984383	0.24407171775592826
YAL009W	0.6202185792349727	0.24699453551912567
YAL010C	0.8185140073081607	0.35322777101096225
YAL011W	0.23617256637168144	0.14214601769911506
YAL012W	0.7142857142857142	0.39999999999999997
YAL013W	0.5994029850746269	0.18328358208955223
YAL014C	0.7121813031161472	0.2929178470254957
YAL015C	0.6559684684684685	0.3310810810810811
YAL016W	0.752191235059761	0.19123505976095617
YAL017W	0.6566666666666666	0.2838888888888889
YAL018C	0.6386861313868613	0.25964546402502603
YAL019W	0.5645161290322581	0.19823100936524454
YAL020C	0.6697944593386953	0.23011617515638963
YAL021C	0.4103019538188277	0.09709887507400829
YAL022C	0.6336975273145486	0.2127659574468085
YAL023C	0.8119846069268828	0.3128092358438702
YAL024C	0.6902356902356902	0.14216236438458663
YAL026C	0.7444051825677267	0.33451118963486454
YAL027W	0.6250702641933671	0.2894884766722878
YAL028W	0.6118671747414263	0.32988568317909633
YAL029C	0.6986143187066974	0.42782909930715934
YAL030W	0.6430903155603918	0.34330794341675736
YAL031C	0.6199460916442048	0.2663072776280323
YAL034C	0.6440042826552463	0.26017130620985013
YAL035W	0.4805194805194805	0.22799422799422797
YAL036C	0.5850393700787402	0.20866141732283464
YAL037W	0.6554907677356657	0.21671525753158405
YAL039C	0.8598070739549839	0.24501607717041798
YAL040C	0.6548868028713418	0.2545554942020983
YAL042C-A	0.7151448879168946	0.34554401312192456
YAL042W	0.7360043907793633	0.402854006586169
YAL044C	0.4839246119733924	0.1934589800443459
YAL045C	0.6526655896607432	0.32687129779213786
YAL046C	0.6163490471414244	0.32397191574724177
YAL047C	1.0723606168446025	0.6399762752075919
YAL048C	0.7985948477751756	0.31615925058548006
YAL049C	0.6212704523580366	0.23291626564003853
YAL051W	0.6008403361344538	0.23482726423902894
YAL053W	0.6337402885682575	0.26970033296337403
YAL054C	0.7062827225130891	0.23350785340314137
YAL055W	0.6724494010739364	0.18711276332094176
YAL056C-A	0.6969359331476322	0.22841225626740944
YAL056W	0.5206576728499157	0.13111298482293424
YAL058W	0.628080985915493	0.22799295774647885
YAL059W	0.6462522851919561	0.18281535648994515
YAL060W	0.6628621597892888	0.2787532923617208
YAL061W	0.634845890410959	0.2585616438356165
YAL062W	0.6488775942397289	0.25201185938161796
YAL064C-A	0.717948717948718	0.23717948717948717
YAL065C	0.6268894192521878	0.2541766109785203
YAL066W	0.6021168169345354	0.2426499411995296
YAL067C	0.6080691642651296	0.21433717579250722
YAL068C	0.6078080229226361	0.20236389684813755
YAR002C-A	0.6018858040859089	0.2624410686223153
YAR002W	0.6005747126436781	0.25517241379310346
YAR003W	0.7258287292817679	0.2575966850828729
YAR014C	0.6864169927333705	0.29513694801565116
YAR015W	0.7921182266009853	0.4059113300492611
YAR018C	0.6790960451977401	0.2457627118644068
YAR020C	0.685282140779523	0.2658522396742292
YAR023C	0.6831971995332554	0.25495915985997664
YAR027W	0.7188914027149321	0.2647058823529412
YAR028W	0.693587860988742	0.24375917767988253
YAR029W	0.7065527065527065	0.25783475783475784
YAR030C	0.8613269575612672	0.4853556485355649
YAR031W	0.6736	0.23893333333333336
YAR035W	0.620044052863436	0.29845814977973567
YAR042W	0.6510557661072008	0.29128316188413644
YAR047C	0.6934264107038975	0.2769051774287376
YAR050W	0.6723842195540308	0.241852487135506
YBL001C	0.4613534867743044	0.19821367227756784
YBL002W	0.7447432762836187	0.22347188264058682
YBL003C	0.4304823672476692	0.14957438184029184
YBL005W	0.6073732718894008	0.2032258064516129
YBL006C	0.8135421930267812	0.3860535624052552
YBL007C	0.5465532676812892	0.20546105640107432
YBL008W	0.6905458089668616	0.2777777777777778
YBL009W	0.7088047220855879	0.29119527791441224
YBL010C	0.6241095890410959	0.19068493150684931
YBL011W	0.9045553145336226	0.3627982646420824
YBL012C	0.81214848143982	0.2530933633295838
YBL013W	0.7217529039070749	0.21488912354804643
YBL015W	0.6596658711217184	0.19522673031026253
YBL016W	0.3584842387659289	0.11770623742454728
YBL017C	0.44973070017953326	0.18716337522441653
YBL019W	0.563454449710374	0.24960505529225907
YBL021C	0.8694158075601375	0.4175257731958763
YBL022C	0.5671883432271991	0.22881813275769025
YBL024W	0.4623882167280379	0.21620199894792216
YBL025W		
