orf	hap ? | growth (colony size) | expression of MELK | SC - Leu, Gal [2%] | Zhou L~Foijer F, 2021	hap ? | growth (colony size) | expression of MELK-kd | SC - Leu, Gal [2%] | Zhou L~Foijer F, 2021
YAL002W	1.3307394025046024	1.2324850793670208
YAL004W	1.005258847395547	0.881835853270382
YAL005C	0.8748822805672166	0.7448470441724351
YAL007C	0.9700725948272736	1.0304580222551125
YAL008W	1.2774971095640852	1.508126210471292
YAL009W	0.8011071327115671	0.6466971047048237
YAL010C	1.0154173874689547	1.1379122044533267
YAL011W	1.1022035525589302	1.080421045617001
YAL012W	0.8322570289794881	0.7457989850858793
YAL013W	0.8542657936647449	0.6535835735257802
YAL014C	1.0189473894597587	1.0057090120633274
YAL015C	1.003653082699574	0.9692452597950464
YAL016C-B	0.9549876885572042	0.8686803543770366
YAL017W	0.9029953837255467	0.8808098266647606
YAL018C	1.0875666135493074	1.0696075720295923
YAL019W	0.9309535966332895	1.039451476967009
YAL020C	0.9647767084883764	0.965749485825634
YAL021C	0.9076032863992157	1.0955558839389272
YAL022C	1.1293364879558176	0.7046616526217299
YAL023C	0.8323893544885198	1.1275614649248433
YAL024C	0.6995858864147472	0.771635879594914
YAL027W	0.972297873226351	0.9530977798990342
YAL028W	1.5383718021729742	1.5363328399457918
YAL029C	1.0528849305300176	1.1658024860576799
YAL030W	1.0190680839851918	1.0222363672632104
YAL031C	0.9966273088171261	0.8948932694341151
YAL034C	1.1162610914406423	1.0524075874809171
YAL035W	1.2320056723979802	1.152014683045071
YAL036C	0.9823479908077802	0.8820282430790032
YAL037C-A	0.8644382034957956	0.8409289373693448
YAL039C	1.056597481251877	0.763870806226896
YAL040C	1.0048998292926277	0.7919112240718262
YAL042C-A	0.17735291043353682	0.24692786328839966
YAL042W	1.000267363581729	0.8605091530437372
YAL044C	0.9149529220668356	0.6947879313482389
YAL044W-A	1.1567249464019125	1.1264410962183165
YAL045C	1.037330446853064	1.0361338381887417
YAL046C	1.0506028478257365	1.101951266825479
YAL048C	0.8679226348924661	0.7594237289442852
YAL049C	1.011129141472369	0.9294861766282372
YAL051W	1.0765917518404622	0.9784768628715123
YAL053W	0.9311696013677718	0.7938711384393254
YAL054C	0.9835680030411257	1.0008075802657515
YAL055W	3.696647479576781	0.8170517334748677
YAL056C-A	1.2845939919268636	1.1428249328121785
YAL056W	0.7879428044497756	1.0421797729161646
YAL059W	0.6852098950332395	0.7337437651127677
YAL060W	0.6418089143727107	0.8732775047570165
YAL061W	1.2730470653921833	1.3475516141618713
YAL062W	0.698249675520719	0.811081397234446
YAL064C-A	0.9670421998034996	0.7834155672251589
YAL065C	0.8222677801428677	0.756032638933625
YAL066W	0.8937687111164222	0.736871097411102
YAL067C	1.3011380676371587	0.9732482868908882
YAL067W-A	0.8356184936985477	0.8992932893228236
YAL068C	0.8905074388476321	0.8285735616513934
YAR002C-A	0.8481683776810955	0.6798081968733419
