ORF      	strain background 	Gene Names                        	Cell Shape Morphologies                         
YBL039C  	homozygous diploid	URA7                              	WT                                              
YBL042C  	homozygous diploid	FUI1                              	WT                                              
YBL043W  	homozygous diploid	ECM13                             	WT                                              
YBL044W  	homozygous diploid	                                  	WT                                              
YBL045C  	homozygous diploid	COR1, QCR1                        	WT                                              
YBL046W  	homozygous diploid	                                  	WT                                              
YBL047C  	homozygous diploid	EDE1                              	WT                                              
YBL048W  	homozygous diploid	                                  	WT                                              
YBL049W  	homozygous diploid	                                  	WT                                              
YBL051C  	homozygous diploid	                                  	WT                                              
YBL052C  	homozygous diploid	SAS3                              	WT                                              
YBL053W  	homozygous diploid	                                  	WT                                              
YBL054W  	homozygous diploid	                                  	WT                                              
YBL055C  	homozygous diploid	                                  	WT                                              
YBL056W  	homozygous diploid	PTC3                              	WT                                              
YBL057C  	homozygous diploid	                                  	WT                                              
YBL058W  	homozygous diploid	SHP1                              	Clumpy 3;  Elongate 3                            
YBL059W  	homozygous diploid	                                  	WT                                              
YBL060W  	homozygous diploid	                                  	WT                                              
YBL061C  	homozygous diploid	SKT5, CAL2, CHS4, CSD4            	WT                                              
YBL062W  	homozygous diploid	                                  	WT                                              
YBL063W  	homozygous diploid	KIP1, CIN9                        	WT                                              
YBL064C  	homozygous diploid	                                  	WT                                              
YBL065W  	homozygous diploid	                                  	WT                                              
YBL066C  	homozygous diploid	SEF1                              	WT                                              
YBL067C  	homozygous diploid	UBP13                             	WT                                              
YBL068W  	homozygous diploid	PRS4                              	WT                                              
YBL069W  	homozygous diploid	AST1                              	WT                                              
YBL070C  	homozygous diploid	                                  	WT                                              
YBL071C  	homozygous diploid	                                  	WT                                              
YBL072C  	homozygous diploid	RPS8A                             	WT                                              
YBL075C  	homozygous diploid	SSA3, HSP70                       	WT                                              
YBL078C  	homozygous diploid	AUT7, APG8                        	WT                                              
YBL079W  	homozygous diploid	NUP170, NLE3                      	WT                                              
YBL080C  	homozygous diploid	PET112                            	WT                                              
YBL081W  	homozygous diploid	                                  	WT                                              
YBL082C  	homozygous diploid	RHK1, ALG3                        	WT                                              
YBL083C  	homozygous diploid	                                  	WT                                              
YBL085W  	homozygous diploid	BOI1, GIN7                        	WT                                              
YBL086C  	homozygous diploid	                                  	WT                                              
YBL087C  	homozygous diploid	RPL23A                            	WT                                              
YBL088C  	homozygous diploid	TEL1                              	WT                                              
YBL089W  	homozygous diploid	                                  	WT                                              
YBL090W  	homozygous diploid	MRP21, MRP50                      	WT                                              
YBL091C  	homozygous diploid	MAP2                              	WT                                              
YBL091C-A	homozygous diploid	                                  	WT                                              
YBL093C  	homozygous diploid	ROX3, NUT3, SSN7                  	Clumpy 3; Large 3; Elongate 3                    
YBL094C  	homozygous diploid	                                  	WT                                              
YBL095W  	homozygous diploid	                                  	WT                                              
YBL096C  	homozygous diploid	                                  	WT                                              
YBL098W  	homozygous diploid	                                  	Small 3                                         
YBL099W  	homozygous diploid	ATP1                              	WT                                              
YBL100C  	homozygous diploid	                                  	WT                                              
YBL101C  	homozygous diploid	ECM21                             	WT                                              
YBL102W  	homozygous diploid	SFT2                              	Small 2                                         
YBL103C  	homozygous diploid	RTG3                              	ND                                              
YBL104C  	homozygous diploid	                                  	WT                                              
YBL106C  	homozygous diploid	SRO77, SNI2                       	WT                                              
YBL107C  	homozygous diploid	                                  	WT                                              
YBR001C  	homozygous diploid	NTH2                              	WT                                              
YBR003W  	homozygous diploid	COQ1                              	WT                                              
YBR005W  	homozygous diploid	                                  	WT                                              
YBR006W  	homozygous diploid	UGA2, UGA5                        	WT                                              
YBR007C  	homozygous diploid	                                  	WT                                              
YBR008C  	homozygous diploid	FLR1                              	WT                                              
YBR009C  	homozygous diploid	HHF1                              	WT                                              
YBR010W  	homozygous diploid	HHT1, BUR5, SIN2                  	WT                                              
YBR012C  	homozygous diploid	                                  	WT                                              
YBR013C  	homozygous diploid	                                  	WT                                              
YBR014C  	homozygous diploid	                                  	WT                                              
YBR015C  	homozygous diploid	MNN2, TTP1                        	Round 3                                         
YBR016W  	homozygous diploid	                                  	WT                                              
YBR017C  	homozygous diploid 	KAP104                            	ND                                              
YBR018C  	homozygous diploid	GAL7                              	WT                                              
YBR019C  	homozygous diploid	GAL10                             	WT                                              
YBR020W  	homozygous diploid	GAL1                              	Football 3                                      
YBR021W  	homozygous diploid	FUR4                              	ND                                              
YBR022W  	homozygous diploid	                                  	WT                                              
