ORF      	strain background 	Gene Names                        	Cell Shape Morphologies                         
YDR140W  	homozygous diploid	FYV9                              	WT                                              
YDR142C  	homozygous diploid	PEX7, PAS7, PEB1                  	WT                                              
YDR143C  	homozygous diploid	SAN1                              	WT                                              
YDR144C  	homozygous diploid	MKC7, YPS2                        	WT                                              
YDR146C  	homozygous diploid	SWI5                              	Small 2;  Clumpy 2                               
YDR147W  	homozygous diploid	EKI1                              	WT                                              
YDR148C  	homozygous diploid	KGD2                              	WT                                              
YDR149C  	homozygous diploid	                                  	Large 3                                         
YDR150W  	homozygous diploid	NUM1, PAC12                       	Elongate 3                                      
YDR151C  	homozygous diploid	CTH1                              	WT                                              
YDR152W  	homozygous diploid	                                  	WT                                              
YDR153C  	homozygous diploid	                                  	WT                                              
YDR154C  	homozygous diploid	                                  	WT                                              
YDR155C  	homozygous diploid	CPH1, CPR1                        	WT                                              
YDR156W  	homozygous diploid	RPA14                             	Small 3                                         
YDR157W  	homozygous diploid	                                  	WT                                              
YDR158W  	homozygous diploid	HOM2                              	WT                                              
YDR159W  	homozygous diploid	SAC3                              	Elongate 2                                      
YDR161W  	homozygous diploid	TCI1                              	Small 2                                         
YDR162C  	homozygous diploid	NBP2                              	WT                                              
YDR163W  	homozygous diploid	                                  	WT                                              
YDR165W  	homozygous diploid	                                  	WT                                              
YDR169C  	homozygous diploid	STB3                              	WT                                              
YDR171W  	homozygous diploid	HSP42                             	WT                                              
YDR173C  	homozygous diploid	ARG82, ARGR3, IPK2                	Football 3                                      
YDR174W  	homozygous diploid	HMO1                              	Football 2                                      
YDR175C  	homozygous diploid	RSM24                             	Small 2                                         
YDR176W  	homozygous diploid	NGG1, ADA3, SWI7                  	Elongate 2;  Round 2                             
YDR178W  	homozygous diploid	SDH4                              	WT                                              
YDR179C  	homozygous diploid	                                  	WT                                              
YDR179W-A	homozygous diploid	                                  	WT                                              
YDR181C  	homozygous diploid	SAS4                              	WT                                              
YDR183W  	homozygous diploid	PLP1                              	WT                                              
YDR184C  	homozygous diploid	ATC1                              	WT                                              
YDR185C  	homozygous diploid	                                  	WT                                              
YDR186C  	homozygous diploid	                                  	WT                                              
YDR191W  	homozygous diploid	HST4                              	WT                                              
YDR192C  	homozygous diploid	NUP42                             	WT                                              
YDR193W  	homozygous diploid	                                  	WT                                              
YDR194C  	homozygous diploid	MSS116                            	WT                                              
YDR195W  	homozygous diploid	REF2                              	Football 3                                      
YDR197W  	homozygous diploid	CBS2, CBP7                        	WT                                              
YDR198C  	homozygous diploid	                                  	WT                                              
YDR199W  	homozygous diploid	                                  	WT                                              
YDR200C  	homozygous diploid	                                  	Elongate 3;  Football 3                          
YDR202C  	homozygous diploid	RAV2                              	WT                                              
YDR203W  	homozygous diploid	                                  	WT                                              
YDR204W  	homozygous diploid	COQ4                              	WT                                              
YDR205W  	homozygous diploid	MSC2                              	WT                                              
YDR206W  	homozygous diploid	EBS1                              	WT                                              
YDR207C  	homozygous diploid	UME6, CAR80, NIM2, RIM16          	WT                                              
YDR209C  	homozygous diploid	                                  	WT                                              
YDR210W  	homozygous diploid	                                  	WT                                              
YDR213W  	homozygous diploid	UPC2                              	WT                                              
YDR214W  	homozygous diploid	                                  	WT                                              
YDR215C  	homozygous diploid	                                  	WT                                              
YDR216W  	homozygous diploid	ADR1                              	WT                                              
YDR217C  	homozygous diploid	RAD9                              	WT                                              
YDR218C  	homozygous diploid	SPR28                             	WT                                              
YDR219C  	homozygous diploid	                                  	WT                                              
YDR220C  	homozygous diploid	                                  	WT                                              
YDR221W  	homozygous diploid	                                  	WT                                              
YDR222W  	homozygous diploid	                                  	WT                                              
YDR223W  	homozygous diploid	                                  	WT                                              
YDR225W  	homozygous diploid	HTA1, H2A1, SPT11                 	WT                                              
YDR226W  	homozygous diploid	ADK1, AKY1, AKY2                  	Round 2                                         
YDR229W  	homozygous diploid	                                  	WT                                              
YDR230W  	homozygous diploid	                                  	WT                                              
YDR231C  	homozygous diploid	COX20                             	Small 2                                         
YDR233C  	homozygous diploid	                                  	WT                                              
YDR234W  	homozygous diploid	LYS4, LYS3                        	Football 2                                      
YDR237W  	homozygous diploid	MRPL7                             	Small 3                                         
YDR239C  	homozygous diploid	                                  	WT                                              
YDR241W  	homozygous diploid	BUD26                             	Small 2                                         
YDR242W  	homozygous diploid	AMD2                              	WT                                              
YDR244W  	homozygous diploid	PEX5, PAS10                       	WT                                              
YDR245W  	homozygous diploid	MNN10, BED1, SLC2                 	Large 3; Round 4                                
YDR247W  	homozygous diploid	                                  	WT                                              
YDR248C  	homozygous diploid	                                  	WT                                              
YDR249C  	homozygous diploid	                                  	WT                                              
YDR250C  	homozygous diploid	                                  	WT                                              
YDR251W  	homozygous diploid	PAM1                              	WT                                              
YDR252W  	homozygous diploid	BTT1                              	WT                                              
YDR253C  	homozygous diploid	MET32                             	Large 3                                         
YDR254W  	homozygous diploid	CHL4, CTF17, MCM17                	WT                                              
YDR255C  	homozygous diploid	                                  	WT                                              
YDR256C  	homozygous diploid	CTA1                              	WT                                              
YDR257C  	homozygous diploid	RMS1                              	WT                                              
YDR258C  	homozygous diploid	HSP78                             	WT                                              
YDR259C  	homozygous diploid	YAP6, HAL7                        	WT                                              
YDR260C  	homozygous diploid	SWM1                              	WT                                              
YDR261C  	homozygous diploid	EXG2                              	WT                                              
YDR262W  	homozygous diploid	                                  	WT                                              
YDR263C  	homozygous diploid	DIN7, DIN3                        	WT                                              
YDR264C  	homozygous diploid	AKR1                              	Elongate 4                                      
YDR265W  	homozygous diploid	PEX10, PAS4                       	WT                                              
YDR266C  	homozygous diploid	                                  	WT                                              
YDR268W  	homozygous diploid	MSW1                              	WT                                              
YDR269C  	homozygous diploid	                                  	WT                                              
YDR270W  	homozygous diploid	CCC2                              	WT                                              
YDR271C  	homozygous diploid	                                  	WT                                              
YDR272W  	homozygous diploid	GLO2                              	WT                                              
YDR273W  	homozygous diploid	                                  	WT                                              
YDR274C  	homozygous diploid	                                  	WT                                              
YDR275W  	homozygous diploid	                                  	WT                                              
YDR276C  	homozygous diploid	PMP3, SNA1                        	Round 3                                         
YDR277C  	homozygous diploid	MTH1, BPC1, DGT1, HTR1            	WT                                              
YDR278C  	homozygous diploid	                                  	WT                                              
YDR279W  	homozygous diploid	                                  	WT                                              
YDR281C  	homozygous diploid	PHM6                              	WT                                              
YDR282C  	homozygous diploid	                                  	WT                                              
YDR283C  	homozygous diploid	GCN2, AAS1                        	WT                                              
YDR284C  	homozygous diploid	DPP1                              	WT                                              
YDR285W  	homozygous diploid	ZIP1                              	WT                                              
YDR286C  	homozygous diploid	                                  	WT                                              
YDR287W  	homozygous diploid	                                  	WT                                              
YDR289C  	homozygous diploid	RTT103                            	WT                                              
YDR290W  	homozygous diploid	                                  	Round 2                                         
YDR291W  	homozygous diploid	                                  	WT                                              
YDR293C  	homozygous diploid	SSD1, CLA1, MCS1, RLT1, SRK1      	Round 2                                         
YDR294C  	homozygous diploid	DPL1                              	WT                                              
YDR295C  	homozygous diploid	PLO2                              	WT                                              
YDR296W  	homozygous diploid	MHR1, XTC1                        	Small 3                                         
YDR297W  	homozygous diploid	SUR2, SYR2                        	WT                                              
YDR298C  	homozygous diploid	ATP5, OSC1                        	Small 3                                         
YDR300C  	homozygous diploid	PRO1                              	Large 3;  Football 3                             
YDR304C  	homozygous diploid	CYP5, CPR5                        	WT                                              
YDR305C  	homozygous diploid	HNT2                              	WT                                              
YDR306C  	homozygous diploid	                                  	WT                                              
YDR307W  	homozygous diploid	                                  	WT                                              
YDR309C  	homozygous diploid	GIC2                              	WT                                              
YDR310C  	homozygous diploid	SUM1                              	Round 3                                         
YDR312W  	homozygous diploid	SSF2                              	WT                                              
YDR313C  	homozygous diploid	PIB1                              	WT                                              
YDR314C  	homozygous diploid	                                  	WT                                              
YDR315C  	homozygous diploid	IPK1, GSL1                        	WT                                              
YDR316W  	homozygous diploid	                                  	WT                                              
YDR317W  	homozygous diploid	                                  	WT                                              
YDR318W  	homozygous diploid	MCM21                             	Large 2;  Elongate 2                             
YDR319C  	homozygous diploid	                                  	WT                                              
YDR320C  	homozygous diploid	SWA2                              	Round 3; neck abnormalities                      
YDR321W  	homozygous diploid	ASP1                              	WT                                              
YDR322W  	homozygous diploid	MRPL35                            	Small 3                                         
YDR323C  	homozygous diploid	PEP7, VAC1, VPL21, VPS19, VPT19   	WT                                              
YDR326C  	homozygous diploid	                                  	WT                                              
YDR329C  	homozygous diploid	PEX3, PAS3                        	WT                                              
YDR330W  	homozygous diploid	                                  	WT                                              
YDR332W  	homozygous diploid	                                  	Small 3                                         
YDR333C  	homozygous diploid	                                  	WT                                              
YDR334W  	homozygous diploid	SWR1                              	Football 2                                      
YDR335W  	homozygous diploid	MSN5, KAP142, STE21               	WT                                              
YDR336W  	homozygous diploid	                                  	WT                                              
YDR337W  	homozygous diploid	MRPS28                            	Small 3                                         
YDR338C  	homozygous diploid	                                  	WT                                              
YDR340W  	homozygous diploid	                                  	WT                                              
YDR344C  	homozygous diploid	                                  	WT                                              
YDR345C  	homozygous diploid	HXT3                              	WT                                              
YDR346C  	homozygous diploid	                                  	WT                                              
YDR347W  	homozygous diploid	MRP1                              	WT                                              
YDR348C  	homozygous diploid	                                  	WT                                              
YDR349C  	homozygous diploid	YPS7                              	Round 3                                         
YDR350C  	homozygous diploid	TCM10                             	WT                                              
YDR351W  	homozygous diploid	SBE2                              	WT                                              
YDR352W  	homozygous diploid	                                  	WT                                              
YDR354W  	homozygous diploid	TRP4                              	WT                                              
YDR357C  	homozygous diploid	                                  	WT                                              
YDR358W  	homozygous diploid	GGA1                              	WT                                              
YDR359C  	homozygous diploid	VID21                             	Elongate 3;  Large 3                             
YDR360W  	homozygous diploid	                                  	WT                                              
YDR363W  	homozygous diploid	ESC2                              	Large 2;  Round 2                                
YDR363W-A	homozygous diploid	SEM1, HOD1                        	Football 2                                      
YDR364C  	homozygous diploid	CDC40, PRP17, SLT15, SLU4         	Elongate 4                                      
YDR368W  	homozygous diploid	YPR1                              	WT                                              
YDR369C  	homozygous diploid	XRS2                              	Large 2;  Elongate 2                             
YDR370C  	homozygous diploid	                                  	WT                                              
YDR371W  	homozygous diploid	                                  	WT                                              
YDR372C  	homozygous diploid	                                  	Small 2                                         
YDR374C  	homozygous diploid	                                  	WT                                              
YDR375C  	homozygous diploid	BCS1                              	WT                                              
YDR377W  	homozygous diploid	ATP17                             	WT                                              
YDR378C  	homozygous diploid	LSM6                              	WT                                              
YDR379W  	homozygous diploid	RGA2                              	WT                                              
YDR380W  	homozygous diploid	ARO10                             	WT                                              
YDR382W  	homozygous diploid	RPP2B, RPL45, YPA1                	WT                                              
YDR383C  	homozygous diploid	                                  	WT                                              
YDR384C  	homozygous diploid	                                  	WT                                              
YDR385W  	homozygous diploid	EFT2                              	WT                                              
YDR386W  	homozygous diploid	MUS81                             	WT                                              
YDR387C  	homozygous diploid	                                  	WT                                              
YDR388W  	homozygous diploid	RVS167                            	Clumpy 3;  Round 2                               
YDR389W  	homozygous diploid	SAC7                              	WT                                              
YDR391C  	homozygous diploid	                                  	WT                                              
YDR392W  	homozygous diploid	SPT3                              	Football 2                                      
YDR393W  	homozygous diploid	SHE9                              	WT                                              
YDR395W  	homozygous diploid	SXM1, KAP108                      	WT                                              
YDR399W  	homozygous diploid	HPT1, BRA6                        	WT                                              
YDR400W  	homozygous diploid	URH1                              	WT                                              
YDR401W  	homozygous diploid	                                  	WT                                              
YDR402C  	homozygous diploid	DIT2, CYP56                       	WT                                              
YDR403W  	homozygous diploid	DIT1                              	WT                                              
YDR405W  	homozygous diploid	MRP20, MRPL41                     	Round 2                                         
YDR406W  	homozygous diploid	PDR15                             	WT                                              
YDR408C  	homozygous diploid	ADE8                              	WT                                              
YDR409W  	homozygous diploid	                                  	WT                                              
YDR411C  	homozygous diploid	                                  	WT                                              
YDR414C  	homozygous diploid	ERD1                              	Round 3;  Clumpy 3                               
YDR415C  	homozygous diploid	                                  	WT                                              
YDR417C  	homozygous diploid	                                  	Small 3                                         
YDR418W  	homozygous diploid	RPL12B                            	Small 2                                         
YDR419W  	homozygous diploid	RAD30, DBH1                       	WT                                              
YDR420W  	homozygous diploid	HKR1                              	WT                                              
YDR421W  	homozygous diploid	ARO80                             	WT                                              
YDR422C  	homozygous diploid	SIP1                              	WT                                              
YDR423C  	homozygous diploid	CAD1, YAP2                        	WT                                              
YDR424C  	homozygous diploid	DYN2                              	WT                                              
YDR425W  	homozygous diploid	                                  	WT                                              
YDR426C  	homozygous diploid	                                  	WT                                              
YDR428C  	homozygous diploid	                                  	WT                                              
YDR430C  	homozygous diploid	                                  	WT                                              
YDR431W  	homozygous diploid	                                  	WT                                              
YDR432W  	homozygous diploid	NPL3, MTR13, MTS1, NOP3           	WT                                              
YDR433W  	homozygous diploid	KRE22                             	Elongate 2                                      
YDR435C  	homozygous diploid	PPM1                              	WT                                              
YDR436W  	homozygous diploid	PPZ2                              	WT                                              
YDR438W  	homozygous diploid	                                  	ND                                              
YDR439W  	homozygous diploid	LRS4                              	ND                                              
YDR440W  	homozygous diploid	DOT1, PCH1                        	ND                                              
YDR441C  	homozygous diploid	APT2                              	ND                                              
YDR442W  	homozygous diploid	                                  	ND                                              
YDR443C  	homozygous diploid	SSN2, NUT8, SCA1, SRB9, UME2      	ND                                              
YDR444W  	homozygous diploid	                                  	WT                                              
YDR445C  	homozygous diploid	                                  	WT                                              
YDR446W  	homozygous diploid	ECM11                             	ND                                              
YDR447C  	homozygous diploid	RPS17B, RP51B, RPL51B             	ND                                              
YDR448W  	homozygous diploid	ADA2, SWI8                        	ND                                              
YDR450W  	homozygous diploid	RPS18A                            	ND                                              
YDR451C  	homozygous diploid	YHP1                              	ND                                              
YDR452W  	homozygous diploid	PHM5                              	ND                                              
YDR453C  	homozygous diploid	                                  	ND                                              
YDR455C  	homozygous diploid	                                  	ND                                              
YDR456W  	homozygous diploid	NHX1                              	ND                                              
YDR457W  	homozygous diploid	TOM1                              	ND                                              
YDR458C  	homozygous diploid	                                  	ND                                              
YDR459C  	homozygous diploid	                                  	ND                                              
YDR461W  	homozygous diploid	MFA1                              	WT                                              
YDR462W  	homozygous diploid	MRPL28                            	ND                                              
YDR463W  	homozygous diploid	STP1, BAP1, SSY2                  	ND                                              
YDR465C  	homozygous diploid	RMT2                              	ND                                              
YDR466W  	homozygous diploid	                                  	ND                                              
YDR467C  	homozygous diploid	                                  	ND                                              
YDR469W  	homozygous diploid	                                  	ND                                              
YDR470C  	homozygous diploid	UGO1                              	ND                                              
YDR471W  	homozygous diploid	RPL27B                            	ND                                              
YDR474C  	homozygous diploid	                                  	ND                                              
YDR475C  	homozygous diploid	                                  	ND                                              
YDR476C  	homozygous diploid	                                  	ND                                              
YDR477W  	homozygous diploid	SNF1, CAT1, CCR1, GLC2, HAF3      	WT                                              
YDR479C  	homozygous diploid	                                  	ND                                              
YDR480W  	homozygous diploid	DIG2, RST2                        	ND                                              
YDR481C  	homozygous diploid	PHO8                              	ND                                              
YDR482C  	homozygous diploid	                                  	ND                                              
YDR483W  	homozygous diploid	KRE2, MNT1                        	WT                                              
YDR484W  	homozygous diploid	SAC2, VPS52                       	WT                                              
YDR485C  	homozygous diploid	                                  	ND                                              
YDR486C  	homozygous diploid	VPS60                             	WT                                              
YDR488C  	homozygous diploid	PAC11                             	ND                                              
YDR490C  	homozygous diploid	PKH1                              	ND                                              
YDR491C  	homozygous diploid	                                  	ND                                              
YDR492W  	homozygous diploid	                                  	ND                                              
YDR493W  	homozygous diploid	                                  	Large 2                                         
YDR494W  	homozygous diploid	                                  	ND                                              
YDR495C  	homozygous diploid	VPS3, PEP6, VPL3, VPT17           	ND                                              
YDR496C  	homozygous diploid	                                  	ND                                              
YDR497C  	homozygous diploid	ITR1                              	ND                                              
YDR500C  	homozygous diploid	RPL37B                            	Large 3                                         
YDR501W  	homozygous diploid	PLM2                              	ND                                              
YDR502C  	homozygous diploid	SAM2, ETH2                        	WT                                              
YDR503C  	homozygous diploid	LPP1                              	ND                                              
YDR504C  	homozygous diploid	                                  	ND                                              
YDR505C  	homozygous diploid	PSP1, GIN5                        	ND                                              
YDR506C  	homozygous diploid	                                  	WT                                              
YDR507C  	homozygous diploid	GIN4, ERC47                       	ND                                              
YDR508C  	homozygous diploid	GNP1                              	ND                                              
YDR509W  	homozygous diploid	                                  	ND                                              
YDR511W  	homozygous diploid	ACN9                              	ND                                              
YDR512C  	homozygous diploid	                                  	WT                                              
YDR513W  	homozygous diploid	TTR1, GRX2                        	ND                                              
YDR514C  	homozygous diploid	                                  	ND                                              
YDR515W  	homozygous diploid	SLF1, SRO99                       	WT                                              
YDR516C  	homozygous diploid	                                  	ND                                              
YDR517W  	homozygous diploid	GRH1                              	ND                                              
YDR518W  	homozygous diploid	EUG1                              	WT                                              
YDR519W  	homozygous diploid	FKB2, FPR2                        	ND                                              
YDR520C  	homozygous diploid	                                  	ND                                              
YDR521W  	homozygous diploid	                                  	WT                                              
YDR522C  	homozygous diploid	SPS2                              	ND                                              
YDR523C  	homozygous diploid	SPS1                              	WT                                              
YDR524C  	homozygous diploid	AGE1, SAT1                        	ND                                              
YDR525W  	homozygous diploid	                                  	ND                                              
YDR525W-A	homozygous diploid	                                  	WT                                              
YDR528W  	homozygous diploid	HLR1                              	ND                                              
YDR529C  	homozygous diploid	QCR7, COR4, CRO1, UCR7            	ND                                              
YDR530C  	homozygous diploid	APA2                              	ND                                              
YDR532C  	homozygous diploid	KRE28                             	Round 3;  Elongate 3                             
YDR533C  	homozygous diploid	                                  	ND                                              
YDR534C  	homozygous diploid	FIT1                              	ND                                              
YDR535C  	homozygous diploid	                                  	WT                                              
YDR536W  	homozygous diploid	STL1                              	WT                                              
YDR537C  	homozygous diploid	                                  	WT                                              
YDR538W  	homozygous diploid	PAD1, POF1                        	WT                                              
YDR539W  	homozygous diploid	                                  	WT                                              
YDR540C  	homozygous diploid	                                  	Elongate 3                                      
YDR541C  	homozygous diploid	                                  	WT                                              
YEL001C  	homozygous diploid	                                  	ND                                              
YEL003W  	homozygous diploid	GIM4, PFD2                        	WT                                              
YEL004W  	homozygous diploid	YEA4                              	WT                                              
YEL005C  	homozygous diploid	VAB2, VAB31                       	WT                                              
YEL006W  	homozygous diploid	                                  	WT                                              
YEL007W  	homozygous diploid	TOS9                              	WT                                              
YEL008W  	homozygous diploid	                                  	WT                                              
YEL009C  	homozygous diploid	GCN4, AAS3, ARG9                  	WT                                              
YEL010W  	homozygous diploid	                                  	WT                                              
YEL011W  	homozygous diploid	GLC3, GHA1                        	WT                                              
YEL012W  	homozygous diploid	UBC8                              	WT                                              
YEL013W  	homozygous diploid	VAC8, YEB3                        	WT                                              
YEL014C  	homozygous diploid	                                  	WT                                              
YEL015W  	homozygous diploid	                                  	WT                                              
YEL016C  	homozygous diploid	                                  	WT                                              
YEL017C-A	homozygous diploid	PMP2                              	WT                                              
YEL017W  	homozygous diploid	                                  	WT                                              
YEL018W  	homozygous diploid	                                  	WT                                              
YEL020C  	homozygous diploid	                                  	WT                                              
YEL023C  	homozygous diploid	                                  	WT                                              
YEL024W  	homozygous diploid	RIP1                              	WT                                              
YEL025C  	homozygous diploid	SRI1                              	WT                                              
YEL027W  	homozygous diploid	CUP5, CLS7, GEF2, VMA3            	Round 3                                         
YEL028W  	homozygous diploid	                                  	WT                                              
YEL029C  	homozygous diploid	BUD16                             	Round 3                                         
YEL030W  	homozygous diploid	ECM10                             	WT                                              
YEL031W  	homozygous diploid	SPF1                              	Round 3                                         
YEL033W  	homozygous diploid	                                  	Elongate 2                                      
YEL036C  	homozygous diploid	ANP1, GEM3, MNN8                  	Round 4; Clumpy 3                                
YEL037C  	homozygous diploid	RAD23                             	WT                                              
YEL038W  	homozygous diploid	UTR4                              	WT                                              
YEL039C  	homozygous diploid	CYC7                              	WT                                              
YEL040W  	homozygous diploid	UTR2                              	WT                                              
YEL041W  	homozygous diploid	                                  	WT                                              
YEL042W  	homozygous diploid	GDA1                              	Round 3                                         
YEL043W  	homozygous diploid	                                  	WT                                              
YEL044W  	homozygous diploid	                                  	Elongate 3                                      
YEL045C  	homozygous diploid	                                  	WT                                              
YEL046C  	homozygous diploid	GLY1                              	WT                                              
YEL047C  	homozygous diploid	                                  	WT                                              
YEL048C  	homozygous diploid	                                  	WT                                              
YEL049W  	homozygous diploid	PAU2                              	WT                                              
YEL050C  	homozygous diploid	RML2                              	Small 3                                         
YEL051W  	homozygous diploid	VMA8                              	Round 3                                         
YEL052W  	homozygous diploid	AFG1                              	WT                                              
YEL053C  	homozygous diploid	MAK10                             	WT                                              
YEL054C  	homozygous diploid	RPL12A                            	WT                                              
YEL056W  	homozygous diploid	HAT2                              	WT                                              
YEL057C  	homozygous diploid	                                  	WT                                              
YEL059W  	homozygous diploid	                                  	WT                                              
YEL060C  	homozygous diploid	PRB1, CVT1                        	WT                                              
YEL061C  	homozygous diploid	CIN8, KSL2, SDS15                 	Football 2                                      
YEL062W  	homozygous diploid	NPR2                              	WT                                              
YEL063C  	homozygous diploid	CAN1                              	WT                                              
YEL064C  	homozygous diploid	                                  	WT                                              
YEL065W  	homozygous diploid	SIT1                              	WT                                              
YEL066W  	homozygous diploid	HPA3                              	WT                                              
YEL067C  	homozygous diploid	                                  	WT                                              
YEL068C  	homozygous diploid	                                  	WT                                              
YEL071W  	homozygous diploid	DLD3                              	WT                                              
YEL072W  	homozygous diploid	                                  	WT                                              
YELOO1C  	homozygous diploid	                                  	WT                                              
YER001W  	homozygous diploid	MNN1                              	WT                                              
YER002W  	homozygous diploid	                                  	WT                                              
YER004W  	homozygous diploid	                                  	WT                                              
YER005W  	homozygous diploid	YND1, YEJ5                        	Round 2                                         
YER007C-A	homozygous diploid	                                  	WT                                              
YER007W  	homozygous diploid	PAC2                              	WT                                              
YER010C  	homozygous diploid	                                  	WT                                              
YER011W  	homozygous diploid	TIR1                              	WT                                              
YER014C-A	homozygous diploid	BUD25                             	Round 3                                         
YER014W  	homozygous diploid	HEM14                             	WT                                              
YER016W  	homozygous diploid	BIM1, YEB1                        	Large 3; branch 2; chain 3                       
YER017C  	homozygous diploid	AFG3, YTA10                       	Small 3                                         
YER019C-A	homozygous diploid	SBH2, SEB2                        	WT                                              
YER019W  	homozygous diploid	ISC1                              	WT                                              
YER020W  	homozygous diploid	GPA2, SSP101                      	WT                                              
YER024W  	homozygous diploid	                                  	WT                                              
YER027C  	homozygous diploid	GAL83, SPM1                       	WT                                              
YER028C  	homozygous diploid	                                  	WT                                              
YER030W  	homozygous diploid	                                  	WT                                              
YER031C  	homozygous diploid	YPT31, YPT8                       	WT                                              
