ORF	hap a | NHEJ | standard [standard] | Ooi SL~Boeke JD, 2001	hom | NHEJ | standard [standard] | Ooi SL~Boeke JD, 2001
YMR106C	-1.000	-1.000
YOR005C	-1.000	0.000
YDL042C	-1.000	0.000
YGL090W	-1.000	-1.000
YLR265C	-1.000	-1.000
YDR227W	-1.000	0.000
YNL250W	-1.000	-1.000
YLR442C	-1.000	0.000
YBL021C	0.000	-1.000
YMR284W	-1.000	-1.000
YIR013C	-1.000	0.000
YPR166C	-1.000	-1.000
YDR178W	-1.000	-1.000
YCR050C	-1.000	-1.000
YAL056W	-1.000	-1.000
YNR013C	-1.000	0.000
YDR322W	-1.000	-1.000
YKR055W	-1.000	-1.000
YPL182C	-1.000	-1.000
YPL178W	-1.000	0.000
YCL033C	-1.000	-1.000
YGR058W	-1.000	-1.000
YPL198W	-1.000	-1.000
YPL048W	-1.000	-1.000
YOR222W	-1.000	-1.000
YKL208W	-1.000	-1.000
YNL322C	-1.000	-1.000
YEL048C	-1.000	-1.000
YLR069C	-1.000	-1.000
