ORF	hap a | growth (lag phase) | sodium chloride [0.85 M] | minimal complete | Warringer J~Blomberg A, 2003	hap a | growth (exponential growth rate) | sodium chloride [0.85 M] | minimal complete | Warringer J~Blomberg A, 2003	hap a | growth (stationary phase cell density) | sodium chloride [0.85 M] | minimal complete | Warringer J~Blomberg A, 2003	hap a | growth (lag phase) | standard | minimal complete | Warringer J~Blomberg A, 2003	hap a | growth (exponential growth rate) | standard | minimal complete | Warringer J~Blomberg A, 2003	hap a | growth (stationary phase cell density) | standard | minimal complete | Warringer J~Blomberg A, 2003
YDR430C	-0.028	0.105	-0.049	0.050	-0.065	-0.037
YDR431W	0.092	0.049	-0.055	-0.135	-0.100	-0.048
YDR432W	-0.149	0.196	-0.035	-0.903	-0.545	-0.208
YDR433W	-0.125	0.040	0.168	0.080	0.027	-0.139
YDR435C	-0.112	-0.121	0.160	-0.070	0.025	-0.068
YDR436W	-0.090	0.076	0.118	0.073	0.017	-0.074
YDR438W	0.002	0.045	0.032	-0.062	0.035	-0.023
YDR439W	0.143	-0.071	0.027	0.024	-0.071	-0.044
YDR440W	-0.088	0.112	-0.071	0.014	-0.006	0.111
YDR441C	0.078	-0.004	0.004	-0.094	-0.014	0.049
YDR442W	-0.106	-0.097	0.044	-0.310	-0.149	-0.103
YDR443C	-0.059	-0.039	0.026	-0.253	-0.078	0.013
YDR444W	-0.105	0.063	0.117	0.176	0.054	0.009
YDR445C	0.213	-0.016	0.025	-0.066	0.020	0.063
YDR446W	-0.138	0.036	0.031	0.034	0.031	0.024
YDR447C	-0.168	0.082	-0.057	-0.113	-0.074	0.134
YDR448W	-0.155	0.110	-0.193	-0.694	-0.541	0.044
YDR450W	0.115	0.139	0.026	-0.320	-0.219	0.023
YDR451C	0.004	0.068	0.015	-0.085	0.016	0.001
YDR452W	0.051	-0.002	0.026	-0.033	0.025	-0.003
YDR453C	0.069	-0.014	0.129	-0.046	0.031	-0.042
YDR455C	0.102	-0.071	-0.058	-0.102	-0.009	-0.009
YDR456W	0.222	-0.112	-0.210	-0.111	-0.033	0.081
YDR457W	0.040	-0.019	0.002	-0.254	-0.069	0.002
YDR458C	-0.098	0.088	0.018	0.018	0.033	0.026
YDR459C	0.039	0.047	0.117	-0.018	0.027	-0.062
YDR461W	-0.198	-0.089	0.105	-0.050	0.022	0.089
YDR462W	-0.115	-0.225	0.041	-0.358	-0.168	-0.070
YDR463W	0.122	0.075	-0.179	-0.123	-0.009	0.087
YDR465C	-0.051	0.080	-0.031	-0.021	0.032	0.015
YDR466W	0.141	-0.051	-0.090	0.011	0.046	0.182
YDR467C	0.096	0.004	0.018	-0.011	0.033	0.036
YDR469W	0.047	-0.026	0.052	0.039	-0.035	-0.178
YDR470C	-0.191	0.193	0.009	-0.269	-0.479	-0.079
YDR471W	0.089	0.040	-0.016	-0.081	-0.063	0.004
YDR474C	0.122	-0.003	-0.044	-0.113	0.008	-0.008
YDR475C	0.027	0.021	-0.021	-0.025	0.002	0.038
YDR476C	0.073	-0.042	0.062	-0.037	0.039	-0.014
YDR479C	-0.042	0.073	0.017	-0.033	0.032	-0.014
YDR480W	-0.022	0.029	0.016	0.010	0.023	-0.008
YDR481C	0.050	-0.016	-0.014	-0.038	0.018	0.047
YDR482C	0.042	0.084	-0.140	-0.057	-0.007	0.052
YDR484W	0.122	-0.155	-0.008	-0.451	-0.175	-0.081
YDR485C	0.029	-0.035	0.036	-0.040	-0.046	0.010
YDR486C	-0.043	0.082	-0.133	-0.188	-0.019	-0.021
YDR488C	-0.095	0.076	0.019	-0.089	-0.003	0.012
YDR490C	-0.049	0.060	0.001	-0.185	-0.012	0.102
YDR491C	0.007	-0.018	-0.005	-0.126	0.022	0.048
YDR492W	0.068	0.012	0.046	-0.114	0.019	-0.003
YDR493W	-0.023	0.037	0.099	0.162	0.040	-0.040
YDR494W	-0.049	0.052	0.086	-0.030	0.025	-0.001
YDR495C	0.020	-0.227	-0.459	-0.445	-0.336	-0.118
YDR496C	0.059	0.073	-0.000	-0.174	-0.058	0.071
YDR497C	0.345	0.038	-0.027	0.030	-0.146	-0.054
YDR500C	-0.011	0.144	-0.043	0.046	-0.071	-0.047
YDR501W	-0.088	0.072	0.032	0.013	0.035	-0.024
YDR502C	0.124	-0.218	0.082	0.098	0.020	-0.040
YDR503C	-0.071	0.057	0.002	-0.022	0.029	0.012
YDR504C	0.004	0.044	0.005	-0.052	0.038	0.029
YDR505C	0.026	0.065	-0.031	-0.036	0.012	0.084
YDR506C	-0.027	0.069	0.162	0.121	-0.001	-0.201
YDR507C	-0.113	0.164	-0.011	-0.196	-0.133	-0.075
YDR508C	-0.010	0.060	0.026	-0.014	0.027	0.062
YDR509W	-0.082	0.092	-0.037	0.004	0.046	0.079
YDR511W	0.132	-0.007	0.017	-0.071	-0.025	-0.026
YDR512C	-0.086	0.094	0.057	0.081	-0.049	-0.060
YDR513W	-0.103	0.061	0.069	0.010	0.024	-0.029
YDR514C	-0.144	0.127	0.017	-0.151	-0.033	-0.014
YDR515W	-0.036	0.052	0.091	0.152	0.004	-0.064
YDR516C	-0.124	0.089	0.028	-0.010	0.026	0.001
YDR517W	0.006	0.057	-0.007	-0.046	-0.009	0.050
YDR518W	-0.200	0.224	-0.090	0.010	-0.162	-0.025
YDR519W	0.005	0.059	-0.013	-0.061	0.026	0.024
YDR520C	0.069	-0.015	0.034	-0.043	0.029	-0.019
YDR522C	0.034	0.083	-0.067	-0.039	-0.022	0.076
YDR524C	0.127	0.007	0.020	-0.031	-0.028	0.003
YDR525W	-0.090	0.111	0.045	-0.055	-0.036	-0.082
YDR525W-A	-0.093	0.061	-0.022	-0.064	-0.020	0.054
YDR528W	-0.017	0.064	-0.041	-0.024	0.009	0.016
YDR529C	-0.153	0.169	-0.184	-0.037	-0.048	-0.018
YDR530C	0.062	0.033	0.048	-0.024	-0.016	-0.044
YDR532C	0.126	-0.040	-0.232	-0.385	-0.327	-0.045
YDR533C	0.043	-0.012	0.040	0.005	0.010	-0.020
YDR534C	0.068	-0.056	0.120	-0.001	0.002	-0.013
YDR535C	-0.034	0.034	0.087	-0.013	-0.017	-0.031
YDR536W	-0.067	0.052	0.102	-0.007	-0.032	-0.057
YDR537C	0.286	-0.057	-0.041	-0.120	0.020	0.042
YDR538W	-0.119	0.097	0.049	0.034	0.001	-0.027
YDR539W	-0.037	0.018	0.019	-0.107	0.004	0.019
YDR540C	-0.109	0.065	0.055	-0.051	-0.013	-0.046
YDR541C	-0.041	0.005	0.014	-0.103	-0.006	0.028
YEL001C	0.176	-0.019	0.050	-0.037	-0.005	-0.060
YEL003W	-0.003	-0.082	0.073	-0.076	-0.015	-0.089
YEL004W	-0.158	0.021	0.075	0.014	0.027	-0.019
YEL005C	-0.079	0.040	-0.037	-0.050	0.015	0.053
YEL006W	-0.142	0.058	0.022	-0.009	0.020	0.015
YEL007W	0.078	-0.012	-0.044	0.022	0.058	0.041
YEL008W	-0.152	0.127	0.034	-0.070	-0.050	0.002
YEL009C	0.157	-0.090	-0.011	-0.814	-0.301	0.044
YEL010W	-0.098	0.069	0.013	0.008	0.015	0.004
YEL011W	0.066	-0.003	-0.043	-0.088	0.019	0.002
YEL012W	-0.027	0.053	0.432	0.302	0.029	-0.412
YEL013W	-0.164	-0.069	-0.101	-0.526	-0.230	0.144
YEL014C	-0.228	0.084	-0.004	-0.028	0.009	-0.047
YEL015W	-0.171	0.096	-0.035	-0.046	-0.019	-0.044
YEL016C	-0.140	0.078	-0.052	-0.024	0.001	-0.023
YEL017C-A	-0.080	0.049	-0.026	-0.070	0.005	-0.006
YEL017W	-0.166	0.020	-0.019	-0.042	0.004	-0.031
YEL018C-A	-0.184	0.092	-0.078	0.050	-0.032	0.038
YEL020C	-0.110	0.022	0.074	-0.026	0.006	-0.121
YEL023C	-0.081	0.056	0.001	0.002	0.002	-0.034
YEL024W	-0.324	0.053	-0.428	-0.379	-0.137	-0.528
YEL025C	-0.004	-0.017	0.074	0.011	-0.007	-0.103
YEL027W	-0.385	0.190	-0.121	-0.201	-0.207	-0.043
YEL028W	0.105	0.046	0.082	0.092	-0.017	-0.132
YEL029C	-0.344	0.263	-0.087	0.069	-0.517	-0.029
YEL030W	0.011	0.042	0.110	0.071	-0.007	-0.136
YEL031W	-0.244	0.130	0.100	0.010	-0.158	-0.273
YEL033W	0.009	0.111	-0.036	0.062	-0.091	-0.029
YEL036C	-0.528	0.215	0.137	0.150	-0.420	-0.295
YEL037C	0.108	0.068	-0.021	0.055	-0.025	-0.026
YEL038W	-0.120	0.034	0.092	0.064	-0.045	-0.130
YEL039C	-0.077	0.085	0.181	0.117	0.007	-0.213
YEL040W	-0.082	0.063	0.031	0.080	0.007	0.003
YEL041W	-0.024	0.016	0.104	0.118	-0.011	-0.058
YEL042W	-0.129	0.051	0.065	0.134	-0.025	-0.049
YEL043W	-0.042	-0.027	-0.014	-0.039	-0.020	0.001
YEL044W	-0.179	0.108	0.103	0.045	-0.068	-0.074
YEL045C	-0.064	0.284	-0.014	-0.501	-0.790	0.086
YEL046C	-0.600	0.130	-0.060	-0.053	-0.062	-0.012
YEL047C	-0.058	0.049	0.033	0.016	-0.002	-0.028
YEL048C	-0.163	-0.060	-0.002	0.043	-0.010	0.027
YEL049W	0.121	-0.065	0.044	0.039	0.000	-0.013
YEL050C	0.018	0.061	-0.050	0.037	-0.033	-0.015
YEL051W	0.127	0.039	-0.145	-0.656	-0.440	-0.034
YEL052W	0.081	-0.040	0.182	0.050	0.002	-0.153
YEL053C	0.049	-0.028	-0.038	0.059	-0.027	0.012
YEL054C	0.094	0.063	-0.053	-0.120	-0.194	0.023
YEL056W	-0.027	-0.022	0.051	0.006	0.013	0.001
YEL057C	-0.022	0.036	0.024	-0.012	-0.045	-0.029
YEL059W	-0.249	0.036	0.013	-0.120	-0.182	0.000
YEL060C	-0.110	0.080	0.015	0.067	0.011	0.042
YEL061C	0.206	-0.079	-0.222	0.062	-0.065	-0.032
YEL062W	-0.183	0.095	-0.076	-0.239	-0.133	-0.227
YEL063C	-0.049	-0.017	0.070	0.051	0.013	0.006
YEL064C	-0.220	0.073	0.097	0.105	-0.033	-0.172
YEL065W	-0.135	0.057	0.065	0.046	0.005	0.033
YEL066W	-0.008	0.037	0.023	0.063	0.003	-0.030
YEL067C	-0.106	0.035	-0.009	0.053	-0.004	-0.011
YEL068C	-0.057	0.028	0.057	0.029	-0.011	0.018
YEL071W	-0.160	0.084	-0.008	0.034	-0.027	-0.064
YEL072W	-0.038	0.005	0.168	0.046	-0.002	-0.171
YER001W	-0.110	0.069	0.015	0.066	0.000	-0.008
YER002W	-0.061	0.001	0.063	0.045	-0.022	-0.026
YER004W	-0.188	0.009	0.020	0.048	0.010	-0.030
YER005W	-0.132	0.074	0.064	0.095	0.022	-0.082
YER007C-A	-0.231	0.107	-0.089	-0.139	-0.073	0.078
YER007W	-0.046	-0.006	0.006	-0.029	-0.000	0.007
YER010C	-0.149	-0.017	0.043	0.025	-0.002	-0.007
YER011W	-0.130	0.039	0.011	0.041	0.001	-0.015
YER014C-A	-0.495	0.115	-0.009	0.059	-0.306	0.044
YER016W	0.215	-0.091	-0.116	-0.031	-0.079	-0.060
YER017C	0.040	0.008	-0.006	-0.298	-0.088	0.000
YER019C-A	-0.059	-0.030	0.070	-0.013	-0.002	-0.017
YER019W	-0.390	0.022	-0.168	-0.151	-0.360	-0.036
YER020W	-0.233	0.009	-0.002	-0.438	-0.122	0.024
YER024W	-0.147	0.037	0.066	-0.016	-0.004	-0.042
YER027C	-0.004	0.012	-0.037	0.025	0.013	0.065
YER030W	-0.170	0.035	0.059	-0.037	-0.026	-0.046
YER031C	-0.097	-0.046	0.036	0.242	0.021	-0.032
YER032W	-0.099	0.056	-0.014	0.069	-0.013	-0.017
YER033C	-0.108	0.055	0.068	0.076	-0.011	-0.015
YER034W	-0.226	0.012	0.217	0.024	-0.016	-0.270
YER035W	-0.188	0.033	-0.042	-0.003	0.006	-0.022
YER037W	0.044	-0.071	0.132	-0.123	0.003	0.025
YER038W-A	-0.011	-0.011	0.008	-0.025	0.002	0.011
YER039C	-0.198	0.073	0.008	-0.008	0.001	-0.021
YER039C-A	-0.106	0.048	0.073	-0.148	-0.002	-0.048
YER040W	-0.201	0.060	-0.140	-0.344	-0.332	-0.136
YER041W	-0.179	0.031	-0.096	0.010	0.003	0.009
YER042W	-0.070	0.012	0.014	0.003	-0.002	-0.034
YER044C-A	-0.172	0.060	0.262	0.029	0.004	-0.231
YER045C	-0.199	0.072	0.094	0.011	-0.010	-0.023
YER046W	-0.174	0.041	0.080	0.130	0.050	-0.079
YER046W-A	-0.196	0.080	0.018	0.051	-0.000	0.004
YER047C	-0.176	0.071	0.074	0.047	-0.015	-0.059
YER048C	0.120	0.016	-0.155	0.060	-0.018	0.017
YER049W	-0.079	-0.037	-0.241	0.023	-0.016	-0.008
YER050C	-0.195	0.146	-0.101	0.120	-0.196	-0.046
YER051W	-0.102	0.013	0.023	0.035	-0.001	0.025
YER052C	-0.468	0.139	-0.559	-0.325	-0.281	-0.495
YER053C	-0.112	-0.026	0.042	-0.008	-0.008	0.010
YER054C	-0.106	0.022	0.001	0.050	-0.011	0.003
YER056C	-0.346	-0.033	0.043	-0.134	-0.039	0.044
YER056C-A	-0.234	0.101	-0.013	-0.116	-0.201	-0.015
YER057C	-0.287	-0.003	-0.462	-0.684	-0.196	-0.329
YER058W	-0.163	0.158	0.283	0.020	-0.101	-0.266
YER059W	-0.242	0.053	-0.085	0.035	-0.018	0.080
YER060W	0.013	-0.010	0.075	0.071	-0.005	-0.031
YER060W-A	-0.333	0.010	-0.540	-0.674	-0.189	-0.216
YER061C	-0.014	0.097	-0.028	-0.081	-0.202	-0.011
YER062C	-0.104	0.031	-0.076	0.032	-0.018	0.088
YER063W	-0.224	-0.038	0.105	0.341	0.059	-0.037
YER064C	0.098	0.008	0.043	-0.076	-0.008	0.004
YER065C	-0.178	-0.020	0.027	0.068	-0.004	0.007
YER066C-A	-0.171	-0.013	0.086	0.066	-0.009	-0.043
YER066W	-0.241	-0.012	0.117	0.297	0.012	-0.033
YER067C-A	-0.032	-0.019	-0.121	0.022	-0.014	-0.016
YER067W	-0.100	-0.004	-0.046	0.080	0.002	-0.034
YER068C-A	-0.331	0.153	-0.115	0.122	-0.128	0.005
YER068W	-0.030	-0.035	-0.045	0.009	-0.025	-0.009
YER069W	-0.587	0.174	-0.533	-0.095	-0.224	-0.295
YER070W	-0.535	0.271	-0.067	-0.001	-0.445	-0.099
YER071C	-0.178	-0.011	-0.026	0.052	-0.016	0.025
YER072W	-0.257	-0.041	-0.028	0.033	0.023	-0.004
YER073W	-0.170	0.123	0.052	0.084	-0.018	-0.066
YER074W	-0.295	0.079	-0.014	-0.200	-0.209	0.009
YER075C	-0.232	0.019	0.101	0.110	0.039	-0.097
YER077C	0.000	0.030	0.064	-0.021	-0.011	-0.055
YER078C	0.101	0.020	0.006	-0.062	-0.015	-0.039
YER079W	-0.279	0.017	0.318	0.210	0.066	-0.332
YER080W	-0.198	0.002	0.070	0.200	0.064	-0.061
YER081W	-0.499	0.152	-0.004	0.347	-0.105	-0.173
YER083C	0.468	-0.321	-0.142	0.246	-0.192	-0.139
YER084W	-0.161	0.044	0.071	0.228	0.044	-0.125
YER085C	-0.171	-0.039	0.109	0.185	0.081	-0.126
YER086W	-0.791	0.247	-0.387	0.731	-0.078	-1.114
YER087C-A	-0.113	-0.032	0.072	0.162	0.063	-0.092
YER088C	-0.013	0.073	-0.033	0.039	-0.001	-0.024
YER089C	-0.053	-0.012	0.143	0.062	0.032	-0.085
YER090W	-0.026	0.151	-0.269	-0.109	-0.335	0.020
YER091C	-0.083	-0.042	-0.158	-0.600	-0.009	0.071
YER091C-A	0.027	0.066	0.072	-0.209	-0.008	-0.025
YER092W	0.136	0.079	-0.063	-0.046	-0.169	0.057
YER093C-A	0.028	0.033	-0.027	0.000	-0.009	0.062
YER095W	0.082	0.013	-0.035	-0.051	-0.119	-0.012
YER096W	0.158	-0.026	-0.051	-0.065	0.004	0.026
YER097W	0.085	-0.021	-0.068	-0.021	-0.012	0.084
YER098W	-0.069	-0.010	-0.033	-0.029	-0.012	0.057
YER101C	-0.147	-0.008	0.043	0.199	-0.039	0.039
YER103W	-0.203	0.116	-0.185	0.082	-0.243	0.066
YER106W	0.062	0.002	0.130	-0.012	-0.009	-0.038
YER108C	-0.045	0.062	-0.103	0.200	-0.089	0.142
YER109C	-0.083	0.056	-0.104	0.271	-0.052	0.109
YER110C	-0.261	0.046	-0.160	0.125	-0.182	-0.152
YER111C	-0.022	-0.015	-0.023	0.299	-0.028	-0.092
YER113C	0.032	0.010	0.404	0.251	-0.040	-0.365
YER114C	-0.021	-0.050	0.051	0.082	-0.088	0.040
YER115C	-0.021	-0.117	0.025	0.091	-0.049	0.032
YER116C	0.069	0.028	-0.003	-0.165	-0.364	-0.061
YER117W	0.014	-0.004	-0.012	0.191	-0.044	0.026
YER118C	-0.117	0.024	0.042	0.227	-0.040	-0.060
YER119C	-0.438	0.027	-0.106	0.325	-0.031	0.085
YER119C-A	-0.571	-0.034	0.006	-0.061	-0.122	-0.095
YER120W	0.206	-0.128	0.115	-0.260	-0.027	-0.127
YER121W	-0.069	0.040	0.116	0.052	0.042	-0.081
YER122C	-0.608	0.067	-0.042	0.134	-0.144	-0.073
YER123W	0.101	-0.011	0.078	-0.192	-0.013	-0.132
YER124C	0.026	0.021	0.027	0.012	0.021	-0.050
YER128W	-0.042	0.012	0.080	-0.005	0.014	-0.055
YER129W	0.037	-0.007	-0.017	0.125	0.016	-0.051
YER130C	0.126	-0.032	0.108	0.015	0.004	-0.097
YER131W	0.244	-0.037	0.054	0.018	-0.066	-0.042
YER132C	-0.024	0.021	0.074	-0.100	0.015	-0.019
YER134C	0.078	0.005	0.109	-0.026	0.028	-0.059
YER135C	0.096	-0.035	0.193	0.009	0.032	-0.104
YER137C	-0.029	0.008	0.296	-0.014	-0.003	-0.233
YER139C	-0.038	0.110	0.135	-0.009	-0.029	-0.111
YER140W	0.193	-0.026	0.068	-0.072	0.000	-0.037
YER141W	-0.232	0.084	-0.080	0.243	-0.054	0.008
YER142C	-0.047	-0.019	0.062	-0.017	0.021	-0.036
YER143W	-0.096	0.022	0.093	0.092	0.015	-0.053
YER144C	-0.041	0.029	0.059	-0.103	-0.001	-0.031
YER145C	0.052	-0.302	-0.407	-0.365	-0.053	0.120
YER149C	0.207	-0.045	0.094	-0.057	0.018	-0.102
YER150W	-0.154	0.024	0.136	0.027	0.038	-0.074
YER151C	0.154	0.054	0.042	-0.098	-0.310	-0.096
YER152C	0.041	-0.031	0.177	-0.002	0.035	-0.108
YER153C	0.039	0.122	0.033	0.076	-0.049	-0.099
YER154W	-0.069	0.101	-0.165	0.295	-0.061	0.171
YER155C	0.258	-0.042	0.066	-0.082	-0.041	-0.186
YER156C	-0.334	-0.189	0.056	-0.054	-0.176	0.018
YER158C	0.075	-0.071	0.048	0.085	0.010	0.005
YER161C	-0.090	0.004	0.092	0.021	-0.010	-0.083
YER162C	-0.067	-0.018	0.108	0.032	0.030	-0.068
YER163C	0.036	-0.004	-0.006	0.024	0.029	0.050
YER164W	-0.052	-0.021	0.051	0.043	-0.030	-0.046
YER166W	-0.079	0.036	0.073	-0.030	0.020	-0.030
YER167W	-0.106	0.002	0.108	0.013	0.041	-0.069
YER169W	-0.118	0.026	-0.161	0.359	-0.123	0.002
YER170W	-0.073	-0.004	-0.032	0.069	0.003	0.065
YER173W	0.003	-0.027	0.074	0.057	-0.013	-0.019
YER174C	-0.003	-0.031	0.099	0.027	0.003	-0.078
YER175C	0.220	-0.071	0.064	-0.094	0.017	-0.085
YER176W	-0.109	0.007	0.096	0.077	0.041	-0.028
YER177W	0.196	-0.399	0.030	-0.222	-0.074	-0.026
YER178W	0.022	0.081	0.071	-0.159	-0.114	-0.123
YER179W	-0.128	-0.005	0.103	0.088	0.027	-0.055
YER180C	0.069	-0.062	0.172	0.018	0.020	-0.113
YER181C	-0.087	-0.011	-0.002	-0.022	0.015	0.044
YER182W	0.047	-0.000	0.097	0.043	0.006	-0.045
YER183C	-0.012	-0.036	0.054	0.045	0.020	-0.012
YER184C	0.155	-0.053	0.123	0.082	0.002	-0.080
YER185W	-0.018	-0.025	0.129	0.040	0.034	-0.095
YER186C	-0.044	0.000	0.139	0.038	0.028	-0.078
YER187W	-0.014	-0.009	0.078	0.051	0.015	-0.024
YER188W	0.093	0.023	-0.137	-0.109	-0.028	0.001
YFL001W	-0.020	0.023	0.047	0.063	0.034	0.024
YFL002C	0.148	-0.059	-0.529	0.332	0.055	-0.000
YFL004W	-0.040	0.017	0.068	0.059	0.025	-0.010
YFL006W	0.711	-0.060	-0.004	-0.814	0.033	-0.024
YFL007W	-0.117	0.063	0.204	0.094	0.032	-0.074
YFL008W	-0.042	0.007	0.091	0.129	0.051	-0.021
YFL010C	-0.001	0.026	0.083	0.081	0.027	-0.013
YFL011W	0.064	0.048	0.105	0.254	-0.022	-0.119
YFL013W-A	-0.132	0.033	0.088	0.377	0.001	-0.039
YFL014W	-0.338	0.037	0.196	-0.001	-0.037	-0.063
YFL015C	0.125	-0.050	0.081	-0.148	-0.016	-0.080
YFL018C	0.172	-0.052	-0.122	-0.246	-0.104	-0.033
YFL019C	-0.092	0.014	0.187	0.216	0.081	-0.041
YFL020C	0.087	-0.019	0.013	-0.180	-0.009	-0.015
YFL021W	0.038	-0.074	-0.018	-0.077	-0.004	0.039
YFL023W	0.201	-0.095	-0.025	-0.031	-0.029	0.011
YFL025C	-0.066	0.033	0.090	-0.119	-0.030	-0.060
YFL026W	0.059	-0.010	0.003	0.006	-0.018	0.029
YFL027C	0.033	-0.028	-0.007	-0.057	-0.024	0.007
YFL028C	0.095	-0.149	0.018	-0.297	-0.024	-0.009
YFL030W	0.006	-0.076	0.036	-0.281	0.009	-0.046
YFL031W	0.021	-0.009	0.088	-0.016	-0.033	-0.103
YFL032W	0.023	-0.027	0.161	-0.033	-0.004	-0.031
YFL033C	0.255	-0.016	-0.292	-0.481	-0.023	0.196
YFL034C-A	-0.050	0.022	-0.011	-0.025	-0.008	0.050
YFL034W	0.097	-0.062	0.009	-0.029	-0.017	-0.018
YFL035C-B	0.107	0.008	0.081	-0.081	-0.037	-0.061
YFL036W	-0.219	0.098	0.056	0.015	-0.168	-0.200
YFL040W	0.039	-0.016	-0.035	-0.056	-0.036	-0.024
YFL041W	0.051	0.031	0.021	-0.015	-0.043	-0.051
YFL042C	-0.013	-0.008	0.192	0.326	0.075	-0.052
YFL043C	0.002	0.030	-0.026	-0.020	-0.025	0.029
YFL044C	0.032	-0.011	0.019	-0.028	-0.045	-0.040
YFL046W	0.034	-0.095	0.112	-0.071	-0.018	-0.060
YFL047W	0.063	-0.026	0.022	-0.089	-0.027	-0.003
YFL048C	0.006	-0.009	-0.070	-0.082	-0.004	-0.010
YFL049W	0.085	-0.068	-0.108	-0.138	-0.037	0.095
YFL050C	0.111	-0.088	0.014	-0.041	-0.015	-0.018
YFL051C	0.194	-0.104	0.051	0.017	-0.023	-0.057
YFL052W	0.165	-0.071	0.033	-0.091	-0.052	-0.014
YFL053W	0.002	-0.082	-0.039	0.012	-0.026	0.073
YFL054C	0.047	-0.114	0.039	-0.047	-0.023	-0.024
YFL055W	0.002	-0.060	-0.022	0.014	-0.024	0.016
YFL056C	0.114	-0.088	-0.005	-0.058	-0.026	0.087
YFL063W	0.506	-0.072	0.075	-0.525	0.075	-0.029
YFR001W	0.150	0.216	0.064	-0.180	-0.398	-0.039
YFR006W	0.191	-0.081	-0.061	-0.061	-0.034	0.046
YFR007W	0.115	-0.048	0.035	-0.015	-0.056	-0.063
YFR008W	0.015	-0.007	0.115	0.223	0.045	-0.086
YFR009W	0.190	0.113	-0.037	-0.224	-0.285	-0.029
YFR010W	-0.527	-0.027	-0.157	-0.054	-0.028	0.112
YFR011C	-0.033	0.105	0.172	0.218	0.030	-0.115
YFR012W	0.137	-0.092	0.048	0.029	-0.026	-0.033
YFR014C	0.017	-0.028	0.026	0.013	-0.032	-0.040
YFR015C	0.100	-0.057	0.010	-0.031	-0.023	0.001
YFR016C	0.004	-0.042	-0.022	-0.068	-0.053	0.011
YFR017C	0.114	-0.065	-0.034	-0.070	-0.032	0.026
YFR018C	0.102	-0.024	0.038	-0.023	-0.033	-0.022
YFR019W	0.131	-0.114	0.224	0.122	-0.015	-0.169
YFR020W	0.057	-0.157	0.004	0.062	-0.045	-0.004
YFR021W	-0.639	-0.003	0.088	-0.085	-0.050	-0.046
YFR022W	0.190	-0.098	0.020	-0.005	-0.027	-0.042
YFR023W	0.147	-0.071	-0.060	-0.025	-0.053	0.020
YFR024C	-0.145	-0.027	0.166	0.290	0.100	-0.031
YFR024C-A	-0.048	-0.062	0.011	-0.014	-0.038	-0.041
YFR025C	-0.093	0.014	0.150	0.258	0.073	-0.002
YFR026C	0.210	-0.128	0.085	-0.028	-0.015	-0.031
YFR030W	-0.321	-0.317	0.132	0.029	0.035	-0.014
YFR031C-A	0.067	-0.130	-0.124	-0.107	-0.050	0.095
YFR032C	-0.132	0.082	-0.067	-0.051	0.006	0.077
YFR032C-A	-0.089	0.112	-0.084	-0.073	-0.049	0.035
YFR033C	-0.150	0.085	-0.054	0.039	-0.027	-0.026
YFR034C	-0.016	-0.035	-0.015	-0.037	0.001	0.034
YFR035C	-0.125	0.036	0.015	-0.047	-0.019	0.009
YFR036W	0.102	0.005	0.208	-0.017	-0.085	-0.161
YFR036W-A	-0.017	0.055	0.095	0.041	-0.012	-0.088
YFR038W	0.079	-0.060	0.010	0.052	0.011	0.063
YFR040W	1.127	-0.278	-0.025	-0.746	0.014	-0.110
YFR041C	0.069	0.032	0.017	0.091	-0.024	-0.000
YFR043C	0.038	0.012	0.267	0.050	0.009	-0.159
YFR044C	-0.032	0.002	0.253	-0.021	-0.002	-0.220
YFR045W	0.380	-0.016	-0.034	-0.577	0.055	-0.062
YFR046C	-0.117	0.064	-0.144	-0.024	-0.022	0.077
YFR047C	-0.001	-0.060	-0.029	0.026	-0.004	0.008
YFR048W	0.003	-0.199	0.004	-0.141	-0.033	-0.012
YFR049W	-0.054	0.023	-0.052	-0.044	-0.007	0.038
YFR053C	-0.069	-0.012	0.031	0.009	-0.015	0.005
YFR054C	0.000	-0.020	0.132	0.007	-0.010	-0.098
YFR055W	-0.024	0.024	0.013	0.049	0.002	0.001
YFR056C	-0.163	0.010	0.111	0.015	-0.014	0.023
YFR057W	-0.072	0.001	-0.012	-0.010	-0.009	0.041
YGL002W	-0.144	0.055	0.256	0.228	-0.019	-0.242
YGL003C	-0.258	0.074	0.085	0.077	-0.113	-0.223
YGL004C	-0.144	-0.010	0.112	0.169	0.070	-0.078
YGL005C	-0.173	0.072	0.089	0.038	0.002	-0.102
YGL006W	-0.192	0.004	0.067	0.120	0.073	-0.061
YGL007W	-0.418	0.252	0.221	-0.024	-0.123	-0.113
YGL009C	-0.175	-0.015	0.087	0.193	0.051	-0.044
YGL010W	-0.110	-0.065	0.138	0.126	0.065	-0.128
YGL012W	0.789	0.181	0.519	-0.530	-0.172	-0.429
YGL013C	-0.132	0.001	0.040	0.150	0.035	-0.030
YGL014W	-0.271	-0.094	0.038	0.050	0.034	-0.121
YGL015C	-0.140	0.000	0.095	0.146	0.060	-0.122
YGL016W	0.055	0.107	0.011	0.050	-0.101	-0.074
YGL017W	-0.222	0.033	0.154	0.178	0.026	-0.149
YGL019W	-0.539	-0.338	-0.004	-0.329	-0.082	-0.053
YGL020C	0.841	-0.453	-0.366	-0.012	-0.200	-0.132
YGL021W	-0.206	-0.005	0.430	0.174	0.050	-0.367
YGL023C	-0.127	-0.062	0.150	-0.169	-0.084	-0.067
