orf	het | loss of heterozygosity at MAT locus (diploid mating) | standard | YPD + G418 [200 ug/ml] | Hoffert KM~Strome ED, 2019
YAL001C	6.0
YAL002W	5.0
YAL003W	6.0
YAL004W	13.0
YAL005C	15.0
YAL007C	4.0
YAL008W	9.0
YAL009W	6.0
YAL010C	2.0
YAL011W	7.0
YAL012W	6.0
YAL013W	4.0
YAL014C	4.0
YAL015C	7.0
YAL016C-B	4.0
YAL016W	5.0
YAL018C	14.0
YAL019W	5.0
YAL020C	7.0
YAL021C	6.5
YAL022C	6.0
YAL023C	7.0
YAL024C	6.0
YAL025C	5.0
YAL026C	5.0
YAL027W	4.0
YAL028W	7.0
YAL029C	3.0
YAL030W	4.0
YAL031C	6.0
YAL032C	6.0
YAL033W	5.0
YAL034C	7.0
YAL034W-A	5.0
YAL035C-A	5.0
YAL036C	9.0
YAL037C-A	5.0
YAL037W	5.0
YAL038W	6.0
YAL039C	7.0
YAL040C	7.0
YAL041W	7.0
YAL042W	8.0
YAL043C	5.0
YAL043C-A	7.0
YAL044C	14.0
YAL044W-A	12.0
YAL045C	3.0
YAL046C	7.0
YAL047C	5.0
YAL048C	4.0
YAL049C	12.5
YAL053W	4.0
YAL054C	6.0
YAL055W	12.0
YAL056W	7.0
YAL058C-A	6.0
YAL058W	9.0
YAL059W	2.0
YAL060W	3.0
YAL061W	9.0
YAL062W	7.0
YAL064C-A	8.0
YAL065C	4.0
YAL066W	7.0
YAL067C	4.0
YAL067W-A	17.0
YAL068C	8.0
YAR002C-A	7.0
YAR002W	12.0
YAR003W	5.0
YAR007C	8.0
YAR008W	7.0
YAR014C	5.0
YAR015W	8.0
YAR018C	14.0
YAR019C	4.0
YAR020C	5.0
YAR023C	12.0
YAR027W	3.0
YAR028W	6.0
YAR029W	10.0
YAR030C	6.0
YAR031W	5.0
YAR035C-A	7.0
YAR035W	8.0
YAR037W	7.0
YAR040C	5.0
YAR042W	5.666666666666667
YAR043C	5.0
YAR047C	6.0
YAR050W	4.0
YBL001C	7.0
YBL002W	9.0
YBL003C	8.0
YBL004W	6.0
YBL005W	9.0
YBL006C	5.0
YBL007C	7.0
YBL008W	6.0
YBL008W-A	6.0
YBL009W	4.0
YBL010C	8.0
YBL011W	6.0
YBL012C	7.0
YBL013W	5.0
YBL014C	6.0
YBL015W	8.0
YBL016W	6.0
YBL017C	6.0
YBL018C	7.0
YBL019W	5.0
YBL020W	7.0
YBL021C	18.0
YBL022C	8.0
YBL023C	16.0
YBL024W	7.0
YBL025W	7.0
YBL026W	7.0
YBL027W	5.0
YBL028C	9.0
YBL029C-A	7.0
YBL029W	7.0
YBL030C	6.0
YBL031W	8.0
YBL032W	17.0
YBL033C	5.0
YBL034C	7.0
YBL035C	7.0
YBL036C	16.0
YBL037W	10.0
YBL038W	5.0
YBL039C	8.0
YBL039W-B	7.0
YBL040C	7.0
YBL041W	4.0
YBL042C	7.0
YBL043W	5.0
YBL044W	8.0
YBL045C	15.0
YBL046W	2.0
YBL047C	6.0
YBL048W	5.0
YBL049W	6.0
YBL050W	4.0
YBL051C	5.0
YBL052C	4.0
YBL053W	10.0
YBL054W	5.0
YBL055C	5.0
YBL056W	8.0
YBL057C	6.0
YBL058W	7.0
YBL059W	9.0
YBL060W	7.0
YBL061C	12.0
YBL062W	4.0
YBL063W	7.0
YBL064C	5.0
YBL065W	10.0
YBL066C	9.0
YBL067C	6.0
YBL068W	7.0
YBL069W	4.0
YBL070C	8.0
YBL071C	4.0
YBL071C-B	6.0
YBL071W-A	6.0
YBL072C	8.0
YBL073W	7.0
YBL074C	6.0
YBL075C	12.0
YBL076C	6.0
YBL077W	16.0
YBL078C	6.0
YBL079W	6.0
YBL080C	4.0
YBL081W	8.0
YBL082C	8.0
YBL083C	6.0
YBL084C	6.0
YBL085W	7.0
YBL086C	8.0
YBL087C	13.0
YBL088C	11.0
YBL089W	4.0
YBL090W	3.0
YBL091C	16.0
YBL091C-A	5.5
YBL092W	6.0
YBL093C	6.0
YBL094C	6.0
YBL095W	8.0
YBL096C	6.0
YBL097W	6.0
YBL098W	6.0
YBL099W	3.0
YBL100C	14.0
YBL100W-C	5.0
YBL101C	13.0
YBL102W	7.0
YBL103C	3.0
YBL104C	6.0
YBL105C	6.0
YBL106C	5.0
YBL107C	5.0
YBR001C	8.0
YBR002C	6.0
YBR003W	7.0
YBR004C	5.0
YBR005W	6.0
YBR006W	6.0
YBR007C	6.0
YBR008C	5.0
YBR009C	8.0
YBR010W	8.0
YBR011C	5.0
YBR012C	4.0
YBR013C	4.0
YBR014C	8.0
YBR015C	5.0
YBR016W	6.0
YBR017C	11.0
YBR018C	15.0
YBR019C	4.0
YBR020W	5.0
YBR021W	7.0
YBR022W	6.0
YBR023C	4.0
YBR024W	4.0
YBR025C	6.0
YBR026C	6.0
YBR027C	10.0
YBR028C	8.0
YBR029C	3.0
YBR030W	6.0
YBR031W	7.0
YBR032W	4.0
YBR033W	6.0
YBR034C	6.0
YBR035C	5.0
YBR036C	6.0
YBR037C	8.0
YBR038W	6.0
YBR039W	9.0
YBR040W	9.0
YBR041W	9.0
YBR042C	5.0
YBR043C	4.0
YBR044C	6.0
YBR045C	8.0
YBR046C	6.0
YBR047W	6.0
YBR048W	6.0
YBR049C	7.0
YBR050C	11.0
YBR051W	12.0
YBR052C	6.0
YBR053C	6.0
YBR054W	8.0
YBR055C	7.0
YBR056W	7.0
YBR056W-A	7.0
YBR057C	7.0
YBR058C	8.0
YBR058C-A	7.0
YBR059C	7.0
YBR060C	8.0
YBR061C	6.0
YBR062C	6.5
YBR063C	6.0
YBR064W	8.0
YBR065C	5.0
YBR066C	5.0
YBR067C	5.0
YBR068C	6.0
YBR069C	8.0
YBR070C	9.0
YBR071W	6.0
YBR072C-A	4.0
YBR072W	8.0
YBR073W	11.0
YBR074W	6.666666666666667
YBR075W	4.0
YBR076W	5.0
YBR077C	7.0
YBR078W	6.0
YBR079C	5.0
YBR080C	7.0
YBR081C	4.0
YBR082C	6.0
YBR083W	7.0
YBR084C-A	6.0
YBR085C-A	6.0
YBR085W	4.0
YBR087W	6.5
YBR088C	6.0
YBR089C-A	6.0
YBR089W	10.0
YBR090C	5.0
YBR091C	4.0
YBR092C	3.0
YBR093C	4.0
YBR094W	5.0
YBR095C	4.0
YBR096W	19.0
YBR097W	13.0
YBR098W	5.25
YBR099C	6.0
YBR101C	4.0
YBR102C	6.0
YBR103W	7.0
YBR104W	5.0
YBR105C	12.5
YBR106W	8.0
YBR107C	16.0
YBR108W	5.0
YBR109C	5.0
YBR110W	2.0
YBR111C	4.0
YBR111W-A	6.0
YBR112C	5.0
YBR113W	7.0
YBR114W	6.0
YBR115C	4.0
YBR116C	7.0
YBR117C	8.0
YBR118W	5.0
YBR119W	5.0
YBR120C	6.0
YBR121C	6.0
YBR122C	5.0
YBR123C	7.0
YBR124W	6.0
YBR125C	6.0
YBR126C	5.0
YBR127C	5.0
YBR128C	8.0
YBR129C	8.0
YBR130C	5.0
YBR131W	5.0
YBR132C	9.0
YBR133C	11.5
YBR134W	8.0
YBR135W	14.0
YBR136W	4.0
YBR137W	18.0
YBR138C	10.0
YBR139W	17.0
YBR140C	7.0
YBR141C	18.0
YBR142W	6.0
YBR143C	4.0
YBR144C	16.0
YBR145W	8.0
YBR146W	7.0
YBR147W	5.0
YBR148W	7.0
YBR149W	7.0
YBR150C	6.0
YBR151W	19.0
YBR152W	7.0
YBR153W	6.0
YBR154C	7.0
YBR155W	7.0
YBR156C	4.0
YBR157C	5.5
YBR158W	5.0
YBR159W	5.0
YBR160W	6.0
YBR161W	7.0
YBR162C	6.0
YBR162W-A	12.0
YBR163W	8.0
YBR164C	6.0
YBR165W	15.0
YBR166C	7.0
YBR167C	6.0
YBR168W	6.0
YBR169C	16.0
YBR170C	6.0
YBR171W	7.0
YBR172C	6.0
YBR173C	7.0
YBR174C	3.0
YBR175W	5.0
YBR176W	7.0
YBR177C	6.0
YBR178W	5.0
YBR179C	5.0
YBR180W	10.0
YBR181C	8.0
YBR182C	6.0
YBR182C-A	6.0
YBR183W	7.0
YBR184W	9.0
YBR185C	14.0
YBR186W	7.0
YBR187W	7.0
YBR188C	7.0
YBR189W	6.0
YBR190W	7.0
YBR191W	6.0
YBR192W	7.0
YBR193C	7.0
YBR194W	6.0
YBR195C	7.0
