orf	het | loss of heterozygosity at MAT locus (diploid mating) | standard | YPD + G418 [200 ug/ml] | Hoffert KM~Strome ED, 2019
YAL001C	-0.07162526462550209
YAL002W	-0.39393895544026264
YAL003W	-0.07162526462550209
YAL004W	2.184570571077822
YAL005C	2.8291979527073425
YAL007C	-0.7162526462550232
YAL008W	0.8953158078187795
YAL009W	-0.07162526462550209
YAL010C	-1.3608800278845443
YAL011W	0.25068842618925846
YAL012W	-0.07162526462550209
YAL013W	-0.7162526462550232
YAL014C	-0.7162526462550232
YAL015C	0.25068842618925846
YAL016C-B	-0.7162526462550232
YAL016W	-0.39393895544026264
YAL018C	2.506884261892582
YAL019W	-0.39393895544026264
YAL020C	0.25068842618925846
YAL021C	0.08953158078187817
YAL022C	-0.07162526462550209
YAL023C	0.25068842618925846
YAL024C	-0.07162526462550209
YAL025C	-0.39393895544026264
YAL026C	-0.39393895544026264
YAL027W	-0.7162526462550232
YAL028W	0.25068842618925846
YAL029C	-1.0385663370697837
YAL030W	-0.7162526462550232
YAL031C	-0.07162526462550209
YAL032C	-0.07162526462550209
YAL033W	-0.39393895544026264
YAL034C	0.25068842618925846
YAL034C-B	-0.39393895544026264
YAL034W-A	-0.39393895544026264
YAL036C	0.8953158078187795
YAL037C-A	-0.39393895544026264
YAL037W	-0.39393895544026264
YAL038W	-0.07162526462550209
YAL039C	0.25068842618925846
YAL040C	0.25068842618925846
YAL041W	0.25068842618925846
YAL042C-A	0.25068842618925846
YAL042W	0.5730021170040189
YAL043C	-0.39393895544026264
YAL044C	2.506884261892582
YAL044W-A	1.862256880263061
YAL045C	-1.0385663370697837
YAL046C	0.25068842618925846
YAL047C	-0.39393895544026264
YAL048C	-0.7162526462550232
YAL049C	2.023413725670441
YAL053W	-0.7162526462550232
YAL054C	-0.07162526462550209
YAL055W	1.862256880263061
YAL056C-A	-0.07162526462550209
YAL056W	0.25068842618925846
YAL058W	0.8953158078187795
YAL059W	-1.3608800278845443
YAL060W	-1.0385663370697837
YAL061W	0.8953158078187795
YAL062W	0.25068842618925846
YAL064C-A	0.5730021170040189
YAL065C	-0.7162526462550232
YAL066W	0.25068842618925846
YAL067C	-0.7162526462550232
YAL067W-A	3.4738253343368637
YAL068C	0.5730021170040189
YAR002C-A	0.25068842618925846
YAR002W	1.862256880263061
YAR003W	-0.39393895544026264
YAR007C	0.5730021170040189
YAR008W	0.25068842618925846
YAR014C	-0.39393895544026264
YAR015W	0.5730021170040189
YAR018C	2.506884261892582
YAR019C	-0.7162526462550232
YAR020C	-0.39393895544026264
YAR023C	1.862256880263061
YAR027W	-1.0385663370697837
YAR028W	-0.07162526462550209
YAR029W	1.21762949863354
YAR030C	-0.07162526462550209
