ORF     	TAG          	PreSpo1	Spore1	Germ1_0	Germ1_1	Germ1_2	Germ1_3	Germ1_4	PreSpo2	Spore2	Germ2_0	Germ2_1	Germ2_2	Germ2_3	HomDip1	HomDip2	HomDip3	HomDip4	HomDip5
YAL001C  	tag_504_at     	4493.5	3859.51	6054.72	9187.32	6446.8	7044.92	7094.82	8424.5	9522.99	8390.94	11803.5	12326.2	16568	17379.8	22187.2	15202.2	16804.3	11942.5
YAL001C  	tag_504_st     	1346.8	1584.37	2485.53	4449.7	3604	3409.65	4348.13	2632	4148.2	3655.08	3330.3	2992.7	4072.03	7049.5	3571.54	4541.91	4308.06	4049.18
YAL002W  	tag_503_at     	14272.5	14658.5	22995.9	16368.5	11318.5	10084.8	9199.27	16980.3	14116	12438	6537.8	4795.83	5004.24	19607.8	36820.1	20150.1	27186.1	19964.2
YAL002W  	tag_503_st     	15677	20186.9	31668.8	18967.4	14515.8	12260.7	13379.9	19562.5	20254.2	17846.5	4940.5	3395.1	4190.34	26168.3	24247.9	22050.4	27313	25009.1
YAL003W  	tag_502_at     	539.3	575.698	903.143	670.166	516.3	618.163	688.684	652.5	1577.45	1389.93	671	688.043	869.671	610.5	1073.07	592.109	896.593	724.973
YAL003W  	tag_502_st     	489	557.072	873.923	650.436	507.5	587.708	656.507	612	1474.39	1299.12	615.8	676.033	829.267	578.8	974.276	566.575	872.48	753.046
YAL004W  	tag_500_at     	20579.5	22265.7	34930	28661.6	26032.3	26210.7	28890.9	38008	55378.3	48795.2	43343.5	40628.6	53352.7	36784.5	48205.4	39103.5	53771	48190
YAL004W  	tag_500_st     	19329.5	24360.9	38216.9	32523.5	30395.8	30374.9	35938.3	36265	56898.3	50134.5	34989.5	32425.5	40823.4	34140	32878.1	29780	41438.2	39030.4
YAL005C  	tag_501_at     	4753	5047.13	7917.83	9449.15	9333.5	9221.48	8714.29	17772.3	26457.7	23312.5	24727.3	17325.7	25048.6	10158	5165.95	10709	11847.6	14603.3
YAL005C  	tag_501_st     	3292.3	4109.76	6447.31	13095.7	12819.5	12254.9	12147.7	12288.3	22659.6	19965.9	14107.8	9997.2	14652	7605.5	3774.45	7684.37	7656.36	10597.1
