orf	hom | growth (culture turbidity) | Trichothecin [4 uM] | McLaughlin JE~Tumer NE, 2009	hom | growth (culture turbidity) | Trichothecin [8 uM] | McLaughlin JE~Tumer NE, 2009	hom | growth (culture turbidity) | Trichothecin [12 uM] | McLaughlin JE~Tumer NE, 2009	hom | growth (culture turbidity) | Trichothecin [24 uM] | McLaughlin JE~Tumer NE, 2009
YDL054C	20.487297675575114	18.99184683715583	19.979264170414847	2.221008462531162
YDL173W	17.038940641072372	17.98164221815818	13.751961052363466	-1.3717993445045416
YGL110C	17.038940641072372	16.16327390396241	16.865612611389157	-0.6532377830974008
YGL139W	18.2560078297204	15.961232980162878	14.530373942119889	-1.3717993445045416
YGR241C	17.850318766837724	18.7898059133563	21.795560913179834	4.376693146752585
YHR014W	13.387739075128293	15.15306928496476	20.23873513366699	43.89757902414533
YKR010C	18.2560078297204	18.7898059133563	16.865612611389157	17.31080125208112
YLR099C	16.633251578189697	16.769396675360998	18.681909354154143	10.843747199416852
YLR193C	16.633251578189697	17.17347852296006	14.011432015615606	33.83771716444535
YLR199C	17.444629703955044	17.37551944675959	14.789844905372028	-1.3717993445045416
YLR262C-A	19.06738595548575	17.98164221815818	23.87132861919696	30.96347091881679
YMR187C	15.416184389541671	17.98164221815818	17.384554537893436	-0.6532377830974008
YNL011C	18.458852361161735	17.779601294358653	14.530373942119889	7.250939392381149
YOL101C	17.850318766837724	17.37551944675959	16.865612611389157	0.7838853397168808
YPL219W	16.43040704674836	16.56735575156147	12.973548162607043	-1.3717993445045416
