orf	hom | growth (culture turbidity) | Trichothecin [4 uM] | McLaughlin JE~Tumer NE, 2009	hom | growth (culture turbidity) | Trichothecin [8 uM] | McLaughlin JE~Tumer NE, 2009	hom | growth (culture turbidity) | Trichothecin [12 uM] | McLaughlin JE~Tumer NE, 2009	hom | growth (culture turbidity) | Trichothecin [24 uM] | McLaughlin JE~Tumer NE, 2009
YDL054C	12.625	18.799999999999997	12.833333333333334	1.0
YDL173W	10.5	17.799999999999997	8.833333333333334	-0.6666666666666666
YGL110C	10.5	16.0	10.833333333333334	-0.33333333333333326
YGL139W	11.25	15.799999999999997	9.333333333333334	-0.6666666666666666
YGR241C	11.0	18.599999999999998	14.000000000000002	2.0
YHR014W	8.25	15.0	13.0	20.333333333333336
YKR010C	11.25	18.599999999999998	10.833333333333334	8.000000000000002
YLR099C	10.25	16.599999999999998	12.000000000000002	5.0
YLR193C	10.25	17.0	9.0	15.666666666666668
YLR199C	10.749999999999998	17.2	9.5	-0.6666666666666666
YLR262C-A	11.75	17.799999999999997	15.333333333333332	14.333333333333334
YMR187C	9.5	17.799999999999997	11.166666666666666	-0.33333333333333326
YNL011C	11.375	17.6	9.333333333333334	3.333333333333334
YOL101C	11.0	17.2	10.833333333333334	0.3333333333333335
YPL219W	10.125	16.4	8.333333333333334	-0.6666666666666666
